Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Барятинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	1	1	3	0	0	0	0	3	0	0	0	1	0	1									
		0.42%	0.51%	0.17%	0.58%	0.00%	0.00%	0.00%	0.00%	3.26%	0.00%	0.00%	0.00%	0.66%	0.00%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	0	5	4	0	0	0	0	3	0	0	0	0	0	0									
		0.51%	0.00%	0.87%	0.77%	0.00%	0.00%	0.00%	0.00%	3.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	1	0	0	0	0	0	1	0	0	1	0	0	0									
		0.17%	0.51%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	3	7	3	0	0	0	2	1	0	1	0	0	0	1									
		0.76%	1.52%	1.22%	0.58%	0.00%	0.00%	0.00%	3.13%	1.09%	0.00%	1.19%	0.00%	0.00%	0.00%	0.96%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	353	21	104	82	16	14	11	4	23	12	7	15	21	11	12									
		14.98%	10.61%	18.12%	15.74%	11.94%	18.18%	13.25%	6.25%	25.00%	14.63%	8.33%	12.50%	13.82%	15.49%	11.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	1	1	2	0	0	0	0	1	0	0	1	1	0	0									
		0.30%	0.51%	0.17%	0.38%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.83%	0.66%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	58	1	18	16	4	0	1	2	2	0	1	6	4	2	1									
		2.46%	0.51%	3.14%	3.07%	2.99%	0.00%	1.20%	3.13%	2.17%	0.00%	1.19%	5.00%	2.63%	2.82%	0.96%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
