Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	458	16	18	6	10	11	12	6	5	3	9	7	7	3	3	5	1	7	5	10	19	3	21	12	0	10	19	5	9	4	27	14	7	11	16	6	23	7	12	18	14	6	6	0	9	8	6	5	15	2									
		1.50%	1.97%	1.97%	1.59%	1.70%	1.68%	1.50%	1.43%	1.43%	0.54%	1.95%	2.19%	1.42%	0.87%	1.05%	1.69%	0.53%	1.90%	1.04%	2.29%	2.58%	0.65%	1.89%	3.24%	0.00%	1.28%	3.67%	2.04%	1.49%	0.50%	2.90%	1.48%	1.16%	1.56%	1.99%	0.91%	2.20%	0.78%	1.21%	1.87%	1.45%	0.68%	0.77%	0.00%	1.04%	1.39%	0.78%	1.50%	7.46%	0.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	711	31	26	8	17	9	14	10	10	21	6	14	14	11	4	8	3	10	9	13	29	13	29	7	0	18	6	6	16	18	23	22	18	29	14	19	25	13	17	19	22	14	14	1	22	11	16	10	10	12									
		2.33%	3.82%	2.84%	2.12%	2.89%	1.37%	1.75%	2.39%	2.87%	3.80%	1.30%	4.38%	2.85%	3.18%	1.40%	2.71%	1.58%	2.72%	1.87%	2.98%	3.94%	2.82%	2.61%	1.89%	0.00%	2.30%	1.16%	2.45%	2.64%	2.25%	2.47%	2.32%	2.98%	4.10%	1.74%	2.88%	2.39%	1.44%	1.72%	1.98%	2.28%	1.58%	1.79%	0.12%	2.54%	1.91%	2.08%	2.99%	4.98%	4.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	514	10	28	16	10	16	23	5	8	10	12	8	18	1	2	2	2	9	9	12	18	12	17	3	1	14	8	3	3	20	16	18	9	15	14	4	11	16	13	11	7	15	8	10	16	5	11	3	4	8									
		1.69%	1.23%	3.06%	4.23%	1.70%	2.44%	2.87%	1.19%	2.29%	1.81%	2.60%	2.50%	3.66%	0.29%	0.70%	0.68%	1.05%	2.45%	1.87%	2.75%	2.45%	2.60%	1.53%	0.81%	0.15%	1.79%	1.54%	1.22%	0.50%	2.50%	1.72%	1.90%	1.49%	2.12%	1.74%	0.61%	1.05%	1.78%	1.31%	1.14%	0.72%	1.69%	1.02%	1.16%	1.85%	0.87%	1.43%	0.90%	1.99%	3.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10966	315	279	127	213	299	247	135	87	167	149	123	197	130	104	82	69	124	165	136	302	132	361	158	432	258	199	116	191	273	276	307	195	232	276	230	384	327	284	372	369	343	271	325	324	240	307	142	94	98									
		35.97%	38.84%	30.53%	33.60%	36.16%	45.58%	30.80%	32.22%	24.93%	30.25%	32.32%	38.44%	40.04%	37.57%	36.36%	27.80%	36.32%	33.70%	34.30%	31.19%	41.03%	28.63%	32.46%	42.70%	64.57%	32.99%	38.42%	47.35%	31.52%	34.13%	29.61%	32.35%	32.28%	32.81%	34.29%	34.85%	36.68%	36.29%	28.69%	38.67%	38.16%	38.76%	34.65%	37.70%	37.46%	41.74%	39.87%	42.51%	46.77%	39.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	350	8	19	4	5	3	14	7	10	3	9	1	5	7	5	4	3	12	4	7	9	4	17	4	0	8	6	1	10	8	15	9	16	10	7	6	7	8	13	9	9	8	7	0	12	6	7	2	0	2									
		1.15%	0.99%	2.08%	1.06%	0.85%	0.46%	1.75%	1.67%	2.87%	0.54%	1.95%	0.31%	1.02%	2.02%	1.75%	1.36%	1.58%	3.26%	0.83%	1.61%	1.22%	0.87%	1.53%	1.08%	0.00%	1.02%	1.16%	0.41%	1.65%	1.00%	1.61%	0.95%	2.65%	1.41%	0.87%	0.91%	0.67%	0.89%	1.31%	0.94%	0.93%	0.90%	0.90%	0.00%	1.39%	1.04%	0.91%	0.60%	0.00%	0.81%									
24	"6. Политическая партия ""Гражданская Платформа"""	81	3	4	3	0	4	2	2	0	0	2	0	2	1	1	0	0	2	0	1	1	0	4	0	0	0	1	0	1	0	6	2	2	0	2	0	1	1	5	4	3	5	2	8	1	1	2	1	0	1									
		0.27%	0.37%	0.44%	0.79%	0.00%	0.61%	0.25%	0.48%	0.00%	0.00%	0.43%	0.00%	0.41%	0.29%	0.35%	0.00%	0.00%	0.54%	0.00%	0.23%	0.14%	0.00%	0.36%	0.00%	0.00%	0.00%	0.19%	0.00%	0.17%	0.00%	0.64%	0.21%	0.33%	0.00%	0.25%	0.00%	0.10%	0.11%	0.51%	0.42%	0.31%	0.56%	0.26%	0.93%	0.12%	0.17%	0.26%	0.30%	0.00%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3704	128	100	59	92	54	74	66	34	53	62	39	51	43	30	32	20	45	71	55	91	59	119	48	12	86	61	28	76	99	115	103	86	99	92	79	132	107	113	108	138	132	99	98	114	79	101	78	17	27									
		12.15%	15.78%	10.94%	15.61%	15.62%	8.23%	9.23%	15.75%	9.74%	9.60%	13.45%	12.19%	10.37%	12.43%	10.49%	10.85%	10.53%	12.23%	14.76%	12.61%	12.36%	12.80%	10.70%	12.97%	1.79%	10.99%	11.78%	11.43%	12.54%	12.38%	12.34%	10.85%	14.24%	14.00%	11.43%	11.97%	12.61%	11.88%	11.41%	11.23%	14.27%	14.92%	12.66%	11.37%	13.18%	13.74%	13.12%	23.35%	8.46%	10.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	428	19	14	6	10	15	11	8	6	9	3	4	4	3	9	1	3	13	10	10	14	10	12	4	0	5	6	4	15	16	14	13	12	6	12	7	14	3	11	11	13	8	18	8	9	5	7	9	2	2									
		1.40%	2.34%	1.53%	1.59%	1.70%	2.29%	1.37%	1.91%	1.72%	1.63%	0.65%	1.25%	0.81%	0.87%	3.15%	0.34%	1.58%	3.53%	2.08%	2.29%	1.90%	2.17%	1.08%	1.08%	0.00%	0.64%	1.16%	1.63%	2.48%	2.00%	1.50%	1.37%	1.99%	0.85%	1.49%	1.06%	1.34%	0.33%	1.11%	1.14%	1.34%	0.90%	2.30%	0.93%	1.04%	0.87%	0.91%	2.69%	0.99%	0.81%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	477	11	18	6	9	4	28	8	12	22	10	4	8	4	10	7	2	11	16	9	11	6	21	1	0	9	10	1	8	17	9	11	7	12	17	14	22	6	19	14	8	15	6	9	10	3	8	2	1	1									
		1.56%	1.36%	1.97%	1.59%	1.53%	0.61%	3.49%	1.91%	3.44%	3.99%	2.17%	1.25%	1.63%	1.16%	3.50%	2.37%	1.05%	2.99%	3.33%	2.06%	1.49%	1.30%	1.89%	0.27%	0.00%	1.15%	1.93%	0.41%	1.32%	2.13%	0.97%	1.16%	1.16%	1.70%	2.11%	2.12%	2.10%	0.67%	1.92%	1.46%	0.83%	1.69%	0.77%	1.04%	1.16%	0.52%	1.04%	0.60%	0.50%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	54	4	3	0	0	1	0	0	1	2	1	0	1	0	2	0	1	0	0	0	0	0	4	1	0	2	1	0	0	0	0	0	0	0	6	1	2	4	1	3	3	3	3	0	0	0	1	2	1	0									
		0.18%	0.49%	0.33%	0.00%	0.00%	0.15%	0.00%	0.00%	0.29%	0.36%	0.22%	0.00%	0.20%	0.00%	0.70%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.27%	0.00%	0.26%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.15%	0.19%	0.44%	0.10%	0.31%	0.31%	0.34%	0.38%	0.00%	0.00%	0.00%	0.13%	0.60%	0.50%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	578	15	28	15	7	13	35	17	11	30	15	3	12	10	9	4	5	16	7	15	16	12	23	3	0	16	7	0	6	23	12	17	13	12	17	5	10	16	11	22	11	17	13	0	9	5	7	6	2	0									
		1.90%	1.85%	3.06%	3.97%	1.19%	1.98%	4.36%	4.06%	3.15%	5.43%	3.25%	0.94%	2.44%	2.89%	3.15%	1.36%	2.63%	4.35%	1.46%	3.44%	2.17%	2.60%	2.07%	0.81%	0.00%	2.05%	1.35%	0.00%	0.99%	2.88%	1.29%	1.79%	2.15%	1.70%	2.11%	0.76%	0.96%	1.78%	1.11%	2.29%	1.14%	1.92%	1.66%	0.00%	1.04%	0.87%	0.91%	1.80%	0.99%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3502	112	129	34	77	75	88	50	43	79	56	32	56	50	31	35	32	37	58	38	76	50	128	52	47	103	57	23	94	104	99	115	81	87	94	86	110	94	112	89	127	92	76	90	88	50	96	19	10	41									
		11.49%	13.81%	14.11%	8.99%	13.07%	11.43%	10.97%	11.93%	12.32%	14.31%	12.15%	10.00%	11.38%	14.45%	10.84%	11.86%	16.84%	10.05%	12.06%	8.72%	10.33%	10.85%	11.51%	14.05%	7.03%	13.17%	11.00%	9.39%	15.51%	13.00%	10.62%	12.12%	13.41%	12.31%	11.68%	13.03%	10.51%	10.43%	11.31%	9.25%	13.13%	10.40%	9.72%	10.44%	10.17%	8.70%	12.47%	5.69%	4.98%	16.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	115	5	2	1	3	0	3	0	1	0	1	1	4	0	0	2	0	2	1	2	2	1	7	1	0	3	3	1	3	0	6	2	5	4	3	2	2	6	6	3	7	7	4	3	0	2	1	1	1	1									
		0.38%	0.62%	0.22%	0.26%	0.51%	0.00%	0.37%	0.00%	0.29%	0.00%	0.22%	0.31%	0.81%	0.00%	0.00%	0.68%	0.00%	0.54%	0.21%	0.46%	0.27%	0.22%	0.63%	0.27%	0.00%	0.38%	0.58%	0.41%	0.50%	0.00%	0.64%	0.21%	0.83%	0.57%	0.37%	0.30%	0.19%	0.67%	0.61%	0.31%	0.72%	0.79%	0.51%	0.35%	0.00%	0.35%	0.13%	0.30%	0.50%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7756	119	230	80	117	140	220	96	106	141	116	73	97	66	66	102	44	75	115	107	139	148	311	67	173	230	117	49	167	204	294	296	138	175	223	189	290	255	347	254	216	208	229	299	233	131	177	30	19	38									
		25.44%	14.67%	25.16%	21.16%	19.86%	21.34%	27.43%	22.91%	30.37%	25.54%	25.16%	22.81%	19.72%	19.08%	23.08%	34.58%	23.16%	20.38%	23.91%	24.54%	18.89%	32.10%	27.97%	18.11%	25.86%	29.41%	22.59%	20.00%	27.56%	25.50%	31.55%	31.19%	22.85%	24.75%	27.70%	28.64%	27.70%	28.30%	35.05%	26.40%	22.34%	23.50%	29.28%	34.69%	26.94%	22.78%	22.99%	8.98%	9.45%	15.38%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
