Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Кожевниковский район																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478					
		16.48%	10.28%	16.31%	17.18%	16.98%	17.20%	11.66%	16.92%	8.99%	18.45%	16.67%	20.25%	14.55%	15.70%	14.79%	14.63%	9.89%	12.18%	13.65%	18.54%	23.84%	15.53%	16.78%	22.44%	9.35%	20.66%	20.20%	10.32%	23.53%	11.00%	8.40%	17.30%	18.51%					
																																							
24	Против всех	394	4	49	65	22	33	6	33	3	17	7	4	14	3	8	5	9	6	0	3	9	7	1	17	12	1	14	6	2	15	1	5	13					
		3.21%	3.74%	4.57%	5.67%	2.79%	3.89%	2.12%	4.54%	3.37%	2.49%	3.07%	2.45%	2.83%	1.02%	2.37%	1.33%	3.18%	2.21%	0.00%	1.46%	2.79%	3.40%	0.67%	2.81%	3.87%	0.37%	3.54%	3.87%	1.18%	5.00%	0.76%	2.11%	3.88%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
