Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мотыгинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643									
		1.38%	2.45%	2.07%	0.66%	0.70%	0.00%	0.70%	0.00%	0.42%	0.81%	0.91%	1.24%	2.08%	0.00%	1.94%	1.81%	0.00%	5.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	119	7	14	15	10	1	3	2	7	7	4	14	9	3	18	2	0	3									
		2.74%	2.86%	3.63%	4.93%	3.51%	1.00%	1.05%	2.13%	2.92%	2.85%	0.91%	4.35%	3.13%	2.29%	3.17%	1.20%	0.00%	1.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	135	9	15	6	10	3	6	8	5	3	12	5	12	1	22	5	4	9									
		3.10%	3.67%	3.89%	1.97%	3.51%	3.00%	2.10%	8.51%	2.08%	1.22%	2.72%	1.55%	4.17%	0.76%	3.87%	3.01%	4.71%	5.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1701	70	97	97	86	55	155	43	96	88	201	123	126	61	214	85	49	55									
		39.10%	28.57%	25.13%	31.91%	30.18%	55.00%	54.20%	45.74%	40.00%	35.77%	45.58%	38.20%	43.75%	46.56%	37.68%	51.20%	57.65%	33.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	2	3	2	5	1	1	0	1	3	1	3	1	0	9	0	0	2									
		0.78%	0.82%	0.78%	0.66%	1.75%	1.00%	0.35%	0.00%	0.42%	1.22%	0.23%	0.93%	0.35%	0.00%	1.58%	0.00%	0.00%	1.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	0	1	0	0	0	0	0	1	1	1	2	0	2	2	0	1									
		0.28%	0.41%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.23%	0.31%	0.69%	0.00%	0.35%	1.20%	0.00%	0.61%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1203	70	98	95	83	20	74	20	63	98	124	70	65	35	174	51	18	45									
		27.66%	28.57%	25.39%	31.25%	29.12%	20.00%	25.87%	21.28%	26.25%	39.84%	28.12%	21.74%	22.57%	26.72%	30.63%	30.72%	21.18%	27.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	2	2	2	0	0	0	1	0	1	1	1	0	0	0	0	0									
		0.23%	0.00%	0.52%	0.66%	0.70%	0.00%	0.00%	0.00%	0.42%	0.00%	0.23%	0.31%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	29	3	2	3	2	0	1	0	1	3	1	3	2	1	4	2	0	1									
		0.67%	1.22%	0.52%	0.99%	0.70%	0.00%	0.35%	0.00%	0.42%	1.22%	0.23%	0.93%	0.69%	0.76%	0.70%	1.20%	0.00%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	0	0	1	3	2	1	0	2	0	0	1	1	0	1	0	0	2									
		0.32%	0.00%	0.00%	0.33%	1.05%	2.00%	0.35%	0.00%	0.83%	0.00%	0.00%	0.31%	0.35%	0.00%	0.18%	0.00%	0.00%	1.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	3	4	1	4	1	2	0	1	2	3	3	2	0	1	1	1	1									
		0.69%	1.22%	1.04%	0.33%	1.40%	1.00%	0.70%	0.00%	0.42%	0.81%	0.68%	0.93%	0.69%	0.00%	0.18%	0.60%	1.18%	0.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	627	45	85	57	52	6	22	18	43	24	44	64	42	18	63	7	11	26									
		14.41%	18.37%	22.02%	18.75%	18.25%	6.00%	7.69%	19.15%	17.92%	9.76%	9.98%	19.88%	14.58%	13.74%	11.09%	4.22%	12.94%	15.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	94	6	18	10	4	2	3	0	2	2	7	17	3	1	16	2	0	1									
		2.16%	2.45%	4.66%	3.29%	1.40%	2.00%	1.05%	0.00%	0.83%	0.81%	1.59%	5.28%	1.04%	0.76%	2.82%	1.20%	0.00%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	158	17	23	6	16	7	9	2	8	3	22	5	9	3	20	2	2	4									
		3.63%	6.94%	5.96%	1.97%	5.61%	7.00%	3.15%	2.13%	3.33%	1.22%	4.99%	1.55%	3.13%	2.29%	3.52%	1.20%	2.35%	2.45%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
