Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Южская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	140	11	17	15	14	7	1	10	9	4	6	0	18	4	1	4	8	0	3	1	0	3	4					
		1.31%	1.24%	1.96%	1.54%	1.48%	0.93%	0.12%	1.22%	1.88%	1.10%	1.25%	0.0%	1.58%	1.26%	0.66%	1.17%	2.76%	0.0%	2.22%	0.52%	0.0%	1.05%	2.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	150	5	16	12	21	11	8	12	11	5	9	0	20	2	6	2	4	1	0	1	0	3	1					
		1.41%	0.56%	1.85%	1.23%	2.23%	1.46%	1.01%	1.47%	2.30%	1.37%	1.88%	0.0%	1.76%	0.63%	3.97%	0.58%	1.38%	0.74%	0.0%	0.52%	0.0%	1.05%	0.68%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	329	39	27	24	24	21	30	19	8	14	13	3	32	23	0	11	10	1	2	3	6	13	6					
		3.09%	4.40%	3.12%	2.46%	2.55%	2.80%	3.82%	2.33%	1.67%	3.85%	2.72%	5.88%	2.81%	7.27%	0.0%	3.23%	3.46%	0.74%	1.48%	1.57%	4.8%	4.56%	4.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	216	21	15	29	22	13	20	18	13	10	5	0	22	6	0	4	6	2	2	7	0	1	0					
		2.03%	2.37%	1.73%	2.98%	2.33%	1.73%	2.54%	2.20%	2.72%	2.75%	1.04%	0.0%	1.93%	1.89%	0.0%	1.17%	2.07%	1.49%	1.48%	3.68%	0.0%	0.35%	0.0%					
22	"5. ""За Русь Святую"""	44	2	3	3	7	2	3	4	2	1	5	0	3	1	0	1	4	1	1	0	0	1	0					
		0.41%	0.22%	0.34%	0.30%	0.74%	0.26%	0.38%	0.49%	0.41%	0.27%	1.04%	0.0%	0.26%	0.31%	0.0%	0.29%	1.38%	0.74%	0.74%	0.0%	0.0%	0.35%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	2	3	1	0	1	1	0	1	0	4	0	1	2	2	0	0	0	0	0	0	0	0					
		0.16%	0.22%	0.34%	0.10%	0.0%	0.13%	0.12%	0.0%	0.20%	0.0%	0.83%	0.0%	0.08%	0.63%	1.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	4	4	9	4	5	1	5	2	0	0	0	4	2	0	1	1	1	1	3	0	1	2					
		0.47%	0.45%	0.46%	0.92%	0.42%	0.66%	0.12%	0.61%	0.41%	0.0%	0.0%	0.0%	0.35%	0.63%	0.0%	0.29%	0.34%	0.74%	0.74%	1.57%	0.0%	0.35%	1.37%					
25	"8. ""Народно-республиканская партия России"""	6	0	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.11%	0.20%	0.10%	0.0%	0.0%	0.12%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	4	1	5	3	3	0	2	1	1	0	0	7	0	0	0	1	0	0	0	0	0	0					
		0.26%	0.45%	0.11%	0.51%	0.31%	0.40%	0.0%	0.24%	0.20%	0.27%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	505	26	33	21	31	22	22	45	18	12	3	0	17	51	49	22	17	25	2	14	9	35	31					
		4.75%	2.93%	3.81%	2.16%	3.29%	2.93%	2.80%	5.52%	3.77%	3.30%	0.62%	0.0%	1.49%	16.13%	32.45%	6.47%	5.88%	18.65%	1.48%	7.36%	7.2%	12.28%	21.37%					
28	"11. ""Истинные патриоты России"""	15	1	1	0	0	1	0	1	0	1	0	0	2	3	1	0	1	0	1	1	0	1	0					
		0.14%	0.11%	0.11%	0.0%	0.0%	0.13%	0.0%	0.12%	0.0%	0.27%	0.0%	0.0%	0.17%	0.94%	0.66%	0.0%	0.34%	0.0%	0.74%	0.52%	0.0%	0.35%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	7	13	11	4	9	12	9	8	2	3	1	23	1	1	8	1	1	1	1	1	4	1					
		1.14%	0.79%	1.50%	1.13%	0.42%	1.20%	1.52%	1.10%	1.67%	0.55%	0.62%	1.96%	2.02%	0.31%	0.66%	2.35%	0.34%	0.74%	0.74%	0.52%	0.8%	1.40%	0.68%					
30	"13. ""Демократическая партия России"""	13	1	1	0	3	0	0	0	0	2	1	0	1	0	0	0	0	0	1	2	0	1	0					
		0.12%	0.11%	0.11%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.55%	0.20%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	1.05%	0.0%	0.35%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	0	3	1	1	3	3	5	0	2	0	0	2	6	0	0	2	1	1	0	0	0	0					
		0.28%	0.0%	0.34%	0.10%	0.10%	0.40%	0.38%	0.61%	0.0%	0.55%	0.0%	0.0%	0.17%	1.89%	0.0%	0.0%	0.69%	0.74%	0.74%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	2	1	0	0	2	2	0					
		0.12%	0.0%	0.0%	0.10%	0.10%	0.13%	0.0%	0.0%	0.20%	0.0%	0.20%	0.0%	0.08%	0.0%	0.0%	0.0%	0.69%	0.74%	0.0%	0.0%	1.6%	0.70%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	736	66	69	54	80	40	52	61	43	31	24	1	110	23	1	19	18	8	6	8	7	14	1					
		6.92%	7.44%	7.98%	5.55%	8.50%	5.34%	6.62%	7.48%	9.01%	8.53%	5.03%	1.96%	9.69%	7.27%	0.66%	5.58%	6.22%	5.97%	4.44%	4.21%	5.6%	4.91%	0.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	1	2	3	1	1	1	1	2	2	3	0	4	2	0	0	0	0	0	2	0	2	1					
		0.26%	0.11%	0.23%	0.30%	0.10%	0.13%	0.12%	0.12%	0.41%	0.55%	0.62%	0.0%	0.35%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.70%	0.68%					
35	"18. ""ЛДПР"""	1575	109	127	128	129	142	96	107	53	57	82	15	197	50	12	50	48	19	23	38	23	42	28					
		14.82%	12.30%	14.69%	13.16%	13.70%	18.95%	12.22%	13.12%	11.11%	15.70%	17.19%	29.41%	17.35%	15.82%	7.94%	14.70%	16.60%	14.17%	17.03%	20.0%	18.4%	14.73%	19.31%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	267	17	19	19	22	17	15	20	6	4	27	12	35	18	2	6	9	2	2	2	4	7	2					
		2.51%	1.91%	2.19%	1.95%	2.33%	2.26%	1.91%	2.45%	1.25%	1.10%	5.66%	23.52%	3.08%	5.69%	1.32%	1.76%	3.11%	1.49%	1.48%	1.05%	3.2%	2.45%	1.37%					
37	"20. ""Политическая партия ""Единая Россия"""	4599	419	347	494	448	328	382	342	243	139	127	17	420	82	65	177	128	52	67	91	50	124	57					
		43.28%	47.29%	40.16%	50.82%	47.60%	43.79%	48.66%	41.96%	50.94%	38.29%	26.62%	33.33%	37.00%	25.94%	43.04%	52.05%	44.29%	38.80%	49.62%	47.89%	40.0%	43.50%	39.31%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	2	2	2	0	0	6	1	3	0	0	0	5	2	0	1	3	0	0	0	1	0	0					
		0.26%	0.22%	0.23%	0.20%	0.0%	0.0%	0.76%	0.12%	0.62%	0.0%	0.0%	0.0%	0.44%	0.63%	0.0%	0.29%	1.03%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	1	2	1	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.11%	0.23%	0.10%	0.10%	0.0%	0.12%	0.0%	0.20%	0.27%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1149	117	110	91	86	93	100	100	24	49	107	1	126	21	5	22	16	7	18	10	20	20	6					
		10.81%	13.20%	12.73%	9.36%	9.13%	12.41%	12.73%	12.26%	5.03%	13.49%	22.43%	1.96%	11.10%	6.64%	3.31%	6.47%	5.53%	5.22%	13.33%	5.26%	16.0%	7.01%	4.13%					
																													
41	Против всех	441	27	36	39	34	17	21	35	26	20	45	1	72	14	2	12	8	7	3	5	1	11	5					
		4.15%	3.04%	4.16%	4.01%	3.61%	2.26%	2.67%	4.29%	5.45%	5.50%	9.43%	1.96%	6.34%	4.43%	1.32%	3.52%	2.76%	5.22%	2.22%	2.63%	0.8%	3.85%	3.44%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
