Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Казань, Вахитовская"																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
14	Число погашенных открепительных удостоверений	810	27	18	19	16	16	15	19	16	20	21	12	1	21	13	12	16	20	11	6	20	3	8	22	13	22	27	8	7	10	19	16	6	12	3	12	21	11	9	11	4	11	0	15	42	7	22	18	10	14	0	14	32	15	11	4	10	19	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	"1. ""ЕДИНЕНИЕ"""	505	2	8	2	3	9	9	5	0	1	1	5	14	5	13	13	4	0	22	13	5	5	8	3	17	4	1	5	1	5	1	3	9	3	4	2	6	7	1	9	13	7	9	2	11	6	6	8	13	17	8	9	15	10	8	11	15	14	17	11	16	5	5	7	2	5	2	3	3	5	2	1	1	5	1	4					
		1.08%	0.45%	1.72%	0.35%	0.40%	1.46%	1.57%	1.71%	0.0%	0.37%	0.30%	0.84%	1.43%	0.80%	0.96%	1.22%	0.71%	0.0%	1.44%	1.54%	1.92%	0.80%	1.10%	0.75%	1.58%	1.46%	0.40%	1.42%	0.25%	1.16%	0.26%	0.52%	1.23%	0.38%	0.53%	0.31%	1.92%	1.43%	0.27%	1.26%	1.05%	0.71%	0.72%	0.67%	1.04%	0.59%	0.52%	0.98%	1.74%	1.27%	0.76%	1.47%	1.26%	1.46%	1.39%	1.31%	1.16%	2.24%	1.72%	0.95%	1.40%	1.12%	1.68%	4.09%	3.07%	4.50%	0.92%	2.47%	0.98%	1.63%	1.75%	1.92%	2.04%	1.77%	0.68%	1.80%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2427	32	27	49	28	39	42	20	23	9	9	40	44	19	79	43	26	24	51	19	7	21	98	48	20	21	20	41	34	21	36	45	52	34	61	57	21	40	27	17	42	23	65	15	84	71	65	48	33	72	52	40	69	31	26	47	78	26	22	42	52	6	13	2	1	4	6	4	8	13	2	1	3	11	1	5					
		5.20%	7.32%	5.81%	8.62%	3.78%	6.36%	7.36%	6.84%	4.63%	3.35%	2.77%	6.77%	4.51%	3.04%	5.86%	4.05%	4.65%	2.37%	3.33%	2.25%	2.69%	3.37%	13.53%	12.12%	1.86%	7.69%	8.19%	11.71%	8.5%	4.90%	9.47%	7.92%	7.12%	4.35%	8.16%	8.90%	6.73%	8.21%	7.33%	2.39%	3.40%	2.35%	5.27%	5.03%	8.01%	7.04%	5.69%	5.91%	4.42%	5.40%	4.94%	6.54%	5.82%	4.55%	4.52%	5.60%	6.05%	4.16%	2.23%	3.64%	4.55%	1.35%	4.39%	1.16%	1.53%	3.60%	2.77%	3.30%	2.61%	4.26%	1.75%	1.92%	6.12%	3.90%	0.68%	2.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1477	9	6	11	10	10	27	5	19	8	7	29	33	23	48	43	18	33	68	45	7	15	5	6	14	14	4	10	10	15	18	13	15	12	19	16	9	14	25	26	51	28	48	9	31	32	36	18	36	65	29	16	22	26	24	27	56	23	24	31	44	2	10	3	0	7	3	11	8	8	8	2	2	6	7	5					
		3.16%	2.05%	1.29%	1.93%	1.35%	1.63%	4.73%	1.71%	3.83%	2.98%	2.16%	4.91%	3.38%	3.69%	3.56%	4.05%	3.22%	3.26%	4.45%	5.35%	2.69%	2.40%	0.69%	1.51%	1.30%	5.12%	1.63%	2.85%	2.5%	3.50%	4.73%	2.28%	2.05%	1.53%	2.54%	2.5%	2.88%	2.87%	6.79%	3.66%	4.13%	2.86%	3.89%	3.02%	2.95%	3.17%	3.15%	2.21%	4.82%	4.88%	2.75%	2.61%	1.85%	3.81%	4.18%	3.21%	4.34%	3.68%	2.43%	2.68%	3.85%	0.45%	3.37%	1.75%	0.0%	6.30%	1.38%	9.09%	2.61%	2.62%	7.01%	3.84%	4.08%	2.12%	4.79%	2.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2800	37	24	43	35	49	40	19	43	15	11	52	49	43	87	78	27	59	72	26	12	29	53	66	42	20	18	22	28	19	25	63	48	48	69	69	33	33	22	38	71	54	75	16	56	102	92	59	53	102	65	44	53	36	28	28	95	25	26	38	43	4	9	2	0	5	6	2	5	6	9	0	0	10	4	11					
		6.00%	8.46%	5.17%	7.57%	4.72%	7.99%	7.01%	6.50%	8.66%	5.59%	3.39%	8.81%	5.03%	6.90%	6.45%	7.35%	4.83%	5.83%	4.71%	3.09%	4.61%	4.65%	7.32%	16.66%	3.91%	7.32%	7.37%	6.28%	7.0%	4.43%	6.57%	11.09%	6.57%	6.14%	9.23%	10.78%	10.57%	6.77%	5.97%	5.35%	5.75%	5.52%	6.08%	5.36%	5.34%	10.11%	8.05%	7.26%	7.10%	7.66%	6.18%	7.20%	4.47%	5.28%	4.87%	3.33%	7.37%	4.0%	2.63%	3.29%	3.76%	0.90%	3.04%	1.16%	0.0%	4.50%	2.77%	1.65%	1.63%	1.96%	7.89%	0.0%	0.0%	3.54%	2.73%	4.97%					
22	"5. ""За Русь Святую"""	197	5	3	2	1	1	3	1	4	2	0	2	7	2	4	7	1	0	7	1	0	4	2	0	1	2	2	2	1	0	2	9	5	2	7	2	2	1	1	4	4	5	10	0	0	3	3	2	6	4	5	4	2	4	5	3	2	3	3	6	5	1	0	0	0	2	1	0	2	4	1	1	0	2	2	0					
		0.42%	1.14%	0.64%	0.35%	0.13%	0.16%	0.52%	0.34%	0.80%	0.74%	0.0%	0.33%	0.71%	0.32%	0.29%	0.66%	0.17%	0.0%	0.45%	0.11%	0.0%	0.64%	0.27%	0.0%	0.09%	0.73%	0.81%	0.57%	0.25%	0.0%	0.52%	1.58%	0.68%	0.25%	0.93%	0.31%	0.64%	0.20%	0.27%	0.56%	0.32%	0.51%	0.81%	0.0%	0.0%	0.29%	0.26%	0.24%	0.80%	0.30%	0.47%	0.65%	0.16%	0.58%	0.87%	0.35%	0.15%	0.48%	0.30%	0.52%	0.43%	0.22%	0.0%	0.0%	0.0%	1.80%	0.46%	0.0%	0.65%	1.31%	0.87%	1.92%	0.0%	0.70%	1.36%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	117	0	0	2	1	4	2	0	1	0	2	1	8	1	3	3	1	0	5	1	0	4	1	3	0	5	0	0	0	1	0	0	1	2	2	3	1	1	0	1	8	1	1	1	4	1	2	2	0	1	1	1	3	0	0	8	4	0	2	6	2	2	1	0	0	1	2	0	0	2	0	0	1	0	0	0					
		0.25%	0.0%	0.0%	0.35%	0.13%	0.65%	0.35%	0.0%	0.20%	0.0%	0.61%	0.16%	0.82%	0.16%	0.22%	0.28%	0.17%	0.0%	0.32%	0.11%	0.0%	0.64%	0.13%	0.75%	0.0%	1.83%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.13%	0.25%	0.26%	0.46%	0.32%	0.20%	0.0%	0.14%	0.64%	0.10%	0.08%	0.33%	0.38%	0.09%	0.17%	0.24%	0.0%	0.07%	0.09%	0.16%	0.25%	0.0%	0.0%	0.95%	0.31%	0.0%	0.20%	0.52%	0.17%	0.45%	0.33%	0.0%	0.0%	0.90%	0.92%	0.0%	0.0%	0.65%	0.0%	0.0%	2.04%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	351	4	6	8	5	3	6	3	4	6	2	3	13	3	8	10	4	0	8	8	6	12	6	6	4	2	0	3	6	2	2	2	7	5	6	2	3	3	6	9	1	10	6	0	11	21	10	5	1	13	9	6	12	6	6	2	8	2	2	5	6	3	0	1	0	1	0	0	4	1	0	0	0	1	1	1					
		0.75%	0.91%	1.29%	1.40%	0.67%	0.48%	1.05%	1.02%	0.80%	2.23%	0.61%	0.50%	1.33%	0.48%	0.59%	0.94%	0.71%	0.0%	0.52%	0.95%	2.30%	1.92%	0.82%	1.51%	0.37%	0.73%	0.0%	0.85%	1.5%	0.46%	0.52%	0.35%	0.95%	0.64%	0.80%	0.31%	0.96%	0.61%	1.63%	1.26%	0.08%	1.02%	0.48%	0.0%	1.04%	2.08%	0.87%	0.61%	0.13%	0.97%	0.85%	0.98%	1.01%	0.88%	1.04%	0.23%	0.62%	0.32%	0.20%	0.43%	0.52%	0.67%	0.0%	0.58%	0.0%	0.90%	0.0%	0.0%	1.30%	0.32%	0.0%	0.0%	0.0%	0.35%	0.68%	0.45%					
25	"8. ""Народно-республиканская партия России"""	50	0	0	0	0	0	5	1	0	0	2	2	0	0	1	2	0	0	2	1	0	2	0	1	1	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	2	2	1	0	1	1	1	0	0	2	1	1	1	1	0	0	1	1	2	1	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.34%	0.0%	0.0%	0.61%	0.33%	0.0%	0.0%	0.07%	0.18%	0.0%	0.0%	0.13%	0.11%	0.0%	0.32%	0.0%	0.25%	0.09%	0.0%	0.0%	0.0%	0.5%	0.46%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.16%	0.20%	0.08%	0.0%	0.09%	0.09%	0.08%	0.0%	0.0%	0.15%	0.09%	0.16%	0.08%	0.14%	0.0%	0.0%	0.07%	0.16%	0.20%	0.08%	0.17%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.32%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	324	2	10	3	2	5	2	3	4	2	2	5	11	7	7	6	0	0	6	4	4	4	11	2	14	0	3	1	3	6	2	5	7	6	1	7	2	2	2	3	6	5	14	0	15	8	4	8	4	5	10	6	25	7	3	4	8	5	1	5	5	1	1	0	0	0	0	1	2	0	0	0	0	1	1	3					
		0.69%	0.45%	2.15%	0.52%	0.27%	0.81%	0.35%	1.02%	0.80%	0.74%	0.61%	0.84%	1.12%	1.12%	0.51%	0.56%	0.0%	0.0%	0.39%	0.47%	1.53%	0.64%	1.51%	0.50%	1.30%	0.0%	1.22%	0.28%	0.75%	1.40%	0.52%	0.88%	0.95%	0.76%	0.13%	1.09%	0.64%	0.41%	0.54%	0.42%	0.48%	0.51%	1.13%	0.0%	1.43%	0.79%	0.35%	0.98%	0.53%	0.37%	0.95%	0.98%	2.10%	1.02%	0.52%	0.47%	0.62%	0.8%	0.10%	0.43%	0.43%	0.22%	0.33%	0.0%	0.0%	0.0%	0.0%	0.82%	0.65%	0.0%	0.0%	0.0%	0.0%	0.35%	0.68%	1.35%					
27	"10. ""Аграрная партия России"""	354	2	3	2	3	6	3	2	2	1	4	4	8	3	8	4	7	10	15	7	2	3	4	1	10	7	1	1	0	6	2	6	5	4	7	7	0	8	4	10	7	4	11	2	11	6	11	3	7	13	9	5	6	2	3	5	12	7	8	16	7	1	1	2	2	0	0	0	2	3	0	0	0	3	2	1					
		0.75%	0.45%	0.64%	0.35%	0.40%	0.97%	0.52%	0.68%	0.40%	0.37%	1.23%	0.67%	0.82%	0.48%	0.59%	0.37%	1.25%	0.98%	0.98%	0.83%	0.76%	0.48%	0.55%	0.25%	0.93%	2.56%	0.40%	0.28%	0.0%	1.40%	0.52%	1.05%	0.68%	0.51%	0.93%	1.09%	0.0%	1.64%	1.08%	1.41%	0.56%	0.40%	0.89%	0.67%	1.04%	0.59%	0.96%	0.36%	0.93%	0.97%	0.85%	0.81%	0.50%	0.29%	0.52%	0.59%	0.93%	1.12%	0.81%	1.38%	0.61%	0.22%	0.33%	1.16%	3.07%	0.0%	0.0%	0.0%	0.65%	0.98%	0.0%	0.0%	0.0%	1.06%	1.36%	0.45%					
28	"11. ""Истинные патриоты России"""	149	5	0	0	1	2	0	0	11	2	2	6	2	7	8	1	0	0	4	0	0	2	2	0	1	1	2	3	0	3	0	1	2	0	1	2	0	1	1	0	4	1	11	1	5	2	4	4	0	2	5	1	5	0	1	0	6	0	6	4	7	0	0	0	2	0	0	0	1	3	0	0	0	0	1	0					
		0.31%	1.14%	0.0%	0.0%	0.13%	0.32%	0.0%	0.0%	2.21%	0.74%	0.61%	1.01%	0.20%	1.12%	0.59%	0.09%	0.0%	0.0%	0.26%	0.0%	0.0%	0.32%	0.27%	0.0%	0.09%	0.36%	0.81%	0.85%	0.0%	0.70%	0.0%	0.17%	0.27%	0.0%	0.13%	0.31%	0.0%	0.20%	0.27%	0.0%	0.32%	0.10%	0.89%	0.33%	0.47%	0.19%	0.35%	0.49%	0.0%	0.15%	0.47%	0.16%	0.42%	0.0%	0.17%	0.0%	0.46%	0.0%	0.60%	0.34%	0.61%	0.0%	0.0%	0.0%	3.07%	0.0%	0.0%	0.0%	0.32%	0.98%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	481	5	1	5	4	8	11	2	2	4	4	7	15	4	22	7	10	13	16	14	1	8	3	1	3	3	0	0	3	3	4	2	12	7	9	3	8	7	2	9	21	12	16	2	10	3	4	4	19	9	20	4	9	7	9	12	12	6	17	10	19	1	0	2	0	2	0	0	3	2	2	0	0	2	0	0					
		1.03%	1.14%	0.21%	0.88%	0.54%	1.30%	1.92%	0.68%	0.40%	1.49%	1.23%	1.18%	1.54%	0.64%	1.63%	0.66%	1.78%	1.28%	1.04%	1.66%	0.38%	1.28%	0.41%	0.25%	0.27%	1.09%	0.0%	0.0%	0.75%	0.70%	1.05%	0.35%	1.64%	0.89%	1.20%	0.46%	2.56%	1.43%	0.54%	1.26%	1.70%	1.22%	1.29%	0.67%	0.95%	0.29%	0.35%	0.49%	2.54%	0.67%	1.90%	0.65%	0.75%	1.02%	1.56%	1.43%	0.93%	0.96%	1.72%	0.86%	1.66%	0.22%	0.0%	1.16%	0.0%	1.80%	0.0%	0.0%	0.98%	0.65%	1.75%	0.0%	0.0%	0.70%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	93	0	1	1	1	1	0	3	3	1	2	0	5	2	2	4	1	1	1	3	0	1	1	2	0	1	0	0	1	5	0	0	2	0	1	1	1	1	0	1	4	1	1	1	3	0	4	1	1	1	1	3	2	1	0	5	0	1	0	6	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0					
		0.19%	0.0%	0.21%	0.17%	0.13%	0.16%	0.0%	1.02%	0.60%	0.37%	0.61%	0.0%	0.51%	0.32%	0.14%	0.37%	0.17%	0.09%	0.06%	0.35%	0.0%	0.16%	0.13%	0.50%	0.0%	0.36%	0.0%	0.0%	0.25%	1.16%	0.0%	0.0%	0.27%	0.0%	0.13%	0.15%	0.32%	0.20%	0.0%	0.14%	0.32%	0.10%	0.08%	0.33%	0.28%	0.0%	0.35%	0.12%	0.13%	0.07%	0.09%	0.49%	0.16%	0.14%	0.0%	0.59%	0.0%	0.16%	0.0%	0.52%	0.17%	0.22%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.04%	0.35%	0.68%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	146	4	4	2	1	0	4	0	0	2	0	1	3	2	1	4	0	1	2	2	0	2	1	1	2	1	2	2	0	1	2	5	2	2	3	1	1	1	1	8	9	4	1	0	7	2	4	3	4	6	3	0	3	3	1	1	5	2	4	4	2	1	1	0	0	0	0	0	0	0	1	0	0	1	1	2					
		0.31%	0.91%	0.86%	0.35%	0.13%	0.0%	0.70%	0.0%	0.0%	0.74%	0.0%	0.16%	0.30%	0.32%	0.07%	0.37%	0.0%	0.09%	0.13%	0.23%	0.0%	0.32%	0.13%	0.25%	0.18%	0.36%	0.81%	0.57%	0.0%	0.23%	0.52%	0.88%	0.27%	0.25%	0.40%	0.15%	0.32%	0.20%	0.27%	1.12%	0.72%	0.40%	0.08%	0.0%	0.66%	0.19%	0.35%	0.36%	0.53%	0.45%	0.28%	0.0%	0.25%	0.44%	0.17%	0.11%	0.38%	0.32%	0.40%	0.34%	0.17%	0.22%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.35%	0.68%	0.90%					
32	"15. ""Партия СЛОН"""	339	4	4	8	8	0	3	0	1	2	3	6	2	1	11	6	2	12	9	3	4	3	6	2	2	1	2	1	5	0	6	7	9	9	9	8	4	5	2	2	3	5	7	1	13	15	12	11	9	12	10	3	20	5	3	4	8	6	5	3	4	1	0	0	1	0	2	1	0	0	0	0	1	0	0	2					
		0.72%	0.91%	0.86%	1.40%	1.08%	0.0%	0.52%	0.0%	0.20%	0.74%	0.92%	1.01%	0.20%	0.16%	0.81%	0.56%	0.35%	1.18%	0.58%	0.35%	1.53%	0.48%	0.82%	0.50%	0.18%	0.36%	0.81%	0.28%	1.25%	0.0%	1.57%	1.23%	1.23%	1.15%	1.20%	1.25%	1.28%	1.02%	0.54%	0.28%	0.24%	0.51%	0.56%	0.33%	1.24%	1.48%	1.05%	1.35%	1.20%	0.90%	0.95%	0.49%	1.68%	0.73%	0.52%	0.47%	0.62%	0.96%	0.50%	0.26%	0.35%	0.22%	0.0%	0.0%	1.53%	0.0%	0.92%	0.82%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.0%	0.90%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3005	20	20	50	67	33	36	24	49	18	21	45	77	44	106	80	25	39	90	73	13	45	33	26	19	21	22	28	38	38	28	63	58	44	88	53	18	63	28	48	68	65	64	20	66	86	83	35	64	116	66	37	53	40	32	50	86	48	30	44	61	3	7	9	5	8	8	9	12	13	3	0	4	5	4	10					
		6.44%	4.57%	4.31%	8.80%	9.05%	5.38%	6.31%	8.21%	9.87%	6.71%	6.48%	7.62%	7.90%	7.06%	7.86%	7.54%	4.47%	3.85%	5.89%	8.68%	5.0%	7.22%	4.55%	6.56%	1.77%	7.69%	9.01%	8.0%	9.5%	8.87%	7.36%	11.09%	7.94%	5.63%	11.78%	8.28%	5.76%	12.93%	7.60%	6.77%	5.51%	6.64%	5.19%	6.71%	6.29%	8.53%	7.26%	4.31%	8.57%	8.71%	6.27%	6.05%	4.47%	5.87%	5.57%	5.95%	6.67%	7.68%	3.04%	3.81%	5.34%	0.67%	2.36%	5.26%	7.69%	7.20%	3.70%	7.43%	3.92%	4.26%	2.63%	0.0%	8.16%	1.77%	2.73%	4.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	122	1	0	4	1	0	0	0	3	0	3	3	2	3	2	1	1	2	3	1	1	1	1	0	5	0	0	0	0	2	2	1	1	0	2	1	2	0	0	4	3	1	5	0	2	2	1	2	1	1	6	2	6	2	0	0	1	2	6	3	3	3	4	0	1	1	0	2	0	3	0	0	0	1	3	2					
		0.26%	0.22%	0.0%	0.70%	0.13%	0.0%	0.0%	0.0%	0.60%	0.0%	0.92%	0.50%	0.20%	0.48%	0.14%	0.09%	0.17%	0.19%	0.19%	0.11%	0.38%	0.16%	0.13%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.46%	0.52%	0.17%	0.13%	0.0%	0.26%	0.15%	0.64%	0.0%	0.0%	0.56%	0.24%	0.10%	0.40%	0.0%	0.19%	0.19%	0.08%	0.24%	0.13%	0.07%	0.57%	0.32%	0.50%	0.29%	0.0%	0.0%	0.07%	0.32%	0.60%	0.26%	0.26%	0.67%	1.35%	0.0%	1.53%	0.90%	0.0%	1.65%	0.0%	0.98%	0.0%	0.0%	0.0%	0.35%	2.05%	0.90%					
