Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Вязниковская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №1086									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1120	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	20	20	20	20	20	20	10	20	10	10	10	10	20	20	20	20	20	10	10	10	20	20	20	10	10	10	10	10	10	20	10	20	20	20	20	20	20	20	10	10	10	20	20	20	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	312	10	10	7	9	5	10	6	7	12	10	4	1	5	5	9	6	13	6	0	7	0	4	8	3	10	10	3	0	4	1	0	19	4	4	2	5	2	1	1	4	7	2	3	2	5	1	1	5	7	0	1	2	8	0	13	14	1	2	1	0	2	1	2	0	2	1	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	167	3	4	0	2	2	5	3	1	1	1	2	2	2	1	6	7	2	13	2	9	3	1	3	0	2	1	1	1	3	1	1	3	5	6	1	1	3	0	2	5	2	0	2	5	2	1	3	0	4	0	3	1	3	0	4	5	2	3	1	1	1	8	2	1	0	0	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	808	10	10	13	11	15	10	14	13	8	10	16	19	15	15	11	14	7	4	10	13	20	16	12	17	10	0	17	10	6	9	10	1	16	16	18	15	8	9	9	16	13	18	7	8	5	9	9	5	13	10	19	18	12	20	7	6	19	8	9	10	18	19	18	10	8	9	10	10	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	1	4	3	1	3	0	1	1	3	2	1	0	1	4	1	4	4	0	0	2	1	0	1	0	0	1	0	0	0	3	0	8	11	7	2	2	0	0	0	0	1	0	0	5	1	0	0	2	1	1	0	1	1	0	0	2	2	1	0	0	0	0	2	1	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	386	15	6	14	4	7	7	7	7	17	16	13	6	9	10	9	20	16	2	8	7	6	5	7	2	6	3	5	2	1	2	1	11	12	10	7	1	1	3	5	3	3	1	5	3	0	2	1	2	8	1	5	5	6	1	6	3	11	2	1	1	9	4	1	3	5	0	1	1	2									
		1.54%	2.13%	0.85%	2.01%	0.95%	1.12%	1.16%	1.24%	1.27%	2.41%	2.37%	2.65%	2.79%	2.01%	1.46%	1.47%	2.65%	2.30%	0.77%	6.72%	1.27%	1.50%	1.43%	1.82%	0.53%	2.15%	2.42%	1.42%	1.65%	0.48%	0.90%	0.65%	1.65%	2.03%	1.68%	2.16%	0.29%	0.78%	1.14%	2.92%	1.33%	0.51%	0.63%	1.62%	1.11%	0.00%	1.10%	0.75%	0.88%	0.98%	0.77%	1.12%	1.00%	1.02%	0.46%	2.56%	0.80%	2.55%	1.24%	0.79%	1.25%	3.25%	1.21%	0.60%	3.26%	2.56%	0.00%	0.39%	1.75%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1143	38	23	29	23	29	34	14	23	36	41	21	10	22	25	21	46	30	6	8	21	17	11	13	17	20	3	19	5	11	10	8	27	28	28	8	23	2	10	3	10	31	6	13	8	7	20	4	17	17	3	15	15	38	11	8	9	28	5	7	4	17	26	10	2	10	5	12	3	19									
		4.55%	5.39%	3.27%	4.17%	5.48%	4.64%	5.64%	2.47%	4.17%	5.10%	6.07%	4.28%	4.65%	4.92%	3.64%	3.43%	6.09%	4.30%	2.30%	6.72%	3.82%	4.26%	3.14%	3.38%	4.51%	7.17%	2.42%	5.40%	4.13%	5.29%	4.48%	5.23%	4.06%	4.74%	4.70%	2.47%	6.78%	1.56%	3.80%	1.75%	4.42%	5.28%	3.75%	4.22%	2.96%	6.48%	11.05%	3.01%	7.49%	2.09%	2.31%	3.36%	3.01%	6.47%	5.07%	3.42%	2.40%	6.48%	3.11%	5.56%	5.00%	6.14%	7.85%	5.99%	2.17%	5.13%	5.56%	4.67%	5.26%	9.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	733	26	22	32	8	31	13	18	15	20	21	18	4	17	24	15	34	23	3	4	20	14	10	14	9	11	1	15	1	8	11	3	11	14	16	5	3	11	1	4	8	15	2	6	6	0	1	5	6	15	1	16	9	13	4	6	11	12	5	3	3	7	11	9	4	5	3	6	4	7									
		2.92%	3.69%	3.13%	4.60%	1.90%	4.96%	2.16%	3.18%	2.72%	2.83%	3.11%	3.67%	1.86%	3.80%	3.50%	2.45%	4.50%	3.30%	1.15%	3.36%	3.64%	3.51%	2.86%	3.64%	2.39%	3.94%	0.81%	4.26%	0.83%	3.85%	4.93%	1.96%	1.65%	2.37%	2.68%	1.54%	0.88%	8.59%	0.38%	2.34%	3.54%	2.56%	1.25%	1.95%	2.22%	0.00%	0.55%	3.76%	2.64%	1.84%	0.77%	3.59%	1.81%	2.21%	1.84%	2.56%	2.93%	2.78%	3.11%	2.38%	3.75%	2.53%	3.32%	5.39%	4.35%	2.56%	3.33%	2.33%	7.02%	3.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12396	308	275	321	184	290	253	261	244	283	333	220	105	184	327	302	321	325	123	46	247	209	165	184	160	127	83	192	94	153	128	98	416	310	322	189	123	70	185	104	124	338	90	164	174	55	104	71	115	481	73	229	246	263	87	132	219	217	59	48	26	134	148	86	54	96	39	142	29	89									
		49.38%	43.69%	39.12%	46.12%	43.81%	46.40%	41.96%	46.11%	44.28%	40.08%	49.26%	44.81%	48.84%	41.16%	47.67%	49.27%	42.52%	46.63%	47.13%	38.66%	44.91%	52.38%	47.14%	47.79%	42.44%	45.52%	66.94%	54.55%	77.69%	73.56%	57.40%	64.05%	62.56%	52.45%	54.03%	58.33%	36.28%	54.69%	70.34%	60.82%	54.87%	57.58%	56.25%	53.25%	64.44%	50.93%	57.46%	53.38%	50.66%	59.09%	56.15%	51.35%	49.40%	44.80%	40.09%	56.41%	58.40%	50.23%	36.65%	38.10%	32.50%	48.38%	44.71%	51.50%	58.70%	49.23%	43.33%	55.25%	50.88%	43.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	172	7	9	4	1	6	10	4	2	7	4	6	3	2	4	9	7	2	1	0	5	5	1	2	2	0	2	2	0	2	2	1	3	3	8	1	0	1	2	1	1	3	0	5	0	0	0	0	2	3	0	3	5	5	1	0	0	3	0	0	0	1	4	0	0	1	0	3	0	1									
		0.69%	0.99%	1.28%	0.57%	0.24%	0.96%	1.66%	0.71%	0.36%	0.99%	0.59%	1.22%	1.40%	0.45%	0.58%	1.47%	0.93%	0.29%	0.38%	0.00%	0.91%	1.25%	0.29%	0.52%	0.53%	0.00%	1.61%	0.57%	0.00%	0.96%	0.90%	0.65%	0.45%	0.51%	1.34%	0.31%	0.00%	0.78%	0.76%	0.58%	0.44%	0.51%	0.00%	1.62%	0.00%	0.00%	0.00%	0.00%	0.88%	0.37%	0.00%	0.67%	1.00%	0.85%	0.46%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.36%	1.21%	0.00%	0.00%	0.51%	0.00%	1.17%	0.00%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	55	1	2	1	0	1	1	1	1	4	2	3	0	0	3	2	5	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	3	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	1	0	1	0	0	2	1	1	1	0									
		0.22%	0.14%	0.28%	0.14%	0.00%	0.16%	0.17%	0.18%	0.18%	0.57%	0.30%	0.61%	0.00%	0.00%	0.44%	0.33%	0.66%	0.14%	0.00%	0.84%	0.00%	0.00%	0.00%	0.26%	0.00%	0.36%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.30%	0.51%	0.00%	0.31%	0.29%	0.00%	0.38%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.22%	0.40%	0.17%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	1.25%	0.00%	0.30%	0.00%	0.00%	1.03%	1.11%	0.39%	1.75%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4532	134	138	130	102	141	130	116	114	130	85	91	28	95	121	94	129	131	54	32	122	75	80	90	90	65	18	61	11	18	26	22	88	81	85	45	69	23	31	25	50	75	28	58	48	18	34	22	34	123	28	67	97	75	42	46	63	83	33	29	28	61	57	35	12	39	21	52	8	46									
		18.05%	19.01%	19.63%	18.68%	24.29%	22.56%	21.56%	20.49%	20.69%	18.41%	12.57%	18.53%	13.02%	21.25%	17.64%	15.33%	17.09%	18.79%	20.69%	26.89%	22.18%	18.80%	22.86%	23.38%	23.87%	23.30%	14.52%	17.33%	9.09%	8.65%	11.66%	14.38%	13.23%	13.71%	14.26%	13.89%	20.35%	17.97%	11.79%	14.62%	22.12%	12.78%	17.50%	18.83%	17.78%	16.67%	18.78%	16.54%	14.98%	15.11%	21.54%	15.02%	19.48%	12.78%	19.35%	19.66%	16.80%	19.21%	20.50%	23.02%	35.00%	22.02%	17.22%	20.96%	13.04%	20.00%	23.33%	20.23%	14.04%	22.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	118	3	4	6	3	5	4	6	6	8	2	4	0	2	6	3	5	2	0	1	7	6	2	1	2	1	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	4	0	1	0	0	3	0	0	2	1	0	0	3	0	0	0	0	0	0	0	1	4	1	0	1	0	2	0	0									
		0.47%	0.43%	0.57%	0.86%	0.71%	0.80%	0.66%	1.06%	1.09%	1.13%	0.30%	0.81%	0.00%	0.45%	0.87%	0.49%	0.66%	0.29%	0.00%	0.84%	1.27%	1.50%	0.57%	0.26%	0.53%	0.36%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.15%	0.17%	0.00%	0.62%	0.29%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.32%	0.00%	0.00%	1.66%	0.00%	0.00%	0.25%	0.77%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	1.21%	0.60%	0.00%	0.51%	0.00%	0.78%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	177	4	6	8	2	8	6	6	5	10	3	8	1	6	7	2	14	5	6	0	5	2	0	3	1	0	0	0	1	3	0	0	5	7	6	2	4	0	1	0	0	4	0	3	0	1	0	1	1	4	2	1	1	5	1	1	2	0	0	0	0	0	1	0	1	1	0	0	0	0									
		0.71%	0.57%	0.85%	1.15%	0.48%	1.28%	0.99%	1.06%	0.91%	1.42%	0.44%	1.63%	0.47%	1.34%	1.02%	0.33%	1.85%	0.72%	2.30%	0.00%	0.91%	0.50%	0.00%	0.78%	0.27%	0.00%	0.00%	0.00%	0.83%	1.44%	0.00%	0.00%	0.75%	1.18%	1.01%	0.62%	1.18%	0.00%	0.38%	0.00%	0.00%	0.68%	0.00%	0.97%	0.00%	0.93%	0.00%	0.75%	0.44%	0.49%	1.54%	0.22%	0.20%	0.85%	0.46%	0.43%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	1.09%	0.51%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0									
		0.06%	0.14%	0.28%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.16%	0.00%	0.00%	0.00%	0.84%	0.18%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	1.75%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	227	8	9	8	2	4	8	6	11	6	8	9	4	2	4	5	10	8	2	0	3	4	1	3	3	1	1	2	0	1	1	0	1	9	5	9	2	1	0	1	0	8	2	1	0	1	1	0	1	14	0	5	5	3	0	0	2	6	3	1	0	0	1	0	1	6	1	2	0	1									
		0.90%	1.13%	1.28%	1.15%	0.48%	0.64%	1.33%	1.06%	1.99%	0.85%	1.18%	1.83%	1.86%	0.45%	0.58%	0.82%	1.32%	1.15%	0.77%	0.00%	0.55%	1.00%	0.29%	0.78%	0.80%	0.36%	0.81%	0.57%	0.00%	0.48%	0.45%	0.00%	0.15%	1.52%	0.84%	2.78%	0.59%	0.78%	0.00%	0.58%	0.00%	1.36%	1.25%	0.32%	0.00%	0.93%	0.55%	0.00%	0.44%	1.72%	0.00%	1.12%	1.00%	0.51%	0.00%	0.00%	0.53%	1.39%	1.86%	0.79%	0.00%	0.00%	0.30%	0.00%	1.09%	3.08%	1.11%	0.78%	0.00%	0.49%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3161	93	126	98	56	60	69	75	73	105	115	55	27	58	89	86	91	72	43	12	76	37	45	39	55	34	10	41	7	6	34	5	53	67	71	36	81	17	22	13	14	63	23	32	14	14	7	18	42	81	15	69	75	125	52	28	41	51	35	29	11	36	36	17	5	13	11	24	7	21									
		12.59%	13.19%	17.92%	14.08%	13.33%	9.60%	11.44%	13.25%	13.25%	14.87%	17.01%	11.20%	12.56%	12.98%	12.97%	14.03%	12.05%	10.33%	16.48%	10.08%	13.82%	9.27%	12.86%	10.13%	14.59%	12.19%	8.06%	11.65%	5.79%	2.88%	15.25%	3.27%	7.97%	11.34%	11.91%	11.11%	23.89%	13.28%	8.37%	7.60%	6.19%	10.73%	14.38%	10.39%	5.19%	12.96%	3.87%	13.53%	18.50%	9.95%	11.54%	15.47%	15.06%	21.29%	23.96%	11.97%	10.93%	11.81%	21.74%	23.02%	13.75%	12.99%	10.88%	10.18%	5.43%	6.67%	12.22%	9.34%	12.28%	10.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	1	4	2	0	4	3	1	1	5	4	3	2	1	3	1	1	2	2	0	2	1	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	3	1	3	2	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1									
		0.27%	0.14%	0.57%	0.29%	0.00%	0.64%	0.50%	0.18%	0.18%	0.71%	0.59%	0.61%	0.93%	0.22%	0.44%	0.16%	0.13%	0.29%	0.77%	0.00%	0.36%	0.25%	0.00%	0.26%	0.00%	0.72%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.78%	0.00%	0.00%	0.00%	0.17%	0.00%	0.32%	0.00%	0.93%	0.00%	0.00%	0.00%	0.25%	0.00%	0.67%	0.20%	0.51%	0.92%	0.00%	0.27%	0.23%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.49%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1367	45	61	28	23	34	50	40	35	53	32	24	9	32	45	45	46	61	12	6	20	10	24	20	29	8	1	8	0	4	6	15	40	43	41	18	19	1	3	12	6	29	4	13	12	9	5	8	5	52	5	22	26	24	13	4	11	12	13	5	3	9	21	8	6	12	7	4	2	14									
		5.45%	6.38%	8.68%	4.02%	5.48%	5.44%	8.29%	7.07%	6.35%	7.51%	4.73%	4.89%	4.19%	7.16%	6.56%	7.34%	6.09%	8.75%	4.60%	5.04%	3.64%	2.51%	6.86%	5.19%	7.69%	2.87%	0.81%	2.27%	0.00%	1.92%	2.69%	9.80%	6.02%	7.28%	6.88%	5.56%	5.60%	0.78%	1.14%	7.02%	2.65%	4.94%	2.50%	4.22%	4.44%	8.33%	2.76%	6.02%	2.20%	6.39%	3.85%	4.93%	5.22%	4.09%	5.99%	1.71%	2.93%	2.78%	8.07%	3.97%	3.75%	3.25%	6.34%	4.79%	6.52%	6.15%	7.78%	1.56%	3.51%	6.80%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
