Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
11	Число полученных открепительных  удостоверений	2660	0	0	0	0	0	0	0	0	0	35	30	20	30	30	35	0	35	35	35	30	35	35	30	30	30	35	20	20	35	35	35	35	35	35	35	30	30	30	35	35	35	35	35	35	30	35	30	30	35	35	35	30	35	35	35	35	35	30	35	30	10	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	30	30	30	30	35	30	30	20	30	10	30	20	0					
12	Число выданных открепительных удостоверений	1067	0	0	0	0	0	0	0	0	0	14	16	9	12	20	26	0	13	18	15	17	24	22	5	5	5	31	11	3	15	28	9	13	17	9	8	6	13	5	16	20	10	8	15	26	4	13	8	6	10	13	15	4	13	21	10	9	12	6	16	9	0	23	13	18	12	16	23	21	17	16	15	14	20	8	13	16	17	20	16	13	11	5	1	10	6	13	2	2	8	10	4	11	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1455	11	57	63	16	9	7	8	22	9	9	18	9	2	23	20	119	30	13	12	11	13	23	2	8	9	12	5	0	18	22	20	26	54	17	21	5	6	11	15	7	13	17	22	10	20	12	14	13	17	22	11	5	18	26	8	7	10	11	9	11	52	12	13	22	13	6	20	20	11	29	14	11	14	20	20	4	5	20	11	12	9	7	6	4	2	8	2	7	6	6	11	5	3	12					
14	Число неиспользованных открепительных удостоверений	1593	0	0	0	0	0	0	0	0	0	21	14	11	18	10	9	0	22	17	20	13	11	13	25	25	25	4	9	17	20	7	26	22	18	26	27	24	17	25	19	15	25	27	20	9	26	22	22	24	25	22	20	26	22	14	25	26	23	24	19	21	10	12	22	17	23	19	12	14	18	19	20	21	15	27	22	19	18	15	19	22	24	25	29	20	24	22	28	28	12	20	6	19	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	92	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	2	0	1	2	2	7	2	2	0	3	0	0	0	1	2	2	0	2	1	2	0	3	1	0	0	0	1	1	0	2	0	0	1	1	2	1	1	0	0	0	3	0	4	1	1	3	1	4	1	1	2	1	0	0	1	0	2	1	3	2	1	1	2	0	2	1	0	0	1	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																					
18	. Глазьев Сергей Юрьевич	6106	12	28	9	17	15	6	6	6	3	96	76	38	52	90	112	1	116	91	93	64	114	74	21	16	36	81	17	12	92	129	66	61	46	78	41	31	62	73	95	104	83	79	90	106	38	91	73	60	73	112	111	49	95	93	108	67	56	32	103	57	11	131	90	128	112	117	103	79	102	66	109	74	80	81	83	79	102	86	109	62	74	64	18	55	39	35	39	49	23	59	35	39	15	2					
		6.41%	5.94%	5.47%	4.09%	7.08%	12.40%	6.12%	5.61%	6.12%	2.63%	7.56%	8.60%	7.04%	8.28%	7.19%	8.02%	0.43%	8.85%	6.50%	7.43%	5.82%	7.54%	6.30%	5.45%	3.29%	6.08%	5.65%	4.09%	5.38%	6.49%	7.83%	6.16%	5.89%	4.85%	7.06%	3.87%	3.50%	5.76%	6.90%	6.22%	7.33%	6.16%	7.29%	6.31%	6.76%	4.38%	6.74%	6.30%	6.15%	5.79%	8.80%	7.46%	7.08%	7.34%	6.26%	7.99%	5.45%	4.94%	4.60%	6.92%	5.91%	6.08%	8.67%	6.95%	7.78%	7.58%	7.59%	6.91%	5.97%	6.93%	5.05%	7.29%	6.19%	5.39%	5.76%	6.89%	5.67%	8.05%	5.93%	8.26%	5.85%	6.15%	8.71%	2.06%	5.55%	4.25%	2.43%	4.46%	5.38%	4.14%	5.57%	10.36%	6.12%	2.99%	2.08%					
19	. Малышкин Олег Александрович	2168	4	8	5	2	3	0	5	1	2	30	23	4	9	17	16	16	19	22	26	21	23	28	8	18	23	43	15	8	36	38	28	33	16	34	27	8	15	34	31	44	15	22	39	23	26	20	22	21	35	34	26	14	35	45	25	31	20	27	31	26	4	34	29	26	25	37	17	32	44	29	27	26	46	45	30	39	24	29	30	32	23	5	29	18	26	45	20	24	28	28	7	10	19	1					
		2.28%	1.98%	1.56%	2.27%	0.83%	2.48%	0.00%	4.67%	1.02%	1.75%	2.36%	2.60%	0.74%	1.43%	1.36%	1.15%	6.96%	1.45%	1.57%	2.08%	1.91%	1.52%	2.39%	2.08%	3.70%	3.89%	3.00%	3.61%	3.59%	2.54%	2.31%	2.61%	3.19%	1.69%	3.08%	2.55%	0.90%	1.39%	3.21%	2.03%	3.10%	1.11%	2.03%	2.73%	1.47%	3.00%	1.48%	1.90%	2.15%	2.78%	2.67%	1.75%	2.02%	2.70%	3.03%	1.85%	2.52%	1.76%	3.88%	2.08%	2.69%	2.21%	2.25%	2.24%	1.58%	1.69%	2.40%	1.14%	2.42%	2.99%	2.22%	1.81%	2.17%	3.10%	3.20%	2.49%	2.80%	1.89%	2.00%	2.27%	3.02%	1.91%	0.68%	3.32%	1.82%	2.84%	3.12%	2.29%	2.63%	5.04%	2.64%	2.07%	1.57%	3.78%	1.04%					
20	. Миронов Сергей Михайлович	919	7	4	3	6	0	0	0	2	0	10	6	10	5	13	14	3	17	13	15	9	11	14	2	1	1	7	5	1	22	21	6	10	10	25	14	12	6	6	13	11	13	6	6	8	11	9	18	7	11	5	11	10	14	13	12	13	8	7	19	8	3	19	13	6	13	20	15	18	16	19	19	10	16	14	11	16	13	18	12	8	12	2	5	6	4	9	13	10	3	6	7	6	12	1					
		0.96%	3.47%	0.78%	1.36%	2.50%	0.00%	0.00%	0.00%	2.04%	0.00%	0.79%	0.68%	1.85%	0.80%	1.04%	1.00%	1.30%	1.30%	0.93%	1.20%	0.82%	0.73%	1.19%	0.52%	0.21%	0.17%	0.49%	1.20%	0.45%	1.55%	1.27%	0.56%	0.97%	1.05%	2.26%	1.32%	1.36%	0.56%	0.57%	0.85%	0.78%	0.97%	0.55%	0.42%	0.51%	1.27%	0.67%	1.55%	0.72%	0.87%	0.39%	0.74%	1.45%	1.08%	0.87%	0.89%	1.06%	0.71%	1.01%	1.28%	0.83%	1.66%	1.26%	1.00%	0.36%	0.88%	1.30%	1.01%	1.36%	1.09%	1.45%	1.27%	0.84%	1.08%	1.00%	0.91%	1.15%	1.03%	1.24%	0.91%	0.75%	1.00%	0.27%	0.57%	0.61%	0.44%	0.62%	1.49%	1.10%	0.54%	0.57%	2.07%	0.94%	2.39%	1.04%					
21	. Путин Владимир Владимирович	62943	133	315	88	157	81	71	73	72	81	814	520	328	386	775	793	174	833	934	781	709	972	780	266	348	425	982	301	162	935	1018	723	683	694	715	720	580	689	700	1007	879	861	734	912	1066	578	878	730	651	863	808	975	415	822	989	870	823	787	442	954	644	122	978	895	1097	908	992	1003	869	1023	925	961	809	1000	977	837	912	857	973	864	722	818	449	667	683	604	1011	616	623	406	786	212	446	329	70					
		66.09%	65.84%	61.52%	40.00%	65.42%	66.94%	72.45%	68.22%	73.47%	71.05%	64.09%	58.82%	60.74%	61.46%	61.95%	56.81%	75.65%	63.54%	66.76%	62.43%	64.51%	64.29%	66.44%	69.09%	71.46%	71.79%	68.48%	72.36%	72.65%	65.94%	61.77%	67.51%	65.99%	73.21%	64.71%	67.92%	65.54%	64.03%	66.16%	65.90%	61.99%	63.92%	67.71%	63.96%	67.94%	66.59%	65.04%	63.04%	66.77%	68.44%	63.47%	65.57%	59.97%	63.47%	66.55%	64.40%	66.91%	69.40%	63.51%	64.11%	66.74%	67.40%	64.73%	69.11%	66.69%	61.48%	64.37%	67.27%	65.68%	69.50%	70.72%	64.28%	67.64%	67.43%	69.44%	69.52%	65.42%	67.64%	67.06%	65.45%	68.11%	68.00%	61.09%	76.40%	68.92%	65.87%	70.06%	70.48%	68.39%	73.02%	74.22%	62.72%	70.02%	65.54%	72.92%					
22	. Хакамада Ирина Муцуовна	5296	6	11	2	13	1	3	3	0	10	88	61	50	52	111	114	8	64	85	92	73	96	63	19	17	21	83	17	8	71	99	65	67	49	68	48	44	58	57	82	74	91	87	78	71	51	63	76	50	80	66	93	26	74	73	75	62	58	38	95	63	13	81	71	75	93	100	75	94	79	69	75	85	86	93	80	96	68	71	49	68	87	58	25	29	37	46	20	42	16	38	14	21	17	2					
		5.56%	2.97%	2.15%	0.91%	5.42%	0.83%	3.06%	2.80%	0.00%	8.77%	6.93%	6.90%	9.26%	8.28%	8.87%	8.17%	3.48%	4.88%	6.08%	7.35%	6.64%	6.35%	5.37%	4.94%	3.49%	3.55%	5.79%	4.09%	3.59%	5.01%	6.01%	6.07%	6.47%	5.17%	6.15%	4.53%	4.97%	5.39%	5.39%	5.37%	5.22%	6.76%	8.03%	5.47%	4.53%	5.88%	4.67%	6.56%	5.13%	6.34%	5.18%	6.25%	3.76%	5.71%	4.91%	5.55%	5.04%	5.11%	5.46%	6.38%	6.53%	7.18%	5.36%	5.48%	4.56%	6.30%	6.49%	5.03%	7.11%	5.37%	5.28%	5.02%	7.11%	5.80%	6.61%	6.64%	6.89%	5.37%	4.89%	3.71%	6.42%	7.23%	7.89%	2.86%	2.93%	4.03%	3.19%	2.29%	4.61%	2.88%	3.59%	4.14%	3.30%	3.39%	2.08%					
23	. Харитонов Николай Михайлович	13761	34	129	110	40	17	16	16	13	13	177	133	86	101	181	279	0	211	201	192	189	233	180	49	71	74	177	24	19	204	257	139	127	97	128	161	175	191	139	227	251	241	103	233	238	131	235	197	167	151	184	212	142	208	207	204	201	142	113	236	123	17	207	118	235	252	208	214	174	148	165	230	139	185	138	111	182	142	201	200	121	139	121	105	178	183	247	136	122	65	105	47	88	91	18					
		14.45%	16.83%	25.20%	50.00%	16.67%	14.05%	16.33%	14.95%	13.27%	11.40%	13.94%	15.05%	15.93%	16.08%	14.47%	19.99%	0.00%	16.09%	14.37%	15.35%	17.20%	15.41%	15.33%	12.73%	14.58%	12.50%	12.34%	5.77%	8.52%	14.39%	15.59%	12.98%	12.27%	10.23%	11.58%	15.19%	19.77%	17.75%	13.14%	14.86%	17.70%	17.89%	9.50%	16.34%	15.17%	15.09%	17.41%	17.01%	17.13%	11.97%	14.45%	14.26%	20.52%	16.06%	13.93%	15.10%	16.34%	12.52%	16.24%	15.86%	12.75%	9.39%	13.70%	9.11%	14.29%	17.06%	13.50%	14.35%	13.15%	10.05%	12.61%	15.38%	11.62%	12.47%	9.81%	9.22%	13.06%	11.21%	13.85%	15.15%	11.42%	11.55%	16.46%	12.03%	17.96%	19.96%	17.12%	15.56%	13.39%	11.69%	9.92%	13.91%	13.81%	18.13%	18.75%					
																																																																																																					
24	Против всех	3600	2	13	3	5	3	2	3	4	5	45	64	23	21	58	60	26	45	44	48	31	60	32	17	15	11	60	33	9	52	80	39	50	36	43	45	31	50	44	65	49	36	53	65	52	29	47	35	14	47	58	53	32	41	60	51	33	53	33	44	38	11	55	74	73	67	66	53	43	56	32	67	51	64	49	50	64	53	69	47	43	47	30	19	16	13	40	21	35	10	28	16	19	17	2					
		3.78%	0.99%	2.54%	1.36%	2.08%	2.48%	2.04%	2.80%	4.08%	4.39%	3.54%	7.24%	4.26%	3.34%	4.64%	4.30%	11.30%	3.43%	3.15%	3.84%	2.82%	3.97%	2.73%	4.42%	3.08%	1.86%	4.18%	7.93%	4.04%	3.67%	4.85%	3.64%	4.83%	3.80%	3.89%	4.25%	3.50%	4.65%	4.16%	4.25%	3.46%	2.67%	4.89%	4.56%	3.31%	3.34%	3.48%	3.02%	1.44%	3.73%	4.56%	3.56%	4.62%	3.17%	4.04%	3.77%	2.68%	4.67%	4.74%	2.96%	3.94%	6.08%	3.64%	5.71%	4.44%	4.54%	4.28%	3.55%	3.25%	3.80%	2.45%	4.48%	4.26%	4.32%	3.48%	4.15%	4.59%	4.18%	4.76%	3.56%	4.06%	3.91%	4.08%	2.18%	1.61%	1.42%	2.77%	2.40%	3.84%	1.80%	2.64%	4.73%	2.98%	3.39%	2.08%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
