Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Махачкала, Кировская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1914									
		0.22%	0.22%	0.05%	0.16%	0.12%	0.05%	0.13%	0.27%	0.14%	0.35%	0.21%	0.16%	0.16%	0.17%	0.18%	0.17%	0.24%	0.47%	0.31%	0.22%	0.18%	0.18%	0.18%	0.27%	0.20%	0.23%	0.17%	0.22%	0.16%	0.21%	0.10%	0.18%	0.25%	0.06%	0.21%	0.33%	0.19%	0.18%	0.28%	0.31%	0.14%	0.27%	0.69%	0.41%	0.18%	0.22%	0.22%	0.23%	0.43%	0.00%	0.08%	1.77%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	316	6	59	11	3	9	9	2	8	10	2	5	5	3	6	3	5	4	10	2	9	3	12	6	2	3	5	7	4	3	1	2	1	3	1	2	2	3	1	5	5	6	9	7	2	4	1	3	5	0	2	35									
		0.38%	0.44%	2.91%	0.60%	0.18%	0.45%	0.58%	0.13%	0.56%	0.88%	0.14%	0.27%	0.26%	0.13%	0.26%	0.17%	0.24%	0.31%	0.52%	0.15%	0.53%	0.14%	0.72%	0.33%	0.10%	0.14%	0.29%	0.38%	0.21%	0.15%	0.05%	0.12%	0.06%	0.18%	0.05%	0.22%	0.09%	0.18%	0.07%	0.31%	0.34%	0.41%	1.04%	0.58%	0.12%	0.29%	0.05%	0.17%	0.43%	0.00%	0.08%	6.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	180	3	3	2	1	2	2	3	3	3	3	3	3	3	3	2	3	5	7	3	4	3	4	4	3	3	4	3	5	3	4	5	4	1	4	3	6	5	6	4	4	1	5	5	2	3	3	3	3	0	4	12									
		0.21%	0.22%	0.15%	0.11%	0.06%	0.10%	0.13%	0.20%	0.21%	0.26%	0.21%	0.16%	0.16%	0.13%	0.13%	0.11%	0.15%	0.39%	0.36%	0.22%	0.24%	0.14%	0.24%	0.22%	0.15%	0.14%	0.23%	0.16%	0.26%	0.15%	0.21%	0.30%	0.25%	0.06%	0.21%	0.33%	0.28%	0.30%	0.42%	0.25%	0.27%	0.07%	0.58%	0.41%	0.12%	0.22%	0.16%	0.17%	0.26%	0.00%	0.17%	2.12%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	146	3	3	4	2	4	4	3	3	3	4	2	3	1	2	2	1	3	7	3	5	2	1	3	2	2	2	4	1	2	1	6	2	1	1	1	2	1	1	5	2	1	6	5	5	1	4	1	2	0	2	15									
		0.17%	0.22%	0.15%	0.22%	0.12%	0.20%	0.26%	0.20%	0.21%	0.26%	0.28%	0.11%	0.16%	0.04%	0.09%	0.11%	0.05%	0.23%	0.36%	0.22%	0.30%	0.09%	0.06%	0.16%	0.10%	0.09%	0.11%	0.22%	0.05%	0.10%	0.05%	0.37%	0.12%	0.06%	0.05%	0.11%	0.09%	0.06%	0.07%	0.31%	0.14%	0.07%	0.69%	0.41%	0.30%	0.07%	0.22%	0.06%	0.17%	0.00%	0.08%	2.65%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	199	3	1	3	1	2	1	4	2	4	4	3	3	3	4	3	5	5	5	3	5	4	4	4	4	6	5	3	4	5	4	4	5	1	3	6	2	3	5	5	3	4	5	5	7	3	3	4	5	0	4	15									
		0.24%	0.22%	0.05%	0.16%	0.06%	0.10%	0.06%	0.27%	0.14%	0.35%	0.28%	0.16%	0.16%	0.13%	0.18%	0.17%	0.24%	0.39%	0.26%	0.22%	0.30%	0.18%	0.24%	0.22%	0.20%	0.28%	0.29%	0.16%	0.21%	0.26%	0.21%	0.24%	0.31%	0.06%	0.15%	0.66%	0.09%	0.18%	0.35%	0.31%	0.20%	0.27%	0.58%	0.41%	0.42%	0.22%	0.16%	0.23%	0.43%	0.00%	0.17%	2.65%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	191	3	8	3	3	2	4	1	2	2	3	2	2	1	3	2	4	4	6	5	4	5	3	4	5	6	4	3	5	3	3	3	4	1	4	6	2	5	4	4	2	4	5	5	5	3	5	3	4	0	3	14									
		0.23%	0.22%	0.39%	0.16%	0.18%	0.10%	0.26%	0.07%	0.14%	0.18%	0.21%	0.11%	0.10%	0.04%	0.13%	0.11%	0.19%	0.31%	0.31%	0.37%	0.24%	0.23%	0.18%	0.22%	0.25%	0.28%	0.23%	0.16%	0.26%	0.15%	0.15%	0.18%	0.25%	0.06%	0.21%	0.66%	0.09%	0.30%	0.28%	0.25%	0.14%	0.27%	0.58%	0.41%	0.30%	0.22%	0.27%	0.17%	0.34%	0.00%	0.13%	2.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3014	37	192	134	75	57	37	44	15	16	32	106	90	78	217	64	101	38	88	28	31	61	51	128	54	44	42	24	40	37	13	12	14	30	117	11	79	68	73	53	24	138	28	39	130	27	30	49	21	0	76	21									
		3.59%	2.71%	9.47%	7.27%	4.61%	2.87%	2.37%	2.95%	1.04%	1.41%	2.21%	5.66%	4.69%	3.32%	9.51%	3.66%	4.91%	2.98%	4.58%	2.07%	1.84%	2.77%	3.06%	7.00%	2.70%	2.04%	2.40%	1.32%	2.12%	1.90%	0.67%	0.73%	0.87%	1.78%	6.03%	1.22%	3.72%	4.08%	5.10%	3.29%	1.62%	9.42%	3.24%	3.22%	7.87%	1.96%	1.63%	2.85%	1.79%	0.00%	3.23%	3.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	486	2	6	5	2	5	8	1	5	5	3	7	5	7	2	2	6	4	18	8	5	8	2	6	2	3	2	8	6	107	9	3	2	1	30	7	8	4	6	7	2	6	6	4	52	4	5	3	7	0	41	29									
		0.58%	0.15%	0.30%	0.27%	0.12%	0.25%	0.51%	0.07%	0.35%	0.44%	0.21%	0.37%	0.26%	0.30%	0.09%	0.11%	0.29%	0.31%	0.94%	0.59%	0.30%	0.36%	0.12%	0.33%	0.10%	0.14%	0.11%	0.44%	0.32%	5.48%	0.46%	0.18%	0.12%	0.06%	1.55%	0.77%	0.38%	0.24%	0.42%	0.43%	0.14%	0.41%	0.69%	0.33%	3.15%	0.29%	0.27%	0.17%	0.60%	0.00%	1.74%	5.13%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3215	7	352	21	2	33	16	10	31	5	10	8	16	776	17	19	7	54	16	36	69	18	11	10	30	35	82	39	84	76	65	67	49	15	48	52	112	100	86	110	19	29	91	57	46	25	78	80	44	0	147	5									
		3.83%	0.51%	17.37%	1.14%	0.12%	1.66%	1.03%	0.67%	2.15%	0.44%	0.69%	0.43%	0.83%	33.01%	0.75%	1.09%	0.34%	4.23%	0.83%	2.66%	4.09%	0.82%	0.66%	0.55%	1.50%	1.62%	4.69%	2.14%	4.44%	3.90%	3.34%	4.08%	3.06%	0.89%	2.48%	5.75%	5.27%	6.01%	6.01%	6.83%	1.28%	1.98%	10.52%	4.70%	2.79%	1.82%	4.24%	4.66%	3.76%	0.00%	6.24%	0.88%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
