Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Горячеключевская городская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017	УИК  1018	УИК  1019	УИК  1020	УИК  1021	УИК  1022	УИК  1023	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1099					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	258	10	10	5	4	10	5	16	5	8	4	1	2	3	2	5	3	4	18	9	8	3	8	10	7	6	13	4	17	2	5	7	44					
		1.09%	0.79%	1.64%	0.65%	0.31%	1.16%	0.41%	1.05%	0.40%	0.68%	0.26%	0.27%	1.83%	0.72%	1.70%	2.25%	0.84%	1.60%	2.47%	1.43%	0.94%	0.47%	0.94%	1.73%	0.85%	1.05%	2.97%	1.16%	1.61%	1.62%	3.20%	1.94%	1.99%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	343	19	16	20	26	24	28	32	25	31	23	8	0	1	0	3	3	0	3	5	11	9	6	3	9	4	7	7	11	2	2	5	0					
		1.45%	1.51%	2.63%	2.63%	2.07%	2.80%	2.29%	2.11%	2.02%	2.64%	1.52%	2.18%	0.0%	0.24%	0.0%	1.35%	0.84%	0.0%	0.41%	0.79%	1.30%	1.41%	0.70%	0.52%	1.09%	0.70%	1.60%	2.04%	1.04%	1.62%	1.28%	1.38%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	393	15	12	19	19	16	20	21	16	16	28	6	0	7	3	0	4	3	19	9	16	11	19	13	15	7	6	5	33	1	7	5	22					
		1.67%	1.19%	1.97%	2.50%	1.51%	1.87%	1.64%	1.38%	1.29%	1.36%	1.85%	1.63%	0.0%	1.69%	2.56%	0.0%	1.13%	1.20%	2.61%	1.43%	1.89%	1.72%	2.24%	2.26%	1.82%	1.22%	1.37%	1.46%	3.14%	0.81%	4.48%	1.38%	0.99%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	464	45	22	32	35	22	34	47	30	17	28	7	5	2	2	3	5	5	17	7	13	16	14	5	9	7	13	4	8	1	1	8	0					
		1.97%	3.58%	3.61%	4.22%	2.79%	2.57%	2.78%	3.10%	2.43%	1.45%	1.85%	1.91%	4.58%	0.48%	1.70%	1.35%	1.41%	2.00%	2.34%	1.11%	1.54%	2.50%	1.65%	0.86%	1.09%	1.22%	2.97%	1.16%	0.76%	0.81%	0.64%	2.22%	0.0%					
22	"5. ""За Русь Святую"""	104	6	1	0	7	5	5	5	8	13	3	0	2	6	0	0	0	0	5	0	5	2	2	3	2	2	0	4	9	0	1	2	6					
		0.44%	0.47%	0.16%	0.0%	0.55%	0.58%	0.41%	0.33%	0.64%	1.11%	0.19%	0.0%	1.83%	1.45%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.59%	0.31%	0.23%	0.52%	0.24%	0.35%	0.0%	1.16%	0.85%	0.0%	0.64%	0.55%	0.27%					
23	"6. ""Объединенная Российская партия ""Русь"""	65	6	1	2	6	4	4	4	1	8	3	0	0	1	0	2	0	1	0	0	3	2	5	2	1	0	2	1	4	2	0	0	0					
		0.27%	0.47%	0.16%	0.26%	0.47%	0.46%	0.32%	0.26%	0.08%	0.68%	0.19%	0.0%	0.0%	0.24%	0.0%	0.90%	0.0%	0.40%	0.0%	0.0%	0.35%	0.31%	0.59%	0.34%	0.12%	0.0%	0.45%	0.29%	0.38%	1.62%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	151	3	2	9	7	5	5	9	8	11	13	3	0	1	0	0	4	2	3	4	2	7	9	1	5	6	1	2	4	0	0	1	24					
		0.64%	0.23%	0.32%	1.18%	0.55%	0.58%	0.41%	0.59%	0.64%	0.94%	0.86%	0.81%	0.0%	0.24%	0.0%	0.0%	1.13%	0.80%	0.41%	0.63%	0.23%	1.09%	1.06%	0.17%	0.60%	1.05%	0.22%	0.58%	0.38%	0.0%	0.0%	0.27%	1.08%					
25	"8. ""Народно-республиканская партия России"""	40	1	0	0	0	2	3	1	2	2	3	1	0	2	1	0	0	1	2	0	5	0	1	0	0	3	2	3	2	1	1	1	0					
		0.17%	0.07%	0.0%	0.0%	0.0%	0.23%	0.24%	0.06%	0.16%	0.17%	0.19%	0.27%	0.0%	0.48%	0.85%	0.0%	0.0%	0.40%	0.27%	0.0%	0.59%	0.0%	0.11%	0.0%	0.0%	0.52%	0.45%	0.87%	0.19%	0.81%	0.64%	0.27%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	49	4	3	3	0	2	4	3	3	2	1	0	0	2	0	0	1	0	3	1	1	0	2	1	1	2	2	2	3	0	1	2	0					
		0.20%	0.31%	0.49%	0.39%	0.0%	0.23%	0.32%	0.19%	0.24%	0.17%	0.06%	0.0%	0.0%	0.48%	0.0%	0.0%	0.28%	0.0%	0.41%	0.15%	0.11%	0.0%	0.23%	0.17%	0.12%	0.35%	0.45%	0.58%	0.28%	0.0%	0.64%	0.55%	0.0%					
27	"10. ""Аграрная партия России"""	434	22	27	14	22	12	16	29	22	15	16	10	0	6	0	5	5	5	10	15	18	16	33	17	18	14	13	14	27	8	1	4	0					
		1.84%	1.75%	4.44%	1.84%	1.75%	1.40%	1.31%	1.91%	1.78%	1.28%	1.06%	2.73%	0.0%	1.45%	0.0%	2.25%	1.41%	2.00%	1.37%	2.39%	2.13%	2.50%	3.89%	2.95%	2.18%	2.45%	2.97%	4.09%	2.57%	6.50%	0.64%	1.11%	0.0%					
28	"11. ""Истинные патриоты России"""	29	0	1	2	0	1	1	0	0	0	0	0	0	2	0	4	0	1	10	1	0	0	0	0	0	0	1	0	1	0	2	2	0					
		0.12%	0.0%	0.16%	0.26%	0.0%	0.11%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	1.80%	0.0%	0.40%	1.37%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.09%	0.0%	1.28%	0.55%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	194	9	6	7	14	6	11	21	13	8	9	7	2	5	2	3	0	2	3	4	4	3	15	6	9	2	2	1	9	1	3	7	0					
		0.82%	0.71%	0.98%	0.92%	1.11%	0.70%	0.90%	1.38%	1.05%	0.68%	0.59%	1.91%	1.83%	1.21%	1.70%	1.35%	0.0%	0.80%	0.41%	0.63%	0.47%	0.47%	1.77%	1.04%	1.09%	0.35%	0.45%	0.29%	0.85%	0.81%	1.92%	1.94%	0.0%					
30	"13. ""Демократическая партия России"""	48	0	5	3	1	1	4	4	3	2	1	0	0	2	1	4	0	2	1	1	1	0	3	1	1	0	2	0	2	2	1	0	0					
		0.20%	0.0%	0.82%	0.39%	0.07%	0.11%	0.32%	0.26%	0.24%	0.17%	0.06%	0.0%	0.0%	0.48%	0.85%	1.80%	0.0%	0.80%	0.13%	0.15%	0.11%	0.0%	0.35%	0.17%	0.12%	0.0%	0.45%	0.0%	0.19%	1.62%	0.64%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	76	0	2	0	1	1	1	0	1	0	7	1	0	2	1	0	2	0	1	1	0	4	1	2	0	0	1	0	0	0	3	0	44					
		0.32%	0.0%	0.32%	0.0%	0.07%	0.11%	0.08%	0.0%	0.08%	0.0%	0.46%	0.27%	0.0%	0.48%	0.85%	0.0%	0.56%	0.0%	0.13%	0.15%	0.0%	0.62%	0.11%	0.34%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	1.92%	0.0%	1.99%					
32	"15. ""Партия СЛОН"""	13	2	0	0	1	0	0	2	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0					
		0.05%	0.15%	0.0%	0.0%	0.07%	0.0%	0.0%	0.13%	0.08%	0.0%	0.0%	0.27%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.11%	0.0%	0.0%	0.17%	0.0%	0.29%	0.0%	0.0%	0.0%	0.27%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1792	104	64	72	128	79	102	175	111	121	175	39	10	26	6	13	11	4	56	48	59	42	51	43	41	14	16	19	78	8	10	23	44					
		7.61%	8.28%	10.52%	9.49%	10.21%	9.23%	8.36%	11.56%	8.99%	10.34%	11.62%	10.65%	9.17%	6.29%	5.12%	5.85%	3.11%	1.60%	7.71%	7.66%	6.99%	6.58%	6.02%	7.47%	4.98%	2.45%	3.66%	5.55%	7.42%	6.50%	6.41%	6.38%	1.99%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	1	0	0	0	3	0	1	1	1	1	1	1	1	0	3	0	4	2	7	2	0	1	1	6	2	0	2	3	0	3	0	0					
		0.19%	0.07%	0.0%	0.0%	0.0%	0.35%	0.0%	0.06%	0.08%	0.08%	0.06%	0.27%	0.91%	0.24%	0.0%	1.35%	0.0%	1.60%	0.27%	1.11%	0.23%	0.0%	0.11%	0.17%	0.72%	0.35%	0.0%	0.58%	0.28%	0.0%	1.92%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2589	142	67	73	119	79	139	180	174	124	125	39	7	26	5	43	35	35	120	67	96	55	97	45	95	56	34	48	139	13	17	97	198					
		11.00%	11.30%	11.01%	9.63%	9.49%	9.23%	11.40%	11.89%	14.10%	10.59%	8.30%	10.65%	6.42%	6.29%	4.27%	19.36%	9.91%	14.05%	16.52%	10.70%	11.37%	8.62%	11.45%	7.82%	11.54%	9.82%	7.78%	14.03%	13.23%	10.56%	10.89%	26.94%	8.97%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	325	24	13	8	25	11	20	24	24	20	17	7	0	8	1	0	7	8	2	5	15	8	12	16	15	6	6	2	17	2	2	0	0					
		1.38%	1.91%	2.13%	1.05%	1.99%	1.28%	1.64%	1.58%	1.94%	1.70%	1.12%	1.91%	0.0%	1.93%	0.85%	0.0%	1.98%	3.21%	0.27%	0.79%	1.77%	1.25%	1.41%	2.78%	1.82%	1.05%	1.37%	0.58%	1.61%	1.62%	1.28%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	10188	583	232	293	486	286	490	620	469	493	595	148	57	191	65	45	136	91	248	227	329	244	311	199	297	230	178	163	472	41	74	137	1758					
		43.30%	46.41%	38.15%	38.65%	38.78%	33.45%	40.19%	40.97%	38.00%	42.13%	39.50%	40.43%	52.29%	46.24%	55.55%	20.27%	38.52%	36.54%	34.15%	36.26%	38.98%	38.24%	36.71%	34.60%	36.08%	40.35%	40.73%	47.66%	44.95%	33.33%	47.43%	38.05%	79.69%					
38	"21. ""Российская Конституционно-демократическая партия"""	57	18	1	1	5	0	2	5	1	1	1	2	0	0	1	0	0	0	0	5	2	1	2	4	1	1	0	0	1	1	0	1	0					
		0.24%	1.43%	0.16%	0.13%	0.39%	0.0%	0.16%	0.33%	0.08%	0.08%	0.06%	0.54%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.79%	0.23%	0.15%	0.23%	0.69%	0.12%	0.17%	0.0%	0.0%	0.09%	0.81%	0.0%	0.27%	0.0%					
39	"22. ""Развитие предпринимательства"""	66	2	7	6	1	2	5	5	5	3	7	1	0	0	0	0	0	2	6	2	0	1	2	1	1	1	0	0	6	0	0	0	0					
		0.28%	0.15%	1.15%	0.79%	0.07%	0.23%	0.41%	0.33%	0.40%	0.25%	0.46%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.80%	0.82%	0.31%	0.0%	0.15%	0.23%	0.17%	0.12%	0.17%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4731	174	85	161	292	251	278	214	274	226	351	53	15	104	24	81	117	61	162	149	210	185	218	177	237	176	119	43	152	32	17	27	66					
		20.11%	13.85%	13.98%	21.24%	23.30%	29.35%	22.80%	14.14%	22.20%	19.31%	23.30%	14.48%	13.76%	25.18%	20.51%	36.48%	33.14%	24.49%	22.31%	23.80%	24.88%	28.99%	25.73%	30.78%	28.79%	30.87%	27.23%	12.57%	14.47%	26.01%	10.89%	7.5%	2.99%					
																																							
41	Против всех	817	46	23	27	35	27	42	78	36	38	71	30	4	12	1	2	17	8	19	40	35	25	28	18	38	22	9	10	39	4	5	28	0					
		3.47%	3.66%	3.78%	3.56%	2.79%	3.15%	3.44%	5.15%	2.91%	3.24%	4.71%	8.19%	3.66%	2.90%	0.85%	0.90%	4.81%	3.21%	2.61%	6.38%	4.14%	3.91%	3.30%	3.13%	4.61%	3.85%	2.05%	2.92%	3.71%	3.25%	3.20%	7.77%	0.0%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
