Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Западная"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
19	. Малышкин Олег Александрович	3137	82	45	36	70	56	39	32	53	63	46	49	49	55	51	57	36	55	41	32	52	58	34	15	67	39	45	51	49	70	55	52	33	38	57	71	58	37	34	38	44	46	42	49	41	47	42	52	27	41	37	29	55	46	34	39	28	31	30	36	35	31	32	51	39	21	30	30	29	27	116					
		3.88%	5.24%	3.91%	3.03%	4.74%	4.16%	3.39%	4.28%	4.12%	4.32%	3.52%	6.36%	3.69%	5.75%	4.47%	4.49%	2.58%	7.04%	4.43%	4.75%	6.56%	7.32%	5.59%	9.93%	6.96%	4.01%	4.00%	3.58%	4.03%	6.02%	4.07%	6.05%	3.51%	3.71%	5.31%	5.21%	4.17%	2.85%	3.08%	3.26%	3.64%	3.07%	2.65%	3.05%	3.57%	3.00%	2.64%	3.68%	1.93%	3.16%	2.88%	1.89%	4.11%	3.88%	2.70%	3.24%	2.00%	2.14%	2.14%	2.30%	2.67%	2.94%	3.19%	3.31%	3.17%	2.31%	4.13%	4.73%	4.12%	4.71%	24.07%					
20	. Миронов Сергей Михайлович	651	11	18	10	6	11	10	7	13	11	12	8	13	6	5	10	8	5	7	7	10	3	4	1	12	9	10	11	11	6	12	1	12	8	9	9	12	9	7	7	10	14	13	9	9	13	4	13	17	13	10	11	18	17	8	11	12	6	4	14	8	9	11	25	3	7	7	0	5	8	1					
		0.81%	0.70%	1.56%	0.84%	0.41%	0.82%	0.87%	0.94%	1.01%	0.75%	0.92%	1.04%	0.98%	0.63%	0.44%	0.79%	0.57%	0.64%	0.76%	1.04%	1.26%	0.38%	0.66%	0.66%	1.25%	0.92%	0.89%	0.77%	0.90%	0.52%	0.89%	0.12%	1.28%	0.78%	0.84%	0.66%	0.86%	0.69%	0.63%	0.60%	0.83%	0.94%	0.82%	0.56%	0.78%	0.83%	0.25%	0.92%	1.22%	1.00%	0.78%	0.72%	1.35%	1.43%	0.64%	0.91%	0.86%	0.41%	0.29%	0.89%	0.61%	0.85%	1.10%	1.62%	0.24%	0.77%	0.96%	0.00%	0.71%	1.40%	0.21%					
21	. Путин Владимир Владимирович	53579	1036	747	748	1007	900	774	493	882	1029	897	545	834	636	753	883	996	556	630	456	531	516	452	103	679	689	793	944	808	735	888	557	596	708	710	922	890	865	738	742	776	1017	1016	1072	764	1005	1043	917	969	873	799	1062	852	735	835	812	908	916	962	942	830	700	661	963	796	589	537	433	459	405	263					
		66.30%	66.20%	64.84%	62.96%	68.22%	66.82%	67.30%	65.91%	68.58%	70.53%	68.63%	70.78%	62.85%	66.53%	65.99%	69.53%	71.24%	71.19%	68.11%	67.66%	66.96%	65.15%	74.34%	68.21%	70.51%	70.81%	70.49%	66.34%	66.39%	63.20%	65.78%	64.77%	63.34%	69.07%	66.11%	67.69%	63.94%	66.59%	66.91%	63.58%	64.13%	67.98%	64.02%	66.71%	66.61%	64.14%	65.60%	64.90%	69.31%	67.26%	62.13%	69.19%	63.68%	62.03%	66.32%	67.50%	64.72%	63.26%	68.71%	60.19%	63.31%	66.29%	65.84%	62.53%	64.66%	64.73%	73.87%	68.30%	65.20%	70.68%	54.56%					
22	. Хакамада Ирина Муцуовна	3120	54	36	48	55	36	60	37	49	41	38	16	67	28	39	36	48	16	29	14	18	19	14	2	21	16	36	47	32	34	52	37	53	55	32	40	50	51	37	43	40	66	69	76	38	109	92	55	54	39	45	63	36	50	39	57	72	63	66	95	72	66	34	71	41	61	33	16	28	18	20					
		3.86%	3.45%	3.12%	4.04%	3.73%	2.67%	5.22%	4.95%	3.81%	2.81%	2.91%	2.08%	5.05%	2.93%	3.42%	2.83%	3.43%	2.05%	3.14%	2.08%	2.27%	2.40%	2.30%	1.32%	2.18%	1.64%	3.20%	3.30%	2.63%	2.92%	3.85%	4.30%	5.63%	5.37%	2.98%	2.94%	3.59%	3.93%	3.35%	3.68%	3.31%	4.41%	4.35%	4.73%	3.31%	6.96%	5.79%	3.89%	3.86%	3.00%	3.50%	4.10%	2.69%	4.22%	3.10%	4.74%	5.13%	4.35%	4.71%	6.07%	5.49%	6.25%	3.39%	4.61%	3.33%	6.70%	4.54%	2.52%	3.98%	3.14%	4.15%					
23	. Харитонов Николай Михайлович	12550	245	187	204	198	215	147	97	184	188	192	95	224	161	199	195	181	105	140	103	111	130	66	20	116	125	157	228	201	208	201	127	128	106	169	181	236	209	178	204	234	213	298	213	184	216	215	248	215	239	249	233	253	211	198	148	259	278	200	341	221	156	166	294	224	132	57	102	106	82	4					
		15.53%	15.65%	16.23%	17.17%	13.41%	15.96%	12.78%	12.97%	14.31%	12.89%	14.69%	12.34%	16.88%	16.84%	17.44%	15.35%	12.95%	13.44%	15.14%	15.28%	14.00%	16.41%	10.86%	13.25%	12.05%	12.85%	13.96%	16.02%	16.52%	17.88%	14.89%	14.77%	13.60%	10.34%	15.74%	13.29%	16.95%	16.09%	16.14%	17.48%	19.34%	14.24%	18.78%	13.25%	16.04%	13.78%	13.52%	17.55%	15.38%	18.41%	19.36%	15.18%	18.91%	17.81%	15.73%	12.30%	18.46%	19.20%	14.29%	21.79%	16.86%	14.77%	16.53%	19.09%	18.20%	14.51%	7.84%	16.09%	15.06%	14.31%	0.83%					
																																																																													
24	Против всех	3263	56	54	52	54	60	68	37	46	66	49	24	66	26	45	32	56	14	41	17	30	25	18	1	27	39	44	39	56	46	58	43	63	54	41	67	66	52	40	55	45	67	58	82	53	59	73	38	43	43	54	52	45	48	62	57	49	60	45	61	61	34	41	64	56	37	22	20	32	12	63					
		4.04%	3.58%	4.69%	4.38%	3.66%	4.45%	5.91%	4.95%	3.58%	4.52%	3.75%	3.12%	4.97%	2.72%	3.94%	2.52%	4.01%	1.79%	4.43%	2.52%	3.78%	3.16%	2.96%	0.66%	2.80%	4.01%	3.91%	2.74%	4.60%	3.96%	4.30%	5.00%	6.70%	5.27%	3.82%	4.92%	4.74%	4.00%	3.63%	4.71%	3.72%	4.48%	3.65%	5.10%	4.62%	3.77%	4.59%	2.69%	3.08%	3.31%	4.20%	3.39%	3.36%	4.05%	4.92%	4.74%	3.49%	4.14%	3.21%	3.90%	4.65%	3.22%	4.08%	4.16%	4.55%	4.07%	3.03%	3.15%	4.55%	2.09%	13.07%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
