Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Кабанская																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1260	10	10	10	10	10	15	10	10	15	15	10	10	10	10	10	10	10	10	10	10	10	30	20	15	40	40	45	35	45	40	45	10	10	10	10	20	15	25	20	20	10	10	10	10	10	10	10	10	10	25	25	25	40	20	10	10	10	10	10	10	10	10	30	35	30	15	10	10	15	10	15	35	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	0	5	0	0	1	1	2	1	0	1	0	1	3	3	0	2	2	0	0	0	0	0	0	0	4	4	4	3	9	4	1	1	0	0	0	6	6	5	6	9	1	7	0	6	0	1	3	2	1	6	3	1	0	6	0	0	5	0	0	3	1	0	4	3	3	0	3	1	4	2	2	3	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	3	4	3	7	2	6	1	1	3	4	1	9	3	2	1	1	2	2	3	2	2	1	2	1	3	2	4	0	0	1	3	0	1	3	1	0	1	1	5	2	1	0	3	1	2	0	3	2	2	2	2	2	1	2	1	3	5	4	2	7	5	7	2	4	4	4	5	2	6	0	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	1104	10	5	10	10	9	14	8	9	15	14	10	9	7	7	10	8	8	10	10	10	10	30	20	15	36	36	41	32	36	36	44	9	10	10	10	14	9	20	14	11	9	3	10	4	10	9	7	8	9	19	22	24	40	14	10	10	5	10	10	7	9	10	26	32	27	15	7	9	11	8	13	32	29	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	162	1	1	0	0	3	2	1	1	2	4	2	0	0	3	0	0	2	0	0	0	0	0	1	3	8	5	1	9	6	2	2	0	0	0	1	5	2	2	6	5	3	2	1	1	6	1	0	0	0	5	4	5	3	4	2	1	2	1	2	1	0	1	12	4	2	0	0	2	2	1	3	7	4	0									
		1.02%	1.10%	0.93%	0.00%	0.00%	2.10%	1.04%	1.25%	1.79%	1.08%	1.55%	1.48%	0.00%	0.00%	3.26%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	3.33%	1.75%	1.12%	0.20%	1.79%	1.17%	0.46%	0.54%	0.00%	0.00%	0.00%	1.16%	1.94%	0.82%	0.54%	1.79%	1.71%	1.83%	1.08%	1.37%	0.44%	3.05%	1.41%	0.00%	0.00%	0.00%	1.23%	1.05%	1.17%	0.65%	1.45%	2.00%	1.61%	1.13%	0.57%	1.80%	0.31%	0.00%	2.94%	3.39%	0.80%	0.43%	0.00%	0.00%	2.94%	0.87%	4.00%	1.46%	1.68%	0.99%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	509	2	3	0	0	6	5	4	2	7	10	2	15	6	3	1	4	16	4	7	1	3	10	9	4	8	18	19	14	10	6	12	1	4	3	5	11	6	12	5	5	5	4	2	10	5	4	9	3	4	18	14	18	13	9	2	2	5	3	5	10	4	1	17	8	15	13	4	0	6	0	8	10	14	1									
		3.21%	2.20%	2.80%	0.00%	0.00%	4.20%	2.60%	5.00%	3.57%	3.76%	3.88%	1.48%	5.43%	3.90%	3.26%	1.54%	3.81%	6.96%	3.08%	5.98%	0.83%	5.56%	2.97%	4.50%	4.44%	1.75%	4.03%	3.80%	2.79%	1.95%	1.37%	3.23%	1.43%	5.19%	2.63%	5.81%	4.26%	2.45%	3.24%	1.49%	1.71%	3.05%	2.16%	2.74%	4.37%	2.54%	5.63%	5.23%	3.06%	4.49%	4.42%	3.66%	4.21%	2.81%	3.26%	2.00%	3.23%	2.82%	1.72%	4.50%	3.08%	3.81%	2.94%	4.80%	1.60%	3.21%	3.49%	10.53%	0.00%	2.62%	0.00%	3.88%	2.40%	3.46%	2.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	499	3	2	0	0	10	2	1	3	6	18	8	3	5	0	1	0	8	0	4	5	2	7	5	2	15	15	15	15	20	19	7	2	1	1	0	11	5	15	5	11	6	3	0	14	8	1	3	3	7	27	11	11	6	9	2	4	13	4	10	13	0	0	9	11	10	6	2	2	8	1	13	14	15	1									
		3.15%	3.30%	1.87%	0.00%	0.00%	6.99%	1.04%	1.25%	5.36%	3.23%	6.98%	5.93%	1.09%	3.25%	0.00%	1.54%	0.00%	3.48%	0.00%	3.42%	4.13%	3.70%	2.08%	2.50%	2.22%	3.28%	3.36%	3.00%	2.99%	3.90%	4.35%	1.88%	2.86%	1.30%	0.88%	0.00%	4.26%	2.04%	4.05%	1.49%	3.75%	3.66%	1.62%	0.00%	6.11%	4.06%	1.41%	1.74%	3.06%	7.87%	6.63%	2.88%	2.57%	1.30%	3.26%	2.00%	6.45%	7.34%	2.30%	9.01%	4.00%	0.00%	0.00%	2.54%	2.20%	2.14%	1.61%	5.26%	2.94%	3.49%	4.00%	6.31%	3.36%	3.70%	2.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5646	52	31	19	30	49	82	29	20	58	70	54	127	66	38	31	33	96	56	54	56	14	115	70	26	137	127	175	154	173	134	110	30	32	45	32	86	89	126	116	110	62	72	27	91	89	33	79	47	32	121	109	137	141	94	44	30	67	77	47	164	40	15	90	159	136	159	17	39	114	15	67	119	135	26									
		35.63%	57.14%	28.97%	43.18%	50.85%	34.27%	42.71%	36.25%	35.71%	31.18%	27.13%	40.00%	46.01%	42.86%	41.30%	47.69%	31.43%	41.74%	43.08%	46.15%	46.28%	25.93%	34.12%	35.00%	28.89%	29.91%	28.41%	35.00%	30.68%	33.72%	30.66%	29.57%	42.86%	41.56%	39.47%	37.21%	33.33%	36.33%	34.05%	34.52%	37.54%	37.80%	38.92%	36.99%	39.74%	45.18%	46.48%	45.93%	47.96%	35.96%	29.73%	28.53%	32.01%	30.52%	34.06%	44.00%	48.39%	37.85%	44.25%	42.34%	50.46%	38.10%	44.12%	25.42%	31.80%	29.06%	42.74%	44.74%	57.35%	49.78%	60.00%	32.52%	28.54%	33.33%	57.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	88	1	1	0	0	0	0	2	1	0	4	0	1	2	1	0	1	2	0	1	0	0	0	0	1	4	1	6	3	2	3	2	0	0	0	2	2	1	4	1	4	2	0	1	1	0	0	0	0	0	0	2	2	2	3	0	1	1	1	0	1	1	0	4	3	5	2	0	0	0	0	0	0	3	0									
		0.56%	1.10%	0.93%	0.00%	0.00%	0.00%	0.00%	2.50%	1.79%	0.00%	1.55%	0.00%	0.36%	1.30%	1.09%	0.00%	0.95%	0.87%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	1.11%	0.87%	0.22%	1.20%	0.60%	0.39%	0.69%	0.54%	0.00%	0.00%	0.00%	2.33%	0.78%	0.41%	1.08%	0.30%	1.37%	1.22%	0.00%	1.37%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.47%	0.43%	1.09%	0.00%	1.61%	0.56%	0.57%	0.00%	0.31%	0.95%	0.00%	1.13%	0.60%	1.07%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	4	3	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.74%	0.36%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	2.56%	0.83%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.20%	0.78%	0.69%	0.00%	0.00%	2.60%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	1.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3376	14	27	12	6	18	38	9	19	51	71	24	14	38	23	10	25	25	9	20	30	13	81	63	36	90	92	101	98	107	108	89	25	16	32	14	52	47	80	78	61	33	42	19	39	29	7	9	10	23	93	106	93	105	77	27	11	40	32	20	57	25	6	87	104	107	68	4	13	26	4	61	133	92	8									
		21.30%	15.38%	25.23%	27.27%	10.17%	12.59%	19.79%	11.25%	33.93%	27.42%	27.52%	17.78%	5.07%	24.68%	25.00%	15.38%	23.81%	10.87%	6.92%	17.09%	24.79%	24.07%	24.04%	31.50%	40.00%	19.65%	20.58%	20.20%	19.52%	20.86%	24.71%	23.92%	35.71%	20.78%	28.07%	16.28%	20.16%	19.18%	21.62%	23.21%	20.82%	20.12%	22.70%	26.03%	17.03%	14.72%	9.86%	5.23%	10.20%	25.84%	22.85%	27.75%	21.73%	22.73%	27.90%	27.00%	17.74%	22.60%	18.39%	18.02%	17.54%	23.81%	17.65%	24.58%	20.80%	22.86%	18.28%	10.53%	19.12%	11.35%	16.00%	29.61%	31.89%	22.72%	17.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	56	0	1	0	0	2	0	1	0	1	0	1	1	0	1	0	0	0	3	0	0	1	0	0	0	2	2	1	1	3	2	2	0	1	0	0	2	3	3	1	0	0	0	0	0	0	0	0	0	2	3	2	2	2	0	0	0	0	0	2	0	0	0	1	3	0	1	0	0	1	0	1	1	0	0									
		0.35%	0.00%	0.93%	0.00%	0.00%	1.40%	0.00%	1.25%	0.00%	0.54%	0.00%	0.74%	0.36%	0.00%	1.09%	0.00%	0.00%	0.00%	2.31%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	0.44%	0.45%	0.20%	0.20%	0.58%	0.46%	0.54%	0.00%	1.30%	0.00%	0.00%	0.78%	1.22%	0.81%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.25%	0.74%	0.52%	0.47%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	1.80%	0.00%	0.00%	0.00%	0.28%	0.60%	0.00%	0.27%	0.00%	0.00%	0.44%	0.00%	0.49%	0.24%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	472	3	4	5	4	8	7	2	1	6	10	6	19	0	1	1	9	7	1	3	0	1	13	2	4	21	8	13	9	9	8	5	0	4	6	2	10	8	13	6	10	7	0	2	7	3	1	6	8	2	9	11	7	18	10	8	2	4	6	1	1	5	4	15	10	13	18	1	1	7	0	3	20	12	1									
		2.98%	3.30%	3.74%	11.36%	6.78%	5.59%	3.65%	2.50%	1.79%	3.23%	3.88%	4.44%	6.88%	0.00%	1.09%	1.54%	8.57%	3.04%	0.77%	2.56%	0.00%	1.85%	3.86%	1.00%	4.44%	4.59%	1.79%	2.60%	1.79%	1.75%	1.83%	1.34%	0.00%	5.19%	5.26%	2.33%	3.88%	3.27%	3.51%	1.79%	3.41%	4.27%	0.00%	2.74%	3.06%	1.52%	1.41%	3.49%	8.16%	2.25%	2.21%	2.88%	1.64%	3.90%	3.62%	8.00%	3.23%	2.26%	3.45%	0.90%	0.31%	4.76%	11.76%	4.24%	2.00%	2.78%	4.84%	2.63%	1.47%	3.06%	0.00%	1.46%	4.80%	2.96%	2.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0									
		0.11%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.65%	0.00%	1.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.20%	0.00%	0.39%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.44%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	0	3	0	0	3	0	1	0	4	1	1	3	0	0	0	0	1	3	0	0	0	0	2	0	2	2	7	10	2	1	3	0	2	2	0	0	5	1	6	3	0	0	0	1	1	0	1	1	1	6	2	5	0	0	0	0	1	0	1	1	0	0	3	5	5	1	0	0	1	0	2	2	2	0									
		0.69%	0.00%	2.80%	0.00%	0.00%	2.10%	0.00%	1.25%	0.00%	2.15%	0.39%	0.74%	1.09%	0.00%	0.00%	0.00%	0.00%	0.43%	2.31%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.44%	0.45%	1.40%	1.99%	0.39%	0.23%	0.81%	0.00%	2.60%	1.75%	0.00%	0.00%	2.04%	0.27%	1.79%	1.02%	0.00%	0.00%	0.00%	0.44%	0.51%	0.00%	0.58%	1.02%	1.12%	1.47%	0.52%	1.17%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.90%	0.31%	0.00%	0.00%	0.85%	1.00%	1.07%	0.27%	0.00%	0.00%	0.44%	0.00%	0.97%	0.48%	0.49%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2905	9	20	6	14	24	34	15	5	30	39	21	70	17	13	10	13	51	40	8	9	10	71	31	10	93	103	102	99	97	81	71	9	10	16	18	53	48	79	76	43	25	22	10	40	31	14	31	7	12	46	42	72	77	40	7	9	28	31	10	49	14	5	94	147	134	71	7	7	42	3	29	85	94	2									
		18.33%	9.89%	18.69%	13.64%	23.73%	16.78%	17.71%	18.75%	8.93%	16.13%	15.12%	15.56%	25.36%	11.04%	14.13%	15.38%	12.38%	22.17%	30.77%	6.84%	7.44%	18.52%	21.07%	15.50%	11.11%	20.31%	23.04%	20.40%	19.72%	18.91%	18.54%	19.09%	12.86%	12.99%	14.04%	20.93%	20.54%	19.59%	21.35%	22.62%	14.68%	15.24%	11.89%	13.70%	17.47%	15.74%	19.72%	18.02%	7.14%	13.48%	11.30%	10.99%	16.82%	16.67%	14.49%	7.00%	14.52%	15.82%	17.82%	9.01%	15.08%	13.33%	14.71%	26.55%	29.40%	28.63%	19.09%	18.42%	10.29%	18.34%	12.00%	14.08%	20.38%	23.21%	4.44%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	0	0	1	0	2	2	1	0	2	1	0	0	1	0	2	0	1	0	2	0	0	0	1	0	5	1	3	3	1	0	0	0	1	0	0	2	1	2	2	1	0	0	1	1	1	1	1	0	0	2	1	2	4	2	0	0	1	0	0	0	0	0	1	5	2	2	0	0	1	1	1	1	3	0									
		0.45%	0.00%	0.00%	2.27%	0.00%	1.40%	1.04%	1.25%	0.00%	1.08%	0.39%	0.00%	0.00%	0.65%	0.00%	3.08%	0.00%	0.43%	0.00%	1.71%	0.00%	0.00%	0.00%	0.50%	0.00%	1.09%	0.22%	0.60%	0.60%	0.19%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.78%	0.41%	0.54%	0.60%	0.34%	0.00%	0.00%	1.37%	0.44%	0.51%	1.41%	0.58%	0.00%	0.00%	0.49%	0.26%	0.47%	0.87%	0.72%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	1.00%	0.43%	0.54%	0.00%	0.00%	0.44%	4.00%	0.49%	0.24%	0.74%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1427	4	11	1	5	17	16	10	4	15	23	7	9	12	6	5	17	18	8	14	10	9	30	12	3	64	56	43	71	56	57	63	2	2	5	4	18	21	25	23	28	17	26	5	16	16	8	25	12	6	66	63	56	73	21	3	1	14	19	5	15	5	1	12	29	21	20	3	4	14	0	10	17	18	2									
		9.00%	4.40%	10.28%	2.27%	8.47%	11.89%	8.33%	12.50%	7.14%	8.06%	8.91%	5.19%	3.26%	7.79%	6.52%	7.69%	16.19%	7.83%	6.15%	11.97%	8.26%	16.67%	8.90%	6.00%	3.33%	13.97%	12.53%	8.60%	14.14%	10.92%	13.04%	16.94%	2.86%	2.60%	4.39%	4.65%	6.98%	8.57%	6.76%	6.85%	9.56%	10.37%	14.05%	6.85%	6.99%	8.12%	11.27%	14.53%	12.24%	6.74%	16.22%	16.49%	13.08%	15.80%	7.61%	3.00%	1.61%	7.91%	10.92%	4.50%	4.62%	4.76%	2.94%	3.39%	5.80%	4.49%	5.38%	7.89%	5.88%	6.11%	0.00%	4.85%	4.08%	4.44%	4.44%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
