Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Исилькульская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
11	Число полученных открепительных  удостоверений	655	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	10	5	5	5	5	5	10	5	5	5	5	10	5	5	5	10	5	5	20	5	5	5	5	10	5	5	5	10	5	5	10	5	5	10	5	5	5	5	5	5	10	5					
12	Число выданных открепительных удостоверений	225	6	7	7	7	8	8	10	15	5	8	6	5	6	4	21	11	5	13	0	5	0	0	2	3	0	8	0	0	1	1	1	3	0	0	2	1	0	19	1	1	2	1	1	1	0	0	3	0	1	2	1	0	9	0	0	0	0	1	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	191	3	11	9	5	10	4	7	10	2	5	0	5	7	1	12	11	5	8	3	2	1	1	1	1	1	3	1	1	2	1	1	2	3	3	3	1	0	2	3	2	0	4	1	1	1	1	0	1	2	0	1	1	9	4	1	1	1	1	2	4	2					
14	Число неиспользованных открепительных удостоверений	430	14	13	13	13	12	12	10	5	15	12	14	15	14	16	4	9	15	7	20	5	5	5	3	2	5	2	5	5	4	4	9	2	5	5	8	4	5	1	4	4	3	4	9	4	5	5	7	5	4	8	4	5	1	5	5	5	5	4	5	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	465	14	14	15	19	12	19	18	10	19	10	22	20	6	8	20	15	4	20	6	9	7	1	0	3	0	9	0	2	2	2	9	1	5	6	15	1	1	20	0	0	1	0	24	2	2	1	10	4	1	2	0	0	18	2	3	1	2	4	2	21	1					
		1.93%	2.31%	1.75%	2.43%	1.92%	3.11%	3.12%	3.27%	1.36%	4.20%	1.94%	3.39%	3.32%	1.16%	1.59%	2.23%	2.17%	1.01%	1.81%	1.34%	1.66%	5.00%	1.82%	0.00%	1.69%	0.00%	1.01%	0.00%	0.71%	0.81%	1.65%	3.59%	0.51%	1.99%	2.99%	2.82%	0.38%	0.88%	2.53%	0.00%	0.00%	0.36%	0.00%	3.85%	1.17%	1.61%	1.10%	2.09%	2.25%	0.25%	0.46%	0.00%	0.00%	1.74%	0.50%	1.70%	0.44%	1.00%	2.41%	1.07%	2.47%	1.14%					
19	. Малышкин Олег Александрович	738	13	37	18	45	11	13	20	18	15	7	15	34	25	33	21	22	8	40	10	17	0	2	0	1	1	30	6	2	5	6	0	2	20	11	19	6	0	7	1	7	8	2	9	8	1	5	16	6	1	13	3	0	12	25	10	4	9	5	6	46	1					
		3.06%	2.14%	4.61%	2.91%	4.55%	2.85%	2.14%	3.64%	2.45%	3.32%	1.36%	2.31%	5.64%	4.84%	6.55%	2.34%	3.18%	2.01%	3.63%	2.23%	3.14%	0.00%	3.64%	0.00%	0.56%	1.75%	3.37%	10.71%	0.71%	2.03%	4.96%	0.00%	1.01%	7.97%	5.47%	3.58%	2.26%	0.00%	0.89%	0.54%	4.76%	2.85%	0.90%	1.44%	4.68%	0.81%	5.49%	3.35%	3.37%	0.25%	2.97%	3.03%	0.00%	1.16%	6.23%	5.68%	1.77%	4.50%	3.01%	3.21%	5.41%	1.14%					
20	. Миронов Сергей Михайлович	129	3	8	1	3	0	6	6	1	4	3	3	3	2	2	6	4	2	6	4	3	0	3	1	0	0	2	0	1	0	3	0	2	1	4	4	3	0	6	0	0	0	1	4	0	0	1	1	1	3	6	0	0	5	0	2	0	0	0	1	4	0					
		0.53%	0.49%	1.00%	0.16%	0.30%	0.00%	0.99%	1.09%	0.14%	0.88%	0.58%	0.46%	0.50%	0.39%	0.40%	0.67%	0.58%	0.50%	0.54%	0.89%	0.55%	0.00%	5.45%	0.98%	0.00%	0.00%	0.22%	0.00%	0.35%	0.00%	2.48%	0.00%	1.01%	0.40%	1.99%	0.75%	1.13%	0.00%	0.76%	0.00%	0.00%	0.00%	0.45%	0.64%	0.00%	0.00%	1.10%	0.21%	0.56%	0.74%	1.37%	0.00%	0.00%	0.48%	0.00%	1.14%	0.00%	0.00%	0.00%	0.53%	0.47%	0.00%					
21	. Путин Владимир Владимирович	18099	459	600	430	731	251	447	376	499	265	364	467	407	378	364	666	479	267	789	304	385	104	40	95	145	41	681	30	239	204	80	209	175	201	150	414	227	106	639	170	134	237	211	453	118	103	62	233	103	372	272	80	27	873	352	143	204	164	146	172	679	83					
		74.96%	75.62%	74.81%	69.58%	73.91%	65.03%	73.52%	68.36%	67.98%	58.63%	70.68%	71.96%	67.50%	73.26%	72.22%	74.33%	69.32%	67.09%	71.53%	67.86%	71.03%	74.29%	72.73%	93.14%	81.46%	71.93%	76.43%	53.57%	84.45%	82.93%	66.12%	83.27%	88.38%	80.08%	74.63%	77.97%	85.34%	92.98%	80.99%	92.39%	91.16%	84.34%	95.48%	72.71%	69.01%	83.06%	68.13%	48.74%	57.87%	91.18%	62.10%	80.81%	87.10%	84.27%	87.78%	81.25%	90.27%	82.00%	87.95%	91.98%	79.88%	94.32%					
22	. Хакамада Ирина Муцуовна	520	23	24	18	10	16	17	16	43	12	9	16	25	12	13	25	10	10	22	12	8	3	1	2	4	4	7	2	2	7	1	3	2	1	4	9	2	1	24	0	0	4	0	19	2	1	1	4	2	3	3	1	0	30	4	0	4	4	2	0	16	0					
		2.15%	3.79%	2.99%	2.91%	1.01%	4.15%	2.80%	2.91%	5.86%	2.65%	1.75%	2.47%	4.15%	2.33%	2.58%	2.79%	1.45%	2.51%	1.99%	2.68%	1.48%	2.14%	1.82%	1.96%	2.25%	7.02%	0.79%	3.57%	0.71%	2.85%	0.83%	1.20%	1.01%	0.40%	1.99%	1.69%	0.75%	0.88%	3.04%	0.00%	0.00%	1.42%	0.00%	3.05%	1.17%	0.81%	1.10%	0.84%	1.12%	0.74%	0.68%	1.01%	0.00%	2.90%	1.00%	0.00%	1.77%	2.00%	1.20%	0.00%	1.88%	0.00%					
23	. Харитонов Николай Михайлович	3585	77	96	119	154	87	83	97	140	119	112	113	99	85	67	133	147	89	196	103	104	25	7	3	19	11	126	15	32	22	28	26	10	20	23	60	15	6	68	13	4	29	6	106	37	14	18	199	58	21	129	13	4	70	12	10	11	19	9	4	62	1					
		14.85%	12.69%	11.97%	19.26%	15.57%	22.54%	13.65%	17.64%	19.07%	26.33%	21.75%	17.41%	16.42%	16.47%	13.29%	14.84%	21.27%	22.36%	17.77%	22.99%	19.19%	17.86%	12.73%	2.94%	10.67%	19.30%	14.14%	26.79%	11.31%	8.94%	23.14%	10.36%	5.05%	7.97%	11.44%	11.30%	5.64%	5.26%	8.62%	7.07%	2.72%	10.32%	2.71%	17.01%	21.64%	11.29%	19.78%	41.63%	32.58%	5.15%	29.45%	13.13%	12.90%	6.76%	2.99%	5.68%	4.87%	9.50%	5.42%	2.14%	7.29%	1.14%					
																																																																				
24	Против всех	406	11	18	12	20	6	20	15	22	12	7	9	12	8	10	17	13	11	22	5	5	0	1	0	4	0	21	2	0	0	1	1	0	2	3	10	9	0	19	0	2	2	0	5	2	1	3	14	1	2	9	2	0	15	2	3	1	2	0	0	12	0					
		1.68%	1.81%	2.24%	1.94%	2.02%	1.55%	3.29%	2.73%	3.00%	2.65%	1.36%	1.39%	1.99%	1.55%	1.98%	1.90%	1.88%	2.76%	1.99%	1.12%	0.92%	0.00%	1.82%	0.00%	2.25%	0.00%	2.36%	3.57%	0.00%	0.00%	0.83%	0.40%	0.00%	0.80%	1.49%	1.88%	3.38%	0.00%	2.41%	0.00%	1.36%	0.71%	0.00%	0.80%	1.17%	0.81%	3.30%	2.93%	0.56%	0.49%	2.05%	2.02%	0.00%	1.45%	0.50%	1.70%	0.44%	1.00%	0.00%	0.00%	1.41%	0.00%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
