Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Аксайская 																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1612	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564	УИК №2624	УИК №2625					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1416	22	40	20	25	30	23	24	22	27	20	23	13	35	32	30	157	26	23	10	43	22	10	15	5	5	20	5	30	30	16	126	22	10	10	3	0	5	20	4	4	20	13	5	5	3	10	10	10	35	32	13	10	15	5	12	0	21	10	8	5	40	25	32	50	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1364	21	40	20	25	29	23	24	21	27	18	23	12	34	32	30	151	26	23	10	43	21	9	15	5	3	18	5	30	30	16	126	22	10	6	1	0	5	20	4	4	20	13	2	0	3	8	5	10	35	32	13	8	15	0	12	0	21	8	8	5	39	24	31	50	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2616	4	100	127	93	98	20	172	96	12	8	2	5	4	14	20	35	67	1	5	64	78	147	129	171	36	71	65	15	24	7	18	11	5	6	2	0	2	1	3	2	1	1	5	1	1	4	13	9	30	12	2	33	40	2	4	0	101	23	5	22	11	156	140	248	7	5					
14	Число погашенных неиспользованных открепительных удостоверений	52	1	0	0	0	1	0	0	1	0	2	0	1	1	0	0	6	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	3	5	0	2	5	0	0	0	0	2	0	5	0	0	0	2	0	0	1	1	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	484	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	347	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	128	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3513	83	168	100	67	141	69	58	57	65	37	91	50	103	162	7	112	14	30	22	53	78	15	72	9	24	56	3	170	216	35	127	45	38	8	9	9	17	33	33	10	0	2	1	3	49	66	23	37	44	42	40	39	90	1	24	29	71	58	20	15	26	102	127	21	49	38					
		7.18%	14.19%	13.06%	13.59%	8.08%	15.63%	8.34%	6.83%	7.49%	6.96%	4.08%	13.91%	7.59%	10.52%	16.04%	0.96%	7.29%	1.16%	2.99%	10.53%	4.55%	8.27%	3.30%	10.84%	3.18%	10.57%	11.52%	1.50%	11.76%	18.35%	7.14%	11.01%	4.26%	6.99%	2.34%	4.13%	5.88%	4.24%	4.40%	11.79%	1.93%	0.00%	0.36%	0.69%	3.85%	5.99%	8.70%	5.40%	4.82%	3.06%	2.64%	9.22%	2.39%	12.73%	1.43%	9.16%	12.18%	11.08%	9.28%	3.16%	4.57%	2.50%	8.11%	9.75%	1.40%	7.15%	6.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3845	94	153	81	82	95	75	74	87	56	78	101	57	99	155	9	311	42	7	27	55	91	7	91	20	29	86	6	137	139	32	214	1	13	15	4	0	12	10	6	7	2	5	8	3	65	78	38	57	62	44	32	15	92	2	42	17	58	81	20	16	121	83	143	33	65	5					
		7.86%	16.07%	11.90%	11.01%	9.89%	10.53%	9.07%	8.72%	11.43%	5.99%	8.61%	15.44%	8.65%	10.11%	15.35%	1.23%	20.23%	3.48%	0.70%	12.92%	4.72%	9.65%	1.54%	13.70%	7.07%	12.78%	17.70%	3.00%	9.48%	11.81%	6.53%	18.56%	0.09%	2.39%	4.39%	1.83%	0.00%	2.99%	1.33%	2.14%	1.35%	0.22%	0.91%	5.56%	3.85%	7.96%	10.28%	8.92%	7.43%	4.32%	2.77%	7.37%	0.92%	13.01%	2.86%	16.03%	7.14%	9.05%	12.96%	3.16%	4.88%	11.63%	6.60%	10.97%	2.20%	9.49%	0.89%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	290	7	5	6	6	10	6	5	1	4	4	7	0	7	14	1	23	3	1	0	3	6	5	7	2	4	9	1	16	7	1	12	2	0	0	1	0	1	4	2	3	0	0	0	0	2	3	2	4	12	9	4	2	1	1	5	2	2	5	6	1	6	7	10	3	5	2					
		0.59%	1.20%	0.39%	0.82%	0.72%	1.11%	0.73%	0.59%	0.13%	0.43%	0.44%	1.07%	0.00%	0.72%	1.39%	0.14%	1.50%	0.25%	0.10%	0.00%	0.26%	0.64%	1.10%	1.05%	0.71%	1.76%	1.85%	0.50%	1.11%	0.59%	0.20%	1.04%	0.19%	0.00%	0.00%	0.46%	0.00%	0.25%	0.53%	0.71%	0.58%	0.00%	0.00%	0.00%	0.00%	0.24%	0.40%	0.47%	0.52%	0.84%	0.57%	0.92%	0.12%	0.14%	1.43%	1.91%	0.84%	0.31%	0.80%	0.95%	0.30%	0.58%	0.56%	0.77%	0.20%	0.73%	0.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6649	142	255	197	173	204	65	136	136	104	140	167	91	219	270	136	153	43	40	48	95	189	60	133	34	38	88	15	259	283	42	98	86	20	22	7	9	47	52	53	4	77	86	7	6	97	123	22	117	150	213	76	52	122	3	33	36	150	122	62	16	213	124	130	162	91	6					
		13.59%	24.27%	19.83%	26.77%	20.87%	22.62%	7.86%	16.02%	17.87%	11.13%	15.45%	25.54%	13.81%	22.37%	26.73%	18.63%	9.95%	3.57%	3.98%	22.97%	8.15%	20.04%	13.19%	20.03%	12.01%	16.74%	18.11%	7.50%	17.92%	24.04%	8.57%	8.50%	8.14%	3.68%	6.43%	3.21%	5.88%	11.72%	6.93%	18.93%	0.77%	8.60%	15.66%	4.86%	7.69%	11.87%	16.21%	5.16%	15.25%	10.45%	13.39%	17.51%	3.19%	17.26%	4.29%	12.60%	15.13%	23.40%	19.52%	9.81%	4.88%	20.48%	9.86%	9.98%	10.82%	13.28%	1.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	889	36	53	33	24	37	22	17	17	21	16	40	4	33	57	9	6	3	2	4	2	46	5	19	6	1	10	0	50	26	4	21	2	0	0	1	0	5	4	3	3	1	0	0	0	7	12	5	8	28	5	1	4	18	1	3	8	12	24	5	3	6	29	50	5	8	4					
		1.82%	6.15%	4.12%	4.48%	2.90%	4.10%	2.66%	2.00%	2.23%	2.25%	1.77%	6.12%	0.61%	3.37%	5.64%	1.23%	0.39%	0.25%	0.20%	1.91%	0.17%	4.88%	1.10%	2.86%	2.12%	0.44%	2.06%	0.00%	3.46%	2.21%	0.82%	1.82%	0.19%	0.00%	0.00%	0.46%	0.00%	1.25%	0.53%	1.07%	0.58%	0.11%	0.00%	0.00%	0.00%	0.86%	1.58%	1.17%	1.04%	1.95%	0.31%	0.23%	0.25%	2.55%	1.43%	1.15%	3.36%	1.87%	3.84%	0.79%	0.91%	0.58%	2.31%	3.84%	0.33%	1.17%	0.72%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31678	207	603	297	458	382	395	543	367	634	600	230	306	467	343	552	914	1096	923	106	949	476	360	326	207	118	227	174	769	470	313	654	912	473	294	196	135	316	640	179	487	812	456	126	66	555	416	311	487	1114	1213	268	1515	369	62	145	115	337	307	514	275	663	596	830	1084	445	499					
		64.75%	35.38%	46.89%	40.35%	55.25%	42.35%	47.76%	63.96%	48.23%	67.88%	66.23%	35.17%	46.43%	47.70%	33.96%	75.62%	59.47%	90.88%	91.93%	50.72%	81.46%	50.48%	79.12%	49.10%	73.14%	51.98%	46.71%	87.00%	53.22%	39.93%	63.88%	56.72%	86.36%	86.95%	85.96%	89.91%	88.24%	78.80%	85.33%	63.93%	94.02%	90.73%	83.06%	87.50%	84.62%	67.93%	54.81%	73.00%	63.49%	77.58%	76.24%	61.75%	93.00%	52.19%	88.57%	55.34%	48.32%	52.57%	49.12%	81.33%	83.84%	63.75%	47.38%	63.70%	72.41%	64.96%	89.27%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	319	10	11	8	12	22	3	11	1	4	3	2	1	6	9	4	7	5	1	2	0	46	3	5	0	7	4	1	14	17	0	9	0	0	0	0	0	0	3	3	4	0	0	0	0	1	4	3	0	4	0	7	1	4	0	0	1	7	2	2	2	5	12	13	1	7	5					
		0.65%	1.71%	0.86%	1.09%	1.45%	2.44%	0.36%	1.30%	0.13%	0.43%	0.33%	0.31%	0.15%	0.61%	0.89%	0.55%	0.46%	0.41%	0.10%	0.96%	0.00%	4.88%	0.66%	0.75%	0.00%	3.08%	0.82%	0.50%	0.97%	1.44%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	1.07%	0.77%	0.00%	0.00%	0.00%	0.00%	0.12%	0.53%	0.70%	0.00%	0.28%	0.00%	1.61%	0.06%	0.57%	0.00%	0.00%	0.42%	1.09%	0.32%	0.32%	0.61%	0.48%	0.95%	0.99%	0.07%	1.02%	0.89%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
