Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Армавирская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №498	УИК №499					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1392	20	15	20	15	25	15	25	20	15	25	20	25	20	5	10	20	41	25	20	20	15	30	23	15	20	20	30	20	23	25	20	20	15	20	25	15	20	25	20	25	20	20	25	30	15	20	20	15	15	15	15	20	15	20	10	35	40	15	15	35	15	15	35	8	10	5	7	20	5	5	15	10	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1392	20	15	20	15	25	15	25	20	15	25	20	25	20	5	10	20	41	25	20	20	15	30	23	15	20	20	30	20	23	25	20	20	15	20	25	15	20	25	20	25	20	20	25	30	15	20	20	15	15	15	15	20	15	20	10	35	40	15	15	35	15	15	35	8	10	5	7	20	5	5	15	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1294	10	16	31	28	22	27	41	259	16	22	12	9	29	2	14	5	8	10	9	16	6	19	2	5	13	15	10	6	10	8	13	15	12	5	12	19	24	10	7	10	11	15	10	13	15	2	16	10	11	4	6	22	5	8	4	10	15	4	14	4	6	5	15	6	8	4	5	5	5	7	3	10	202	7					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	108	4	1	6	1	2	7	3	2	0	2	1	0	3	0	2	2	0	3	2	0	0	4	5	1	2	1	2	0	2	2	4	0	1	0	0	0	1	3	1	4	1	3	2	0	0	0	2	0	1	0	1	1	0	1	0	1	14	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10959	138	115	112	120	195	47	110	225	122	213	138	119	161	51	78	143	172	158	171	180	111	206	178	143	163	139	235	159	256	177	197	156	231	138	243	117	222	206	171	266	247	226	230	245	158	173	190	152	179	155	158	196	151	175	99	242	167	125	122	117	121	44	114	44	115	60	12	120	37	43	87	96	33	44					
		12.09%	11.47%	10.65%	11.03%	12.68%	15.18%	4.73%	11.25%	13.66%	13.51%	14.04%	12.28%	11.60%	12.52%	12.32%	10.96%	11.82%	10.60%	11.82%	10.05%	12.08%	8.56%	11.17%	11.84%	12.36%	14.10%	11.77%	12.81%	14.60%	13.50%	13.74%	11.65%	13.87%	18.42%	11.47%	15.39%	12.07%	13.29%	11.48%	11.24%	13.66%	15.89%	13.65%	12.23%	10.76%	10.81%	12.81%	12.23%	11.06%	13.17%	14.82%	11.15%	13.41%	13.59%	12.25%	12.16%	12.32%	10.56%	11.34%	10.40%	12.86%	8.63%	9.61%	8.29%	9.95%	14.65%	17.75%	8.89%	9.60%	11.25%	12.15%	8.19%	13.08%	5.25%	12.57%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12724	213	164	157	151	170	21	168	295	139	218	175	160	187	57	94	171	229	211	4	253	132	261	275	200	163	168	224	166	7	208	241	184	107	158	197	183	223	292	291	274	260	242	278	323	174	160	178	202	179	194	10	214	185	243	133	201	310	165	173	134	188	49	304	66	108	68	18	166	43	49	86	94	269	67					
		14.04%	17.71%	15.19%	15.47%	15.96%	13.23%	2.11%	17.18%	17.91%	15.39%	14.37%	15.57%	15.59%	14.54%	13.77%	13.20%	14.13%	14.12%	15.78%	0.24%	16.98%	10.18%	14.15%	18.30%	17.29%	14.10%	14.23%	12.21%	15.24%	0.37%	16.15%	14.25%	16.36%	8.53%	13.13%	12.48%	18.89%	13.35%	16.27%	19.12%	14.07%	16.73%	14.61%	14.79%	14.19%	11.91%	11.85%	11.45%	14.70%	13.17%	18.55%	0.71%	14.64%	16.65%	17.02%	16.34%	10.23%	19.61%	14.97%	14.75%	14.73%	13.41%	10.70%	22.11%	14.93%	13.76%	20.12%	13.33%	13.28%	13.07%	13.84%	8.10%	12.81%	42.83%	19.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1028	11	11	18	9	13	4	17	28	14	17	19	9	12	6	11	21	29	18	16	23	11	17	15	16	17	15	34	8	2	27	19	11	3	10	16	12	19	10	17	14	21	17	12	35	12	6	16	12	15	14	23	14	9	13	7	19	33	19	7	13	11	9	22	4	11	3	0	11	3	6	9	11	7	5					
		1.13%	0.91%	1.02%	1.77%	0.95%	1.01%	0.40%	1.74%	1.70%	1.55%	1.12%	1.69%	0.88%	0.93%	1.45%	1.54%	1.74%	1.79%	1.35%	0.94%	1.54%	0.85%	0.92%	0.99%	1.38%	1.47%	1.27%	1.85%	0.73%	0.11%	2.10%	1.12%	0.98%	0.24%	0.83%	1.01%	1.24%	1.14%	0.56%	1.12%	0.72%	1.35%	1.03%	0.64%	1.54%	0.82%	0.44%	1.03%	0.87%	1.10%	1.34%	1.62%	0.96%	0.81%	0.91%	0.86%	0.97%	2.09%	1.72%	0.60%	1.43%	0.78%	1.97%	1.60%	0.90%	1.40%	0.89%	0.00%	0.88%	0.91%	1.69%	0.85%	1.50%	1.11%	1.43%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16918	177	152	215	169	305	248	235	342	203	360	235	206	279	103	144	244	327	280	14	318	132	371	305	227	220	278	446	237	9	290	341	270	232	305	293	209	318	293	312	380	298	362	315	329	214	257	277	233	328	213	16	380	229	309	191	353	281	228	200	171	291	79	292	60	167	32	31	274	78	57	136	110	30	73					
		18.67%	14.71%	14.07%	21.18%	17.86%	23.74%	24.95%	24.03%	20.77%	22.48%	23.73%	20.91%	20.08%	21.70%	24.88%	20.22%	20.17%	20.16%	20.94%	0.82%	21.34%	10.18%	20.11%	20.29%	19.62%	19.03%	23.54%	24.31%	21.76%	0.47%	22.52%	20.17%	24.00%	18.50%	25.35%	18.56%	21.57%	19.03%	16.32%	20.50%	19.51%	19.18%	21.86%	16.76%	14.46%	14.65%	19.04%	17.82%	16.96%	24.14%	20.36%	1.13%	25.99%	20.61%	21.64%	23.46%	17.96%	17.77%	20.69%	17.05%	18.79%	20.76%	17.25%	21.24%	13.57%	21.27%	9.47%	22.96%	21.92%	23.71%	16.10%	12.81%	14.99%	4.78%	20.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2794	36	15	27	40	72	17	41	73	43	99	51	40	45	11	40	31	32	39	8	51	14	47	37	30	42	45	62	35	3	62	56	32	76	36	63	33	53	79	53	96	58	50	47	47	26	66	52	45	36	39	2	50	25	34	14	19	43	25	26	23	52	4	28	15	31	4	1	44	19	8	34	33	15	14					
		3.08%	2.99%	1.39%	2.66%	4.23%	5.60%	1.71%	4.19%	4.43%	4.76%	6.53%	4.54%	3.90%	3.50%	2.66%	5.62%	2.56%	1.97%	2.92%	0.47%	3.42%	1.08%	2.55%	2.46%	2.59%	3.63%	3.81%	3.38%	3.21%	0.16%	4.81%	3.31%	2.84%	6.06%	2.99%	3.99%	3.41%	3.17%	4.40%	3.48%	4.93%	3.73%	3.02%	2.50%	2.07%	1.78%	4.89%	3.35%	3.28%	2.65%	3.73%	0.14%	3.42%	2.25%	2.38%	1.72%	0.97%	2.72%	2.27%	2.22%	2.53%	3.71%	0.87%	2.04%	3.39%	3.95%	1.18%	0.74%	3.52%	5.78%	2.26%	3.20%	4.50%	2.39%	4.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	43702	594	539	460	428	504	653	379	650	359	571	476	466	581	175	331	582	793	590	1456	631	872	892	661	512	522	513	823	469	1600	498	600	441	578	522	709	390	792	866	645	875	617	714	956	1197	851	661	768	698	597	398	1188	571	472	611	349	1074	694	516	618	426	711	265	570	248	333	159	73	609	137	180	690	377	236	140					
		48.23%	49.38%	49.91%	45.32%	45.24%	39.22%	65.69%	38.75%	39.47%	39.76%	37.64%	42.35%	45.42%	45.18%	42.27%	46.49%	48.10%	48.89%	44.13%	85.55%	42.35%	67.23%	48.35%	43.98%	44.25%	45.16%	43.44%	44.85%	43.07%	84.39%	38.66%	35.48%	39.20%	46.09%	43.39%	44.90%	40.25%	47.40%	48.25%	42.38%	44.92%	39.70%	43.12%	50.85%	52.59%	58.25%	48.96%	49.42%	50.80%	43.93%	38.05%	83.84%	39.06%	42.48%	42.79%	42.87%	54.66%	43.90%	46.82%	52.69%	46.81%	50.71%	57.86%	41.45%	56.11%	42.42%	47.04%	54.07%	48.72%	41.64%	50.85%	64.97%	51.36%	37.58%	40.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	560	6	8	5	6	5	2	15	12	8	10	4	8	3	5	3	3	8	12	0	7	10	13	6	15	11	3	11	5	1	8	8	8	16	7	18	9	10	7	7	10	20	9	13	16	5	6	11	7	6	8	0	12	17	7	3	16	8	11	6	7	9	3	10	2	2	0	0	4	2	3	10	3	7	4					
		0.62%	0.50%	0.74%	0.49%	0.63%	0.39%	0.20%	1.53%	0.73%	0.89%	0.66%	0.36%	0.78%	0.23%	1.21%	0.42%	0.25%	0.49%	0.90%	0.00%	0.47%	0.77%	0.70%	0.40%	1.30%	0.95%	0.25%	0.60%	0.46%	0.05%	0.62%	0.47%	0.71%	1.28%	0.58%	1.14%	0.93%	0.60%	0.39%	0.46%	0.51%	1.29%	0.54%	0.69%	0.70%	0.34%	0.44%	0.71%	0.51%	0.44%	0.76%	0.00%	0.82%	1.53%	0.49%	0.37%	0.81%	0.51%	0.99%	0.51%	0.77%	0.64%	0.66%	0.73%	0.45%	0.25%	0.00%	0.00%	0.32%	0.61%	0.85%	0.94%	0.41%	1.11%	1.14%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
