Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Уфимская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК  3320					
		0.52%	0.46%	0.75%	0.73%	0.00%	1.00%	0.23%	1.24%	0.91%	0.26%	0.42%	0.00%	0.81%	0.29%	0.44%	0.89%	0.00%	0.55%	1.65%	0.90%	0.53%	0.00%	0.00%	0.00%	0.44%	0.11%	0.27%	1.13%	0.12%	0.52%	0.10%	0.00%	1.12%	0.63%	0.29%	0.17%	1.08%	0.39%	0.00%	1.49%	0.93%	1.21%	1.21%	0.23%	0.41%	0.86%	2.94%	2.42%	0.00%	0.64%	0.43%	0.51%					
20	. Миронов Сергей Михайлович	105	4	4	4	1	8	1	3	2	0	2	0	1	0	0	5	0	0	0	3	5	0	0	0	2	0	1	3	2	11	1	3	0	7	2	1	4	1	0	6	1	1	4	2	1	1	0	0	0	4	0	4					
		0.29%	0.37%	0.30%	0.36%	0.04%	0.47%	0.23%	0.75%	0.20%	0.00%	0.28%	0.00%	0.27%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.34%	0.44%	0.00%	0.00%	0.00%	0.44%	0.00%	0.27%	0.56%	0.24%	0.63%	0.10%	0.14%	0.00%	0.44%	0.19%	0.17%	0.72%	0.39%	0.00%	0.75%	0.23%	0.61%	0.97%	0.15%	0.14%	0.21%	0.00%	0.00%	0.00%	0.37%	0.00%	1.02%					
21	. Путин Владимир Владимирович	34156	1023	1247	1034	2275	1349	424	295	934	764	689	301	325	324	434	971	176	346	208	855	1055	334	291	502	431	916	366	483	778	1666	988	2080	80	1515	977	568	487	237	191	753	413	151	313	1287	662	446	98	120	153	1035	435	371					
		94.02%	94.55%	94.11%	94.17%	98.44%	79.35%	96.15%	73.38%	94.15%	97.95%	96.63%	96.17%	87.37%	95.58%	96.44%	95.67%	95.65%	95.58%	85.60%	95.96%	93.36%	94.08%	96.04%	96.91%	95.57%	99.46%	98.65%	90.96%	94.99%	95.42%	96.02%	96.25%	89.89%	94.81%	93.58%	96.27%	88.07%	92.58%	94.09%	93.77%	95.82%	91.52%	75.60%	97.57%	91.56%	95.50%	96.08%	96.77%	98.71%	95.13%	93.95%	94.64%					
22	. Хакамада Ирина Муцуовна	246	11	10	12	7	42	1	9	3	1	5	2	8	0	2	25	0	2	7	2	3	0	1	2	1	0	1	8	0	7	2	5	2	9	6	0	10	1	3	7	1	0	13	4	2	1	0	0	0	5	0	3					
		0.68%	1.02%	0.75%	1.09%	0.30%	2.47%	0.23%	2.24%	0.30%	0.13%	0.70%	0.64%	2.15%	0.00%	0.44%	2.46%	0.00%	0.55%	2.88%	0.22%	0.27%	0.00%	0.33%	0.39%	0.22%	0.00%	0.27%	1.51%	0.00%	0.40%	0.19%	0.23%	2.25%	0.56%	0.57%	0.00%	1.81%	0.39%	1.48%	0.87%	0.23%	0.00%	3.14%	0.30%	0.28%	0.21%	0.00%	0.00%	0.00%	0.46%	0.00%	0.77%					
23	. Харитонов Николай Михайлович	1014	15	27	6	16	218	7	63	24	6	5	7	24	13	10	0	2	8	22	10	30	6	8	5	7	2	0	11	36	29	18	63	4	24	42	15	23	9	4	8	9	7	50	10	51	6	1	1	2	20	23	7					
		2.79%	1.39%	2.04%	0.55%	0.69%	12.82%	1.59%	15.67%	2.42%	0.77%	0.70%	2.24%	6.45%	3.83%	2.22%	0.00%	1.09%	2.21%	9.05%	1.12%	2.65%	1.69%	2.64%	0.97%	1.55%	0.22%	0.00%	2.07%	4.40%	1.66%	1.75%	2.92%	4.49%	1.50%	4.02%	2.54%	4.16%	3.52%	1.97%	1.00%	2.09%	4.24%	12.08%	0.76%	7.05%	1.28%	0.98%	0.81%	1.29%	1.84%	4.97%	1.79%					
																																																										
24	Против всех	171	7	9	12	5	23	2	12	0	0	3	0	3	0	2	5	6	0	2	5	6	0	0	0	3	0	0	2	2	7	10	0	0	6	5	1	5	3	4	8	0	0	5	2	2	0	0	0	0	2	0	2					
		0.47%	0.65%	0.68%	1.09%	0.22%	1.35%	0.45%	2.99%	0.00%	0.00%	0.42%	0.00%	0.81%	0.00%	0.44%	0.49%	3.26%	0.00%	0.82%	0.56%	0.53%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.38%	0.24%	0.40%	0.97%	0.00%	0.00%	0.38%	0.48%	0.17%	0.90%	1.17%	1.97%	1.00%	0.00%	0.00%	1.21%	0.15%	0.28%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.51%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
