Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Зилаирская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  2281	УИК  2282	УИК  2283	УИК  2284	УИК  2285	УИК  2286	УИК  2287	УИК  2288	УИК  2289	УИК  2290	УИК  2291	УИК  2292	УИК  2293	УИК  2294	УИК  2295	УИК  2296	УИК  2297	УИК  2298	УИК  2299	УИК  2300	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314					
		0.49%	0.0%	0.0%	0.48%	0.97%	0.0%	0.0%	0.0%	1.47%	0.85%	1.32%	0.0%	3.70%	0.38%	0.0%	0.43%	0.4%	0.98%	0.0%	2.70%	0.90%	0.69%	0.0%	0.0%	0.27%	0.0%	0.0%	1.53%	0.92%	1.33%	0.0%	0.17%	0.32%	0.60%	1.05%					
30	"13. ""Демократическая партия России"""	24	0	0	0	1	0	0	0	0	3	0	1	0	2	0	3	2	0	0	0	0	7	0	0	0	0	0	1	0	0	0	3	0	1	0					
		0.22%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	1.27%	0.0%	0.14%	0.0%	0.38%	0.0%	0.18%	0.26%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.25%	0.0%	0.20%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	0	0	1	1	0	0	0	0	0	1	0	1	1	0	5	0	3	0	0	0	2	0	0	0	0	0	0	1	1	0	2	2	0	0					
		0.19%	0.0%	0.0%	0.48%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	3.70%	0.19%	0.0%	0.30%	0.0%	2.94%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.66%	0.0%	0.17%	0.64%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%	0.0%	0.0%	0.90%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.52%					
33	"16. ""Родина"" (народно-патриотический союз)"""	253	2	0	1	2	0	0	1	3	6	16	21	0	2	0	83	8	0	7	0	6	53	5	0	0	0	3	3	5	5	1	9	2	3	6					
		2.32%	1.42%	0.0%	0.48%	0.64%	0.0%	0.0%	1.25%	2.20%	2.55%	5.31%	3.13%	0.0%	0.38%	0.0%	5.11%	1.06%	0.0%	7.29%	0.0%	5.45%	3.66%	3.84%	0.0%	0.0%	0.0%	1.89%	1.53%	2.30%	3.33%	0.64%	0.77%	0.64%	0.60%	3.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	41	1	2	1	2	1	0	0	2	0	1	0	0	0	0	6	3	0	0	0	0	1	1	0	0	2	2	1	0	4	0	6	5	0	0					
		0.37%	0.71%	1.05%	0.48%	0.64%	1.08%	0.0%	0.0%	1.47%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.36%	0.4%	0.0%	0.0%	0.0%	0.0%	0.06%	0.76%	0.0%	0.0%	1.81%	1.26%	0.51%	0.0%	2.66%	0.0%	0.51%	1.61%	0.0%	0.0%					
35	"18. ""ЛДПР"""	787	18	0	5	28	8	6	0	7	36	52	59	2	3	13	199	14	14	15	1	20	193	18	1	2	0	0	7	8	6	12	20	1	16	3					
		7.24%	12.85%	0.0%	2.41%	9.09%	8.69%	7.14%	0.0%	5.14%	15.31%	17.27%	8.80%	7.40%	0.58%	27.08%	12.25%	1.86%	13.72%	15.62%	2.70%	18.18%	13.32%	13.84%	3.12%	0.55%	0.0%	0.0%	3.58%	3.68%	4.0%	7.79%	1.72%	0.32%	3.22%	1.58%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	105	4	0	2	4	0	1	3	3	7	3	1	0	0	2	26	7	1	0	1	2	6	0	1	0	1	0	3	3	3	2	11	4	4	0					
		0.96%	2.85%	0.0%	0.96%	1.29%	0.0%	1.19%	3.75%	2.20%	2.97%	0.99%	0.14%	0.0%	0.0%	4.16%	1.60%	0.93%	0.98%	0.0%	2.70%	1.81%	0.41%	0.0%	3.12%	0.0%	0.90%	0.0%	1.53%	1.38%	2.0%	1.29%	0.94%	1.29%	0.80%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	6662	55	166	169	148	67	47	65	95	97	108	452	16	415	25	914	475	56	28	19	36	767	79	30	304	73	115	114	156	69	111	777	208	278	128					
		61.33%	39.28%	87.83%	81.64%	48.05%	72.82%	55.95%	81.25%	69.85%	41.27%	35.88%	67.46%	59.25%	80.73%	52.08%	56.28%	63.33%	54.90%	29.16%	51.35%	32.72%	52.96%	60.76%	93.75%	83.97%	66.36%	72.78%	58.46%	71.88%	46.0%	72.07%	66.86%	67.31%	56.04%	67.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	1	0	0	1	0	0	0	0	1	0	2	1	0	0	1	1	5	0	0	0	11	0	0	0	0	1	0	1	0	0	4	0	2	0					
		0.29%	0.71%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.29%	3.70%	0.0%	0.0%	0.06%	0.13%	4.90%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.46%	0.0%	0.0%	0.34%	0.0%	0.40%	0.0%					
39	"22. ""Развитие предпринимательства"""	25	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	3	0	0	1	0	2	0	0	0	1	0	0	0	0	0	5	0	5	0					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.4%	0.0%	0.0%	2.70%	0.0%	0.13%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	1.00%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	902	13	0	5	49	7	15	2	8	16	35	89	0	28	1	125	61	4	16	3	16	123	9	0	25	9	2	19	13	7	18	82	27	67	8					
		8.30%	9.28%	0.0%	2.41%	15.90%	7.60%	17.85%	2.5%	5.88%	6.80%	11.62%	13.28%	0.0%	5.44%	2.08%	7.69%	8.13%	3.92%	16.66%	8.10%	14.54%	8.49%	6.92%	0.0%	6.90%	8.18%	1.26%	9.74%	5.99%	4.66%	11.68%	7.05%	8.73%	13.50%	4.23%					
																																									
41	Против всех	167	2	0	1	3	0	1	2	0	5	9	6	0	8	1	15	13	0	2	3	1	37	3	0	8	1	3	5	3	4	0	16	2	12	1					
		1.53%	1.42%	0.0%	0.48%	0.97%	0.0%	1.19%	2.5%	0.0%	2.12%	2.99%	0.89%	0.0%	1.55%	2.08%	0.92%	1.73%	0.0%	2.08%	8.10%	0.90%	2.55%	2.30%	0.0%	2.20%	0.90%	1.89%	2.56%	1.38%	2.66%	0.0%	1.37%	0.64%	2.41%	0.52%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
