Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Муромская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
11	Число полученных открепительных  удостоверений	1580	15	35	25	20	25	30	25	15	15	20	25	25	25	30	25	25	25	25	30	25	25	20	10	30	30	20	30	25	30	25	35	30	30	30	30	30	25	30	30	25	40	45	25	25	30	25	30	15	5	10	20	5	5	25	15	20	5	35	5	5	5	10	10	10	10	5	5	5	5	10	10	5	5	10	15	5	5	20	5	5	5					
12	Число выданных открепительных удостоверений	797	3	3	5	9	14	12	13	8	7	6	13	15	18	20	13	20	10	19	21	8	19	17	3	24	12	10	15	13	19	17	21	20	17	18	18	19	14	14	17	11	27	11	10	21	13	7	19	1	4	2	20	0	1	13	4	10	1	23	1	5	1	7	3	5	0	0	0	2	0	2	1	0	0	2	1	0	2	20	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	514	6	2	4	5	3	11	5	12	4	6	11	2	11	10	7	7	5	12	10	1	15	9	9	13	15	8	14	6	4	15	4	10	20	13	15	15	6	7	17	10	12	20	10	8	4	9	3	3	1	1	1	0	2	7	7	4	6	6	2	2	7	2	4	2	2	1	1	5	2	0	1	4	4	3	2	3	2	1	0	1	0					
14	Число неиспользованных открепительных удостоверений	783	12	32	20	11	11	18	12	7	8	14	12	10	7	10	12	5	15	6	9	17	6	3	7	6	18	10	15	12	11	8	14	10	13	12	12	11	11	16	13	14	13	34	15	4	17	18	11	14	1	8	0	5	4	12	11	10	4	12	4	0	4	3	7	5	10	5	5	3	5	8	9	5	5	8	14	5	3	0	5	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																								
18	. Глазьев Сергей Юрьевич	2868	19	24	40	41	45	72	67	21	28	42	54	34	60	70	25	59	68	61	55	47	65	33	11	47	48	46	66	53	109	53	44	72	79	78	65	75	67	61	60	51	44	52	49	46	41	49	63	38	5	22	16	5	1	41	38	44	2	36	9	7	5	5	6	9	19	0	3	4	14	7	13	8	10	11	10	5	9	0	1	6	0					
		3.90%	3.01%	3.28%	3.70%	4.17%	3.49%	4.89%	5.13%	3.60%	3.67%	4.12%	4.31%	2.99%	4.47%	4.72%	2.19%	4.60%	5.70%	5.35%	3.77%	4.45%	5.30%	3.74%	2.35%	4.69%	3.46%	3.80%	4.47%	4.21%	7.33%	4.15%	3.89%	5.38%	4.76%	5.23%	4.96%	5.54%	5.20%	4.27%	4.27%	5.00%	3.86%	3.61%	3.49%	3.08%	2.76%	3.96%	4.13%	3.68%	2.21%	4.14%	1.95%	1.98%	0.41%	3.14%	4.34%	4.04%	1.19%	3.00%	2.35%	2.31%	2.86%	1.57%	1.07%	1.54%	2.33%	0.00%	1.27%	1.20%	4.31%	1.76%	1.98%	2.54%	5.75%	2.09%	1.12%	3.18%	3.12%	0.00%	0.56%	2.18%	0.00%					
19	. Малышкин Олег Александрович	1631	14	20	30	23	17	37	30	9	7	32	22	22	28	33	20	19	14	23	33	17	29	22	15	20	21	34	30	26	34	23	26	27	39	47	42	28	40	46	42	31	22	42	30	30	36	40	26	26	5	19	20	3	3	24	13	22	5	25	9	5	4	7	20	16	5	0	4	7	8	5	4	9	5	17	15	8	4	6	2	2	6					
		2.22%	2.22%	2.73%	2.78%	2.34%	1.32%	2.52%	2.30%	1.54%	0.92%	3.14%	1.75%	1.94%	2.09%	2.22%	1.75%	1.48%	1.17%	2.02%	2.26%	1.61%	2.37%	2.49%	3.20%	2.00%	1.52%	2.81%	2.03%	2.06%	2.28%	1.80%	2.30%	2.02%	2.35%	3.15%	3.21%	2.07%	3.10%	3.22%	2.99%	3.04%	1.93%	2.91%	2.14%	2.01%	2.43%	3.23%	1.70%	2.51%	2.21%	3.58%	2.44%	1.19%	1.23%	1.84%	1.49%	2.02%	2.98%	2.08%	2.35%	1.65%	2.29%	2.20%	3.58%	2.74%	0.61%	0.00%	1.69%	2.11%	2.46%	1.26%	0.61%	2.86%	2.87%	3.23%	1.68%	5.10%	1.39%	1.85%	1.11%	0.73%	4.38%					
20	. Миронов Сергей Михайлович	480	4	7	11	10	6	10	12	6	6	8	8	6	7	9	8	15	8	10	2	8	5	8	4	5	9	6	10	6	10	9	11	4	12	7	10	5	7	13	5	4	10	8	5	11	9	4	13	12	1	4	2	0	2	13	8	13	2	13	1	4	1	0	1	4	3	0	3	1	0	3	3	1	0	4	7	0	0	1	1	1	0					
		0.65%	0.63%	0.96%	1.02%	1.02%	0.47%	0.68%	0.92%	1.03%	0.79%	0.78%	0.64%	0.53%	0.52%	0.61%	0.70%	1.17%	0.67%	0.88%	0.14%	0.76%	0.41%	0.91%	0.85%	0.50%	0.65%	0.50%	0.68%	0.48%	0.67%	0.71%	0.97%	0.30%	0.72%	0.47%	0.76%	0.37%	0.54%	0.91%	0.36%	0.39%	0.88%	0.55%	0.36%	0.74%	0.61%	0.32%	0.85%	1.16%	0.44%	0.75%	0.24%	0.00%	0.82%	1.00%	0.91%	1.19%	1.19%	1.08%	0.26%	1.32%	0.57%	0.00%	0.18%	0.68%	0.37%	0.00%	1.27%	0.30%	0.00%	0.75%	0.46%	0.32%	0.00%	0.76%	0.79%	0.00%	0.00%	0.31%	0.56%	0.36%	0.00%					
21	. Путин Владимир Владимирович	48358	428	510	720	640	775	865	775	361	460	665	834	761	857	894	784	837	729	717	976	692	799	593	320	591	908	792	945	805	894	826	756	859	1079	963	789	847	817	888	915	669	812	979	873	918	1003	796	997	738	154	352	618	188	202	878	589	731	134	841	280	234	122	269	384	474	653	138	139	249	247	246	451	188	116	328	694	114	232	232	132	180	118					
		65.83%	67.83%	69.67%	66.67%	65.04%	60.08%	58.80%	59.34%	61.82%	60.37%	65.20%	66.51%	66.99%	63.86%	60.24%	68.59%	65.19%	61.06%	62.89%	66.99%	65.47%	65.17%	67.23%	68.23%	58.98%	65.51%	65.35%	63.98%	63.89%	60.08%	64.73%	66.84%	64.15%	65.00%	64.63%	60.23%	62.56%	63.38%	62.10%	65.12%	65.52%	71.23%	67.89%	62.22%	61.49%	67.63%	64.30%	65.29%	71.37%	68.14%	66.29%	75.27%	74.60%	83.13%	67.23%	67.31%	67.19%	79.76%	70.02%	73.11%	77.23%	69.71%	84.59%	68.69%	81.03%	80.22%	76.67%	58.65%	75.00%	76.00%	61.81%	68.75%	59.68%	66.67%	62.36%	77.89%	72.61%	80.56%	71.38%	73.33%	65.45%	86.13%					
22	. Хакамада Ирина Муцуовна	2219	16	15	37	31	50	49	42	25	15	43	41	28	45	64	35	49	46	48	64	60	49	42	11	38	60	47	61	30	54	56	33	56	60	34	46	45	35	43	46	27	34	38	31	37	36	29	37	35	4	13	20	6	0	26	17	29	3	37	7	5	3	4	6	3	13	2	1	6	9	6	6	2	1	6	12	5	3	4	0	6	1					
		3.02%	2.54%	2.05%	3.43%	3.15%	3.88%	3.33%	3.22%	4.28%	1.97%	4.22%	3.27%	2.46%	3.35%	4.31%	3.06%	3.82%	3.85%	4.21%	4.39%	5.68%	4.00%	4.76%	2.35%	3.79%	4.33%	3.88%	4.13%	2.38%	3.63%	4.39%	2.92%	4.18%	3.61%	2.28%	3.51%	3.32%	2.72%	3.01%	3.27%	2.64%	2.98%	2.64%	2.21%	2.48%	2.43%	2.34%	2.42%	3.38%	1.77%	2.45%	2.44%	2.38%	0.00%	1.99%	1.94%	2.67%	1.79%	3.08%	1.83%	1.65%	1.71%	1.26%	1.07%	0.51%	1.60%	1.11%	0.42%	1.81%	2.77%	1.51%	0.91%	0.63%	0.57%	1.14%	1.35%	3.18%	1.04%	1.23%	0.00%	2.18%	0.73%					
23	. Харитонов Николай Михайлович	14135	126	125	194	190	330	358	308	134	217	181	243	224	280	340	206	240	259	220	243	171	222	146	82	246	266	249	289	259	301	238	203	238	270	280	282	270	260	270	249	174	144	232	340	367	281	259	297	149	51	90	119	42	27	242	174	201	21	144	67	31	39	30	110	66	106	31	79	60	36	122	153	93	39	136	137	18	30	68	42	70	9					
		19.24%	19.97%	17.08%	17.96%	19.31%	25.58%	24.34%	23.58%	22.95%	28.48%	17.75%	19.38%	19.72%	20.86%	22.91%	18.02%	18.69%	21.69%	19.30%	16.68%	16.18%	18.11%	16.55%	17.48%	24.55%	19.19%	20.54%	19.57%	20.56%	20.23%	18.65%	17.95%	17.77%	16.27%	18.79%	21.53%	19.94%	20.17%	18.88%	17.72%	17.04%	12.63%	16.09%	24.23%	24.58%	18.95%	20.92%	19.45%	14.41%	22.57%	16.95%	14.49%	16.67%	11.11%	18.53%	19.89%	18.47%	12.50%	11.99%	17.49%	10.23%	22.29%	9.43%	19.68%	11.28%	13.02%	17.22%	33.33%	18.07%	11.08%	30.65%	23.32%	29.52%	22.41%	25.86%	15.38%	11.46%	10.42%	20.92%	23.33%	25.45%	6.57%					
																																																																																								
24	Против всех	3164	12	26	41	37	59	69	58	19	22	41	40	56	55	60	55	57	62	51	75	54	46	33	14	50	67	33	69	65	78	59	53	71	106	67	61	72	53	102	80	58	66	78	70	71	64	54	79	29	4	24	24	6	6	67	26	33	1	96	6	14	0	3	16	10	11	7	6	3	7	3	16	13	1	16	13	5	5	12	0	10	3					
		4.31%	1.90%	3.55%	3.80%	3.76%	4.57%	4.69%	4.44%	3.25%	2.89%	4.02%	3.19%	4.93%	4.10%	4.04%	4.81%	4.44%	5.19%	4.47%	5.15%	5.11%	3.75%	3.74%	2.99%	4.99%	4.83%	2.72%	4.67%	5.16%	5.24%	4.62%	4.69%	5.30%	6.39%	4.50%	4.66%	5.32%	4.11%	7.13%	5.69%	5.68%	5.79%	5.41%	4.99%	4.76%	4.32%	4.36%	5.17%	2.80%	1.77%	4.52%	2.92%	2.38%	2.47%	5.13%	2.97%	3.03%	0.60%	7.99%	1.57%	4.62%	0.00%	0.94%	2.86%	1.71%	1.35%	3.89%	2.53%	0.90%	2.15%	0.75%	2.44%	4.13%	0.57%	3.04%	1.46%	3.18%	1.74%	3.69%	0.00%	3.64%	2.19%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
