Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414					
18	"1. ""ЕДИНЕНИЕ"""	1017	13	5	12	9	8	25	19	10	16	5	22	17	28	18	9	11	18	14	10	8	23	17	18	29	13	7	24	21	12	15	4	8	9	8	10	8	27	14	12	29	19	7	15	16	2	9	17	11	16	13	8	10	14	11	0	8	14	7	16	4	15	23	18	7	16	12	17	12	26	19	9	16	4	1	3	4	13					
		1.09%	1.85%	0.56%	0.95%	1.23%	1.56%	1.29%	1.22%	1.29%	0.94%	0.67%	1.37%	1.11%	1.57%	0.84%	1.12%	1.39%	1.32%	1.51%	0.71%	0.63%	1.15%	1.44%	0.93%	1.39%	1.02%	0.87%	1.13%	1.08%	1.33%	0.83%	0.87%	0.70%	0.60%	1.36%	1.45%	1.13%	1.78%	0.97%	0.99%	1.59%	1.20%	0.69%	0.92%	1.13%	0.57%	0.58%	1.67%	1.18%	0.96%	0.94%	1.72%	1.43%	0.98%	1.74%	0.0%	0.75%	0.70%	1.19%	1.61%	0.51%	0.79%	1.18%	1.06%	0.55%	1.10%	0.77%	1.37%	1.07%	1.37%	1.43%	0.58%	0.71%	6.34%	0.86%	3.22%	3.17%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6808	31	55	115	46	28	131	99	49	122	60	101	110	134	191	42	80	89	50	91	89	151	84	131	133	83	54	137	158	74	152	31	94	126	74	74	56	120	92	79	132	161	109	100	130	20	111	63	63	132	101	33	42	108	40	37	91	193	45	87	52	119	144	107	100	85	115	98	82	130	98	117	129	0	1	1	3	13					
		7.32%	4.43%	6.20%	9.18%	6.31%	5.49%	6.80%	6.37%	6.33%	7.21%	8.07%	6.32%	7.24%	7.53%	8.95%	5.23%	10.12%	6.55%	5.41%	6.51%	7.08%	7.58%	7.16%	6.77%	6.37%	6.53%	6.77%	6.47%	8.19%	8.20%	8.51%	6.81%	8.26%	8.53%	12.67%	10.77%	7.94%	7.95%	6.41%	6.55%	7.24%	10.22%	10.86%	6.16%	9.24%	5.78%	7.19%	6.20%	6.78%	7.92%	7.35%	7.12%	6.02%	7.60%	6.32%	11.34%	8.58%	9.67%	7.70%	8.77%	6.64%	6.29%	7.43%	6.33%	7.96%	5.87%	7.42%	7.91%	7.36%	6.89%	7.40%	7.57%	5.74%	0.0%	0.86%	1.07%	2.38%	1.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3474	23	37	55	22	25	90	63	28	79	21	50	91	90	70	20	20	62	35	69	57	98	30	58	55	57	40	65	57	13	61	19	41	53	17	27	17	43	14	51	70	8	33	62	53	4	64	24	28	53	61	9	22	59	36	14	40	52	16	39	28	86	70	67	45	77	66	55	66	116	56	61	84	1	6	4	3	13					
		3.73%	3.29%	4.17%	4.39%	3.02%	4.90%	4.67%	4.05%	3.61%	4.67%	2.82%	3.13%	5.99%	5.06%	3.28%	2.49%	2.53%	4.56%	3.79%	4.93%	4.53%	4.92%	2.55%	2.99%	2.63%	4.48%	5.01%	3.07%	2.95%	1.44%	3.41%	4.17%	3.60%	3.58%	2.91%	3.93%	2.41%	2.84%	0.97%	4.23%	3.84%	0.50%	3.29%	3.82%	3.76%	1.15%	4.15%	2.36%	3.01%	3.18%	4.44%	1.94%	3.15%	4.15%	5.69%	4.29%	3.77%	2.60%	2.73%	3.93%	3.57%	4.55%	3.61%	3.96%	3.58%	5.32%	4.26%	4.44%	5.92%	6.15%	4.22%	3.94%	3.73%	1.58%	5.21%	4.30%	2.38%	1.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	7768	31	86	125	59	32	173	123	45	152	70	136	115	150	160	65	74	118	74	119	140	163	96	139	176	77	66	143	166	70	187	32	116	126	67	71	74	109	69	119	156	121	110	106	152	34	143	62	95	138	122	57	61	118	38	47	96	161	52	114	45	176	141	147	85	129	122	90	98	141	138	168	174	1	2	3	1	11					
		8.35%	4.43%	9.70%	9.98%	8.10%	6.27%	8.98%	7.92%	5.81%	8.99%	9.42%	8.51%	7.57%	8.43%	7.49%	8.10%	9.36%	8.69%	8.01%	8.51%	11.13%	8.18%	8.18%	7.18%	8.44%	6.05%	8.28%	6.75%	8.60%	7.76%	10.47%	7.03%	10.20%	8.53%	11.47%	10.33%	10.49%	7.22%	4.81%	9.87%	8.56%	7.68%	10.96%	6.53%	10.81%	9.82%	9.27%	6.10%	10.23%	8.28%	8.88%	12.31%	8.75%	8.30%	6.01%	14.41%	9.05%	8.07%	8.90%	11.49%	5.74%	9.31%	7.27%	8.70%	6.77%	8.91%	7.88%	7.26%	8.80%	7.48%	10.42%	10.87%	7.74%	1.58%	1.73%	3.22%	0.79%	1.53%					
22	"5. ""За Русь Святую"""	456	1	9	3	2	0	9	10	3	8	3	9	6	29	14	5	2	3	0	6	8	8	6	7	5	11	6	7	5	3	8	3	5	9	0	5	4	5	3	6	13	5	5	7	5	1	5	1	5	12	5	4	3	8	0	1	6	6	1	8	2	13	9	9	4	2	11	13	7	9	15	10	8	0	1	0	3	3					
		0.49%	0.14%	1.01%	0.23%	0.27%	0.0%	0.46%	0.64%	0.38%	0.47%	0.40%	0.56%	0.39%	1.63%	0.65%	0.62%	0.25%	0.22%	0.0%	0.42%	0.63%	0.40%	0.51%	0.36%	0.23%	0.86%	0.75%	0.33%	0.25%	0.33%	0.44%	0.65%	0.43%	0.60%	0.0%	0.72%	0.56%	0.33%	0.20%	0.49%	0.71%	0.31%	0.49%	0.43%	0.35%	0.28%	0.32%	0.09%	0.53%	0.72%	0.36%	0.86%	0.43%	0.56%	0.0%	0.30%	0.56%	0.30%	0.17%	0.80%	0.25%	0.68%	0.46%	0.53%	0.31%	0.13%	0.71%	1.05%	0.62%	0.47%	1.13%	0.64%	0.35%	0.0%	0.86%	0.0%	2.38%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	267	5	3	1	1	4	5	5	1	5	0	3	5	11	6	1	0	5	0	4	3	2	6	4	8	12	6	2	6	3	2	2	6	2	0	0	2	5	2	5	4	5	2	3	4	0	4	2	1	4	2	4	1	6	4	0	4	0	1	1	4	4	3	11	4	6	4	8	3	11	3	2	6	1	0	0	0	2					
		0.28%	0.71%	0.33%	0.07%	0.13%	0.78%	0.25%	0.32%	0.12%	0.29%	0.0%	0.18%	0.32%	0.61%	0.28%	0.12%	0.0%	0.36%	0.0%	0.28%	0.23%	0.10%	0.51%	0.20%	0.38%	0.94%	0.75%	0.09%	0.31%	0.33%	0.11%	0.43%	0.52%	0.13%	0.0%	0.0%	0.28%	0.33%	0.13%	0.41%	0.21%	0.31%	0.19%	0.18%	0.28%	0.0%	0.25%	0.19%	0.10%	0.24%	0.14%	0.86%	0.14%	0.42%	0.63%	0.0%	0.37%	0.0%	0.17%	0.10%	0.51%	0.21%	0.15%	0.65%	0.31%	0.41%	0.25%	0.64%	0.26%	0.58%	0.22%	0.12%	0.26%	1.58%	0.0%	0.0%	0.0%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	1440	9	20	11	16	6	29	17	14	24	13	30	11	29	29	10	15	22	7	27	26	34	17	37	45	7	9	43	36	17	27	5	8	21	10	15	19	20	7	18	33	19	15	32	16	2	25	23	14	27	22	9	15	28	12	3	16	29	6	9	12	27	40	41	26	29	27	16	16	31	15	23	16	0	0	1	1	4					
		1.54%	1.28%	2.25%	0.87%	2.19%	1.17%	1.50%	1.09%	1.80%	1.42%	1.74%	1.87%	0.72%	1.63%	1.35%	1.24%	1.89%	1.62%	0.75%	1.93%	2.06%	1.70%	1.44%	1.91%	2.15%	0.55%	1.12%	2.03%	1.86%	1.88%	1.51%	1.09%	0.70%	1.42%	1.71%	2.18%	2.69%	1.32%	0.48%	1.49%	1.81%	1.20%	1.49%	1.97%	1.13%	0.57%	1.62%	2.26%	1.50%	1.62%	1.60%	1.94%	2.15%	1.97%	1.89%	0.92%	1.50%	1.45%	1.02%	0.90%	1.53%	1.42%	2.06%	2.42%	2.07%	2.00%	1.74%	1.29%	1.43%	1.64%	1.13%	1.48%	0.71%	0.0%	0.0%	1.07%	0.79%	0.55%					
25	"8. ""Народно-республиканская партия России"""	173	1	3	0	3	4	3	2	4	2	20	0	4	1	3	1	1	3	2	2	2	1	0	7	1	3	2	10	3	1	1	1	4	0	0	0	1	1	1	3	4	1	1	0	0	0	0	2	2	0	2	1	0	6	0	0	2	3	0	0	2	3	7	1	1	6	3	1	3	9	1	0	2	3	0	1	0	5					
		0.18%	0.14%	0.33%	0.0%	0.41%	0.78%	0.15%	0.12%	0.51%	0.11%	2.69%	0.0%	0.26%	0.05%	0.14%	0.12%	0.12%	0.22%	0.21%	0.14%	0.15%	0.05%	0.0%	0.36%	0.04%	0.23%	0.25%	0.47%	0.15%	0.11%	0.05%	0.21%	0.35%	0.0%	0.0%	0.0%	0.14%	0.06%	0.06%	0.24%	0.21%	0.06%	0.09%	0.0%	0.0%	0.0%	0.0%	0.19%	0.21%	0.0%	0.14%	0.21%	0.0%	0.42%	0.0%	0.0%	0.18%	0.15%	0.0%	0.0%	0.25%	0.15%	0.36%	0.05%	0.07%	0.41%	0.19%	0.08%	0.26%	0.47%	0.07%	0.0%	0.08%	4.76%	0.0%	1.07%	0.0%	0.69%					
26	"9. ""Российская экологическая партия ""Зеленые"""	897	4	7	17	2	2	16	11	9	11	8	11	11	10	49	13	12	13	11	5	11	19	11	14	21	13	7	29	26	14	9	4	7	9	7	6	6	31	28	2	11	31	11	18	15	4	11	8	10	6	16	5	6	27	5	4	8	15	4	7	9	17	12	11	8	7	9	11	8	25	6	17	34	1	0	1	1	2					
		0.96%	0.57%	0.79%	1.35%	0.27%	0.39%	0.83%	0.70%	1.16%	0.65%	1.07%	0.68%	0.72%	0.56%	2.29%	1.62%	1.51%	0.95%	1.19%	0.35%	0.87%	0.95%	0.93%	0.72%	1.00%	1.02%	0.87%	1.37%	1.34%	1.55%	0.50%	0.87%	0.61%	0.60%	1.19%	0.87%	0.85%	2.05%	1.95%	0.16%	0.60%	1.96%	1.09%	1.10%	1.06%	1.15%	0.71%	0.78%	1.07%	0.36%	1.16%	1.07%	0.86%	1.90%	0.79%	1.22%	0.75%	0.75%	0.68%	0.70%	1.14%	0.89%	0.61%	0.65%	0.63%	0.48%	0.58%	0.88%	0.71%	1.32%	0.45%	1.10%	1.51%	1.58%	0.0%	1.07%	0.79%	0.27%					
27	"10. ""Аграрная партия России"""	2586	25	25	24	15	14	48	37	26	53	14	36	40	44	54	32	12	40	35	34	35	52	26	42	50	22	29	62	56	23	39	10	20	33	7	20	22	25	142	30	41	102	22	38	38	12	43	11	22	46	31	7	18	32	14	6	21	43	13	24	21	61	52	35	30	34	50	31	23	51	32	34	177	3	5	1	4	5					
		2.78%	3.57%	2.82%	1.91%	2.06%	2.74%	2.49%	2.38%	3.35%	3.13%	1.88%	2.25%	2.63%	2.47%	2.53%	3.99%	1.51%	2.94%	3.79%	2.43%	2.78%	2.61%	2.21%	2.17%	2.39%	1.73%	3.63%	2.93%	2.90%	2.54%	2.18%	2.19%	1.75%	2.23%	1.19%	2.91%	3.12%	1.65%	9.90%	2.48%	2.25%	6.48%	2.19%	2.34%	2.70%	3.46%	2.78%	1.08%	2.37%	2.76%	2.25%	1.51%	2.58%	2.25%	2.21%	1.84%	1.98%	2.15%	2.22%	2.41%	2.68%	3.22%	2.68%	2.07%	2.39%	2.34%	3.22%	2.50%	2.06%	2.70%	2.41%	2.20%	7.88%	4.76%	4.34%	1.07%	3.17%	0.69%					
28	"11. ""Истинные патриоты России"""	281	3	0	6	1	1	3	3	2	4	4	2	1	9	5	4	4	2	0	5	2	5	6	6	6	6	1	7	11	5	2	3	3	4	0	1	2	2	1	7	7	10	4	4	1	1	4	5	1	7	4	0	6	7	2	0	0	7	0	1	5	2	9	3	8	2	7	3	3	14	5	1	4	2	1	1	0	1					
		0.30%	0.42%	0.0%	0.47%	0.13%	0.19%	0.15%	0.19%	0.25%	0.23%	0.53%	0.12%	0.06%	0.50%	0.23%	0.49%	0.50%	0.14%	0.0%	0.35%	0.15%	0.25%	0.51%	0.31%	0.28%	0.47%	0.12%	0.33%	0.57%	0.55%	0.11%	0.65%	0.26%	0.27%	0.0%	0.14%	0.28%	0.13%	0.06%	0.58%	0.38%	0.63%	0.39%	0.24%	0.07%	0.28%	0.25%	0.49%	0.10%	0.42%	0.29%	0.0%	0.86%	0.49%	0.31%	0.0%	0.0%	0.35%	0.0%	0.10%	0.63%	0.10%	0.46%	0.17%	0.63%	0.13%	0.45%	0.24%	0.26%	0.74%	0.37%	0.06%	0.17%	3.17%	0.86%	1.07%	0.0%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	894	9	6	24	5	8	14	12	7	18	4	16	12	17	20	8	9	15	2	14	7	17	8	16	9	19	6	20	16	2	10	5	12	16	9	10	10	12	7	20	16	16	12	12	3	5	19	25	6	16	13	5	7	19	8	9	7	23	4	9	11	11	16	9	16	18	12	6	8	21	22	11	11	2	1	3	2	29					
		0.96%	1.28%	0.67%	1.91%	0.68%	1.56%	0.72%	0.77%	0.90%	1.06%	0.53%	1.00%	0.79%	0.95%	0.93%	0.99%	1.13%	1.10%	0.21%	1.00%	0.55%	0.85%	0.68%	0.82%	0.43%	1.49%	0.75%	0.94%	0.82%	0.22%	0.55%	1.09%	1.05%	1.08%	1.54%	1.45%	1.41%	0.79%	0.48%	1.65%	0.87%	1.01%	1.19%	0.73%	0.21%	1.44%	1.23%	2.46%	0.64%	0.96%	0.94%	1.07%	1.00%	1.33%	1.26%	2.76%	0.66%	1.15%	0.68%	0.90%	1.40%	0.58%	0.82%	0.53%	1.27%	1.24%	0.77%	0.48%	0.71%	1.11%	1.66%	0.71%	0.48%	3.17%	0.86%	3.22%	1.58%	4.04%					
30	"13. ""Демократическая партия России"""	296	2	5	6	0	0	10	2	5	5	2	3	4	8	10	5	2	7	2	4	4	3	9	5	6	4	2	6	5	1	7	5	3	5	0	2	2	7	6	2	3	4	4	3	7	0	3	2	1	7	6	1	7	1	4	3	2	9	3	3	2	8	6	9	0	2	5	4	4	5	2	4	5	0	0	0	0	1					
		0.31%	0.28%	0.56%	0.47%	0.0%	0.0%	0.51%	0.12%	0.64%	0.29%	0.26%	0.18%	0.26%	0.44%	0.46%	0.62%	0.25%	0.51%	0.21%	0.28%	0.31%	0.15%	0.76%	0.25%	0.28%	0.31%	0.25%	0.28%	0.25%	0.11%	0.39%	1.09%	0.26%	0.33%	0.0%	0.29%	0.28%	0.46%	0.41%	0.16%	0.16%	0.25%	0.39%	0.18%	0.49%	0.0%	0.19%	0.19%	0.10%	0.42%	0.43%	0.21%	1.00%	0.07%	0.63%	0.92%	0.18%	0.45%	0.51%	0.30%	0.25%	0.42%	0.30%	0.53%	0.0%	0.13%	0.32%	0.32%	0.35%	0.26%	0.15%	0.25%	0.22%	0.0%	0.0%	0.0%	0.0%	0.13%					
31	"14. ""Великая Россия - Евразийский Союз"""	368	3	1	1	4	3	8	1	2	7	1	11	10	8	17	2	1	3	7	12	1	4	1	11	6	4	8	6	3	0	6	3	2	5	2	0	8	10	9	1	3	4	4	6	12	1	4	4	4	9	5	0	6	1	1	1	2	4	2	0	7	6	10	4	6	6	4	10	4	8	5	12	11	0	2	0	1	7					
		0.39%	0.42%	0.11%	0.07%	0.54%	0.58%	0.41%	0.06%	0.25%	0.41%	0.13%	0.68%	0.65%	0.44%	0.79%	0.24%	0.12%	0.22%	0.75%	0.85%	0.07%	0.20%	0.08%	0.56%	0.28%	0.31%	1.00%	0.28%	0.15%	0.0%	0.33%	0.65%	0.17%	0.33%	0.34%	0.0%	1.13%	0.66%	0.62%	0.08%	0.16%	0.25%	0.39%	0.36%	0.85%	0.28%	0.25%	0.39%	0.43%	0.54%	0.36%	0.0%	0.86%	0.07%	0.15%	0.30%	0.18%	0.20%	0.34%	0.0%	0.89%	0.31%	0.51%	0.23%	0.47%	0.41%	0.25%	0.80%	0.35%	0.42%	0.37%	0.77%	0.48%	0.0%	1.73%	0.0%	0.79%	0.97%					
32	"15. ""Партия СЛОН"""	391	2	1	4	4	4	9	2	3	7	4	2	5	4	5	0	3	4	4	5	9	4	1	6	11	3	1	4	4	2	4	1	11	12	0	3	5	14	6	3	14	11	4	3	6	3	8	2	1	9	6	2	3	8	3	6	7	13	1	8	1	7	16	9	0	5	2	5	2	18	4	9	16	1	0	1	0	1					
		0.42%	0.28%	0.11%	0.31%	0.54%	0.78%	0.46%	0.12%	0.38%	0.41%	0.53%	0.12%	0.32%	0.22%	0.23%	0.0%	0.37%	0.29%	0.43%	0.35%	0.71%	0.20%	0.08%	0.31%	0.52%	0.23%	0.12%	0.18%	0.20%	0.22%	0.22%	0.21%	0.96%	0.81%	0.0%	0.43%	0.70%	0.92%	0.41%	0.24%	0.76%	0.69%	0.39%	0.18%	0.42%	0.86%	0.51%	0.19%	0.10%	0.54%	0.43%	0.43%	0.43%	0.56%	0.47%	1.84%	0.66%	0.65%	0.17%	0.80%	0.12%	0.37%	0.82%	0.53%	0.0%	0.34%	0.12%	0.40%	0.17%	0.95%	0.30%	0.58%	0.71%	1.58%	0.0%	1.07%	0.0%	0.13%					
33	"16. ""Родина"" (народно-патриотический союз)"""	11383	60	109	206	88	35	256	182	101	212	87	202	198	281	234	87	92	163	121	158	162	307	129	140	228	110	63	228	216	119	328	91	137	204	92	79	100	133	72	172	221	93	149	204	183	41	217	93	97	196	185	64	97	179	61	46	153	275	90	140	133	268	247	260	196	169	205	121	124	264	142	233	204	3	6	9	15	18					
		12.24%	8.58%	12.30%	16.45%	12.08%	6.86%	13.29%	11.71%	13.04%	12.54%	11.70%	12.64%	13.04%	15.80%	10.96%	10.84%	11.64%	12.01%	13.10%	11.30%	12.88%	15.41%	10.99%	7.23%	10.93%	8.65%	7.90%	10.77%	11.20%	13.19%	18.36%	20.0%	12.04%	13.81%	15.75%	11.49%	14.18%	8.81%	5.02%	14.27%	12.12%	5.90%	14.85%	12.57%	13.01%	11.84%	14.07%	9.16%	10.45%	11.76%	13.47%	13.82%	13.91%	12.59%	9.65%	14.11%	14.43%	13.79%	15.41%	14.11%	16.98%	14.18%	12.75%	15.39%	15.61%	11.67%	13.24%	9.77%	11.14%	14.00%	10.72%	15.08%	9.08%	4.76%	5.21%	9.67%	11.90%	2.51%					
