Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Копейская городская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924					
		3.88%	4.47%	4.55%	2.54%	4.16%	2.31%	3.28%	3.34%	1.17%	2.37%	3.60%	6.53%	2.07%	2.79%	3.55%	2.98%	4.50%	4.41%	4.06%	5.50%	3.56%	4.37%	3.11%	4.67%	3.64%	4.60%	4.22%	4.13%	5.99%	4.90%	5.35%	3.83%	3.35%	4.63%	4.58%	5.19%	5.05%	4.14%	3.79%	4.14%	3.39%	3.27%	3.05%	2.38%	2.65%	4.18%	3.48%	3.98%	3.46%	2.60%	1.89%	2.98%	3.44%	3.75%	4.26%	4.18%	4.61%	3.36%	4.64%	3.98%	4.08%	2.66%					
19	. Малышкин Олег Александрович	2129	47	15	32	30	39	26	28	61	10	55	10	28	41	45	35	41	60	35	29	28	18	13	28	30	9	27	16	39	46	46	40	43	49	62	43	59	54	25	39	23	26	38	23	50	36	44	72	63	31	26	10	41	15	45	52	34	62	27	8	2	20					
		3.37%	3.75%	2.62%	4.27%	3.56%	3.60%	1.78%	2.60%	5.09%	2.37%	5.08%	2.61%	3.41%	2.66%	3.47%	3.48%	3.08%	4.20%	2.84%	3.19%	3.99%	2.13%	2.52%	3.44%	2.80%	2.07%	2.33%	2.13%	2.85%	3.69%	2.54%	3.40%	2.67%	3.06%	4.11%	2.72%	3.46%	3.44%	6.78%	4.48%	4.59%	3.40%	3.73%	3.43%	5.09%	4.56%	4.38%	4.10%	3.82%	4.03%	4.91%	1.30%	4.15%	1.94%	3.36%	4.18%	2.61%	3.72%	2.61%	3.98%	1.36%	2.42%					
20	. Миронов Сергей Михайлович	456	7	4	7	5	3	10	7	7	2	14	2	12	10	11	9	8	14	9	3	4	6	2	5	3	6	11	8	8	6	11	11	11	9	14	18	18	18	0	2	2	3	6	4	2	2	11	10	7	5	5	6	8	3	10	10	14	15	13	1	1	3					
		0.72%	0.56%	0.70%	0.93%	0.59%	0.28%	0.68%	0.65%	0.58%	0.47%	1.29%	0.52%	1.46%	0.65%	0.85%	0.89%	0.60%	0.98%	0.73%	0.33%	0.57%	0.71%	0.39%	0.62%	0.28%	1.38%	0.95%	1.07%	0.58%	0.48%	0.61%	0.94%	0.68%	0.56%	0.93%	1.14%	1.06%	1.15%	0.00%	0.23%	0.40%	0.39%	0.59%	0.60%	0.20%	0.25%	1.09%	0.57%	0.42%	0.65%	0.95%	0.78%	0.81%	0.39%	0.75%	0.80%	1.08%	0.90%	1.26%	0.50%	0.68%	0.36%					
21	. Путин Владимир Владимирович	42134	848	429	549	545	768	1049	727	819	276	676	279	578	1143	952	730	878	894	772	572	438	585	391	579	805	298	782	495	834	789	1193	733	1017	1056	943	955	1064	1071	245	574	346	547	686	463	651	547	661	1192	1073	496	353	545	608	513	793	764	835	1140	691	143	115	641					
		66.74%	67.62%	75.00%	73.30%	64.73%	70.91%	71.65%	67.50%	68.36%	65.40%	62.48%	72.85%	70.32%	74.17%	73.51%	72.49%	65.87%	62.65%	62.71%	62.93%	62.39%	69.07%	75.92%	71.22%	75.23%	68.51%	67.36%	66.00%	60.92%	63.32%	65.77%	62.38%	63.05%	66.04%	62.53%	60.48%	62.48%	68.17%	66.40%	65.98%	69.06%	71.50%	67.39%	69.00%	66.29%	69.24%	65.77%	67.84%	65.07%	64.50%	66.73%	70.69%	61.54%	66.36%	59.27%	61.41%	64.18%	68.35%	66.83%	71.14%	78.23%	77.51%					
22	. Хакамада Ирина Муцуовна	2210	30	13	18	23	27	41	38	43	8	22	15	29	52	23	20	59	54	57	31	16	22	10	20	29	15	42	29	63	72	74	56	81	74	64	70	72	65	18	24	18	23	41	23	34	27	23	48	41	24	18	43	46	22	49	46	42	56	41	1	5	20					
		3.50%	2.39%	2.27%	2.40%	2.73%	2.49%	2.80%	3.53%	3.59%	1.90%	2.03%	3.92%	3.53%	3.37%	1.78%	1.99%	4.43%	3.78%	4.63%	3.41%	2.28%	2.60%	1.94%	2.46%	2.71%	3.45%	3.62%	3.87%	4.60%	5.78%	4.08%	4.77%	5.02%	4.63%	4.24%	4.43%	4.23%	4.14%	4.88%	2.76%	3.59%	3.01%	4.03%	3.43%	3.46%	3.42%	2.29%	2.73%	2.49%	3.12%	3.40%	5.58%	4.66%	2.85%	3.66%	3.70%	3.23%	3.36%	3.97%	0.50%	3.40%	2.42%					
23	. Харитонов Николай Михайлович	9819	210	56	82	166	163	221	182	190	79	214	34	87	171	138	141	211	242	216	166	153	124	66	101	112	55	163	119	244	185	265	203	301	242	248	308	269	179	49	140	60	80	141	99	167	107	161	232	312	142	88	104	192	140	315	209	259	235	142	38	15	86					
		15.55%	16.75%	9.79%	10.95%	19.71%	15.05%	15.10%	16.90%	15.86%	18.72%	19.78%	8.88%	10.58%	11.10%	10.66%	14.00%	15.83%	16.96%	17.55%	18.26%	21.79%	14.64%	12.82%	12.42%	10.47%	12.64%	14.04%	15.87%	17.82%	14.85%	14.61%	17.28%	18.66%	15.13%	16.45%	19.51%	15.80%	11.39%	13.28%	16.09%	11.98%	10.46%	13.85%	14.75%	17.01%	13.54%	16.02%	13.20%	18.92%	18.47%	16.64%	13.49%	19.43%	18.11%	23.54%	16.80%	19.91%	14.09%	13.73%	18.91%	10.20%	10.40%					
																																																																				
24	Против всех	3294	47	26	31	35	38	57	44	43	31	46	16	58	74	54	38	61	85	84	39	33	50	14	39	37	27	79	38	92	87	123	68	93	81	95	94	119	104	16	44	24	47	69	37	41	38	60	117	75	43	24	34	42	35	57	99	46	79	62	2	0	23					
		5.22%	3.75%	4.55%	4.14%	4.16%	3.51%	3.89%	4.09%	3.59%	7.35%	4.25%	4.18%	7.06%	4.80%	4.17%	3.77%	4.58%	5.96%	6.82%	4.29%	4.70%	5.90%	2.72%	4.80%	3.46%	6.21%	6.80%	5.07%	6.72%	6.98%	6.78%	5.79%	5.77%	5.07%	6.30%	5.95%	6.99%	6.62%	4.34%	5.06%	4.79%	6.14%	6.78%	5.51%	4.18%	4.81%	5.97%	6.66%	4.55%	5.59%	4.54%	4.41%	4.25%	4.53%	4.26%	7.96%	3.54%	4.74%	6.00%	1.00%	0.00%	2.78%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
