Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №940					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	890	10	20	10	34	15	26	20	1	5	1	10	10	10	20	10	10	10	10	10	15	10	20	20	10	9	10	20	10	12	10	10	10	18	8	10	14	0	10	10	10	13	20	12	10	10	8	13	10	10	12	10	20	13	15	15	20	32	10	15	10	10	15	10	10	10	14	20	10	15	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	732	6	18	2	31	15	22	20	0	1	1	6	10	10	14	8	10	9	9	5	15	10	15	10	10	9	9	16	9	12	8	9	10	11	8	8	13	0	7	3	6	12	14	11	9	4	7	12	8	9	11	9	16	12	15	15	13	30	8	12	8	7	12	8	10	8	13	17	5	12	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	599	6	4	15	5	4	6	18	17	6	8	54	0	4	4	13	7	12	12	4	12	24	3	0	5	7	4	5	3	4	4	11	2	6	3	11	7	23	15	10	8	2	9	0	3	46	8	3	5	9	4	3	11	12	6	5	4	5	8	11	4	8	5	2	3	2	7	3	8	5	8	24					
14	Число погашенных неиспользованных открепительных удостоверений	158	4	2	8	3	0	4	0	1	4	0	4	0	0	6	2	0	1	1	5	0	0	5	10	0	0	1	4	1	0	2	1	0	7	0	2	1	0	3	7	4	1	6	1	1	6	1	1	2	1	1	1	4	1	0	0	7	2	2	3	2	3	3	2	0	2	1	3	5	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	1235	9	21	4	20	15	14	25	11	6	6	12	12	13	32	23	22	25	22	17	17	19	21	18	23	30	10	25	18	21	17	25	18	16	17	15	24	3	3	2	15	26	13	27	16	17	23	23	18	10	23	29	30	19	20	36	16	16	14	24	22	20	12	13	14	8	14	14	15	27	6	4					
		2.28%	1.29%	3.04%	1.35%	1.71%	1.99%	0.82%	2.90%	3.48%	1.89%	1.63%	3.49%	1.30%	2.20%	3.08%	2.98%	2.36%	2.63%	2.15%	2.17%	1.84%	1.99%	2.65%	2.57%	3.38%	4.35%	2.30%	2.41%	2.28%	2.73%	1.65%	2.03%	2.62%	2.16%	2.37%	1.46%	2.85%	2.44%	0.47%	0.97%	2.35%	2.61%	1.67%	2.78%	2.45%	2.35%	2.38%	2.09%	2.38%	1.74%	3.12%	3.07%	2.44%	1.80%	1.77%	3.01%	2.58%	2.75%	1.91%	3.58%	3.01%	3.22%	2.27%	1.65%	1.66%	1.35%	1.83%	2.55%	3.18%	2.87%	1.02%	2.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	682	5	6	2	4	8	12	5	4	0	1	1	7	11	17	16	5	14	13	4	15	17	24	18	6	13	6	9	12	11	15	15	10	6	7	10	3	0	2	2	7	11	8	20	5	7	8	22	13	7	12	13	19	16	19	14	11	5	9	15	11	6	7	10	9	10	7	2	12	16	12	3					
		1.26%	0.72%	0.87%	0.67%	0.34%	1.06%	0.70%	0.58%	1.27%	0.00%	0.27%	0.29%	0.76%	1.86%	1.63%	2.07%	0.54%	1.48%	1.27%	0.51%	1.63%	1.78%	3.03%	2.57%	0.88%	1.89%	1.38%	0.87%	1.52%	1.43%	1.45%	1.22%	1.46%	0.81%	0.97%	0.97%	0.36%	0.00%	0.31%	0.97%	1.10%	1.10%	1.03%	2.06%	0.76%	0.97%	0.83%	2.00%	1.72%	1.22%	1.63%	1.38%	1.54%	1.52%	1.68%	1.17%	1.77%	0.86%	1.23%	2.24%	1.50%	0.97%	1.32%	1.27%	1.07%	1.69%	0.92%	0.36%	2.54%	1.70%	2.04%	1.79%					
20	3.Политическая партия «Демократическая партия России»	59	0	1	0	0	0	2	0	1	1	0	1	1	0	1	3	3	0	4	2	1	1	1	2	0	2	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	2	1	1	0	0	0	0	1	0	2	0	0	0	1	1	1	0	1	3	6	0	0					
		0.11%	0.00%	0.14%	0.00%	0.00%	0.00%	0.12%	0.00%	0.32%	0.32%	0.00%	0.29%	0.11%	0.00%	0.10%	0.39%	0.32%	0.00%	0.39%	0.26%	0.11%	0.10%	0.13%	0.29%	0.00%	0.29%	0.00%	0.19%	0.13%	0.00%	0.19%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.21%	0.09%	0.13%	0.17%	0.27%	0.11%	0.08%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.30%	0.00%	0.00%	0.00%	0.13%	0.12%	0.17%	0.00%	0.18%	0.64%	0.64%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7393	85	90	37	71	115	108	107	40	40	27	55	126	93	144	110	139	100	133	148	124	155	143	100	112	101	48	146	124	101	127	150	69	107	87	128	125	5	71	16	59	177	112	132	102	84	141	188	100	67	91	138	180	100	169	163	93	76	137	109	114	73	83	134	156	86	129	101	50	122	104	16					
		13.64%	12.20%	13.04%	12.46%	6.07%	15.25%	6.31%	12.41%	12.66%	12.62%	7.32%	15.99%	13.67%	15.76%	13.85%	14.23%	14.88%	10.54%	12.99%	18.88%	13.43%	16.26%	18.08%	14.27%	16.45%	14.66%	11.03%	14.08%	15.70%	13.13%	12.29%	12.19%	10.06%	14.42%	12.12%	12.46%	14.83%	4.07%	11.06%	7.77%	9.25%	17.77%	14.36%	13.61%	15.60%	11.60%	14.61%	17.11%	13.21%	11.67%	12.33%	14.62%	14.61%	9.48%	14.98%	13.61%	15.00%	13.06%	18.66%	16.24%	15.57%	11.76%	15.69%	16.96%	18.55%	14.55%	16.88%	18.36%	10.59%	12.95%	17.72%	9.52%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	665	4	6	1	3	14	6	5	4	1	0	2	16	6	5	11	8	11	12	9	9	13	21	27	12	4	3	25	19	15	16	7	9	3	4	5	5	0	4	0	6	11	6	20	4	7	14	19	14	4	3	11	16	13	7	12	11	4	15	5	21	8	21	13	17	10	12	8	6	17	5	0					
		1.23%	0.57%	0.87%	0.34%	0.26%	1.86%	0.35%	0.58%	1.27%	0.32%	0.00%	0.58%	1.74%	1.02%	0.48%	1.42%	0.86%	1.16%	1.17%	1.15%	0.98%	1.36%	2.65%	3.85%	1.76%	0.58%	0.69%	2.41%	2.41%	1.95%	1.55%	0.57%	1.31%	0.40%	0.56%	0.49%	0.59%	0.00%	0.62%	0.00%	0.94%	1.10%	0.77%	2.06%	0.61%	0.97%	1.45%	1.73%	1.85%	0.70%	0.41%	1.17%	1.30%	1.23%	0.62%	1.00%	1.77%	0.69%	2.04%	0.75%	2.87%	1.29%	3.97%	1.65%	2.02%	1.69%	1.57%	1.45%	1.27%	1.80%	0.85%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	136	2	5	0	0	4	2	1	1	2	1	0	2	0	1	2	2	1	3	3	1	3	2	3	1	2	2	7	5	4	0	4	2	1	2	2	0	0	0	0	3	2	3	2	2	2	6	5	2	1	2	1	3	3	3	2	0	0	4	0	1	1	1	3	2	0	6	1	0	2	0	0					
		0.25%	0.29%	0.72%	0.00%	0.00%	0.53%	0.12%	0.12%	0.32%	0.63%	0.27%	0.00%	0.22%	0.00%	0.10%	0.26%	0.21%	0.11%	0.29%	0.38%	0.11%	0.31%	0.25%	0.43%	0.15%	0.29%	0.46%	0.68%	0.63%	0.52%	0.00%	0.32%	0.29%	0.13%	0.28%	0.19%	0.00%	0.00%	0.00%	0.00%	0.47%	0.20%	0.38%	0.21%	0.31%	0.28%	0.62%	0.45%	0.26%	0.17%	0.27%	0.11%	0.24%	0.28%	0.27%	0.17%	0.00%	0.00%	0.54%	0.00%	0.14%	0.16%	0.19%	0.38%	0.24%	0.00%	0.79%	0.18%	0.00%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5383	31	68	45	144	74	188	88	31	13	27	26	93	60	117	67	90	104	116	53	103	109	69	55	90	72	60	89	60	78	116	129	64	90	77	104	90	14	72	22	74	96	82	86	58	64	98	92	78	66	59	107	124	125	102	115	42	51	72	69	52	66	57	65	74	59	86	57	59	91	44	15					
		9.93%	4.45%	9.86%	15.15%	12.31%	9.81%	10.99%	10.21%	9.81%	4.10%	7.32%	7.56%	10.09%	10.17%	11.25%	8.67%	9.64%	10.96%	11.33%	6.76%	11.16%	11.44%	8.72%	7.85%	13.22%	10.45%	13.79%	8.58%	7.59%	10.14%	11.23%	10.48%	9.33%	12.13%	10.72%	10.13%	10.68%	11.38%	11.21%	10.68%	11.60%	9.64%	10.51%	8.87%	8.87%	8.84%	10.16%	8.37%	10.30%	11.50%	7.99%	11.33%	10.06%	11.85%	9.04%	9.60%	6.77%	8.76%	9.81%	10.28%	7.10%	10.63%	10.78%	8.23%	8.80%	9.98%	11.26%	10.36%	12.50%	9.66%	7.50%	8.93%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6828	60	75	25	57	98	99	89	48	41	49	42	132	86	139	113	129	151	91	116	121	104	135	106	102	112	54	144	122	84	156	171	81	89	78	103	97	10	74	19	59	124	89	123	104	100	117	149	121	86	98	106	127	147	143	144	78	81	90	66	113	103	78	119	128	84	100	75	58	113	83	20					
		12.60%	8.61%	10.87%	8.42%	4.87%	12.99%	5.79%	10.32%	15.19%	12.93%	13.28%	12.21%	14.32%	14.58%	13.37%	14.62%	13.81%	15.91%	8.89%	14.80%	13.11%	10.91%	17.07%	15.12%	14.98%	16.26%	12.41%	13.89%	15.44%	10.92%	15.10%	13.89%	11.81%	11.99%	10.86%	10.03%	11.51%	8.13%	11.53%	9.22%	9.25%	12.45%	11.41%	12.68%	15.90%	13.81%	12.12%	13.56%	15.98%	14.98%	13.28%	11.23%	10.31%	13.93%	12.68%	12.02%	12.58%	13.92%	12.26%	9.84%	15.44%	16.59%	14.74%	15.06%	15.22%	14.21%	13.09%	13.64%	12.29%	11.99%	14.14%	11.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	359	6	3	1	6	3	11	3	1	4	4	5	6	1	7	7	6	12	7	6	5	12	11	3	2	4	7	3	5	7	10	8	1	2	5	6	2	0	4	0	1	3	5	4	4	7	9	9	10	3	3	7	9	11	9	5	3	8	4	6	7	2	4	2	6	4	2	3	3	6	2	2					
		0.66%	0.86%	0.43%	0.34%	0.51%	0.40%	0.64%	0.35%	0.32%	1.26%	1.08%	1.45%	0.65%	0.17%	0.67%	0.91%	0.64%	1.26%	0.68%	0.77%	0.54%	1.26%	1.39%	0.43%	0.29%	0.58%	1.61%	0.29%	0.63%	0.91%	0.97%	0.65%	0.15%	0.27%	0.70%	0.58%	0.24%	0.00%	0.62%	0.00%	0.16%	0.30%	0.64%	0.41%	0.61%	0.97%	0.93%	0.82%	1.32%	0.52%	0.41%	0.74%	0.73%	1.04%	0.80%	0.42%	0.48%	1.37%	0.54%	0.89%	0.96%	0.32%	0.76%	0.25%	0.71%	0.68%	0.26%	0.55%	0.64%	0.64%	0.34%	1.19%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	30072	486	403	173	845	400	1234	527	170	205	252	194	498	305	555	402	504	510	596	405	503	490	322	338	314	339	234	552	395	438	553	691	403	408	418	618	478	91	401	143	394	524	447	523	342	419	507	547	370	315	429	511	700	596	631	674	346	328	373	360	371	332	244	409	408	321	382	279	253	516	320	108					
		55.47%	69.73%	58.41%	58.25%	72.22%	53.05%	72.12%	61.14%	53.80%	64.67%	68.29%	56.40%	54.01%	51.69%	53.37%	52.01%	53.96%	53.74%	58.20%	51.66%	54.50%	51.42%	40.71%	48.22%	46.11%	49.20%	53.79%	53.23%	50.00%	56.96%	53.53%	56.13%	58.75%	54.99%	58.22%	60.18%	56.70%	73.98%	62.46%	69.42%	61.76%	52.61%	57.31%	53.92%	52.29%	57.87%	52.54%	49.77%	48.88%	54.88%	58.13%	54.13%	56.82%	56.49%	55.94%	56.26%	55.81%	56.36%	50.82%	53.65%	50.68%	53.46%	46.12%	51.77%	48.51%	54.31%	50.00%	50.73%	53.60%	54.78%	54.51%	64.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	828	2	9	3	9	13	11	4	2	1	2	1	11	9	10	15	16	12	20	11	12	25	36	23	15	8	9	20	19	6	10	16	11	11	12	12	9	0	3	0	12	13	6	25	13	11	22	28	23	8	11	16	14	12	14	14	10	9	13	10	16	6	16	13	19	3	19	7	6	16	5	0					
		1.53%	0.29%	1.30%	1.01%	0.77%	1.72%	0.64%	0.46%	0.63%	0.32%	0.54%	0.29%	1.19%	1.53%	0.96%	1.94%	1.71%	1.26%	1.95%	1.40%	1.30%	2.62%	4.55%	3.28%	2.20%	1.16%	2.07%	1.93%	2.41%	0.78%	0.97%	1.30%	1.60%	1.48%	1.67%	1.17%	1.07%	0.00%	0.47%	0.00%	1.88%	1.31%	0.77%	2.58%	1.99%	1.52%	2.28%	2.55%	3.04%	1.39%	1.49%	1.69%	1.14%	1.14%	1.24%	1.17%	1.61%	1.55%	1.77%	1.49%	2.19%	0.97%	3.02%	1.65%	2.26%	0.51%	2.49%	1.27%	1.27%	1.70%	0.85%	0.00%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
