Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
Наименование Избирательной комиссии:    Большереченская																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588									
		6.89%	4.96%	28.80%	5.28%	6.88%	7.28%	6.64%	4.42%	7.06%	6.20%	7.72%	5.52%	6.32%	9.06%	6.74%	4.86%	4.49%	7.82%	4.92%	5.00%	6.23%	5.71%	0.00%	3.94%	5.47%	6.11%	12.82%	10.91%	4.84%	4.52%	2.48%	0.00%	15.74%	12.64%	9.52%	9.33%	13.16%	4.65%	5.45%	5.00%	19.61%	3.97%	4.02%	2.38%	5.97%	4.29%	4.60%	5.88%	6.35%	4.35%	4.00%	2.71%	4.86%	2.53%	5.50%	5.50%	5.21%	2.08%	0.00%	8.25%	3.47%	3.28%	5.95%	11.00%	7.63%	9.26%	5.10%	6.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	159	1	9	5	5	2	4	1	4	3	2	5	11	5	1	6	5	4	1	0	4	1	0	1	3	2	0	0	0	0	7	0	0	7	0	1	2	0	4	0	0	0	5	0	0	1	2	0	2	0	0	4	4	0	5	1	4	0	0	3	2	1	2	5	4	3	0	5									
		1.46%	0.35%	2.85%	2.03%	1.81%	0.97%	1.66%	0.34%	1.57%	1.24%	0.81%	2.76%	3.86%	1.89%	0.28%	2.43%	2.04%	1.65%	1.64%	0.00%	1.31%	0.41%	0.00%	0.79%	2.34%	0.76%	0.00%	0.00%	0.00%	0.00%	5.79%	0.00%	0.00%	2.68%	0.00%	1.33%	1.75%	0.00%	1.45%	0.00%	0.00%	0.00%	2.51%	0.00%	0.00%	1.43%	0.84%	0.00%	3.17%	0.00%	0.00%	1.55%	1.62%	0.00%	1.62%	0.92%	4.17%	0.00%	0.00%	1.46%	0.99%	0.82%	2.38%	1.62%	1.61%	5.56%	0.00%	4.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5137	109	132	94	107	83	94	92	109	90	104	72	79	102	139	94	121	117	38	26	146	111	32	63	77	139	17	43	28	84	57	67	30	120	17	37	57	29	156	27	34	93	130	28	28	43	167	24	29	91	7	147	120	51	167	73	58	34	25	111	108	61	58	116	89	15	45	46									
		47.06%	38.65%	41.77%	38.21%	38.77%	40.29%	39.00%	31.29%	42.75%	37.19%	42.28%	39.78%	27.72%	38.49%	39.04%	38.06%	49.39%	48.15%	62.30%	65.00%	47.87%	45.31%	74.42%	49.61%	60.16%	53.05%	43.59%	39.09%	45.16%	42.21%	47.11%	61.47%	27.78%	45.98%	40.48%	49.33%	50.00%	67.44%	56.73%	45.00%	66.67%	73.81%	65.33%	66.67%	41.79%	61.43%	69.87%	70.59%	46.03%	79.13%	28.00%	56.98%	48.58%	64.56%	54.05%	66.97%	60.42%	70.83%	44.64%	53.88%	53.47%	50.00%	69.05%	37.54%	35.74%	27.78%	45.92%	43.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	2	1	0	0	1	2	5	0	1	0	1	1	0	1	2	3	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	0	0	0	0	0	2	1	2	0	0	0	0									
		0.35%	0.71%	0.32%	0.00%	0.00%	0.49%	0.83%	1.70%	0.00%	0.41%	0.00%	0.55%	0.35%	0.00%	0.28%	0.81%	1.22%	0.41%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.40%	0.00%	0.65%	2.75%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	1.19%	0.65%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1	3	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0									
		0.27%	0.00%	0.32%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.41%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	1.53%	2.38%	4.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.50%	0.00%	1.49%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	1.27%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1436	44	38	49	38	27	32	37	43	36	30	27	61	35	54	37	34	36	6	6	38	43	5	28	22	36	6	12	13	18	20	28	9	10	1	6	5	4	31	4	1	13	12	5	8	4	19	6	12	14	8	41	32	9	26	7	16	2	3	19	31	19	2	39	35	6	22	16									
		13.15%	15.60%	12.03%	19.92%	13.77%	13.11%	13.28%	12.59%	16.86%	14.88%	12.20%	14.92%	21.40%	13.21%	15.17%	14.98%	13.88%	14.81%	9.84%	15.00%	12.46%	17.55%	11.63%	22.05%	17.19%	13.74%	15.38%	10.91%	20.97%	9.05%	16.53%	25.69%	8.33%	3.83%	2.38%	8.00%	4.39%	9.30%	11.27%	6.67%	1.96%	10.32%	6.03%	11.90%	11.94%	5.71%	7.95%	17.65%	19.05%	12.17%	32.00%	15.89%	12.96%	11.39%	8.41%	6.42%	16.67%	4.17%	5.36%	9.22%	15.35%	15.57%	2.38%	12.62%	14.06%	11.11%	22.45%	15.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	1	3	1	0	0	1	2	1	0	2	0	1	0	0	2	2	1	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0									
		0.27%	0.35%	0.95%	0.41%	0.00%	0.00%	0.41%	0.68%	0.39%	0.00%	0.81%	0.00%	0.35%	0.00%	0.00%	0.81%	0.82%	0.41%	0.00%	0.00%	0.00%	0.41%	0.00%	0.79%	0.00%	0.76%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.42%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%	0.00%	0.50%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	2	1	4	0	3	3	6	1	4	1	2	2	3	2	0	2	2	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	2	1	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	2	1	0	0	0	1	0	2	0	9	5	0	2	1									
		0.72%	0.71%	0.32%	1.63%	0.00%	1.46%	1.24%	2.04%	0.39%	1.65%	0.41%	1.10%	0.70%	1.13%	0.56%	0.00%	0.82%	0.82%	0.00%	0.00%	0.33%	0.41%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	1.61%	0.00%	0.83%	0.00%	0.93%	0.77%	2.38%	0.00%	0.00%	4.65%	0.36%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	1.21%	0.00%	0.65%	0.92%	0.00%	0.00%	0.00%	0.49%	0.00%	1.64%	0.00%	2.91%	2.01%	0.00%	2.04%	0.95%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0									
		0.11%	0.00%	0.32%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.38%	0.00%	0.00%	0.41%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	58	1	3	0	1	3	2	3	0	1	2	1	3	2	2	3	1	1	0	1	0	1	0	1	0	4	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	1	5	0	1	0	1	0	0	1	0	1	0	0									
		0.53%	0.35%	0.95%	0.00%	0.36%	1.46%	0.83%	1.02%	0.00%	0.41%	0.81%	0.55%	1.05%	0.75%	0.56%	1.21%	0.41%	0.41%	0.00%	2.50%	0.00%	0.41%	0.00%	0.79%	0.00%	1.53%	0.00%	2.73%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	1.33%	0.00%	0.00%	0.36%	0.00%	0.00%	1.59%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.65%	0.92%	5.21%	0.00%	1.79%	0.00%	0.50%	0.00%	0.00%	0.32%	0.00%	1.85%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2633	88	20	65	91	59	61	113	57	82	68	48	89	74	111	81	58	45	12	3	78	59	4	20	14	51	10	34	16	81	29	14	45	72	18	19	29	5	62	22	5	12	34	8	22	13	32	2	15	3	9	49	61	14	60	15	6	10	8	40	39	17	13	84	89	20	22	24									
		24.12%	31.21%	6.33%	26.42%	32.97%	28.64%	25.31%	38.44%	22.35%	33.88%	27.64%	26.52%	31.23%	27.92%	31.18%	32.79%	23.67%	18.52%	19.67%	7.50%	25.57%	24.08%	9.30%	15.75%	10.94%	19.47%	25.64%	30.91%	25.81%	40.70%	23.97%	12.84%	41.67%	27.59%	42.86%	25.33%	25.44%	11.63%	22.55%	36.67%	9.80%	9.52%	17.09%	19.05%	32.84%	18.57%	13.39%	5.88%	23.81%	2.61%	36.00%	18.99%	24.70%	17.72%	19.42%	13.76%	6.25%	20.83%	14.29%	19.42%	19.31%	13.93%	15.48%	27.18%	35.74%	37.04%	22.45%	22.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	1	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	4	0	1	0	1	0	0	0	0									
		0.22%	0.35%	0.00%	0.81%	0.00%	0.00%	0.83%	0.00%	0.39%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.33%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	1.61%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.39%	0.81%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	1.94%	0.00%	0.82%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	199	6	7	5	8	0	8	9	7	3	8	5	8	7	9	4	2	4	0	1	9	4	2	3	0	2	1	0	0	1	1	0	4	2	0	0	2	0	1	3	0	1	2	0	0	2	3	0	0	0	0	3	5	1	4	1	0	0	16	1	3	4	1	10	1	1	1	3									
		1.82%	2.13%	2.22%	2.03%	2.90%	0.00%	3.32%	3.06%	2.75%	1.24%	3.25%	2.76%	2.81%	2.64%	2.53%	1.62%	0.82%	1.65%	0.00%	2.50%	2.95%	1.63%	4.65%	2.36%	0.00%	0.76%	2.56%	0.00%	0.00%	0.50%	0.83%	0.00%	3.70%	0.77%	0.00%	0.00%	1.75%	0.00%	0.36%	5.00%	0.00%	0.79%	1.01%	0.00%	0.00%	2.86%	1.26%	0.00%	0.00%	0.00%	0.00%	1.16%	2.02%	1.27%	1.29%	0.92%	0.00%	0.00%	28.57%	0.49%	1.49%	3.28%	1.19%	3.24%	0.40%	1.85%	1.02%	2.86%									
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
