Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Нерчинская 																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644					
14	Число погашенных открепительных удостоверений	304	9	8	5	8	8	6	7	5	4	5	5	5	4	3	4	5	3	4	6	5	3	5	7	2	7	5	8	16	16	15	15	13	15	15	10	16	12	15					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	179	3	2	4	6	1	2	7	1	1	5	2	6	9	1	8	3	8	6	9	2	4	0	7	5	9	2	3	7	7	7	7	9	4	2	6	2	2	10					
		1.73%	1.80%	0.35%	4.65%	1.61%	0.33%	0.63%	2.25%	1.58%	0.99%	4.90%	1.94%	4.37%	2.27%	1.20%	3.46%	2.34%	3.96%	3.19%	1.61%	1.65%	2.28%	0.0%	3.41%	2.45%	3.18%	1.83%	1.08%	1.63%	1.63%	1.74%	2.19%	2.09%	1.02%	0.58%	0.90%	0.68%	0.47%	2.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	65	0	0	0	0	2	1	1	0	0	0	0	1	1	0	1	1	1	0	4	0	2	0	0	0	7	0	2	5	1	5	4	9	1	3	7	0	2	4					
		0.62%	0.0%	0.0%	0.0%	0.0%	0.66%	0.31%	0.32%	0.0%	0.0%	0.0%	0.0%	0.72%	0.25%	0.0%	0.43%	0.78%	0.49%	0.0%	0.71%	0.0%	1.14%	0.0%	0.0%	0.0%	2.47%	0.0%	0.72%	1.16%	0.23%	1.24%	1.25%	2.09%	0.25%	0.87%	1.05%	0.0%	0.47%	1.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	273	7	10	3	14	10	16	7	3	3	4	6	4	5	2	4	3	9	5	10	4	5	4	5	5	6	1	6	12	10	9	7	6	6	7	24	4	17	10					
		2.64%	4.21%	1.75%	3.48%	3.76%	3.30%	5.04%	2.25%	4.76%	2.97%	3.92%	5.82%	2.91%	1.26%	2.40%	1.73%	2.34%	4.45%	2.65%	1.79%	3.30%	2.85%	4.25%	2.43%	2.45%	2.12%	0.91%	2.16%	2.79%	2.34%	2.23%	2.19%	1.39%	1.53%	2.05%	3.61%	1.36%	4.06%	2.96%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	120	0	0	0	7	0	0	2	0	0	3	5	0	1	2	0	0	1	6	9	0	2	0	0	0	3	0	3	6	3	8	7	8	9	2	13	7	12	1					
		1.16%	0.0%	0.0%	0.0%	1.88%	0.0%	0.0%	0.64%	0.0%	0.0%	2.94%	4.85%	0.0%	0.25%	2.40%	0.0%	0.0%	0.49%	3.19%	1.61%	0.0%	1.14%	0.0%	0.0%	0.0%	1.06%	0.0%	1.08%	1.39%	0.70%	1.99%	2.19%	1.86%	2.30%	0.58%	1.96%	2.38%	2.87%	0.29%					
22	"5. ""За Русь Святую"""	47	0	1	0	2	1	0	0	1	0	0	0	0	2	1	0	1	1	3	4	1	0	0	4	1	2	2	0	2	5	0	0	2	1	3	3	2	1	1					
		0.45%	0.0%	0.17%	0.0%	0.53%	0.33%	0.0%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.50%	1.20%	0.0%	0.78%	0.49%	1.59%	0.71%	0.82%	0.0%	0.0%	1.95%	0.49%	0.70%	1.83%	0.0%	0.46%	1.17%	0.0%	0.0%	0.46%	0.25%	0.87%	0.45%	0.68%	0.23%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	0	1	0	0	0	1	1	1	3	0	0	0	1	0	2	0	2	1	3	1	0	0	1	1	1	0	0	1	1	0	1	0	0	3	0	0	2	0					
		0.27%	0.0%	0.17%	0.0%	0.0%	0.0%	0.31%	0.32%	1.58%	2.97%	0.0%	0.0%	0.0%	0.25%	0.0%	0.86%	0.0%	0.99%	0.53%	0.53%	0.82%	0.0%	0.0%	0.48%	0.49%	0.35%	0.0%	0.0%	0.23%	0.23%	0.0%	0.31%	0.0%	0.0%	0.87%	0.0%	0.0%	0.47%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	49	0	3	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	1	2	1	0	4	5	4	5	1	0	1	2	4	3	1	2					
		0.47%	0.0%	0.52%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.49%	0.53%	0.0%	0.0%	1.71%	0.0%	0.48%	0.98%	0.35%	0.0%	1.44%	1.16%	0.93%	1.24%	0.31%	0.0%	0.25%	0.58%	0.60%	1.02%	0.23%	0.59%					
25	"8. ""Народно-республиканская партия России"""	17	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	2	2	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	1	0					
		0.16%	0.0%	0.17%	0.0%	0.0%	0.33%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.72%	0.25%	0.0%	0.0%	0.0%	0.49%	1.06%	0.35%	0.0%	0.57%	0.0%	0.0%	0.49%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.15%	0.0%	0.23%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	1	1	0	2	0	2	0	2	3	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2					
		0.19%	0.60%	0.17%	0.0%	0.53%	0.0%	0.63%	0.0%	3.17%	2.97%	0.98%	0.0%	0.0%	0.0%	0.0%	0.43%	0.78%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.59%					
27	"10. ""Аграрная партия России"""	770	6	98	4	48	45	59	42	7	24	14	10	12	29	6	21	8	28	9	16	9	14	7	8	27	41	11	12	18	22	11	10	14	16	8	25	13	9	9					
		7.45%	3.61%	17.22%	4.65%	12.90%	14.85%	18.61%	13.54%	11.11%	23.76%	13.72%	9.70%	8.75%	7.32%	7.22%	9.09%	6.25%	13.86%	4.78%	2.86%	7.43%	8.0%	7.44%	3.90%	13.23%	14.48%	10.09%	4.33%	4.19%	5.15%	2.73%	3.13%	3.25%	4.10%	2.34%	3.77%	4.42%	2.15%	2.67%					
28	"11. ""Истинные патриоты России"""	10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	0	0					
		0.09%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.20%	0.43%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.23%	0.0%	0.24%	0.0%	0.23%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	106	0	7	1	3	1	4	4	0	1	0	1	2	6	3	2	2	2	6	5	2	4	2	9	4	5	3	1	2	1	2	4	4	3	1	2	1	3	3					
		1.02%	0.0%	1.23%	1.16%	0.80%	0.33%	1.26%	1.29%	0.0%	0.99%	0.0%	0.97%	1.45%	1.51%	3.61%	0.86%	1.56%	0.99%	3.19%	0.89%	1.65%	2.28%	2.12%	4.39%	1.96%	1.76%	2.75%	0.36%	0.46%	0.23%	0.49%	1.25%	0.93%	0.76%	0.29%	0.30%	0.34%	0.71%	0.89%					
30	"13. ""Демократическая партия России"""	25	0	1	0	4	0	0	2	0	0	0	0	0	2	0	2	0	0	1	1	0	0	0	1	0	0	1	2	0	0	1	1	2	0	0	3	0	1	0					
		0.24%	0.0%	0.17%	0.0%	1.07%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.86%	0.0%	0.0%	0.53%	0.17%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.91%	0.72%	0.0%	0.0%	0.24%	0.31%	0.46%	0.0%	0.0%	0.45%	0.0%	0.23%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	3	0	0	0	4	3	2	0	2	1	0	3	0	0	0	1	0	0	0	0					
		0.25%	0.0%	0.17%	1.16%	0.26%	0.0%	0.0%	0.32%	1.58%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.53%	0.53%	0.0%	0.0%	0.0%	1.95%	1.47%	0.70%	0.0%	0.72%	0.23%	0.0%	0.74%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0					
		0.07%	0.60%	0.17%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.34%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	442	3	7	4	8	10	8	15	1	5	0	6	3	29	9	5	1	5	6	30	3	10	3	11	2	13	5	15	23	33	20	10	24	28	16	36	8	15	12					
		4.27%	1.80%	1.23%	4.65%	2.15%	3.30%	2.52%	4.83%	1.58%	4.95%	0.0%	5.82%	2.18%	7.32%	10.84%	2.16%	0.78%	2.47%	3.19%	5.37%	2.47%	5.71%	3.19%	5.36%	0.98%	4.59%	4.58%	5.41%	5.36%	7.72%	4.97%	3.13%	5.58%	7.17%	4.69%	5.42%	2.72%	3.58%	3.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	0	3	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	1	1	2	0	2	2	2	1	0	2					
		0.25%	0.0%	0.52%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	1.06%	0.0%	0.0%	0.70%	0.91%	0.0%	0.0%	0.23%	0.24%	0.62%	0.0%	0.51%	0.58%	0.30%	0.34%	0.0%	0.59%					
35	"18. ""ЛДПР"""	1623	30	79	7	52	67	44	16	10	12	20	21	22	59	12	39	14	32	39	107	19	23	16	26	27	42	16	44	72	71	76	53	62	60	63	104	52	57	58					
		15.70%	18.07%	13.88%	8.13%	13.97%	22.11%	13.88%	5.16%	15.87%	11.88%	19.60%	20.38%	16.05%	14.89%	14.45%	16.88%	10.93%	15.84%	20.74%	19.17%	15.70%	13.14%	17.02%	12.68%	13.23%	14.84%	14.67%	15.88%	16.78%	16.62%	18.90%	16.61%	14.41%	15.38%	18.47%	15.68%	17.68%	13.63%	17.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	204	9	10	1	11	6	4	5	1	0	1	4	0	9	1	3	2	2	2	16	0	6	2	5	2	9	4	3	9	12	8	9	8	5	7	9	4	8	7					
		1.97%	5.42%	1.75%	1.16%	2.95%	1.98%	1.26%	1.61%	1.58%	0.0%	0.98%	3.88%	0.0%	2.27%	1.20%	1.29%	1.56%	0.99%	1.06%	2.86%	0.0%	3.42%	2.12%	2.43%	0.98%	3.18%	3.66%	1.08%	2.09%	2.81%	1.99%	2.82%	1.86%	1.28%	2.05%	1.35%	1.36%	1.91%	2.07%					
37	"20. ""Политическая партия ""Единая Россия"""	4166	39	200	22	131	126	98	119	18	30	35	26	51	135	29	109	41	61	56	232	59	65	25	100	71	106	46	138	181	171	211	141	173	183	147	309	125	204	153					
		40.31%	23.49%	35.14%	25.58%	35.21%	41.58%	30.91%	38.38%	28.57%	29.70%	34.31%	25.24%	37.22%	34.09%	34.93%	47.18%	32.03%	30.19%	29.78%	41.57%	48.76%	37.14%	26.59%	48.78%	34.80%	37.45%	42.20%	49.81%	42.19%	40.04%	52.48%	44.20%	40.23%	46.92%	43.10%	46.60%	42.51%	48.80%	45.40%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	4	3	0	2	0	0	0	2	0	1	0	2	4	0	1	1	1	1	3	1	0	0	0					
		0.30%	0.0%	0.17%	0.0%	0.0%	0.0%	0.31%	0.0%	1.58%	0.99%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	3.12%	1.48%	0.0%	0.35%	0.0%	0.0%	0.0%	0.97%	0.0%	0.35%	0.0%	0.72%	0.93%	0.0%	0.24%	0.31%	0.23%	0.25%	0.87%	0.15%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	17	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	2					
		0.16%	0.0%	0.17%	0.0%	0.53%	0.0%	0.63%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.23%	0.59%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1679	61	114	35	54	26	56	67	8	14	11	15	30	92	12	14	36	37	39	84	18	26	30	12	43	22	12	34	47	69	19	49	90	58	64	100	60	67	54					
		16.24%	36.74%	20.03%	40.69%	14.51%	8.58%	17.66%	21.61%	12.69%	13.86%	10.78%	14.56%	21.89%	23.23%	14.45%	6.06%	28.12%	18.31%	20.74%	15.05%	14.87%	14.85%	31.91%	5.85%	21.07%	7.77%	11.00%	12.27%	10.95%	16.15%	4.72%	15.36%	20.93%	14.87%	18.76%	15.08%	20.40%	16.02%	16.02%					
																																													
41	Против всех	224	2	15	3	6	2	12	8	1	3	2	2	5	4	3	15	5	6	0	7	1	6	0	5	5	4	2	3	25	11	11	8	9	7	4	5	6	5	6					
		2.16%	1.20%	2.63%	3.48%	1.61%	0.66%	3.78%	2.58%	1.58%	2.97%	1.96%	1.94%	3.64%	1.01%	3.61%	6.49%	3.90%	2.97%	0.0%	1.25%	0.82%	3.42%	0.0%	2.43%	2.45%	1.41%	1.83%	1.08%	5.82%	2.57%	2.73%	2.50%	2.09%	1.79%	1.17%	0.75%	2.04%	1.19%	1.78%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
