Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Кирсановская 																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	197	19	6	5	5	7	6	7	7	8	7	4	2	2	2	4	2	11	2	6	5	4	2	3	2	6	4	2	2	17	10	10	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	4	5	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	2	7	1	4	5	6	2	3	2	2	1	2	3	1	0	2	7	5	3	1	2	4	1	0	2	2	1	4	4	5	2	2					
14	Число погашенных открепительных удостоверений	168	19	6	5	2	7	6	7	7	5	7	4	2	2	2	4	2	8	2	6	5	4	2	3	2	6	3	2	2	13	5	8	10					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	254	18	7	6	1	11	3	11	4	10	15	7	2	3	0	12	4	8	5	8	13	6	6	2	1	3	8	12	1	16	18	8	25					
		2.51%	2.21%	1.95%	2.06%	0.31%	3.30%	1.28%	5.85%	0.88%	3.05%	4.34%	3.36%	1.98%	3.22%	0.0%	4.97%	3.03%	1.47%	4.67%	2.37%	4.42%	2.76%	4.19%	0.93%	0.71%	0.81%	2.56%	4.51%	1.38%	2.02%	3.92%	1.67%	3.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	156	16	7	2	3	9	4	1	4	17	4	3	5	2	0	5	4	2	0	2	6	4	0	2	0	1	7	2	2	14	6	9	13					
		1.54%	1.96%	1.95%	0.68%	0.94%	2.70%	1.71%	0.53%	0.88%	5.19%	1.15%	1.44%	4.95%	2.15%	0.0%	2.07%	3.03%	0.36%	0.0%	0.59%	2.04%	1.84%	0.0%	0.93%	0.0%	0.27%	2.24%	0.75%	2.77%	1.76%	1.30%	1.88%	1.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	374	23	22	5	7	13	16	12	15	15	24	18	4	7	4	4	5	12	5	10	12	7	2	4	3	15	5	8	2	26	21	20	28					
		3.70%	2.82%	6.14%	1.71%	2.21%	3.90%	6.86%	6.38%	3.31%	4.58%	6.95%	8.65%	3.96%	7.52%	3.25%	1.65%	3.78%	2.20%	4.67%	2.96%	4.08%	3.22%	1.39%	1.87%	2.14%	4.06%	1.60%	3.00%	2.77%	3.28%	4.57%	4.19%	3.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	141	18	11	1	1	6	7	0	6	9	4	1	2	1	0	4	2	11	0	8	1	5	0	0	1	5	3	1	1	10	7	6	9					
		1.39%	2.21%	3.07%	0.34%	0.31%	1.80%	3.00%	0.0%	1.32%	2.75%	1.15%	0.48%	1.98%	1.07%	0.0%	1.65%	1.51%	2.02%	0.0%	2.37%	0.34%	2.30%	0.0%	0.0%	0.71%	1.35%	0.96%	0.37%	1.38%	1.26%	1.52%	1.25%	1.11%					
22	"5. ""За Русь Святую"""	109	7	14	10	1	6	3	2	5	5	7	0	6	2	0	1	0	7	1	0	1	2	1	0	2	1	1	3	1	5	2	5	8					
		1.07%	0.85%	3.91%	3.43%	0.31%	1.80%	1.28%	1.06%	1.10%	1.52%	2.02%	0.0%	5.94%	2.15%	0.0%	0.41%	0.0%	1.28%	0.93%	0.0%	0.34%	0.92%	0.69%	0.0%	1.42%	0.27%	0.32%	1.12%	1.38%	0.63%	0.43%	1.04%	0.99%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	3	5	0	0	3	0	0	0	1	5	0	0	0	0	0	2	4	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0					
		0.28%	0.36%	1.39%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.30%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.73%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.41%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	40	3	0	0	0	5	0	0	0	0	0	0	2	0	0	1	0	2	1	1	0	0	0	0	0	1	1	1	1	6	4	5	6					
		0.39%	0.36%	0.0%	0.0%	0.0%	1.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.98%	0.0%	0.0%	0.41%	0.0%	0.36%	0.93%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.32%	0.37%	1.38%	0.75%	0.87%	1.04%	0.74%					
25	"8. ""Народно-республиканская партия России"""	17	0	1	0	1	1	0	0	1	0	1	0	0	1	0	2	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0					
		0.16%	0.0%	0.27%	0.0%	0.31%	0.30%	0.0%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	1.07%	0.0%	0.82%	0.0%	0.18%	0.93%	0.29%	0.34%	0.46%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.12%	0.21%	0.20%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2					
		0.13%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.81%	0.41%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.43%	0.20%	0.24%					
27	"10. ""Аграрная партия России"""	682	24	35	31	22	16	8	3	27	5	16	21	4	3	26	26	5	62	11	79	18	19	29	45	20	11	2	8	4	37	18	25	22					
		6.75%	2.94%	9.77%	10.65%	6.96%	4.80%	3.43%	1.59%	5.97%	1.52%	4.63%	10.09%	3.96%	3.22%	21.13%	10.78%	3.78%	11.39%	10.28%	23.44%	6.12%	8.75%	20.27%	21.12%	14.28%	2.98%	0.64%	3.00%	5.55%	4.67%	3.92%	5.24%	2.73%					
28	"11. ""Истинные патриоты России"""	12	2	0	0	0	0	0	0	0	5	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.11%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.52%	0.0%	0.0%	0.0%	0.0%	1.62%	0.41%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	61	3	4	3	0	1	3	0	3	3	5	0	1	0	1	0	2	2	3	2	3	2	0	3	0	4	0	3	0	1	3	3	3					
		0.60%	0.36%	1.11%	1.03%	0.0%	0.30%	1.28%	0.0%	0.66%	0.91%	1.44%	0.0%	0.99%	0.0%	0.81%	0.0%	1.51%	0.36%	2.80%	0.59%	1.02%	0.92%	0.0%	1.40%	0.0%	1.08%	0.0%	1.12%	0.0%	0.12%	0.65%	0.62%	0.37%					
30	"13. ""Демократическая партия России"""	19	3	0	2	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	2	0	2					
		0.18%	0.36%	0.0%	0.68%	0.0%	0.90%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.46%	0.0%	0.27%	0.32%	0.0%	1.38%	0.0%	0.43%	0.0%	0.24%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	2	0	0	1	0	1	2	3	0	0	0	1	1	0	1	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	1	4					
		0.22%	0.24%	0.0%	0.0%	0.31%	0.0%	0.42%	1.06%	0.66%	0.0%	0.0%	0.0%	0.99%	1.07%	0.0%	0.41%	0.0%	0.18%	0.0%	0.59%	0.0%	0.46%	0.0%	0.46%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.49%					
32	"15. ""Партия СЛОН"""	13	2	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0					
		0.12%	0.24%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.22%	0.0%	0.28%	0.48%	0.0%	0.0%	0.0%	0.41%	0.0%	0.36%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.20%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	447	25	15	5	11	17	6	9	31	18	13	7	1	6	3	14	4	35	8	11	17	8	8	15	3	9	6	11	3	39	24	18	47					
		4.42%	3.07%	4.18%	1.71%	3.48%	5.10%	2.57%	4.78%	6.85%	5.50%	3.76%	3.36%	0.99%	6.45%	2.43%	5.80%	3.03%	6.43%	7.47%	3.26%	5.78%	3.68%	5.59%	7.04%	2.14%	2.43%	1.92%	4.13%	4.16%	4.93%	5.22%	3.77%	5.84%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	4	0	0	2	0	1	1	1	2	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	2	0	0	1	0	3					
		0.25%	0.49%	0.0%	0.0%	0.63%	0.0%	0.42%	0.53%	0.22%	0.61%	0.28%	0.96%	0.0%	0.0%	0.0%	0.41%	0.75%	0.0%	0.0%	0.0%	0.0%	0.46%	0.69%	0.0%	0.0%	0.27%	0.32%	0.75%	0.0%	0.0%	0.21%	0.0%	0.37%					
35	"18. ""ЛДПР"""	1012	65	40	13	19	53	37	10	57	52	31	22	11	5	7	21	12	39	13	27	16	28	16	16	8	52	30	17	6	80	44	54	111					
		10.01%	7.98%	11.17%	4.46%	6.01%	15.91%	15.87%	5.31%	12.61%	15.90%	8.98%	10.57%	10.89%	5.37%	5.69%	8.71%	9.09%	7.16%	12.14%	8.01%	5.44%	12.90%	11.18%	7.51%	5.71%	14.09%	9.61%	6.39%	8.33%	10.11%	9.58%	11.32%	13.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	142	6	7	2	2	14	3	2	5	2	11	2	1	2	2	4	1	8	2	2	2	1	2	5	3	5	5	6	2	12	7	5	9					
		1.40%	0.73%	1.95%	0.68%	0.63%	4.20%	1.28%	1.06%	1.10%	0.61%	3.18%	0.96%	0.99%	2.15%	1.62%	1.65%	0.75%	1.47%	1.86%	0.59%	0.68%	0.46%	1.39%	2.34%	2.14%	1.35%	1.60%	2.25%	2.77%	1.51%	1.52%	1.04%	1.11%					
37	"20. ""Политическая партия ""Единая Россия"""	3137	280	113	154	96	82	74	52	99	91	58	52	31	21	20	74	53	168	20	84	71	64	46	64	53	187	200	133	19	181	124	130	243					
		31.05%	34.39%	31.56%	52.92%	30.37%	24.62%	31.75%	27.65%	21.90%	27.82%	16.81%	25.0%	30.69%	22.58%	16.26%	30.70%	40.15%	30.88%	18.69%	24.92%	24.14%	29.49%	32.16%	30.04%	37.85%	50.67%	64.10%	50.0%	26.38%	22.88%	27.01%	27.25%	30.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0	3	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1					
		0.15%	0.12%	0.27%	0.0%	0.0%	0.30%	0.42%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.55%	0.93%	0.0%	0.0%	0.0%	2.09%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%					
39	"22. ""Развитие предпринимательства"""	15	3	1	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	0					
		0.14%	0.36%	0.27%	0.0%	0.0%	0.30%	0.42%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.12%	0.65%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2402	240	32	46	109	58	49	54	118	61	119	56	24	30	47	43	26	141	29	61	102	46	20	49	38	36	24	35	20	272	133	105	179					
		23.78%	29.48%	8.93%	15.80%	34.49%	17.41%	21.03%	28.72%	26.10%	18.65%	34.49%	26.92%	23.76%	32.25%	38.21%	17.84%	19.69%	25.91%	27.10%	18.10%	34.69%	21.19%	13.98%	23.00%	27.14%	9.75%	7.69%	13.15%	27.77%	34.38%	28.97%	22.01%	22.26%					
																																							
41	Против всех	582	36	11	4	31	15	8	19	32	20	12	9	4	8	5	15	3	27	3	33	22	6	3	4	7	26	16	19	9	51	26	31	67					
		5.76%	4.42%	3.07%	1.37%	9.81%	4.50%	3.43%	10.10%	7.07%	6.11%	3.47%	4.32%	3.96%	8.60%	4.06%	6.22%	2.27%	4.96%	2.80%	9.79%	7.48%	2.76%	2.09%	1.87%	4.99%	7.04%	5.12%	7.14%	12.5%	6.44%	5.66%	6.49%	8.33%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
