Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Качугская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911									
		17.07%	18.06%	19.79%	25.00%	22.47%	14.29%	18.50%	15.61%	9.78%	31.88%	14.43%	15.00%	14.56%	12.12%	20.00%	19.40%	14.94%	21.88%	16.03%	14.47%	10.87%	10.14%	18.10%	24.56%	20.16%	22.39%	26.92%	7.81%	14.10%	8.00%	24.00%	10.49%	5.41%	26.58%	5.88%	20.43%	11.63%	16.92%	13.54%	20.87%	0.00%	10.47%	13.95%	12.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.65%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	1	5	1	5	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0									
		0.44%	0.32%	1.30%	0.35%	1.58%	0.00%	1.32%	0.49%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	2									
		0.22%	0.00%	0.26%	0.00%	0.00%	0.00%	0.44%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	1.08%	0.00%	0.51%	0.00%	0.87%	0.00%	0.00%	0.00%	1.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	1	5	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0									
		0.42%	0.32%	1.30%	1.06%	0.00%	0.75%	0.00%	0.49%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.69%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.65%	1.03%	1.04%	0.00%	1.04%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1246	81	114	77	98	72	65	53	30	12	23	11	7	104	28	8	11	10	39	30	2	2	25	9	34	18	10	18	32	1	1	26	10	31	2	8	7	59	12	15	17	5	6	23									
		23.01%	26.13%	29.69%	27.11%	31.01%	27.07%	28.63%	25.85%	32.61%	17.39%	23.71%	27.50%	6.80%	35.02%	17.50%	11.94%	12.64%	31.25%	25.00%	39.47%	4.35%	2.90%	21.55%	7.89%	27.42%	26.87%	19.23%	28.13%	41.03%	4.00%	4.00%	18.18%	13.51%	19.62%	5.88%	8.60%	16.28%	30.26%	12.50%	13.04%	17.71%	5.81%	6.98%	15.65%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	1	3	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1									
		0.35%	0.32%	0.78%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.63%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	1.45%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	1.28%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.65%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	215	30	14	15	11	17	3	13	3	1	3	1	5	3	5	2	0	0	14	4	6	1	2	2	4	0	2	1	3	1	1	7	2	0	1	4	8	6	2	1	1	10	2	4									
		3.97%	9.68%	3.65%	5.28%	3.48%	6.39%	1.32%	6.34%	3.26%	1.45%	3.09%	2.50%	4.85%	1.01%	3.13%	2.99%	0.00%	0.00%	8.97%	5.26%	13.04%	1.45%	1.72%	1.75%	3.23%	0.00%	3.85%	1.56%	3.85%	4.00%	4.00%	4.90%	2.70%	0.00%	2.94%	4.30%	18.60%	3.08%	2.08%	0.87%	1.04%	11.63%	2.33%	2.72%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
