Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Приютненская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2418	171	102	251	116	243	225	209	238	201	176	261	225									
		57.78%	72.15%	62.96%	66.40%	61.05%	83.79%	65.03%	66.56%	42.73%	43.23%	52.38%	45.47%	66.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	0	1	0	0	0	0	0	3	3	0	2	1									
		0.24%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.65%	0.00%	0.35%	0.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	1	1	1	0	2	0	1									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.32%	0.18%	0.00%	0.60%	0.00%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	376	2	6	21	3	1	18	12	92	85	59	76	1									
		8.98%	0.84%	3.70%	5.56%	1.58%	0.34%	5.20%	3.82%	16.52%	18.28%	17.56%	13.24%	0.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	1	0	0	0	2	2	0	0	0	2	2									
		0.22%	0.00%	0.62%	0.00%	0.00%	0.00%	0.58%	0.64%	0.00%	0.00%	0.00%	0.35%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	0	0	0	0	0	2	1	0	0	2	4	0									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.32%	0.00%	0.00%	0.60%	0.70%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	0	0	0	3	1	0	1	1	1	1									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.32%	0.00%	0.22%	0.30%	0.17%	0.30%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	3	0	0	0	2	0	2	0	0	0	3									
		0.24%	0.00%	1.85%	0.00%	0.00%	0.00%	0.58%	0.00%	0.36%	0.00%	0.00%	0.00%	0.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	828	41	21	62	60	17	41	37	165	138	60	140	46									
		19.78%	17.30%	12.96%	16.40%	31.58%	5.86%	11.85%	11.78%	29.62%	29.68%	17.86%	24.39%	13.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	0	2	1	1	0	5	17	1	1	3	8	6									
		1.08%	0.00%	1.23%	0.26%	0.53%	0.00%	1.45%	5.41%	0.18%	0.22%	0.89%	1.39%	1.79%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	261	23	19	37	7	29	28	15	20	10	11	34	28									
		6.24%	9.70%	11.73%	9.79%	3.68%	10.00%	8.09%	4.78%	3.59%	2.15%	3.27%	5.92%	8.33%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
