Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Илишевская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	139	0	0	0	4	2	0	2	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	2	3	2	0	1	2	3	0	0	0	2	0	0	0	1	0	0	1	2	0	3	0	0	0	0	1	1	1	4	4	0	0	1	0	8	12	18	6	20	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	139	0	0	0	4	2	0	2	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	2	3	2	0	1	2	3	0	0	0	2	0	0	0	1	0	0	1	2	0	3	0	0	0	0	1	1	1	4	4	0	0	1	0	8	12	18	6	20	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	2	0	1	1	1	1	0	1	1	0	2	0	0	0	1	0	1	0	0	0	0	1	5	2	0	1	5	0	1	2	0	1	3	3	0	0	1	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	1	0	0	0	1	1	0	0	2	2	0	0	1	7	9	10	1	5	7	7					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	291	7	0	1	0	0	0	0	0	1	0	0	2	0	6	3	4	2	24	0	0	2	1	25	3	0	3	13	6	3	5	1	1	0	0	1	0	12	4	9	2	6	4	0	0	2	5	0	0	1	3	0	1	0	0	0	1	23	0	13	9	8	3	1	18	10	7	9	8	4	3	6	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
18	1.Политическая партия «Аграрная партия России»	41	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1	0	0	4	0	0	0	1	0	2	0	2	2	0	4					
		0.17%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.19%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.82%	0.18%	0.00%	0.00%	0.00%	0.46%	0.00%	0.65%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.34%	0.00%	0.00%	0.56%	0.36%	0.23%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.34%	0.00%	0.00%	0.00%	0.00%	0.29%	0.61%	0.22%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.38%	0.00%	0.20%	0.00%	0.23%	0.16%	0.00%	0.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	286	3	0	2	5	1	1	6	1	3	2	1	1	1	18	3	2	4	4	0	0	3	1	9	0	1	1	1	0	0	2	1	1	6	3	1	0	6	3	2	1	2	3	2	0	2	3	2	0	0	2	2	1	8	0	0	2	2	2	0	2	5	7	0	2	1	1	8	19	8	20	73	7					
		1.22%	0.77%	0.00%	0.93%	0.95%	0.48%	0.69%	1.12%	0.52%	1.18%	1.22%	1.28%	0.91%	0.87%	6.57%	1.73%	0.82%	1.09%	0.74%	0.00%	0.00%	1.36%	0.46%	1.84%	0.00%	1.10%	0.76%	0.24%	0.00%	0.00%	0.57%	0.49%	0.72%	1.27%	1.03%	0.71%	0.00%	1.12%	1.07%	0.46%	0.48%	0.56%	0.83%	0.90%	0.00%	0.89%	0.87%	1.33%	0.00%	0.00%	0.34%	0.68%	0.77%	1.80%	0.00%	0.00%	0.57%	0.61%	0.44%	0.00%	0.69%	0.90%	1.29%	0.00%	0.82%	0.38%	0.53%	0.79%	1.96%	0.92%	1.62%	6.04%	0.77%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%					
24	7.Политическая партия «Либерально-демократическая партия России»	49	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	2	2	2	1	2	0	0	1	1	0	4	0	5	3	2	2					
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.52%	0.00%	0.61%	0.00%	0.91%	0.87%	0.36%	0.00%	0.41%	0.00%	0.18%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.24%	0.40%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.19%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.48%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.86%	0.61%	0.44%	0.52%	0.35%	0.36%	0.00%	0.00%	0.41%	0.38%	0.00%	0.39%	0.00%	0.58%	0.24%	0.17%	0.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	1	2	2	0	0	0	0	0	1	2	0	2	3	0	3					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.34%	0.77%	0.00%	1.01%	1.27%	0.00%	0.00%	0.22%	0.52%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.20%	0.00%	0.23%	0.24%	0.00%	0.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.11%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	23078	386	106	213	522	208	143	529	188	251	161	77	108	113	242	169	240	360	535	76	82	218	217	480	154	90	129	406	250	78	345	205	138	466	284	139	54	524	277	429	205	352	358	219	76	222	340	147	112	208	585	282	128	436	98	78	344	321	443	379	283	543	536	83	241	262	187	1000	949	842	1208	1129	890					
		98.09%	99.23%	99.07%	99.07%	99.05%	99.05%	99.31%	98.51%	98.43%	98.82%	98.17%	98.72%	98.18%	98.26%	88.32%	97.69%	98.36%	98.09%	98.53%	100.00%	98.80%	98.64%	99.09%	98.16%	99.35%	98.90%	98.47%	98.54%	99.21%	100.00%	99.14%	99.51%	99.28%	98.31%	97.93%	99.29%	98.18%	98.13%	98.58%	99.08%	99.03%	99.15%	99.17%	98.21%	100.00%	99.11%	99.13%	98.00%	98.25%	99.52%	99.15%	96.58%	98.46%	98.20%	98.99%	98.73%	98.29%	98.17%	98.44%	98.96%	98.26%	98.01%	98.71%	100.00%	98.77%	98.87%	98.94%	98.14%	98.04%	97.00%	97.73%	93.46%	98.02%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
