Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Илишевская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	530	2	1	0	13	5	3	2	16	8	3	0	4	0	13	5	7	18	0	2	3	2	4	7	0	0	1	2	1	2	1	1	0	6	7	1	14	0	0	0	2	3	1	2	0	22	3	2	2	10	2	1	4	3	3	4	8	7	6	33	36	0	3	8	0	1	12	5	36	13	51	93					
		2.21%	0.55%	0.98%	0.00%	2.35%	2.15%	2.05%	0.38%	8.38%	3.36%	1.97%	0.00%	3.17%	0.00%	4.59%	2.86%	2.86%	3.39%	0.00%	2.50%	1.25%	0.90%	1.05%	1.39%	0.00%	0.00%	0.78%	0.45%	0.39%	2.82%	0.27%	0.50%	0.00%	1.16%	2.23%	0.68%	2.65%	0.00%	0.00%	0.00%	0.56%	1.22%	0.26%	2.15%	0.00%	7.10%	1.88%	1.53%	0.96%	1.67%	0.70%	0.64%	0.87%	2.97%	3.70%	0.91%	2.56%	1.61%	2.05%	6.11%	5.52%	0.00%	1.24%	2.84%	0.00%	0.29%	1.28%	0.53%	3.76%	0.98%	3.86%	9.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	509	5	2	2	25	9	3	2	10	12	3	4	4	0	10	3	8	13	2	2	4	1	5	11	1	1	0	4	4	0	0	1	0	4	4	2	8	0	0	1	2	3	2	1	0	15	1	1	4	7	1	1	5	7	2	5	11	10	5	46	41	0	4	8	1	2	1	8	17	9	56	63					
		2.12%	1.37%	1.96%	1.00%	4.51%	3.86%	2.05%	0.38%	5.24%	5.04%	1.97%	5.63%	3.17%	0.00%	3.53%	1.71%	3.27%	2.45%	2.74%	2.50%	1.67%	0.45%	1.31%	2.18%	0.63%	1.20%	0.00%	0.91%	1.56%	0.00%	0.00%	0.50%	0.00%	0.77%	1.27%	1.37%	1.52%	0.00%	0.00%	0.50%	0.56%	1.22%	0.51%	1.08%	0.00%	4.84%	0.63%	0.76%	1.91%	1.17%	0.35%	0.64%	1.09%	6.93%	2.47%	1.14%	3.53%	2.30%	1.71%	8.52%	6.29%	0.00%	1.66%	2.84%	0.62%	0.58%	0.11%	0.85%	1.77%	0.68%	4.24%	6.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	83	0	0	0	2	1	0	0	0	1	0	0	1	0	2	0	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	2	1	0	0	1	0	0	1	1	1	1	1	0	1	2	6	2	0	7	6	0	0	1	0	1	0	1	0	3	17	9					
		0.35%	0.00%	0.00%	0.00%	0.36%	0.43%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.79%	0.00%	0.71%	0.00%	0.82%	0.19%	0.00%	0.00%	0.00%	0.00%	0.26%	0.20%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	1.37%	0.19%	0.00%	0.00%	0.00%	0.00%	0.82%	0.26%	0.00%	0.00%	0.32%	0.00%	0.00%	0.48%	0.17%	0.35%	0.64%	0.22%	0.00%	1.23%	0.45%	1.92%	0.46%	0.00%	1.30%	0.92%	0.00%	0.00%	0.35%	0.00%	0.29%	0.00%	0.11%	0.00%	0.23%	1.29%	0.92%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1828	11	3	5	26	17	4	36	22	10	12	2	7	24	84	14	31	36	0	2	11	9	19	38	2	6	1	28	7	1	19	3	8	14	7	4	27	9	9	9	3	21	14	1	4	69	5	9	8	16	15	6	23	11	1	17	16	13	10	92	112	2	15	21	10	2	70	56	87	224	84	214					
		7.61%	3.01%	2.94%	2.50%	4.69%	7.30%	2.74%	6.88%	11.52%	4.20%	7.89%	2.82%	5.56%	20.34%	29.68%	8.00%	12.65%	6.78%	0.00%	2.50%	4.58%	4.07%	4.99%	7.54%	1.27%	7.23%	0.78%	6.35%	2.73%	1.41%	5.16%	1.49%	5.52%	2.70%	2.23%	2.74%	5.11%	3.26%	2.21%	4.50%	0.85%	8.57%	3.59%	1.08%	1.90%	22.26%	3.13%	6.87%	3.83%	2.67%	5.28%	3.85%	5.02%	10.89%	1.23%	3.86%	5.13%	2.99%	3.42%	17.04%	17.18%	2.60%	6.22%	7.45%	6.17%	0.58%	7.44%	5.96%	9.08%	16.82%	6.36%	21.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	97	0	0	0	2	1	1	4	0	3	0	0	2	0	3	1	0	2	0	0	3	0	2	2	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	2	1	2	0	0	3	3	1	2	4	3	0	1	4	0	1	1	5	1	4	9	15					
		0.40%	0.00%	0.00%	0.00%	0.36%	0.43%	0.68%	0.76%	0.00%	1.26%	0.00%	0.00%	1.59%	0.00%	1.06%	0.57%	0.00%	0.38%	0.00%	0.00%	1.25%	0.00%	0.52%	0.40%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.48%	0.50%	0.70%	0.64%	0.44%	0.00%	0.00%	0.68%	0.96%	0.23%	0.68%	0.74%	0.46%	0.00%	0.41%	1.42%	0.00%	0.29%	0.11%	0.53%	0.10%	0.30%	0.68%	1.53%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20856	348	96	192	484	199	134	478	140	203	133	65	106	91	166	151	196	452	71	74	217	208	344	443	155	76	126	407	241	68	348	196	137	494	286	137	474	267	398	190	347	216	371	89	206	197	151	119	193	557	257	141	422	78	74	409	266	401	269	351	448	74	218	240	151	339	857	863	811	1077	1093	580					
		86.82%	95.08%	94.12%	96.00%	87.36%	85.41%	91.78%	91.40%	73.30%	85.29%	87.50%	91.55%	84.13%	77.12%	58.66%	86.29%	80.00%	85.12%	97.26%	92.50%	90.42%	94.12%	90.29%	87.90%	98.10%	91.57%	98.44%	92.29%	94.14%	95.77%	94.57%	97.51%	94.48%	95.37%	91.08%	93.84%	89.77%	96.74%	97.79%	95.00%	98.02%	88.16%	95.13%	95.70%	98.10%	63.55%	94.38%	90.84%	92.34%	92.99%	90.49%	90.38%	92.14%	77.23%	91.36%	92.95%	85.26%	92.40%	92.12%	65.00%	68.71%	96.10%	90.46%	85.11%	93.21%	97.98%	91.07%	91.91%	84.66%	80.86%	82.74%	59.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	49	0	0	1	2	1	1	1	3	0	1	0	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	2	1	0	0	0	0	0	1	1	2	11	5					
		0.20%	0.00%	0.00%	0.50%	0.36%	0.43%	0.68%	0.19%	1.57%	0.00%	0.66%	0.00%	1.59%	0.00%	0.35%	0.57%	0.41%	0.00%	0.00%	0.00%	0.00%	0.45%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.19%	0.31%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.10%	0.15%	0.83%	0.51%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
