Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Городецкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851									
		20.09%	16.65%	15.01%	18.38%	15.45%	23.26%	18.67%	24.13%	17.50%	14.89%	18.94%	20.87%	21.24%	17.20%	16.18%	17.61%	14.89%	35.76%	22.76%	21.59%	19.89%	22.57%	27.75%	20.25%	17.50%	19.97%	24.33%	21.97%	21.57%	23.66%	22.15%	21.94%	23.11%	42.98%	8.21%	12.21%	15.87%	10.94%	14.64%	23.18%	11.02%	25.07%	11.51%	18.58%	20.63%	12.72%	18.28%	29.09%	17.10%	10.02%	11.84%	8.60%	24.86%	20.15%	20.22%	27.36%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	210	4	3	6	9	3	6	2	2	0	5	2	9	3	2	9	0	3	6	4	8	9	2	3	7	8	3	2	2	7	7	3	11	7	1	0	0	3	4	7	4	0	0	1	2	0	4	2	2	1	1	0	3	10	5	3									
		0.63%	0.32%	0.52%	1.01%	1.46%	0.72%	1.29%	0.63%	0.24%	0.00%	0.88%	0.49%	1.05%	0.30%	0.42%	2.11%	0.00%	0.45%	0.75%	0.54%	1.07%	1.18%	0.28%	0.47%	0.71%	1.01%	0.42%	0.25%	0.29%	0.87%	0.93%	0.38%	1.34%	1.23%	0.29%	0.00%	0.00%	0.94%	0.82%	1.28%	1.63%	0.00%	0.00%	0.15%	0.63%	0.00%	0.73%	0.45%	0.33%	0.23%	0.44%	0.00%	0.55%	1.47%	0.61%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	255	15	1	4	2	3	0	2	6	6	5	5	13	7	3	16	4	7	8	4	5	6	8	7	4	3	2	1	4	9	13	12	7	5	0	0	0	1	3	5	1	1	0	9	4	4	1	2	0	2	0	3	5	3	6	8									
		0.76%	1.20%	0.17%	0.67%	0.33%	0.72%	0.00%	0.63%	0.73%	1.05%	0.88%	1.21%	1.52%	0.70%	0.63%	3.76%	0.85%	1.04%	0.99%	0.54%	0.67%	0.79%	1.12%	1.09%	0.41%	0.38%	0.28%	0.13%	0.58%	1.12%	1.72%	1.51%	0.85%	0.88%	0.00%	0.00%	0.00%	0.31%	0.62%	0.91%	0.41%	0.27%	0.00%	1.31%	1.27%	0.36%	0.18%	0.45%	0.00%	0.46%	0.00%	0.81%	0.92%	0.44%	0.74%	0.92%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	0	3	0	0	1	0	0	0	0	1	0	0	1	2	0	0	3	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	0	3	1	0	0	1	0	1	1	0	0	0	0	1	1	0									
		0.10%	0.00%	0.52%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.10%	0.42%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.13%	0.00%	0.16%	0.10%	0.00%	0.00%	0.00%	0.15%	0.12%	0.00%	0.13%	0.00%	0.18%	0.00%	0.23%	0.30%	0.31%	0.21%	0.18%	0.00%	0.80%	0.72%	0.00%	0.00%	0.09%	0.00%	0.23%	0.16%	0.00%	0.00%	0.00%	0.00%	0.15%	0.12%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	315	5	7	2	9	3	6	3	12	10	7	5	19	5	4	8	4	7	14	15	7	6	12	4	7	4	9	1	4	10	13	10	12	7	3	0	1	0	6	4	1	1	0	4	5	2	3	3	7	3	0	0	5	5	4	7									
		0.94%	0.40%	1.22%	0.34%	1.46%	0.72%	1.29%	0.95%	1.46%	1.75%	1.24%	1.21%	2.22%	0.50%	0.84%	1.88%	0.85%	1.04%	1.74%	2.02%	0.93%	0.79%	1.67%	0.62%	0.71%	0.50%	1.27%	0.13%	0.58%	1.25%	1.72%	1.26%	1.46%	1.23%	0.88%	0.00%	0.30%	0.00%	1.24%	0.73%	0.41%	0.27%	0.00%	0.58%	1.59%	0.18%	0.55%	0.68%	1.14%	0.68%	0.00%	0.00%	0.92%	0.74%	0.49%	0.80%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3584	150	62	104	35	57	86	45	80	65	82	37	105	142	68	45	62	72	106	100	90	70	75	73	100	60	81	88	70	92	76	101	75	50	30	45	32	27	80	42	15	25	16	53	30	64	109	58	38	23	24	21	61	62	62	63									
		10.70%	12.01%	10.82%	17.54%	5.69%	13.67%	18.45%	14.29%	9.72%	11.38%	14.51%	8.98%	12.25%	14.29%	14.29%	10.56%	13.19%	10.68%	13.18%	13.50%	12.02%	9.19%	10.46%	11.37%	10.17%	7.54%	11.46%	11.11%	10.20%	11.46%	10.08%	12.74%	9.12%	8.77%	8.80%	10.37%	9.58%	8.44%	16.49%	7.66%	6.12%	6.67%	11.51%	7.69%	9.52%	5.73%	19.93%	13.18%	6.19%	5.24%	10.53%	5.65%	11.23%	9.12%	7.60%	7.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	1	1	2	4	0	0	5	4	3	2	2	3	5	2	5	0	3	0	0	7	4	2	5	5	3	5	4	3	2	4	4	2	0	0	0	0	0	2	3	1	1	1	3	0	0	3	1	1	2	0	0	2	2	2	6									
		0.36%	0.08%	0.17%	0.34%	0.65%	0.00%	0.00%	1.59%	0.49%	0.53%	0.35%	0.49%	0.35%	0.50%	0.42%	1.17%	0.00%	0.45%	0.00%	0.00%	0.93%	0.52%	0.28%	0.78%	0.51%	0.38%	0.71%	0.51%	0.44%	0.25%	0.53%	0.50%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.55%	0.41%	0.27%	0.72%	0.44%	0.00%	0.00%	0.55%	0.23%	0.16%	0.46%	0.00%	0.00%	0.37%	0.29%	0.25%	0.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1650	77	31	36	22	21	19	10	48	26	25	22	32	78	45	23	16	17	52	40	50	43	33	42	62	58	52	73	50	49	42	45	54	20	8	12	2	4	11	17	11	9	4	20	7	8	12	15	7	5	4	8	30	56	37	50									
		4.92%	6.16%	5.41%	6.07%	3.58%	5.04%	4.08%	3.17%	5.83%	4.55%	4.42%	5.34%	3.73%	7.85%	9.45%	5.40%	3.40%	2.52%	6.47%	5.40%	6.68%	5.64%	4.60%	6.54%	6.31%	7.29%	7.36%	9.22%	7.29%	6.10%	5.57%	5.67%	6.57%	3.51%	2.35%	2.76%	0.60%	1.25%	2.27%	3.10%	4.49%	2.40%	2.88%	2.90%	2.22%	0.72%	2.19%	3.41%	1.14%	1.14%	1.75%	2.15%	5.52%	8.24%	4.53%	5.75%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
