Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Полевская городская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  2410	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431	УИК  2432	УИК  2433	УИК  2434	УИК  2435	УИК  2436	УИК  2437	УИК  2438	УИК  2439	УИК  2440	УИК  2441	УИК  2442	УИК  2443	УИК  2444					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1664	28	57	82	83	77	56	39	53	58	50	65	43	64	62	81	77	53	90	51	52	58	62	52	49	59	33	19	18	15	12	10	12	14	20	10					
		6.51%	6.68%	6.68%	7.47%	6.99%	8.49%	6.69%	7.76%	7.53%	6.60%	6.78%	7.53%	5.54%	7.26%	9.79%	7.03%	7.23%	7.88%	7.78%	5.38%	5.41%	5.79%	6.58%	6.28%	6.65%	6.40%	7.25%	3.46%	4.14%	8.24%	2.58%	4.80%	4.91%	3.51%	5.06%	1.83%					
22	"5. ""За Русь Святую"""	109	1	3	3	7	9	3	3	5	1	2	3	7	2	2	8	3	2	5	3	3	6	5	1	2	4	1	3	0	1	3	0	1	3	2	2					
		0.42%	0.23%	0.35%	0.27%	0.59%	0.99%	0.35%	0.59%	0.71%	0.11%	0.27%	0.34%	0.90%	0.22%	0.31%	0.69%	0.28%	0.29%	0.43%	0.31%	0.31%	0.59%	0.53%	0.12%	0.27%	0.43%	0.21%	0.54%	0.0%	0.54%	0.64%	0.0%	0.40%	0.75%	0.50%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	80	2	3	6	1	2	1	0	1	7	0	2	5	5	2	1	1	3	4	1	6	4	3	1	1	4	1	1	1	0	3	0	0	0	5	3					
		0.31%	0.47%	0.35%	0.54%	0.08%	0.22%	0.11%	0.0%	0.14%	0.79%	0.0%	0.23%	0.64%	0.56%	0.31%	0.08%	0.09%	0.44%	0.34%	0.10%	0.62%	0.39%	0.31%	0.12%	0.13%	0.43%	0.21%	0.18%	0.23%	0.0%	0.64%	0.0%	0.0%	0.0%	1.26%	0.55%					
24	"7. ""Новый курс - Автомобильная Россия"""	163	1	6	12	12	2	7	5	3	2	6	4	3	7	1	6	6	7	8	12	7	3	5	3	4	8	5	2	3	2	2	0	4	2	1	2					
		0.63%	0.23%	0.70%	1.09%	1.01%	0.22%	0.83%	0.99%	0.42%	0.22%	0.81%	0.46%	0.38%	0.79%	0.15%	0.52%	0.56%	1.04%	0.69%	1.26%	0.72%	0.29%	0.53%	0.36%	0.54%	0.86%	1.09%	0.36%	0.69%	1.09%	0.43%	0.0%	1.63%	0.50%	0.25%	0.36%					
25	"8. ""Народно-республиканская партия России"""	32	0	2	2	0	0	0	1	0	1	0	0	0	1	0	2	0	3	1	2	3	1	1	0	1	3	1	1	1	0	2	0	1	0	0	2					
		0.12%	0.0%	0.23%	0.18%	0.0%	0.0%	0.0%	0.19%	0.0%	0.11%	0.0%	0.0%	0.0%	0.11%	0.0%	0.17%	0.0%	0.44%	0.08%	0.21%	0.31%	0.09%	0.10%	0.0%	0.13%	0.32%	0.21%	0.18%	0.23%	0.0%	0.43%	0.0%	0.40%	0.0%	0.0%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	132	0	3	5	6	2	5	3	7	4	3	7	4	3	4	4	14	1	8	15	1	1	5	7	4	5	3	0	0	2	2	1	1	1	1	0					
		0.51%	0.0%	0.35%	0.45%	0.50%	0.22%	0.59%	0.59%	0.99%	0.45%	0.40%	0.81%	0.51%	0.34%	0.63%	0.34%	1.31%	0.14%	0.69%	1.58%	0.10%	0.09%	0.53%	0.84%	0.54%	0.54%	0.65%	0.0%	0.0%	1.09%	0.43%	0.48%	0.40%	0.25%	0.25%	0.0%					
27	"10. ""Аграрная партия России"""	707	18	16	29	42	23	22	17	17	23	24	24	17	34	22	30	30	17	32	20	22	31	28	11	13	19	8	25	10	5	14	4	8	21	11	20					
		2.77%	4.29%	1.87%	2.64%	3.54%	2.53%	2.63%	3.38%	2.41%	2.61%	3.25%	2.78%	2.19%	3.85%	3.47%	2.60%	2.81%	2.52%	2.76%	2.11%	2.28%	3.09%	2.97%	1.33%	1.76%	2.06%	1.75%	4.55%	2.30%	2.74%	3.01%	1.92%	3.27%	5.27%	2.78%	3.67%					
28	"11. ""Истинные патриоты России"""	30	0	0	1	2	0	0	0	1	2	2	0	0	1	2	0	2	2	0	1	1	2	2	2	0	2	1	0	0	0	2	0	0	1	0	1					
		0.11%	0.0%	0.0%	0.09%	0.16%	0.0%	0.0%	0.0%	0.14%	0.22%	0.27%	0.0%	0.0%	0.11%	0.31%	0.0%	0.18%	0.29%	0.0%	0.10%	0.10%	0.19%	0.21%	0.24%	0.0%	0.21%	0.21%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.25%	0.0%	0.18%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	427	8	17	15	21	12	17	11	7	14	11	9	14	16	8	22	15	10	28	14	21	17	13	8	13	17	7	9	8	5	6	3	5	10	3	13					
		1.67%	1.90%	1.99%	1.36%	1.77%	1.32%	2.03%	2.19%	0.99%	1.59%	1.49%	1.04%	1.80%	1.81%	1.26%	1.90%	1.40%	1.48%	2.42%	1.47%	2.18%	1.69%	1.38%	0.96%	1.76%	1.84%	1.53%	1.63%	1.84%	2.74%	1.29%	1.44%	2.04%	2.51%	0.75%	2.38%					
30	"13. ""Демократическая партия России"""	50	1	1	1	2	0	0	0	0	1	1	1	0	2	0	2	4	0	1	1	4	2	1	3	0	4	2	2	1	2	0	3	2	0	1	5					
		0.19%	0.23%	0.11%	0.09%	0.16%	0.0%	0.0%	0.0%	0.0%	0.11%	0.13%	0.11%	0.0%	0.22%	0.0%	0.17%	0.37%	0.0%	0.08%	0.10%	0.41%	0.19%	0.10%	0.36%	0.0%	0.43%	0.43%	0.36%	0.23%	1.09%	0.0%	1.44%	0.81%	0.0%	0.25%	0.91%					
31	"14. ""Великая Россия - Евразийский Союз"""	65	0	3	0	1	1	1	2	2	1	2	2	1	1	1	4	2	0	0	3	1	3	6	3	2	5	2	4	4	1	0	1	0	2	1	3					
		0.25%	0.0%	0.35%	0.0%	0.08%	0.11%	0.11%	0.39%	0.28%	0.11%	0.27%	0.23%	0.12%	0.11%	0.15%	0.34%	0.18%	0.0%	0.0%	0.31%	0.10%	0.29%	0.63%	0.36%	0.27%	0.54%	0.43%	0.72%	0.92%	0.54%	0.0%	0.48%	0.0%	0.50%	0.25%	0.55%					
32	"15. ""Партия СЛОН"""	35	0	0	7	1	1	0	1	0	0	1	0	0	1	0	2	2	0	2	3	4	2	2	1	0	0	1	0	0	0	1	0	0	0	1	2					
		0.13%	0.0%	0.0%	0.63%	0.08%	0.11%	0.0%	0.19%	0.0%	0.0%	0.13%	0.0%	0.0%	0.11%	0.0%	0.17%	0.18%	0.0%	0.17%	0.31%	0.41%	0.19%	0.21%	0.12%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.25%	0.36%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2032	37	90	104	133	92	86	35	72	111	62	114	92	71	67	98	77	40	77	53	59	48	59	65	34	55	25	34	31	25	19	6	12	12	21	16					
		7.96%	8.83%	10.55%	9.48%	11.21%	10.15%	10.28%	6.97%	10.24%	12.64%	8.41%	13.20%	11.85%	8.05%	10.58%	8.50%	7.23%	5.95%	6.66%	5.59%	6.13%	4.79%	6.26%	7.85%	4.61%	5.97%	5.49%	6.19%	7.14%	13.73%	4.09%	2.88%	4.91%	3.01%	5.31%	2.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	73	1	3	4	0	1	1	0	0	2	1	2	6	2	0	7	1	2	1	2	4	5	2	5	2	2	1	0	1	2	4	0	2	1	1	5					
		0.28%	0.23%	0.35%	0.36%	0.0%	0.11%	0.11%	0.0%	0.0%	0.22%	0.13%	0.23%	0.77%	0.22%	0.0%	0.60%	0.09%	0.29%	0.08%	0.21%	0.41%	0.49%	0.21%	0.60%	0.27%	0.21%	0.21%	0.0%	0.23%	1.09%	0.86%	0.0%	0.81%	0.25%	0.25%	0.91%					
35	"18. ""ЛДПР"""	4009	66	131	166	183	133	114	94	95	98	95	136	101	122	88	203	167	128	189	182	137	131	179	141	114	161	80	98	80	25	86	38	37	72	51	88					
		15.70%	15.75%	15.35%	15.13%	15.43%	14.67%	13.63%	18.72%	13.51%	11.16%	12.89%	15.75%	13.01%	13.84%	13.90%	17.62%	15.68%	19.04%	16.34%	19.21%	14.25%	13.08%	19.00%	17.04%	15.48%	17.48%	17.58%	17.85%	18.43%	13.73%	18.53%	18.26%	15.16%	18.09%	12.91%	16.17%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	474	2	9	22	14	9	14	8	15	15	12	19	24	13	14	25	13	12	17	12	18	17	24	7	18	21	4	15	8	3	14	6	9	14	13	14					
		1.85%	0.47%	1.05%	2.00%	1.18%	0.99%	1.67%	1.59%	2.13%	1.70%	1.62%	2.20%	3.09%	1.47%	2.21%	2.17%	1.22%	1.78%	1.47%	1.26%	1.87%	1.69%	2.54%	0.84%	2.44%	2.28%	0.87%	2.73%	1.84%	1.64%	3.01%	2.88%	3.68%	3.51%	3.29%	2.57%					
37	"20. ""Политическая партия ""Единая Россия"""	9406	166	286	381	409	319	301	171	269	316	280	275	276	296	213	394	397	228	429	358	387	406	336	314	297	331	178	213	179	41	188	79	84	149	209	251					
		36.85%	39.61%	33.52%	34.73%	34.48%	35.20%	36.00%	34.06%	38.26%	35.99%	37.99%	31.86%	35.56%	33.59%	33.64%	34.20%	37.27%	33.92%	37.11%	37.80%	40.27%	40.55%	35.66%	37.96%	40.35%	35.93%	39.12%	38.79%	41.24%	22.52%	40.51%	37.98%	34.42%	37.43%	52.91%	46.13%					
38	"21. ""Российская Конституционно-демократическая партия"""	62	1	4	1	2	2	3	1	3	4	2	1	1	1	0	4	3	0	1	0	4	2	2	2	4	1	2	2	3	0	1	1	1	3	0	0					
		0.24%	0.23%	0.46%	0.09%	0.16%	0.22%	0.35%	0.19%	0.42%	0.45%	0.27%	0.11%	0.12%	0.11%	0.0%	0.34%	0.28%	0.0%	0.08%	0.0%	0.41%	0.19%	0.21%	0.24%	0.54%	0.10%	0.43%	0.36%	0.69%	0.0%	0.21%	0.48%	0.40%	0.75%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	77	0	4	4	7	1	2	1	6	0	1	1	2	1	3	4	4	1	3	3	6	3	3	1	2	2	6	3	1	0	0	0	0	1	0	1					
		0.30%	0.0%	0.46%	0.36%	0.59%	0.11%	0.23%	0.19%	0.85%	0.0%	0.13%	0.11%	0.25%	0.11%	0.47%	0.34%	0.37%	0.14%	0.25%	0.31%	0.62%	0.29%	0.31%	0.12%	0.27%	0.21%	1.31%	0.54%	0.23%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1745	27	50	63	77	70	54	28	54	74	64	47	45	94	38	73	59	42	46	28	61	100	65	76	61	79	32	46	37	17	37	10	15	27	10	39					
		6.83%	6.44%	5.86%	5.74%	6.49%	7.72%	6.45%	5.57%	7.68%	8.42%	8.68%	5.44%	5.79%	10.66%	6.00%	6.33%	5.53%	6.25%	3.97%	2.95%	6.34%	9.99%	6.90%	9.18%	8.28%	8.57%	7.03%	8.37%	8.52%	9.34%	7.97%	4.80%	6.14%	6.78%	2.53%	7.16%					
																																										
41	Против всех	1063	12	39	64	52	43	35	19	19	21	28	36	28	25	26	43	66	37	43	72	28	49	42	29	28	42	22	20	9	7	18	7	17	18	10	9					
		4.16%	2.86%	4.57%	5.83%	4.38%	4.74%	4.18%	3.78%	2.70%	2.39%	3.79%	4.17%	3.60%	2.83%	4.10%	3.73%	6.19%	5.50%	3.71%	7.60%	2.91%	4.89%	4.45%	3.50%	3.80%	4.56%	4.83%	3.64%	2.07%	3.84%	3.87%	3.36%	6.96%	4.52%	2.53%	1.65%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
