Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Павлоградская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	15	15	10	5	3	3	5	5	3	10	5	3	3	10	5	3	3	3	10	3	3	10	10	5	3	10	3	5	10	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	6	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	6	5	3	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	4	0	1					
14	Число погашенных открепительных удостоверений	167	9	12	10	5	2	3	5	4	3	10	5	3	3	10	5	3	3	3	4	3	3	10	9	5	3	10	2	5	7	2	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	405	41	36	31	10	5	6	6	25	5	30	10	13	4	13	0	0	0	0	27	8	15	20	16	8	0	31	20	13	9	0	2	1					
		3.38%	2.98%	2.31%	4.54%	3.84%	3.37%	7.14%	2.97%	5.47%	3.04%	4.73%	4.13%	7.60%	3.25%	2.62%	0.0%	0.0%	0.0%	0.0%	3.75%	6.95%	7.85%	3.45%	2.64%	2.80%	0.0%	4.26%	8.06%	8.12%	1.77%	0.0%	1.63%	0.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	121	18	24	8	2	5	0	0	9	4	8	1	1	2	2	2	0	1	0	4	0	2	2	2	1	0	17	1	3	1	0	0	1					
		1.01%	1.30%	1.54%	1.17%	0.76%	3.37%	0.0%	0.0%	1.96%	2.43%	1.26%	0.41%	0.58%	1.62%	0.40%	0.77%	0.0%	0.44%	0.0%	0.55%	0.0%	1.04%	0.34%	0.33%	0.35%	0.0%	2.34%	0.40%	1.87%	0.19%	0.0%	0.0%	0.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	198	24	39	8	3	0	2	2	3	2	12	1	3	4	10	9	2	0	1	20	1	2	0	7	5	6	6	4	2	16	2	1	1					
		1.65%	1.74%	2.50%	1.17%	1.15%	0.0%	2.38%	0.99%	0.65%	1.21%	1.89%	0.41%	1.75%	3.25%	2.01%	3.48%	1.45%	0.0%	0.67%	2.78%	0.86%	1.04%	0.0%	1.15%	1.75%	10.90%	0.82%	1.61%	1.25%	3.15%	1.43%	0.81%	0.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	112	17	20	13	2	1	3	0	8	0	6	1	1	0	4	0	0	0	0	2	0	0	7	7	2	0	2	1	2	11	1	0	1					
		0.93%	1.23%	1.28%	1.90%	0.76%	0.67%	3.57%	0.0%	1.75%	0.0%	0.94%	0.41%	0.58%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	1.20%	1.15%	0.70%	0.0%	0.27%	0.40%	1.25%	2.16%	0.71%	0.0%	0.64%					
22	"5. ""За Русь Святую"""	23	5	3	3	1	1	0	0	1	0	1	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
		0.19%	0.36%	0.19%	0.43%	0.38%	0.67%	0.0%	0.0%	0.21%	0.0%	0.15%	0.0%	0.58%	0.81%	0.60%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	2	3	2	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	4	0	0	0					
		0.17%	0.14%	0.19%	0.29%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.41%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	2.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.40%	0.0%	0.78%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	40	4	11	1	1	0	0	1	3	0	2	0	1	0	7	0	0	0	0	0	1	0	1	2	1	0	2	0	2	0	0	0	0					
		0.33%	0.29%	0.70%	0.14%	0.38%	0.0%	0.0%	0.49%	0.65%	0.0%	0.31%	0.0%	0.58%	0.0%	1.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.17%	0.33%	0.35%	0.0%	0.27%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	17	0	1	0	5	0	0	0	0	0	1	2	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	1	0	2	0	0	0					
		0.14%	0.0%	0.06%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.82%	0.0%	0.0%	0.20%	0.0%	0.72%	0.0%	0.0%	0.13%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.39%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	4	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1					
		0.11%	0.29%	0.19%	0.14%	0.0%	0.0%	0.0%	0.49%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%					
27	"10. ""Аграрная партия России"""	537	18	38	15	12	5	0	4	30	2	45	13	5	1	37	2	14	3	4	32	2	5	13	57	18	2	56	9	25	43	8	2	17					
		4.48%	1.30%	2.43%	2.19%	4.61%	3.37%	0.0%	1.98%	6.56%	1.21%	7.10%	5.37%	2.92%	0.81%	7.45%	0.77%	10.21%	1.34%	2.70%	4.45%	1.73%	2.61%	2.24%	9.42%	6.31%	3.63%	7.71%	3.62%	15.62%	8.48%	5.75%	1.63%	10.89%					
28	"11. ""Истинные патриоты России"""	36	1	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0	1	0	0	1	0	0	1	1	0	5	7	3	2	0	1	6					
		0.30%	0.07%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.31%	0.0%	0.0%	2.43%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.86%	0.0%	0.0%	0.16%	0.35%	0.0%	0.68%	2.82%	1.87%	0.39%	0.0%	0.81%	3.84%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	99	16	11	7	0	3	1	2	0	0	8	1	2	0	2	1	5	6	3	1	0	0	6	1	2	0	12	2	1	4	0	1	1					
		0.82%	1.16%	0.70%	1.02%	0.0%	2.02%	1.19%	0.99%	0.0%	0.0%	1.26%	0.41%	1.16%	0.0%	0.40%	0.38%	3.64%	2.69%	2.02%	0.13%	0.0%	0.0%	1.03%	0.16%	0.70%	0.0%	1.65%	0.80%	0.62%	0.78%	0.0%	0.81%	0.64%					
30	"13. ""Демократическая партия России"""	28	3	5	3	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	2	0	0	0	2	0	0	2	0	0	4	1	0	0					
		0.23%	0.21%	0.32%	0.43%	0.38%	0.0%	0.0%	0.0%	0.21%	0.0%	0.15%	0.0%	0.0%	0.0%	0.20%	0.0%	1.45%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.27%	0.0%	0.0%	0.78%	0.71%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	5	5	6	0	1	0	0	1	3	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	1	4	1	1	0	0	0					
		0.28%	0.36%	0.32%	0.87%	0.0%	0.67%	0.0%	0.0%	0.21%	1.82%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.17%	0.0%	0.70%	0.0%	0.13%	1.61%	0.62%	0.19%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0					
		0.08%	0.14%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	336	36	39	24	10	3	0	2	3	4	11	6	8	0	21	3	16	3	2	12	2	2	1	35	13	1	15	3	12	26	4	6	13					
		2.80%	2.61%	2.50%	3.51%	3.84%	2.02%	0.0%	0.99%	0.65%	2.43%	1.73%	2.47%	4.67%	0.0%	4.23%	1.16%	11.67%	1.34%	1.35%	1.66%	1.73%	1.04%	0.17%	5.78%	4.56%	1.81%	2.06%	1.20%	7.5%	5.12%	2.87%	4.91%	8.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	1	6	4	1	0	0	1	2	1	2	4	1	0	0	0	2	0	1	4	1	4	3	0	1	0	6	1	0	1	1	0	3					
		0.42%	0.07%	0.38%	0.58%	0.38%	0.0%	0.0%	0.49%	0.43%	0.60%	0.31%	1.65%	0.58%	0.0%	0.0%	0.0%	1.45%	0.0%	0.67%	0.55%	0.86%	2.09%	0.51%	0.0%	0.35%	0.0%	0.82%	0.40%	0.0%	0.19%	0.71%	0.0%	1.92%					
35	"18. ""ЛДПР"""	1590	231	254	107	40	13	4	11	58	2	76	44	18	12	66	39	9	20	7	97	18	23	65	104	51	7	65	33	6	71	35	1	3					
		13.28%	16.8%	16.30%	15.68%	15.38%	8.78%	4.76%	5.44%	12.69%	1.21%	12.00%	18.18%	10.52%	9.75%	13.30%	15.11%	6.56%	8.96%	4.72%	13.49%	15.65%	12.04%	11.22%	17.19%	17.89%	12.72%	8.95%	13.30%	3.75%	14.00%	25.17%	0.81%	1.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	142	24	12	15	4	5	1	1	1	3	7	2	0	1	5	4	1	3	1	5	2	0	1	8	2	0	16	1	1	5	3	6	2					
		1.18%	1.74%	0.77%	2.19%	1.53%	3.37%	1.19%	0.49%	0.21%	1.82%	1.10%	0.82%	0.0%	0.81%	1.00%	1.55%	0.72%	1.34%	0.67%	0.69%	1.73%	0.0%	0.17%	1.32%	0.70%	0.0%	2.20%	0.40%	0.62%	0.98%	2.15%	4.91%	1.28%					
37	"20. ""Политическая партия ""Единая Россия"""	6286	669	765	291	139	83	58	146	264	132	365	123	103	81	226	148	59	181	112	416	66	112	396	273	116	38	361	110	60	189	58	64	82					
		52.52%	48.65%	49.10%	42.66%	53.46%	56.08%	69.04%	72.27%	57.76%	80.48%	57.66%	50.82%	60.23%	65.85%	45.56%	57.36%	43.06%	81.16%	75.67%	57.85%	57.39%	58.63%	68.39%	45.12%	40.70%	69.09%	49.72%	44.35%	37.5%	37.27%	41.72%	52.45%	52.56%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	3	2	1	1	1	0	1	2	0	3	3	0	0	0	2	0	0	0	1	0	0	2	2	0	0	0	2	0	2	0	0	0					
		0.23%	0.21%	0.12%	0.14%	0.38%	0.67%	0.0%	0.49%	0.43%	0.0%	0.47%	1.23%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.34%	0.33%	0.0%	0.0%	0.0%	0.80%	0.0%	0.39%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	3	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.21%	0.12%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1360	191	218	98	16	7	6	12	35	5	35	26	3	12	72	39	14	1	13	67	5	24	41	56	46	0	88	39	16	100	18	36	21					
		11.36%	13.89%	13.99%	14.36%	6.15%	4.72%	7.14%	5.94%	7.65%	3.04%	5.52%	10.74%	1.75%	9.75%	14.51%	15.11%	10.21%	0.44%	8.78%	9.31%	4.34%	12.56%	7.08%	9.25%	16.14%	0.0%	12.12%	15.72%	10.0%	19.72%	12.94%	29.50%	13.46%					
																																							
41	Против всех	374	52	41	31	8	15	3	11	7	1	11	3	10	1	20	7	11	4	3	18	2	1	10	28	16	1	26	9	6	7	7	2	2					
		3.12%	3.78%	2.63%	4.54%	3.07%	10.13%	3.57%	5.44%	1.53%	0.60%	1.73%	1.23%	5.84%	0.81%	4.03%	2.71%	8.02%	1.79%	2.02%	2.50%	1.73%	0.52%	1.72%	4.62%	5.61%	1.81%	3.58%	3.62%	3.75%	1.38%	5.03%	1.63%	1.28%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
