Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №702	УИК №703	УИК №704	УИК №710	УИК №711	УИК №720	УИК №725	УИК №730	УИК №731	УИК №733	УИК №736	УИК №742	УИК №743	УИК №744					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2257	10	10	35	34	46	25	25	35	35	25	15	25	45	35	20	15	38	25	45	50	40	50	45	35	35	30	40	33	30	60	50	45	61	0	52	41	50	45	53	35	50	10	15	24	30	30	40	45	60	45	40	30	45	30	35	35	30	31	30	34	25	30	20	30	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2036	6	5	35	33	41	21	18	35	35	25	15	25	40	35	20	15	31	17	45	48	34	44	35	30	28	26	36	31	30	55	50	45	61	0	51	41	50	38	53	33	45	8	15	23	24	29	25	42	46	37	40	17	31	19	35	28	30	29	30	32	25	30	19	29	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1820	13	8	6	22	8	29	26	9	14	34	94	15	9	17	61	26	43	37	28	15	24	25	26	17	83	18	12	77	23	20	21	19	20	329	20	52	18	13	11	16	13	10	6	20	31	29	15	15	13	17	20	9	19	18	25	14	11	18	10	24	15	35	34	13	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	221	4	5	0	1	5	4	7	0	0	0	0	0	5	0	0	0	7	8	0	2	6	6	10	5	7	4	4	2	0	5	0	0	0	0	1	0	0	7	0	2	5	2	0	1	6	1	15	3	14	8	0	13	14	11	0	7	0	2	0	2	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	0	0	1	0	0	1	0	4	3	3	0	1	0	3	0	1	1	0	1	2	1	3	0	0	4	1	3	0	4	1	1	0	3	0	0	0	3	2	7	1	0	0	0	3	1	1	2	2	2	0	1	1	4	0	0	2	0	1	1	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	1.Политическая партия «Аграрная партия России»	433	4	4	6	5	8	4	7	5	18	4	7	7	7	8	7	4	3	4	11	2	5	2	3	3	4	3	4	1	3	3	5	8	14	7	10	7	4	12	7	7	7	3	9	7	5	5	12	7	4	7	6	13	7	6	23	9	6	8	13	7	5	9	6	5	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
		0.86%	0.95%	1.17%	0.72%	0.54%	0.80%	0.55%	1.13%	0.63%	1.68%	0.51%	0.91%	0.96%	0.77%	1.05%	1.13%	0.80%	0.40%	0.63%	0.99%	0.22%	0.65%	0.23%	0.45%	0.63%	0.52%	0.64%	0.52%	0.15%	0.56%	0.46%	0.69%	1.22%	1.45%	0.80%	1.01%	0.84%	0.42%	1.36%	0.77%	1.19%	0.86%	1.36%	1.86%	0.98%	0.71%	0.65%	1.55%	0.85%	0.52%	0.81%	0.68%	1.49%	0.88%	0.94%	2.45%	0.96%	0.71%	0.84%	1.58%	0.80%	0.65%	1.10%	0.74%	0.84%	0.41%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	291	2	2	4	4	3	4	4	2	4	2	6	5	5	4	0	1	6	3	10	0	5	9	2	2	5	2	5	2	4	1	1	10	3	4	12	7	7	8	6	3	5	1	0	4	6	8	5	6	4	5	8	5	0	3	6	8	8	5	7	11	3	5	2	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.58%	0.47%	0.58%	0.48%	0.43%	0.30%	0.55%	0.65%	0.25%	0.37%	0.26%	0.78%	0.69%	0.55%	0.53%	0.00%	0.20%	0.80%	0.47%	0.90%	0.00%	0.65%	1.06%	0.30%	0.42%	0.65%	0.42%	0.66%	0.31%	0.75%	0.15%	0.14%	1.52%	0.31%	0.46%	1.21%	0.84%	0.73%	0.90%	0.66%	0.51%	0.61%	0.45%	0.00%	0.56%	0.85%	1.04%	0.65%	0.73%	0.52%	0.58%	0.90%	0.57%	0.00%	0.47%	0.64%	0.85%	0.94%	0.53%	0.85%	1.26%	0.39%	0.61%	0.25%	0.51%	0.24%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	48	0	0	3	3	2	1	0	2	0	0	2	0	0	1	1	0	0	1	2	0	1	2	0	2	0	0	1	0	1	2	0	2	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	1	1	2	2	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.00%	0.00%	0.36%	0.32%	0.20%	0.14%	0.00%	0.25%	0.00%	0.00%	0.26%	0.00%	0.00%	0.13%	0.16%	0.00%	0.00%	0.16%	0.18%	0.00%	0.13%	0.23%	0.00%	0.42%	0.00%	0.00%	0.13%	0.00%	0.19%	0.31%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.11%	0.00%	0.00%	0.00%	0.41%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.11%	0.00%	0.13%	0.16%	0.21%	0.21%	0.24%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.34%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3969	18	28	68	91	89	40	40	65	94	76	79	67	60	82	54	46	71	52	58	56	41	62	43	29	53	35	34	33	40	43	45	62	68	47	81	77	70	71	106	43	67	12	37	57	55	52	77	64	60	101	83	82	67	54	95	105	85	70	49	76	53	51	65	49	80	0	0	1	0	0	0	0	0	2	1	0	0	1	1					
		7.93%	4.27%	8.19%	8.11%	9.76%	8.89%	5.52%	6.47%	8.21%	8.75%	9.74%	10.25%	9.23%	6.61%	10.78%	8.75%	9.20%	9.43%	8.21%	5.25%	6.13%	5.37%	7.27%	6.47%	6.08%	6.85%	7.42%	4.46%	5.06%	7.50%	6.60%	6.24%	9.45%	7.06%	5.39%	8.14%	9.23%	7.35%	8.03%	11.70%	7.30%	8.22%	5.43%	7.64%	7.96%	7.81%	6.79%	9.95%	7.78%	7.77%	11.68%	9.38%	9.37%	8.43%	8.42%	10.13%	11.21%	10.02%	7.35%	5.95%	8.69%	6.91%	6.23%	7.97%	8.28%	6.48%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	16.67%	9.09%	0.00%	0.00%	8.33%	7.69%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	164	4	1	3	2	4	3	0	4	3	1	1	1	4	6	3	0	0	2	1	2	0	4	1	0	1	1	4	1	1	4	3	5	2	2	2	5	2	11	1	3	1	1	3	2	0	4	1	1	1	2	4	7	5	3	7	3	1	5	1	5	1	2	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.33%	0.95%	0.29%	0.36%	0.21%	0.40%	0.41%	0.00%	0.51%	0.28%	0.13%	0.13%	0.14%	0.44%	0.79%	0.49%	0.00%	0.00%	0.32%	0.09%	0.22%	0.00%	0.47%	0.15%	0.00%	0.13%	0.21%	0.52%	0.15%	0.19%	0.61%	0.42%	0.76%	0.21%	0.23%	0.20%	0.60%	0.21%	1.24%	0.11%	0.51%	0.12%	0.45%	0.62%	0.28%	0.00%	0.52%	0.13%	0.12%	0.13%	0.23%	0.45%	0.80%	0.63%	0.47%	0.75%	0.32%	0.12%	0.53%	0.12%	0.57%	0.13%	0.24%	0.12%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	77	1	0	0	0	3	0	2	1	0	1	1	1	2	2	1	1	3	2	2	2	1	2	0	2	2	0	0	0	0	1	0	2	2	3	0	2	0	2	2	0	2	0	3	1	1	1	1	2	1	1	1	0	1	2	1	0	0	1	0	3	1	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.24%	0.00%	0.00%	0.00%	0.30%	0.00%	0.32%	0.13%	0.00%	0.13%	0.13%	0.14%	0.22%	0.26%	0.16%	0.20%	0.40%	0.32%	0.18%	0.22%	0.13%	0.23%	0.00%	0.42%	0.26%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.30%	0.21%	0.34%	0.00%	0.24%	0.00%	0.23%	0.22%	0.00%	0.25%	0.00%	0.62%	0.14%	0.14%	0.13%	0.13%	0.24%	0.13%	0.12%	0.11%	0.00%	0.13%	0.31%	0.11%	0.00%	0.00%	0.11%	0.00%	0.34%	0.13%	0.24%	0.37%	0.17%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3920	19	40	72	67	84	41	53	69	86	61	53	60	80	55	42	37	62	44	50	64	36	62	166	52	43	42	30	55	49	58	56	20	102	51	91	55	61	74	125	65	80	15	31	31	52	63	47	83	70	60	68	64	52	45	64	61	63	66	39	47	81	54	84	30	99	1	5	5	5	3	1	3	2	1	1	4	3	3	2					
		7.83%	4.50%	11.70%	8.59%	7.19%	8.39%	5.66%	8.58%	8.71%	8.01%	7.82%	6.87%	8.26%	8.81%	7.23%	6.81%	7.40%	8.23%	6.95%	4.52%	7.01%	4.71%	7.27%	24.96%	10.90%	5.56%	8.90%	3.94%	8.44%	9.19%	8.90%	7.77%	3.05%	10.59%	5.85%	9.15%	6.59%	6.40%	8.37%	13.80%	11.04%	9.82%	6.79%	6.40%	4.33%	7.39%	8.22%	6.07%	10.09%	9.07%	6.94%	7.68%	7.31%	6.54%	7.02%	6.82%	6.51%	7.43%	6.93%	4.74%	5.37%	10.56%	6.60%	10.29%	5.07%	8.02%	9.09%	41.67%	45.45%	45.45%	33.33%	14.29%	33.33%	16.67%	8.33%	9.09%	57.14%	30.00%	25.00%	15.38%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11065	76	69	223	274	266	138	115	212	328	220	196	208	216	206	111	89	154	125	207	174	168	134	98	99	155	89	231	164	118	126	139	139	232	164	164	244	274	232	172	154	210	41	103	114	124	138	179	207	186	229	152	259	198	161	161	249	244	231	118	172	126	137	163	86	148	3	2	4	0	1	0	1	2	6	1	1	3	1	1					
		22.10%	18.01%	20.18%	26.61%	29.40%	26.57%	19.03%	18.61%	26.77%	30.54%	28.21%	25.42%	28.65%	23.79%	27.07%	17.99%	17.80%	20.45%	19.75%	18.73%	19.06%	21.99%	15.71%	14.74%	20.75%	20.03%	18.86%	30.31%	25.15%	22.14%	19.33%	19.28%	21.19%	24.09%	18.81%	16.48%	29.26%	28.75%	26.24%	18.98%	26.15%	25.77%	18.55%	21.28%	15.92%	17.61%	18.02%	23.13%	25.15%	24.09%	26.47%	17.18%	29.60%	24.91%	25.12%	17.16%	26.57%	28.77%	24.26%	14.34%	19.66%	16.43%	16.75%	19.98%	14.53%	11.99%	27.27%	16.67%	36.36%	0.00%	11.11%	0.00%	11.11%	16.67%	50.00%	9.09%	14.29%	30.00%	8.33%	7.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	358	3	2	6	6	7	7	4	6	11	2	10	6	2	5	3	4	3	3	9	1	3	8	5	1	6	0	5	6	4	3	4	4	2	9	12	8	3	11	4	8	8	1	2	3	4	4	8	8	9	4	5	5	6	4	4	10	13	6	3	14	5	13	3	1	7	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
		0.71%	0.71%	0.58%	0.72%	0.64%	0.70%	0.97%	0.65%	0.76%	1.02%	0.26%	1.30%	0.83%	0.22%	0.66%	0.49%	0.80%	0.40%	0.47%	0.81%	0.11%	0.39%	0.94%	0.75%	0.21%	0.78%	0.00%	0.66%	0.92%	0.75%	0.46%	0.55%	0.61%	0.21%	1.03%	1.21%	0.96%	0.31%	1.24%	0.44%	1.36%	0.98%	0.45%	0.41%	0.42%	0.57%	0.52%	1.03%	0.97%	1.17%	0.46%	0.56%	0.57%	0.75%	0.62%	0.43%	1.07%	1.53%	0.63%	0.36%	1.60%	0.65%	1.59%	0.37%	0.17%	0.57%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	28718	286	185	425	459	515	450	373	420	519	402	397	360	526	378	382	310	434	389	737	604	498	549	339	279	494	293	435	383	310	398	454	394	519	568	605	414	519	437	466	299	418	144	283	490	437	472	433	422	425	431	543	424	448	343	454	477	404	537	581	526	481	529	471	411	862	7	5	1	6	2	6	5	7	3	6	1	3	7	9					
		57.35%	67.77%	54.09%	50.72%	49.25%	51.45%	62.07%	60.36%	53.03%	48.32%	51.54%	51.49%	49.59%	57.93%	49.67%	61.91%	62.00%	57.64%	61.45%	66.70%	66.16%	65.18%	64.36%	50.98%	58.49%	63.82%	62.08%	57.09%	58.74%	58.16%	61.04%	62.97%	60.06%	53.89%	65.14%	60.80%	49.64%	54.46%	49.43%	51.43%	50.76%	51.29%	65.16%	58.47%	68.44%	62.07%	61.62%	55.94%	51.28%	55.05%	49.83%	61.36%	48.46%	56.35%	53.51%	48.40%	50.91%	47.64%	56.41%	70.60%	60.11%	62.71%	64.67%	57.72%	69.43%	69.85%	63.64%	41.67%	9.09%	54.55%	22.22%	85.71%	55.56%	58.33%	25.00%	54.55%	14.29%	30.00%	58.33%	69.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	362	2	5	4	4	8	2	4	2	3	6	9	4	1	7	10	2	8	3	12	3	5	8	0	2	9	2	4	1	0	5	4	5	5	8	6	10	7	8	6	3	10	1	5	2	9	9	6	15	3	10	5	9	5	8	5	9	7	11	7	5	5	4	8	2	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
		0.72%	0.47%	1.46%	0.48%	0.43%	0.80%	0.28%	0.65%	0.25%	0.28%	0.77%	1.17%	0.55%	0.11%	0.92%	1.62%	0.40%	1.06%	0.47%	1.09%	0.33%	0.65%	0.94%	0.00%	0.42%	1.16%	0.42%	0.52%	0.15%	0.00%	0.77%	0.55%	0.76%	0.52%	0.92%	0.60%	1.20%	0.73%	0.90%	0.66%	0.51%	1.23%	0.45%	1.03%	0.28%	1.28%	1.17%	0.78%	1.82%	0.39%	1.16%	0.56%	1.03%	0.63%	1.25%	0.53%	0.96%	0.83%	1.16%	0.85%	0.57%	0.65%	0.49%	0.98%	0.34%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	10.00%	0.00%	0.00%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
