Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Канашская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1959	68	63	34	5	15	17	29	9	8	14	26	14	4	34	27	6	129	22	8	51	49	4	6	43	7	8	30	19	7	13	3	23	11	12	16	16	18	43	15	20	25	27	57	62	11	62	39	24	61	26	30	20	14	63	26	45	15	14	25	14	46	18	57	14	54	13	34	22	46	12	37					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1959	68	63	34	5	15	17	29	9	8	14	26	14	4	34	27	6	129	22	8	51	49	4	6	43	7	8	30	19	7	13	3	23	11	12	16	16	18	43	15	20	25	27	57	62	11	62	39	24	61	26	30	20	14	63	26	45	15	14	25	14	46	18	57	14	54	13	34	22	46	12	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	441	9	13	8	7	4	1	8	5	3	2	1	2	3	5	4	4	21	5	1	6	35	1	8	8	9	2	5	6	2	3	3	5	4	11	3	8	7	6	2	10	3	2	8	8	10	15	9	4	8	3	3	10	13	11	8	5	5	1	7	8	2	5	9	4	7	4	5	1	5	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	241	7	12	0	1	0	0	0	0	0	0	2	0	0	0	1	0	4	1	0	0	48	6	14	16	9	6	1	0	1	0	0	0	0	1	1	16	6	0	0	0	0	0	8	17	0	5	0	0	2	1	0	0	0	0	2	0	0	6	10	12	3	0	13	6	0	1	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2946	105	111	39	13	35	47	39	12	15	24	26	14	15	57	45	31	291	46	17	68	32	7	9	67	10	5	33	18	16	9	3	43	16	8	27	33	29	54	19	43	14	19	73	98	31	97	65	38	98	39	37	35	22	56	42	82	24	27	36	33	43	23	76	16	51	30	52	42	44	32	40					
		15.30%	18.23%	20.94%	9.82%	14.77%	19.55%	21.27%	12.87%	8.45%	13.39%	20.51%	11.02%	6.67%	18.07%	14.25%	16.36%	15.82%	19.73%	16.73%	15.18%	16.35%	8.77%	11.29%	8.91%	13.76%	10.00%	4.24%	13.10%	10.47%	16.00%	10.71%	4.48%	17.92%	11.94%	5.30%	17.42%	18.44%	15.51%	13.47%	13.57%	20.00%	9.93%	13.77%	13.39%	17.25%	21.38%	15.45%	18.26%	17.04%	15.78%	17.03%	15.68%	16.06%	14.77%	12.20%	14.33%	15.71%	12.90%	14.44%	14.57%	16.42%	11.47%	12.92%	15.02%	11.51%	15.00%	20.98%	21.67%	18.67%	15.12%	21.48%	12.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1826	49	39	50	12	7	28	46	6	15	11	29	16	17	38	11	10	129	39	7	38	20	5	6	44	9	14	21	14	10	6	8	30	6	14	18	17	12	40	10	33	14	23	49	66	18	37	36	35	67	14	11	10	20	48	38	54	14	10	20	17	44	17	54	6	38	10	26	20	28	24	24					
		9.49%	8.51%	7.36%	12.59%	13.64%	3.91%	12.67%	15.18%	4.23%	13.39%	9.40%	12.29%	7.62%	20.48%	9.50%	4.00%	5.10%	8.75%	14.18%	6.25%	9.13%	5.48%	8.06%	5.94%	9.03%	9.00%	11.86%	8.33%	8.14%	10.00%	7.14%	11.94%	12.50%	4.48%	9.27%	11.61%	9.50%	6.42%	9.98%	7.14%	15.35%	9.93%	16.67%	8.99%	11.62%	12.41%	5.89%	10.11%	15.70%	10.79%	6.11%	4.66%	4.59%	13.42%	10.46%	12.97%	10.34%	7.53%	5.35%	8.10%	8.46%	11.73%	9.55%	10.67%	4.32%	11.18%	6.99%	10.83%	8.89%	9.62%	16.11%	7.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	288	12	8	10	0	1	3	2	0	0	6	7	0	0	6	3	4	14	6	2	6	4	0	3	11	2	3	2	2	1	0	1	5	1	1	4	3	19	4	2	3	3	0	9	6	0	1	4	2	11	8	3	3	2	5	6	5	7	2	2	4	5	2	6	0	4	3	4	2	6	5	7					
		1.50%	2.08%	1.51%	2.52%	0.00%	0.56%	1.36%	0.66%	0.00%	0.00%	5.13%	2.97%	0.00%	0.00%	1.50%	1.09%	2.04%	0.95%	2.18%	1.79%	1.44%	1.10%	0.00%	2.97%	2.26%	2.00%	2.54%	0.79%	1.16%	1.00%	0.00%	1.49%	2.08%	0.75%	0.66%	2.58%	1.68%	10.16%	0.99%	1.43%	1.40%	2.13%	0.00%	1.65%	1.06%	0.00%	0.16%	1.12%	0.90%	1.77%	3.49%	1.27%	1.38%	1.34%	1.09%	2.05%	0.96%	3.76%	1.07%	0.81%	1.99%	1.33%	1.12%	1.19%	0.00%	1.18%	2.10%	1.67%	0.89%	2.06%	3.36%	2.19%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3468	129	118	78	23	46	33	51	51	27	19	51	34	10	93	32	32	331	68	8	55	70	13	25	98	14	30	89	43	35	17	16	34	19	16	15	31	26	41	28	32	40	18	55	76	17	104	59	32	136	43	25	60	17	98	68	109	21	28	42	24	35	21	60	21	60	17	30	21	49	24	77					
		18.01%	22.40%	22.26%	19.65%	26.14%	25.70%	14.93%	16.83%	35.92%	24.11%	16.24%	21.61%	16.19%	12.05%	23.25%	11.64%	16.33%	22.44%	24.73%	7.14%	13.22%	19.18%	20.97%	24.75%	20.12%	14.00%	25.42%	35.32%	25.00%	35.00%	20.24%	23.88%	14.17%	14.18%	10.60%	9.68%	17.32%	13.90%	10.22%	20.00%	14.88%	28.37%	13.04%	10.09%	13.38%	11.72%	16.56%	16.57%	14.35%	21.90%	18.78%	10.59%	27.52%	11.41%	21.35%	23.21%	20.88%	11.29%	14.97%	17.00%	11.94%	9.33%	11.80%	11.86%	15.11%	17.65%	11.89%	12.50%	9.33%	16.84%	16.11%	24.06%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	145	4	4	3	0	4	0	3	0	1	1	3	1	1	3	5	0	14	4	2	1	2	1	0	4	2	1	2	1	0	0	0	0	0	2	0	2	1	2	1	0	0	1	9	2	1	4	4	0	5	0	0	3	1	3	2	6	2	0	0	0	5	1	3	0	0	4	4	1	7	1	1					
		0.75%	0.69%	0.75%	0.76%	0.00%	2.23%	0.00%	0.99%	0.00%	0.89%	0.85%	1.27%	0.48%	1.20%	0.75%	1.82%	0.00%	0.95%	1.45%	1.79%	0.24%	0.55%	1.61%	0.00%	0.82%	2.00%	0.85%	0.79%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	1.12%	0.53%	0.50%	0.71%	0.00%	0.00%	0.72%	1.65%	0.35%	0.69%	0.64%	1.12%	0.00%	0.81%	0.00%	0.00%	1.38%	0.67%	0.65%	0.68%	1.15%	1.08%	0.00%	0.00%	0.00%	1.33%	0.56%	0.59%	0.00%	0.00%	2.80%	1.67%	0.44%	2.41%	0.67%	0.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9801	257	231	195	32	78	100	144	62	48	54	111	133	37	194	172	100	665	100	72	226	231	35	56	238	63	61	91	86	38	46	29	125	78	105	82	84	89	248	69	92	69	74	330	314	76	362	178	110	273	122	151	99	79	229	123	249	114	108	140	117	223	107	275	92	161	66	111	138	136	57	161					
		50.91%	44.62%	43.58%	49.12%	36.36%	43.58%	45.25%	47.52%	43.66%	42.86%	46.15%	47.03%	63.33%	44.58%	48.50%	62.55%	51.02%	45.08%	36.36%	64.29%	54.33%	63.29%	56.45%	55.45%	48.87%	63.00%	51.69%	36.11%	50.00%	38.00%	54.76%	43.28%	52.08%	58.21%	69.54%	52.90%	46.93%	47.59%	61.85%	49.29%	42.79%	48.94%	53.62%	60.55%	55.28%	52.41%	57.64%	50.00%	49.33%	43.96%	53.28%	63.98%	45.41%	53.02%	49.89%	41.98%	47.70%	61.29%	57.75%	56.68%	58.21%	59.47%	60.11%	54.35%	66.19%	47.35%	46.15%	46.25%	61.33%	46.74%	38.26%	50.31%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	69	0	1	1	0	0	2	1	0	1	0	4	0	0	1	0	1	4	0	1	3	0	0	1	4	0	0	1	0	0	0	0	1	1	0	0	2	2	1	1	0	1	0	2	0	0	3	3	1	3	1	0	0	2	1	0	1	0	2	0	0	5	0	1	0	2	1	0	0	3	1	2					
		0.36%	0.00%	0.19%	0.25%	0.00%	0.00%	0.90%	0.33%	0.00%	0.89%	0.00%	1.69%	0.00%	0.00%	0.25%	0.00%	0.51%	0.27%	0.00%	0.89%	0.72%	0.00%	0.00%	0.99%	0.82%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.42%	0.75%	0.00%	0.00%	1.12%	1.07%	0.25%	0.71%	0.00%	0.71%	0.00%	0.37%	0.00%	0.00%	0.48%	0.84%	0.45%	0.48%	0.44%	0.00%	0.00%	1.34%	0.22%	0.00%	0.19%	0.00%	1.07%	0.00%	0.00%	1.33%	0.00%	0.20%	0.00%	0.59%	0.70%	0.00%	0.00%	1.03%	0.67%	0.63%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
