Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Канашская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299					
19	2.Всероссийская политическая партия «Гражданская Сила»	56	2	0	1	1	0	0	2	2	0	1	0	0	0	1	1	0	6	0	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	3	0	0	0	2	0	0	3	1	0	1	2	0	3	0	0	0	1	1	0	2	0	1	0	0	2	0	5	0	1	3	0	0	0	1	1	0					
		0.24%	0.32%	0.00%	0.19%	0.93%	0.00%	0.00%	0.54%	1.24%	0.00%	0.61%	0.00%	0.00%	0.00%	0.22%	0.31%	0.00%	0.34%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.29%	0.00%	0.91%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.44%	0.12%	0.00%	0.11%	0.55%	0.00%	0.44%	0.00%	0.00%	0.00%	0.66%	0.21%	0.00%	0.32%	0.00%	0.44%	0.00%	0.00%	0.49%	0.00%	0.84%	0.00%	0.25%	1.52%	0.00%	0.00%	0.00%	0.51%	0.20%	0.00%					
20	3.Политическая партия «Демократическая партия России»	52	1	2	2	2	1	1	3	0	0	0	2	0	0	2	1	0	3	1	0	1	0	0	1	1	2	0	2	0	0	0	2	0	1	0	0	0	2	0	0	1	0	0	2	0	1	0	1	1	1	0	0	0	0	1	0	2	2	0	1	0	0	1	2	1	1	0	1	0	0	0	0	0					
		0.22%	0.16%	0.34%	0.38%	1.87%	0.47%	0.41%	0.81%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.44%	0.31%	0.00%	0.17%	0.35%	0.00%	0.20%	0.00%	0.00%	0.78%	0.18%	1.31%	0.00%	0.59%	0.00%	0.00%	0.00%	2.74%	0.00%	0.65%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.41%	0.00%	0.00%	0.29%	0.00%	0.57%	0.00%	0.27%	0.40%	0.15%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.32%	0.90%	0.00%	0.32%	0.00%	0.00%	0.51%	0.34%	0.57%	0.25%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1935	56	105	36	12	24	14	24	16	9	6	18	17	2	38	11	7	147	21	7	34	15	4	14	85	21	10	77	35	28	6	5	17	16	8	10	12	18	15	19	28	25	6	34	15	6	45	22	14	74	28	11	45	17	86	50	57	57	15	21	19	26	16	39	20	35	9	17	12	24	21	22	0					
		8.19%	9.02%	17.74%	6.82%	11.21%	11.32%	5.81%	6.49%	9.94%	6.92%	3.64%	5.86%	7.02%	1.94%	8.32%	3.46%	2.94%	8.40%	7.27%	5.30%	6.91%	2.82%	4.71%	10.94%	15.26%	13.73%	7.19%	22.58%	24.65%	12.79%	4.69%	6.85%	5.88%	10.32%	3.86%	5.59%	5.53%	9.23%	3.11%	9.41%	11.48%	16.67%	3.30%	5.01%	1.76%	3.43%	4.95%	6.03%	5.53%	10.82%	9.36%	4.03%	16.42%	11.26%	18.30%	16.03%	9.08%	25.79%	6.64%	6.75%	8.02%	6.33%	8.08%	6.54%	11.36%	8.82%	4.55%	4.83%	3.67%	5.27%	10.61%	4.46%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	107	0	2	2	0	0	1	3	0	0	1	0	0	0	5	0	0	55	0	0	1	2	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	4	0	0	0	0	0	3	3	3	0	0	1	1	0	0	0	2	2	2	0	2	0	3	0					
		0.45%	0.00%	0.34%	0.38%	0.00%	0.00%	0.41%	0.81%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	3.14%	0.00%	0.00%	0.20%	0.38%	0.00%	0.00%	0.18%	0.65%	0.00%	0.00%	0.70%	0.46%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.57%	0.11%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.48%	1.36%	0.00%	0.00%	0.42%	0.24%	0.00%	0.00%	0.00%	0.50%	1.01%	0.57%	0.00%	0.44%	0.00%	0.61%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	41	2	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	2	0	0	4	0	0	0	0	1	1	1	1	0	0	0	3	0	2	0	0	2	1	0	1	0	1	0					
		0.17%	0.32%	0.34%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.00%	0.76%	0.00%	0.00%	0.00%	1.56%	0.18%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.65%	0.00%	0.56%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.12%	0.00%	0.22%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.21%	0.32%	0.16%	0.45%	0.00%	0.00%	0.00%	0.73%	0.00%	0.34%	0.00%	0.00%	1.01%	0.28%	0.00%	0.22%	0.00%	0.20%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1303	33	49	27	9	5	6	34	13	7	13	20	8	14	35	6	7	130	18	7	27	14	3	5	56	12	12	9	5	12	3	3	25	5	11	6	8	14	21	15	18	7	13	30	26	4	32	42	19	39	17	10	6	24	25	16	34	13	24	17	9	11	10	27	3	20	9	34	8	16	13	15	5					
		5.51%	5.31%	8.28%	5.11%	8.41%	2.36%	2.49%	9.19%	8.07%	5.38%	7.88%	6.51%	3.31%	13.59%	7.66%	1.89%	2.94%	7.42%	6.23%	5.30%	5.49%	2.64%	3.53%	3.91%	10.05%	7.84%	8.63%	2.64%	3.52%	5.48%	2.34%	4.11%	8.65%	3.23%	5.31%	3.35%	3.69%	7.18%	4.36%	7.43%	7.38%	4.67%	7.14%	4.42%	3.05%	2.29%	3.52%	11.51%	7.51%	5.70%	5.69%	3.66%	2.19%	15.89%	5.32%	5.13%	5.41%	5.88%	10.62%	5.47%	3.80%	2.68%	5.05%	4.53%	1.70%	5.04%	4.55%	9.66%	2.45%	3.52%	6.57%	3.04%	9.26%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1132	31	27	17	6	20	22	12	3	6	7	7	14	6	13	20	12	175	39	3	32	21	6	8	27	4	13	12	7	3	1	5	13	4	3	9	5	9	21	2	8	13	9	36	20	8	27	20	10	29	10	11	5	3	26	16	35	7	15	18	11	17	8	16	8	22	2	17	5	17	12	25	1					
		4.79%	4.99%	4.56%	3.22%	5.61%	9.43%	9.13%	3.24%	1.86%	4.62%	4.24%	2.28%	5.79%	5.83%	2.84%	6.29%	5.04%	9.99%	13.49%	2.27%	6.50%	3.95%	7.06%	6.25%	4.85%	2.61%	9.35%	3.52%	4.93%	1.37%	0.78%	6.85%	4.50%	2.58%	1.45%	5.03%	2.30%	4.62%	4.36%	0.99%	3.28%	8.67%	4.95%	5.30%	2.35%	4.57%	2.97%	5.48%	3.95%	4.24%	3.34%	4.03%	1.82%	1.99%	5.53%	5.13%	5.57%	3.17%	6.64%	5.79%	4.64%	4.14%	4.04%	2.68%	4.55%	5.54%	1.01%	4.83%	1.53%	3.74%	6.06%	5.07%	1.85%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	296	12	7	6	1	1	3	3	2	2	3	2	2	2	7	4	1	11	4	1	6	5	1	4	15	2	3	2	1	1	1	1	5	1	6	9	3	14	3	2	3	3	0	13	4	2	3	1	2	8	6	1	5	5	4	4	11	2	2	4	2	3	2	6	2	1	1	5	2	8	1	21	0					
		1.25%	1.93%	1.18%	1.14%	0.93%	0.47%	1.24%	0.81%	1.24%	1.54%	1.82%	0.65%	0.83%	1.94%	1.53%	1.26%	0.42%	0.63%	1.38%	0.76%	1.22%	0.94%	1.18%	3.13%	2.69%	1.31%	2.16%	0.59%	0.70%	0.46%	0.78%	1.37%	1.73%	0.65%	2.90%	5.03%	1.38%	7.18%	0.62%	0.99%	1.23%	2.00%	0.00%	1.91%	0.47%	1.14%	0.33%	0.27%	0.79%	1.17%	2.01%	0.37%	1.82%	3.31%	0.85%	1.28%	1.75%	0.90%	0.88%	1.29%	0.84%	0.73%	1.01%	1.01%	1.14%	0.25%	0.51%	1.42%	0.61%	1.76%	0.51%	4.26%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	17884	465	379	418	72	143	191	272	113	101	125	253	192	76	342	267	205	1171	198	110	370	429	70	93	344	105	89	232	91	163	112	54	227	124	178	133	178	131	388	158	177	97	148	543	748	152	787	271	203	490	226	237	203	93	300	198	459	130	158	238	185	335	154	487	139	292	162	263	294	373	140	392	48					
		75.69%	74.88%	64.02%	79.17%	67.29%	67.45%	79.25%	73.51%	70.19%	77.69%	75.76%	82.41%	79.34%	73.79%	74.84%	83.96%	86.13%	66.88%	68.51%	83.33%	75.20%	80.79%	82.35%	72.66%	61.76%	68.63%	64.03%	68.04%	64.08%	74.43%	87.50%	73.97%	78.55%	80.00%	85.99%	74.30%	82.03%	67.18%	80.50%	78.22%	72.54%	64.67%	81.32%	79.97%	87.79%	86.86%	86.48%	74.25%	80.24%	71.64%	75.59%	86.81%	74.09%	61.59%	63.83%	63.46%	73.09%	58.82%	69.91%	76.53%	78.06%	81.51%	77.78%	81.71%	78.98%	73.55%	81.82%	74.72%	89.91%	81.98%	70.71%	79.51%	88.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	89	3	1	1	0	1	1	2	0	1	2	0	0	0	1	4	2	9	0	0	1	0	1	1	1	0	0	1	2	2	0	0	0	0	0	4	2	0	0	0	0	2	0	4	1	0	1	2	1	5	1	0	3	0	2	1	4	2	0	1	1	1	1	2	1	2	1	4	0	0	3	0	0					
		0.38%	0.48%	0.17%	0.19%	0.00%	0.47%	0.41%	0.54%	0.00%	0.77%	1.21%	0.00%	0.00%	0.00%	0.22%	1.26%	0.84%	0.51%	0.00%	0.00%	0.20%	0.00%	1.18%	0.78%	0.18%	0.00%	0.00%	0.29%	1.41%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	2.23%	0.92%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.59%	0.12%	0.00%	0.11%	0.55%	0.40%	0.73%	0.33%	0.00%	1.09%	0.00%	0.43%	0.32%	0.64%	0.90%	0.00%	0.32%	0.42%	0.24%	0.51%	0.34%	0.57%	0.50%	0.51%	1.14%	0.00%	0.00%	1.52%	0.00%	0.00%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
