Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Тайшетская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	828	2	5	5	5	15	2	2	5	2	5	5	5	5	5	10	5	2	10	10	2	10	10	5	5	5	5	10	5	5	10	10	5	5	10	5	5	5	5	10	10	5	5	5	5	5	5	8	5	10	10	5	5	15	15	15	15	15	5	10	10	10	10	10	20	20	20	20	10	25	23	20	20	20	20	20	20	5	10	15	15	13	10	2	10	20	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	390	0	2	0	2	6	0	0	2	0	1	4	1	0	0	8	0	0	4	8	1	0	0	2	0	0	1	0	1	3	1	6	0	1	6	3	0	0	4	10	10	0	0	2	0	0	0	6	1	3	0	0	0	4	0	2	6	5	1	7	5	6	1	4	17	15	20	9	4	22	21	17	1	5	20	14	7	2	2	11	7	11	8	0	6	11	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	380	0	1	2	0	3	4	2	1	5	0	2	2	1	1	5	0	0	1	5	1	0	3	1	1	1	0	1	2	0	3	1	3	1	7	1	3	5	2	3	1	2	1	4	4	7	2	4	4	1	5	1	2	4	1	4	1	0	0	1	2	1	2	0	2	11	18	4	3	3	4	2	3	5	10	4	2	3	12	14	1	2	2	7	5	10	2	123					
14	Число погашенных неиспользованных открепительных удостоверений	438	2	3	5	3	9	2	2	3	2	4	1	4	5	5	2	5	2	6	2	1	10	10	3	5	5	4	10	4	2	9	4	5	4	4	2	5	5	1	0	0	5	5	3	5	5	5	2	4	7	10	5	5	11	15	13	9	10	4	3	5	4	9	6	3	5	0	11	6	3	2	3	19	15	0	6	13	3	8	4	8	2	2	2	4	9	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
18	1.Политическая партия «Аграрная партия России»	1273	2	17	18	1	56	4	6	7	10	19	15	2	6	4	10	1	0	13	8	0	71	7	3	12	15	7	32	22	2	45	40	30	11	20	29	3	6	5	15	5	5	0	2	0	3	18	10	4	5	30	0	34	15	15	14	25	11	5	15	20	7	8	6	33	28	22	17	18	15	19	11	35	28	43	26	17	4	7	26	10	24	8	2	4	13	32	0					
		3.46%	4.88%	3.39%	7.50%	0.60%	11.69%	2.88%	5.08%	3.78%	8.33%	7.06%	3.11%	1.32%	2.75%	3.92%	2.04%	0.51%	0.00%	2.13%	1.17%	0.00%	12.70%	1.29%	1.80%	4.76%	9.09%	5.19%	7.37%	9.05%	1.40%	8.09%	7.31%	12.45%	8.27%	4.25%	10.58%	4.00%	7.06%	1.62%	1.83%	0.66%	1.71%	0.00%	1.26%	0.00%	0.95%	9.18%	3.83%	2.08%	1.13%	4.76%	0.00%	9.66%	1.76%	2.62%	1.91%	3.85%	1.64%	1.88%	3.58%	4.04%	1.50%	1.67%	1.15%	3.50%	3.16%	2.29%	3.53%	6.45%	2.35%	1.99%	1.89%	3.88%	3.85%	3.55%	2.99%	2.79%	3.31%	2.34%	3.89%	1.84%	3.27%	1.98%	2.11%	1.03%	2.23%	3.21%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	152	0	2	0	1	2	1	1	1	0	1	1	1	1	0	1	0	0	2	1	0	2	1	0	0	0	0	1	0	0	3	2	0	0	3	0	0	3	2	1	2	0	0	0	0	0	1	0	2	2	0	1	0	6	4	4	3	3	0	2	2	0	2	1	6	9	5	4	1	3	6	4	7	6	5	2	1	1	0	5	0	4	3	0	2	3	5	1					
		0.41%	0.00%	0.40%	0.00%	0.60%	0.42%	0.72%	0.85%	0.54%	0.00%	0.37%	0.21%	0.66%	0.46%	0.00%	0.20%	0.00%	0.00%	0.33%	0.15%	0.00%	0.36%	0.18%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.54%	0.37%	0.00%	0.00%	0.64%	0.00%	0.00%	3.53%	0.65%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	1.04%	0.45%	0.00%	0.29%	0.00%	0.70%	0.70%	0.54%	0.46%	0.45%	0.00%	0.48%	0.40%	0.00%	0.42%	0.19%	0.64%	1.01%	0.52%	0.83%	0.36%	0.47%	0.63%	0.69%	0.78%	0.83%	0.41%	0.23%	0.16%	0.83%	0.00%	0.75%	0.00%	0.54%	0.74%	0.00%	0.52%	0.52%	0.50%	0.40%					
20	3.Политическая партия «Демократическая партия России»	54	0	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	1	0	0	4	0	0	5	1	4	0	1	0	0	0	0	0	0	0	2	1	1	0	1	2	0	1	0	0	1	0	3	0	1	0	1	1	1	1	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	1	1					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.63%	2.16%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.60%	0.40%	0.00%	0.00%	0.46%	0.41%	0.00%	0.00%	0.18%	0.00%	0.00%	0.85%	0.00%	0.00%	5.88%	0.32%	0.49%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.16%	0.29%	0.00%	0.12%	0.35%	0.00%	0.15%	0.00%	0.00%	0.24%	0.00%	0.64%	0.00%	0.19%	0.00%	0.11%	0.10%	0.21%	0.36%	0.00%	0.11%	0.00%	0.11%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.10%	0.40%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3205	1	34	9	6	40	6	6	28	9	11	36	14	28	8	26	8	0	28	41	0	19	44	10	9	16	15	77	13	4	64	61	14	12	39	13	2	0	13	29	52	19	3	3	3	5	21	14	11	40	72	2	10	67	64	93	86	68	24	39	73	40	37	40	88	103	113	50	25	58	106	42	85	100	142	91	60	13	20	52	51	61	40	8	34	74	108	2					
		8.71%	2.44%	6.77%	3.75%	3.57%	8.35%	4.32%	5.08%	15.14%	7.50%	4.09%	7.45%	9.21%	12.84%	7.84%	5.31%	4.06%	0.00%	4.60%	5.99%	0.00%	3.40%	8.10%	5.99%	3.57%	9.70%	11.11%	17.74%	5.35%	2.80%	11.51%	11.15%	5.81%	9.02%	8.28%	4.74%	2.67%	0.00%	4.21%	3.55%	6.89%	6.51%	2.56%	1.89%	4.17%	1.58%	10.71%	5.36%	5.73%	9.03%	11.43%	0.58%	2.84%	7.85%	11.17%	12.67%	13.23%	10.12%	9.02%	9.31%	14.75%	8.55%	7.71%	7.69%	9.32%	11.61%	11.76%	10.40%	8.96%	9.08%	11.13%	7.20%	9.41%	13.76%	11.74%	10.45%	9.84%	10.74%	6.69%	7.78%	9.38%	8.31%	9.90%	8.42%	8.79%	12.71%	10.84%	0.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	195	0	1	3	0	1	1	1	1	0	1	3	0	1	0	1	0	0	2	2	0	0	1	0	1	0	0	3	2	0	4	5	0	0	0	0	0	0	3	1	1	1	0	0	0	2	1	0	1	1	0	0	0	3	5	6	5	3	1	0	5	2	2	2	3	5	6	5	2	4	8	5	12	1	11	8	6	1	1	4	0	6	4	1	4	4	14	1					
		0.53%	0.00%	0.20%	1.25%	0.00%	0.21%	0.72%	0.85%	0.54%	0.00%	0.37%	0.62%	0.00%	0.46%	0.00%	0.20%	0.00%	0.00%	0.33%	0.29%	0.00%	0.00%	0.18%	0.00%	0.40%	0.00%	0.00%	0.69%	0.82%	0.00%	0.72%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.12%	0.13%	0.34%	0.00%	0.00%	0.00%	0.63%	0.51%	0.00%	0.52%	0.23%	0.00%	0.00%	0.00%	0.35%	0.87%	0.82%	0.77%	0.45%	0.38%	0.00%	1.01%	0.43%	0.42%	0.38%	0.32%	0.56%	0.62%	1.04%	0.72%	0.63%	0.84%	0.86%	1.33%	0.14%	0.91%	0.92%	0.98%	0.83%	0.33%	0.60%	0.00%	0.82%	0.99%	1.05%	1.03%	0.69%	1.41%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	53	0	2	1	0	1	0	0	1	3	0	0	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	3	0	1	2	2	0	1	0	1	2	2	0	2	2	2	0	0	0	2	1	2	1	0	0	0	2	0					
		0.14%	0.00%	0.40%	0.42%	0.00%	0.21%	0.00%	0.00%	0.54%	2.50%	0.00%	0.00%	0.66%	0.92%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	2.33%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.16%	0.00%	0.00%	0.12%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.19%	0.21%	0.23%	0.00%	0.21%	0.00%	0.16%	0.21%	0.34%	0.00%	0.28%	0.17%	0.23%	0.00%	0.00%	0.00%	0.30%	0.18%	0.27%	0.25%	0.00%	0.00%	0.00%	0.20%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3354	4	67	35	12	50	28	13	14	6	13	38	21	19	6	4	15	8	34	56	0	17	53	8	10	5	30	20	21	16	54	44	30	9	48	17	5	9	26	50	27	22	11	33	8	22	16	15	21	45	57	7	31	86	63	112	57	75	18	31	41	51	41	50	105	83	104	43	29	55	96	51	90	66	103	84	53	12	24	55	58	77	61	11	39	74	115	11					
		9.11%	9.76%	13.35%	14.58%	7.14%	10.44%	20.14%	11.02%	7.57%	5.00%	4.83%	7.87%	13.82%	8.72%	5.88%	0.82%	7.61%	42.11%	5.58%	8.18%	0.00%	3.04%	9.76%	4.79%	3.97%	3.03%	22.22%	4.61%	8.64%	11.19%	9.71%	8.04%	12.45%	6.77%	10.19%	6.20%	6.67%	10.59%	8.41%	6.11%	3.58%	7.53%	9.40%	20.75%	11.11%	6.94%	8.16%	5.75%	10.94%	10.16%	9.05%	2.02%	8.81%	10.07%	10.99%	15.26%	8.77%	11.16%	6.77%	7.40%	8.28%	10.90%	8.54%	9.62%	11.12%	9.36%	10.82%	8.94%	10.39%	8.61%	10.08%	8.75%	9.97%	9.08%	8.51%	9.64%	8.69%	9.92%	8.03%	8.23%	10.66%	10.49%	15.10%	11.58%	10.08%	12.71%	11.55%	4.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2398	3	34	11	6	22	4	6	7	2	11	38	12	7	1	16	1	0	16	44	1	17	27	3	11	1	2	11	2	11	33	41	4	1	24	19	2	5	23	25	35	11	2	11	4	3	17	6	7	21	40	0	10	84	45	73	80	55	19	23	53	39	39	25	60	80	57	32	21	51	83	38	109	71	86	81	59	5	30	57	39	70	30	8	29	37	54	5					
		6.52%	7.32%	6.77%	4.58%	3.57%	4.59%	2.88%	5.08%	3.78%	1.67%	4.09%	7.87%	7.89%	3.21%	0.98%	3.27%	0.51%	0.00%	2.63%	6.42%	2.33%	3.04%	4.97%	1.80%	4.37%	0.61%	1.48%	2.53%	0.82%	7.69%	5.94%	7.50%	1.66%	0.75%	5.10%	6.93%	2.67%	5.88%	7.44%	3.06%	4.64%	3.77%	1.71%	6.92%	5.56%	0.95%	8.67%	2.30%	3.65%	4.74%	6.35%	0.00%	2.84%	9.84%	7.85%	9.95%	12.31%	8.18%	7.14%	5.49%	10.71%	8.33%	8.13%	4.81%	6.36%	9.02%	5.93%	6.65%	7.53%	7.98%	8.72%	6.52%	12.07%	9.77%	7.11%	9.30%	9.67%	4.13%	10.03%	8.53%	7.17%	9.54%	7.43%	8.42%	7.49%	6.36%	5.42%	2.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	179	0	2	1	1	1	1	0	0	2	2	3	0	1	0	0	3	0	3	4	0	2	4	1	0	0	2	8	2	2	0	6	0	2	6	0	0	0	2	2	3	2	1	2	0	1	1	0	2	0	4	3	0	2	3	6	4	0	3	3	4	3	3	3	7	1	4	2	1	2	4	5	1	1	6	6	4	2	0	4	1	1	1	0	0	5	3	2					
		0.49%	0.00%	0.40%	0.42%	0.60%	0.21%	0.72%	0.00%	0.00%	1.67%	0.74%	0.62%	0.00%	0.46%	0.00%	0.00%	1.52%	0.00%	0.49%	0.58%	0.00%	0.36%	0.74%	0.60%	0.00%	0.00%	1.48%	1.84%	0.82%	1.40%	0.00%	1.10%	0.00%	1.50%	1.27%	0.00%	0.00%	0.00%	0.65%	0.24%	0.40%	0.68%	0.85%	1.26%	0.00%	0.32%	0.51%	0.00%	1.04%	0.00%	0.63%	0.86%	0.00%	0.23%	0.52%	0.82%	0.62%	0.00%	1.13%	0.72%	0.81%	0.64%	0.63%	0.58%	0.74%	0.11%	0.42%	0.42%	0.36%	0.31%	0.42%	0.86%	0.11%	0.14%	0.50%	0.69%	0.66%	1.65%	0.00%	0.60%	0.18%	0.14%	0.25%	0.00%	0.00%	0.86%	0.30%	0.80%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	25175	30	325	160	134	296	86	79	111	85	207	333	99	147	80	421	163	11	483	523	41	418	397	140	207	128	79	270	175	107	345	338	158	96	312	187	60	57	224	678	617	226	100	107	57	274	116	215	138	321	404	314	264	576	360	414	378	438	188	300	283	314	338	385	625	554	619	312	169	434	614	415	547	443	787	552	397	82	211	426	377	476	252	64	271	365	642	224					
		68.41%	73.17%	64.74%	66.67%	79.76%	61.80%	61.87%	66.95%	60.00%	70.83%	76.95%	68.94%	65.13%	67.43%	78.43%	85.92%	82.74%	57.89%	79.31%	76.35%	95.35%	74.78%	73.11%	83.83%	82.14%	77.58%	58.52%	62.21%	72.02%	74.83%	62.05%	61.79%	65.56%	72.18%	66.24%	68.25%	80.00%	67.06%	72.49%	82.89%	81.72%	77.40%	85.47%	67.30%	79.17%	86.44%	59.18%	82.38%	71.88%	72.46%	64.13%	90.49%	75.00%	67.45%	62.83%	56.40%	58.15%	65.18%	70.68%	71.60%	57.17%	67.09%	70.42%	74.04%	66.21%	62.46%	64.41%	64.86%	60.57%	67.92%	64.50%	71.18%	60.58%	60.94%	65.04%	63.38%	65.08%	67.77%	70.57%	63.77%	69.30%	64.85%	62.38%	67.37%	70.03%	62.71%	64.46%	89.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	190	0	1	2	2	2	1	1	2	0	0	1	0	0	0	1	2	0	4	4	0	2	3	1	0	0	0	0	1	0	1	2	0	1	5	3	0	0	0	4	3	1	0	1	0	0	5	1	1	4	1	0	0	5	3	7	4	3	3	0	2	4	2	3	3	5	11	5	3	5	6	1	4	4	16	5	3	0	1	4	1	4	3	0	0	1	4	2					
		0.52%	0.00%	0.20%	0.83%	1.19%	0.42%	0.72%	0.85%	1.08%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.20%	1.02%	0.00%	0.66%	0.58%	0.00%	0.36%	0.55%	0.60%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.18%	0.37%	0.00%	0.75%	1.06%	1.09%	0.00%	0.00%	0.00%	0.49%	0.40%	0.34%	0.00%	0.63%	0.00%	0.00%	2.55%	0.38%	0.52%	0.90%	0.16%	0.00%	0.00%	0.59%	0.52%	0.95%	0.62%	0.45%	1.13%	0.00%	0.40%	0.85%	0.42%	0.58%	0.32%	0.56%	1.14%	1.04%	1.08%	0.78%	0.63%	0.17%	0.44%	0.55%	1.32%	0.57%	0.49%	0.00%	0.33%	0.60%	0.18%	0.54%	0.74%	0.00%	0.00%	0.17%	0.40%	0.80%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
