Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Нижнеудинская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972					
		0.69%	1.02%	0.0%	1.56%	1.42%	1.36%	1.47%	2.17%	1.53%	0.6%	0.18%	0.30%	1.01%	1.26%	1.30%	0.0%	2.63%	1.97%	2.43%	0.0%	0.0%	0.0%	2.08%	0.77%	0.0%	0.31%	1.57%	1.62%	0.0%	0.36%	0.0%	0.0%	0.0%	0.74%	0.25%	1.09%	0.56%	0.0%	0.0%	0.41%	1.44%	0.0%	0.81%	1.56%	1.86%	0.0%	0.23%	0.0%	0.0%	0.84%	0.0%	1.12%	0.0%	0.86%	0.0%	0.0%	0.0%	0.46%	0.0%	0.8%	0.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	378	18	7	1	3	3	2	6	2	10	9	10	9	19	16	3	7	13	2	6	10	2	5	6	2	13	8	3	0	7	4	3	3	3	4	5	11	13	12	17	6	3	1	1	3	4	14	12	8	2	0	1	2	24	4	1	1	8	3	2	1					
		2.90%	3.06%	4.72%	0.78%	2.14%	4.10%	2.94%	6.52%	3.07%	2.0%	1.62%	3.01%	1.81%	4.00%	2.98%	1.89%	3.68%	3.66%	2.43%	4.8%	15.15%	2.5%	10.41%	1.54%	3.17%	4.07%	6.29%	1.62%	0.0%	2.55%	2.42%	2.88%	1.56%	2.22%	1.00%	2.74%	6.21%	4.20%	2.36%	3.53%	8.69%	4.76%	0.81%	0.52%	1.39%	5.0%	3.30%	5.40%	14.81%	1.69%	0.0%	1.12%	3.03%	5.17%	1.80%	0.84%	0.86%	3.68%	0.99%	1.6%	0.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	314	23	9	6	3	0	0	0	0	13	9	0	31	18	18	1	6	27	2	11	1	2	1	10	0	13	4	3	0	4	3	1	2	3	3	1	3	3	15	11	1	1	2	2	4	7	2	4	0	0	0	0	0	3	11	2	5	1	0	1	8					
		2.41%	3.91%	6.08%	4.68%	2.14%	0.0%	0.0%	0.0%	0.0%	2.6%	1.62%	0.0%	6.26%	3.79%	3.35%	0.63%	3.15%	7.60%	2.43%	8.8%	1.51%	2.5%	2.08%	2.57%	0.0%	4.07%	3.14%	1.62%	0.0%	1.45%	1.81%	0.96%	1.04%	2.22%	0.75%	0.54%	1.69%	0.97%	2.95%	2.28%	1.44%	1.58%	1.63%	1.04%	1.86%	8.75%	0.47%	1.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	4.95%	1.68%	4.34%	0.46%	0.0%	0.8%	3.90%					
22	"5. ""За Русь Святую"""	74	4	3	1	0	1	0	1	2	2	0	0	0	4	1	0	1	1	1	0	1	1	0	0	0	2	0	1	0	2	4	1	0	2	0	2	1	2	1	2	0	0	0	3	2	3	1	2	0	2	1	1	1	7	1	2	2	0	0	1	1					
		0.56%	0.68%	2.02%	0.78%	0.0%	1.36%	0.0%	1.08%	3.07%	0.4%	0.0%	0.0%	0.0%	0.84%	0.18%	0.0%	0.52%	0.28%	1.21%	0.0%	1.51%	1.25%	0.0%	0.0%	0.0%	0.62%	0.0%	0.54%	0.0%	0.72%	2.42%	0.96%	0.0%	1.48%	0.0%	1.09%	0.56%	0.64%	0.19%	0.41%	0.0%	0.0%	0.0%	1.56%	0.93%	3.75%	0.23%	0.90%	0.0%	1.69%	0.63%	1.12%	1.51%	1.50%	0.45%	1.68%	1.73%	0.0%	0.0%	0.8%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	52	2	1	1	1	1	0	1	1	0	1	0	0	1	2	0	5	2	0	0	1	0	0	0	0	6	3	1	0	0	1	0	0	1	1	1	3	1	3	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	4	1	0	0					
		0.39%	0.34%	0.67%	0.78%	0.71%	1.36%	0.0%	1.08%	1.53%	0.0%	0.18%	0.0%	0.0%	0.21%	0.37%	0.0%	2.63%	0.56%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	1.88%	2.36%	0.54%	0.0%	0.0%	0.60%	0.0%	0.0%	0.74%	0.25%	0.54%	1.69%	0.32%	0.59%	0.20%	0.0%	0.0%	0.81%	0.52%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	1.84%	0.33%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	59	1	0	0	0	0	0	0	0	1	2	4	2	2	3	0	3	2	0	1	1	1	1	0	0	0	1	1	0	1	1	2	0	0	0	0	1	0	3	6	0	0	0	2	1	0	4	0	0	1	0	0	0	2	0	0	0	0	1	0	8					
		0.45%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.2%	0.36%	1.20%	0.40%	0.42%	0.55%	0.0%	1.57%	0.56%	0.0%	0.8%	1.51%	1.25%	2.08%	0.0%	0.0%	0.0%	0.78%	0.54%	0.0%	0.36%	0.60%	1.92%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.59%	1.24%	0.0%	0.0%	0.0%	1.04%	0.46%	0.0%	0.94%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	3.90%					
25	"8. ""Народно-республиканская партия России"""	45	0	0	2	1	0	4	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	7	2	1	3	5	0	1	0	0	3	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0					
		0.34%	0.0%	0.0%	1.56%	0.71%	0.0%	5.88%	0.0%	0.0%	0.4%	0.18%	0.30%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.54%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	1.76%	1.09%	0.56%	0.97%	0.98%	0.0%	1.44%	0.0%	0.0%	1.56%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	1.89%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	5	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0					
		0.17%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.18%	0.0%	0.0%	0.28%	2.43%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.32%	0.39%	1.03%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.21%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	701	26	12	6	0	2	5	1	3	14	23	8	16	11	33	6	7	13	5	9	1	6	3	39	7	14	6	18	4	31	16	4	21	25	61	17	7	10	26	18	5	4	1	18	9	4	9	0	1	10	59	10	1	11	5	11	1	3	2	0	3					
		5.38%	4.42%	8.10%	4.68%	0.0%	2.73%	7.35%	1.08%	4.61%	2.8%	4.15%	2.40%	3.23%	2.32%	6.15%	3.79%	3.68%	3.66%	6.09%	7.2%	1.51%	7.5%	6.25%	10.05%	11.11%	4.38%	4.72%	9.72%	6.25%	11.31%	9.69%	3.84%	10.93%	18.51%	15.36%	9.34%	3.95%	3.23%	5.12%	3.74%	7.24%	6.34%	0.81%	9.37%	4.18%	5.0%	2.12%	0.0%	1.85%	8.47%	37.34%	11.23%	1.51%	2.37%	2.25%	9.24%	0.86%	1.38%	0.66%	0.0%	1.46%					
28	"11. ""Истинные патриоты России"""	18	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	2	0	0	1	0	0	0	0	1	0	0	1					
		0.13%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.2%	0.0%	0.0%	0.0%	0.42%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.52%	0.0%	1.25%	0.47%	0.0%	0.0%	1.69%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.48%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	566	36	6	4	7	3	3	6	10	22	16	16	17	24	28	5	22	16	5	4	4	6	3	24	9	12	10	10	4	6	0	1	19	2	20	2	3	13	11	13	3	2	8	7	11	0	5	3	10	5	3	6	8	23	20	9	5	4	5	0	7					
		4.35%	6.12%	4.05%	3.12%	4.99%	4.10%	4.41%	6.52%	15.38%	4.4%	2.89%	4.81%	3.43%	5.06%	5.22%	3.16%	11.57%	4.50%	6.09%	3.2%	6.06%	7.5%	6.25%	6.18%	14.28%	3.76%	7.87%	5.40%	6.25%	2.18%	0.0%	0.96%	9.89%	1.48%	5.03%	1.09%	1.69%	4.20%	2.16%	2.70%	4.34%	3.17%	6.55%	3.64%	5.11%	0.0%	1.18%	1.35%	18.51%	4.23%	1.89%	6.74%	12.12%	4.95%	9.00%	7.56%	4.34%	1.84%	1.65%	0.0%	3.41%					
30	"13. ""Демократическая партия России"""	53	2	0	0	0	0	0	1	1	0	2	0	2	1	0	0	0	6	0	0	2	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	4	1	2	6	0	0	1	4	0	1	2	0	2	1	1	0	0	3	0	0	0	1	0	0	1					
		0.40%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	1.53%	0.0%	0.36%	0.0%	0.40%	0.21%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	3.03%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	0.52%	0.0%	0.25%	0.0%	2.25%	0.32%	0.39%	1.24%	0.0%	0.0%	0.81%	2.08%	0.0%	1.25%	0.47%	0.0%	3.70%	0.84%	0.63%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	1	0	0	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	3	0	0	3	0	0	0	0	0	1	1	0	0	0	4	0	0	0					
		0.19%	0.17%	0.0%	0.0%	0.71%	0.0%	0.0%	2.17%	0.0%	0.2%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.81%	1.56%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.21%	0.0%	0.0%	0.0%	1.84%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	15	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.2%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	443	25	7	8	4	0	3	4	1	11	7	11	16	17	32	15	10	25	2	4	1	5	2	10	2	9	3	4	0	7	4	0	3	2	8	6	9	7	15	10	1	6	5	4	5	1	12	31	3	4	10	2	2	18	1	4	2	12	11	0	0					
		3.40%	4.25%	4.72%	6.25%	2.85%	0.0%	4.41%	4.34%	1.53%	2.2%	1.26%	3.31%	3.23%	3.58%	5.97%	9.49%	5.26%	7.04%	2.43%	3.2%	1.51%	6.25%	4.16%	2.57%	3.17%	2.82%	2.36%	2.16%	0.0%	2.55%	2.42%	0.0%	1.56%	1.48%	2.01%	3.29%	5.08%	2.26%	2.95%	2.07%	1.44%	9.52%	4.09%	2.08%	2.32%	1.25%	2.83%	13.96%	5.55%	3.38%	6.32%	2.24%	3.03%	3.87%	0.45%	3.36%	1.73%	5.52%	3.63%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	78	2	3	0	1	0	0	2	2	0	4	3	1	1	1	2	2	1	2	0	0	2	3	3	0	2	2	1	0	0	1	0	2	0	0	2	1	1	5	1	0	0	1	0	1	1	2	1	0	0	1	4	0	3	6	1	1	0	1	0	2					
		0.59%	0.34%	2.02%	0.0%	0.71%	0.0%	0.0%	2.17%	3.07%	0.0%	0.72%	0.90%	0.20%	0.21%	0.18%	1.26%	1.05%	0.28%	2.43%	0.0%	0.0%	2.5%	6.25%	0.77%	0.0%	0.62%	1.57%	0.54%	0.0%	0.0%	0.60%	0.0%	1.04%	0.0%	0.0%	1.09%	0.56%	0.32%	0.98%	0.20%	0.0%	0.0%	0.81%	0.0%	0.46%	1.25%	0.47%	0.45%	0.0%	0.0%	0.63%	4.49%	0.0%	0.64%	2.70%	0.84%	0.86%	0.0%	0.33%	0.0%	0.97%					
35	"18. ""ЛДПР"""	1679	73	17	14	12	14	10	20	5	73	65	52	61	60	86	19	14	59	12	9	4	4	9	38	5	25	13	19	12	30	25	8	25	12	40	23	29	37	96	68	13	7	24	21	33	10	46	45	3	20	13	7	12	95	21	17	18	16	14	10	37					
		12.90%	12.41%	11.48%	10.93%	8.57%	19.17%	14.70%	21.73%	7.69%	14.6%	11.75%	15.66%	12.32%	12.65%	16.04%	12.02%	7.36%	16.61%	14.63%	7.2%	6.06%	5.0%	18.75%	9.79%	7.93%	7.83%	10.23%	10.27%	18.75%	10.94%	15.15%	7.69%	13.02%	8.88%	10.07%	12.63%	16.38%	11.97%	18.93%	14.13%	18.84%	11.11%	19.67%	10.93%	15.34%	12.5%	10.87%	20.27%	5.55%	16.94%	8.22%	7.86%	18.18%	20.47%	9.45%	14.28%	15.65%	7.37%	4.62%	8.0%	18.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	248	9	0	0	1	2	1	2	3	18	14	5	10	13	10	6	5	2	1	4	0	1	1	11	1	13	3	9	3	2	3	1	3	5	6	3	4	3	6	3	2	0	4	6	2	1	1	0	3	2	1	2	0	7	0	1	1	14	5	1	8					
		1.90%	1.53%	0.0%	0.0%	0.71%	2.73%	1.47%	2.17%	4.61%	3.6%	2.53%	1.50%	2.02%	2.74%	1.86%	3.79%	2.63%	0.56%	1.21%	3.2%	0.0%	1.25%	2.08%	2.83%	1.58%	4.07%	2.36%	4.86%	4.68%	0.72%	1.81%	0.96%	1.56%	3.70%	1.51%	1.64%	2.25%	0.97%	1.18%	0.62%	2.89%	0.0%	3.27%	3.12%	0.93%	1.25%	0.23%	0.0%	5.55%	1.69%	0.63%	2.24%	0.0%	1.50%	0.0%	0.84%	0.86%	6.45%	1.65%	0.8%	3.90%					
37	"20. ""Политическая партия ""Единая Россия"""	5395	267	56	55	61	22	27	25	15	171	261	169	215	197	205	68	59	91	21	48	10	29	7	176	18	144	24	67	30	111	84	46	73	28	137	94	55	158	159	170	26	24	42	76	109	30	257	87	10	48	47	22	25	159	122	57	65	90	229	106	111					
		41.48%	45.40%	37.83%	42.96%	43.57%	30.13%	39.70%	27.17%	23.07%	34.2%	47.19%	50.90%	43.43%	41.56%	38.24%	43.03%	31.05%	25.63%	25.60%	38.4%	15.15%	36.25%	14.58%	45.36%	28.57%	45.14%	18.89%	36.21%	46.87%	40.51%	50.90%	44.23%	38.02%	20.74%	34.50%	51.64%	31.07%	51.13%	31.36%	35.34%	37.68%	38.09%	34.42%	39.58%	50.69%	37.5%	60.75%	39.18%	18.51%	40.67%	29.74%	24.71%	37.87%	34.26%	54.95%	47.89%	56.52%	41.47%	75.57%	84.8%	54.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	33	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	4	0	0	1	0	0	2	0	0	1	1	0	0	0	0	5	0	1					
		0.25%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.74%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	2.08%	0.0%	0.0%	0.0%	1.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.64%	0.19%	0.20%	0.0%	0.0%	0.81%	2.08%	0.0%	0.0%	0.23%	0.0%	0.0%	1.69%	0.0%	0.0%	1.51%	0.21%	0.0%	0.0%	0.0%	0.0%	1.65%	0.0%	0.48%					
39	"22. ""Развитие предпринимательства"""	20	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	1	0	1	0	0	0	2	0	1	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.18%	0.0%	0.0%	0.28%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	2.22%	0.25%	0.0%	0.0%	0.32%	0.0%	0.20%	0.0%	0.0%	0.0%	1.04%	0.0%	1.25%	0.47%	0.0%	0.0%	0.84%	0.63%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1915	61	20	25	33	14	9	7	16	111	97	37	93	68	68	22	38	51	16	22	17	10	9	58	14	34	37	27	2	52	12	26	26	41	89	11	28	47	110	119	9	13	17	15	17	11	30	27	7	5	8	25	6	65	19	5	9	37	6	2	5					
