Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Шуйская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	4	4	2	10	2	2	4	4	2	3	2	7	10	20	20	7	6	2	2	4	3	3	3	8	3	20	3	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	0	2	0	1	0	0	3	1	0	3	2	0	1	17	13	2	4	1	1	0	0	0	0	1	1	9	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	0	3	0	2	1	0	2	2	0	1	1	7	1	6	4	3	5	2	1	4	4	2	0	4	0	9	0	11					
14	Число погашенных открепительных удостоверений	114	4	2	2	9	2	2	1	3	2	0	0	7	9	3	7	5	2	1	1	4	3	3	3	7	2	11	2	17					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	125	3	5	2	10	8	2	5	4	1	4	1	10	15	4	10	12	0	1	1	2	0	0	3	1	2	8	2	9					
		1.25%	1.21%	2.53%	2.46%	1.60%	6.4%	2.94%	2.25%	1.25%	1.61%	2.51%	0.76%	2.25%	2.73%	1.38%	0.67%	3.14%	0.0%	0.63%	0.59%	0.86%	0.0%	0.0%	1.73%	0.25%	0.98%	0.59%	1.45%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	98	2	0	0	8	1	0	6	0	0	0	2	5	9	3	27	1	2	0	0	0	0	1	1	5	2	16	0	7					
		0.98%	0.80%	0.0%	0.0%	1.28%	0.8%	0.0%	2.70%	0.0%	0.0%	0.0%	1.52%	1.12%	1.64%	1.04%	1.81%	0.26%	0.46%	0.0%	0.0%	0.0%	0.0%	0.50%	0.57%	1.29%	0.98%	1.19%	0.0%	0.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	237	2	1	1	20	1	1	10	2	0	4	0	10	17	5	33	14	10	1	11	3	6	3	4	13	4	26	1	34					
		2.37%	0.80%	0.50%	1.23%	3.21%	0.8%	1.47%	4.50%	0.62%	0.0%	2.51%	0.0%	2.25%	3.10%	1.73%	2.21%	3.66%	2.34%	0.63%	6.50%	1.29%	3.75%	1.50%	2.31%	3.37%	1.96%	1.94%	0.72%	3.29%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	303	2	4	2	11	6	0	0	4	4	3	0	10	31	11	77	14	8	1	1	5	6	3	0	11	3	59	1	26					
		3.03%	0.80%	2.03%	2.46%	1.76%	4.8%	0.0%	0.0%	1.25%	6.45%	1.88%	0.0%	2.25%	5.65%	3.81%	5.17%	3.66%	1.87%	0.63%	0.59%	2.15%	3.75%	1.50%	0.0%	2.85%	1.47%	4.40%	0.72%	2.52%					
22	"5. ""За Русь Святую"""	44	0	1	1	4	0	5	2	3	0	0	0	5	4	0	3	0	2	0	1	1	1	0	1	5	0	1	2	2					
		0.44%	0.0%	0.50%	1.23%	0.64%	0.0%	7.35%	0.90%	0.94%	0.0%	0.0%	0.0%	1.12%	0.72%	0.0%	0.20%	0.0%	0.46%	0.0%	0.59%	0.43%	0.62%	0.0%	0.57%	1.29%	0.0%	0.07%	1.45%	0.19%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	0	1	1	0	1	2	0	1	1	0	5	0	0	0	3	1	0	0	1	0	0	0	1	0	0	3	0	2					
		0.23%	0.0%	0.50%	1.23%	0.0%	0.8%	2.94%	0.0%	0.31%	1.61%	0.0%	3.81%	0.0%	0.0%	0.0%	0.20%	0.26%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.22%	0.0%	0.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	53	0	1	2	3	0	0	1	0	0	0	0	2	6	2	19	0	0	0	1	0	2	0	1	1	0	8	0	4					
		0.53%	0.0%	0.50%	2.46%	0.48%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.45%	1.09%	0.69%	1.27%	0.0%	0.0%	0.0%	0.59%	0.0%	1.25%	0.0%	0.57%	0.25%	0.0%	0.59%	0.0%	0.38%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	3	1	0	0	2	0	0	0	0	3	1	1	3					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.62%	0.0%	0.0%	0.18%	0.34%	0.06%	0.78%	0.23%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	1.47%	0.07%	0.72%	0.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	0	0	0	1	0	0	0	1	0	0	0	2	0	0	4	1	0	1	0	1	0	0	1	2	0	7	0	3					
		0.24%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.26%	0.26%	0.0%	0.63%	0.0%	0.43%	0.0%	0.0%	0.57%	0.51%	0.0%	0.52%	0.0%	0.29%					
27	"10. ""Аграрная партия России"""	1031	51	25	21	74	13	3	11	11	13	4	7	51	21	15	127	22	46	68	41	10	70	110	10	57	14	65	12	59					
		10.31%	20.64%	12.69%	25.92%	11.87%	10.4%	4.41%	4.95%	3.45%	20.96%	2.51%	5.34%	11.51%	3.83%	5.20%	8.54%	5.75%	10.77%	43.31%	24.26%	4.31%	43.75%	55.27%	5.78%	14.80%	6.86%	4.85%	8.75%	5.72%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	1	3	0	0	0	1	0					
		0.12%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.26%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	1.73%	0.0%	0.0%	0.0%	0.72%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	94	0	1	1	3	0	0	2	5	1	2	3	4	6	2	15	4	5	1	1	5	1	2	2	6	2	12	0	8					
		0.94%	0.0%	0.50%	1.23%	0.48%	0.0%	0.0%	0.90%	1.57%	1.61%	1.25%	2.29%	0.90%	1.09%	0.69%	1.00%	1.04%	1.17%	0.63%	0.59%	2.15%	0.62%	1.00%	1.15%	1.55%	0.98%	0.89%	0.0%	0.77%					
30	"13. ""Демократическая партия России"""	10	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	1	0	0					
		0.10%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.18%	0.0%	0.0%	0.26%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.07%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	0	0	1	0	0	0	1	1	0	0	1	3	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1					
		0.13%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.45%	0.31%	0.0%	0.0%	0.76%	0.67%	0.0%	0.0%	0.06%	0.52%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.09%					
32	"15. ""Партия СЛОН"""	15	0	0	0	2	0	0	0	0	0	0	1	0	2	0	4	0	0	1	0	0	0	0	0	1	1	2	0	1					
		0.15%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.36%	0.0%	0.26%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.49%	0.14%	0.0%	0.09%					
33	"16. ""Родина"" (народно-патриотический союз)"""	669	22	9	2	25	3	6	9	21	2	6	14	16	46	16	112	21	17	7	8	22	5	4	9	24	18	124	11	90					
		6.69%	8.90%	4.56%	2.46%	4.01%	2.4%	8.82%	4.05%	6.60%	3.22%	3.77%	10.68%	3.61%	8.39%	5.55%	7.53%	5.49%	3.98%	4.45%	4.73%	9.48%	3.12%	2.01%	5.20%	6.23%	8.82%	9.26%	8.02%	8.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	4	0	4					
		0.19%	0.40%	0.50%	0.0%	0.16%	0.0%	1.47%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.18%	0.0%	0.06%	0.26%	0.0%	0.0%	0.59%	0.43%	0.0%	0.0%	0.57%	0.0%	0.0%	0.29%	0.0%	0.38%					
35	"18. ""ЛДПР"""	1533	39	31	9	59	11	14	33	47	14	24	22	66	94	43	246	45	90	8	17	21	20	12	28	60	36	259	14	171					
		15.33%	15.78%	15.73%	11.11%	9.47%	8.8%	20.58%	14.86%	14.77%	22.58%	15.09%	16.79%	14.89%	17.15%	14.93%	16.54%	11.78%	21.07%	5.09%	10.05%	9.05%	12.5%	6.03%	16.18%	15.58%	17.64%	19.34%	10.21%	16.58%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	200	3	6	0	13	1	1	3	7	0	2	1	12	10	2	26	4	10	3	1	6	6	1	0	6	9	28	1	38					
		2.00%	1.21%	3.04%	0.0%	2.08%	0.8%	1.47%	1.35%	2.20%	0.0%	1.25%	0.76%	2.70%	1.82%	0.69%	1.74%	1.04%	2.34%	1.91%	0.59%	2.58%	3.75%	0.50%	0.0%	1.55%	4.41%	2.09%	0.72%	3.68%					
37	"20. ""Политическая партия ""Единая Россия"""	3679	108	86	27	291	69	27	48	91	17	92	52	180	187	103	511	141	165	50	53	115	30	42	83	135	71	476	61	368					
		36.81%	43.72%	43.65%	33.33%	46.70%	55.2%	39.70%	21.62%	28.61%	27.41%	57.86%	39.69%	40.63%	34.12%	35.76%	34.36%	36.91%	38.64%	31.84%	31.36%	49.56%	18.75%	21.10%	47.97%	35.06%	34.80%	35.54%	44.52%	35.69%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	2	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1					
		0.11%	0.0%	1.01%	0.0%	0.0%	0.0%	1.47%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.06%	0.26%	0.23%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.09%					
39	"22. ""Развитие предпринимательства"""	13	0	1	0	0	0	1	0	1	0	0	0	2	1	0	2	0	0	0	1	0	0	0	1	0	0	2	0	1					
		0.13%	0.0%	0.50%	0.0%	0.0%	0.0%	1.47%	0.0%	0.31%	0.0%	0.0%	0.0%	0.45%	0.18%	0.0%	0.13%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.14%	0.0%	0.09%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1186	4	14	10	63	8	4	80	90	4	12	16	44	59	59	145	74	50	10	18	31	7	10	15	39	23	128	25	144					
		11.86%	1.61%	7.10%	12.34%	10.11%	6.4%	5.88%	36.03%	28.30%	6.45%	7.54%	12.21%	9.93%	10.76%	20.48%	9.75%	19.37%	11.70%	6.36%	10.65%	13.36%	4.37%	5.02%	8.67%	10.12%	11.27%	9.55%	18.24%	13.96%					
																																			
41	Против всех	480	5	5	1	27	1	0	5	24	3	2	6	17	29	19	100	7	13	5	11	3	5	8	5	13	14	103	4	45					
		4.80%	2.02%	2.53%	1.23%	4.33%	0.8%	0.0%	2.25%	7.54%	4.83%	1.25%	4.58%	3.83%	5.29%	6.59%	6.72%	1.83%	3.04%	3.18%	6.50%	1.29%	3.12%	4.02%	2.89%	3.37%	6.86%	7.69%	2.91%	4.36%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
