Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																								
Дата голосования: 18.09.2016																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Химкинская городская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																								
																																																																																																								
		Сумма	УИК №1740	УИК №2372	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3563	УИК №3564	УИК №3565	УИК №3566	УИК №3567	УИК №3568	УИК №3569									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	934	0	26	9	2	18	19	11	5	19	8	12	17	10	5	7	10	6	8	4	8	8	21	13	7	16	17	10	14	3	9	17	11	16	10	10	5	13	13	9	13	5	2	10	7	13	17	20	14	12	9	13	10	5	4	5	7	3	13	4	17	16	11	11	4	10	28	10	12	11	3	14	4	13	8	4	2	5	9	9	8	13	9	10	11	3	13	7	8	4	7	4	11	13									
		1.70%	0.00%	5.36%	1.31%	0.28%	3.26%	2.72%	1.68%	1.43%	3.02%	1.01%	1.69%	2.62%	1.34%	1.32%	2.10%	2.25%	1.08%	1.56%	0.62%	1.53%	1.11%	2.59%	1.88%	1.09%	2.35%	2.44%	1.15%	1.05%	0.26%	1.18%	2.46%	1.42%	2.06%	2.02%	1.50%	0.86%	2.14%	3.06%	1.63%	2.35%	1.42%	0.60%	1.56%	1.02%	1.75%	2.33%	2.50%	1.97%	1.92%	1.69%	2.10%	1.78%	1.11%	0.89%	1.14%	2.10%	0.76%	1.84%	0.74%	2.35%	2.35%	1.39%	2.19%	1.31%	2.79%	2.59%	1.75%	1.76%	1.88%	0.85%	2.57%	0.59%	2.31%	2.18%	1.28%	0.63%	1.00%	1.80%	0.95%	1.62%	2.42%	1.20%	4.12%	2.61%	1.40%	1.60%	1.28%	1.68%	0.92%	0.93%	0.79%	1.77%	2.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1572	0	0	13	24	24	27	24	3	22	14	25	19	16	13	11	23	19	17	20	22	2	26	25	25	25	28	23	24	21	23	22	39	28	10	23	5	18	16	19	19	8	8	17	16	20	36	30	30	15	25	16	12	11	7	9	9	6	23	20	23	22	26	19	2	12	10	16	18	14	13	15	16	21	11	7	4	21	23	15	12	15	26	6	15	6	22	17	10	3	18	10	14	15									
		2.86%	0.00%	0.00%	1.89%	3.39%	4.35%	3.86%	3.66%	0.86%	3.50%	1.76%	3.52%	2.92%	2.14%	3.44%	3.29%	5.17%	3.41%	3.31%	3.12%	4.20%	0.28%	3.20%	3.61%	3.91%	3.68%	4.01%	2.65%	1.80%	1.82%	3.03%	3.18%	5.02%	3.61%	2.02%	3.45%	0.86%	2.97%	3.76%	3.44%	3.43%	2.27%	2.40%	2.66%	2.33%	2.70%	4.92%	3.75%	4.21%	2.40%	4.71%	2.58%	2.13%	2.44%	1.56%	2.05%	2.70%	1.52%	3.26%	3.72%	3.19%	3.23%	3.28%	3.78%	0.66%	3.35%	0.93%	2.80%	2.64%	2.39%	3.70%	2.76%	2.37%	3.73%	2.99%	2.24%	1.27%	4.20%	4.61%	1.58%	2.43%	2.79%	3.45%	2.47%	3.55%	2.80%	2.72%	3.10%	2.10%	0.69%	2.40%	1.98%	2.25%	2.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21618	51	203	442	219	221	231	218	157	190	357	212	213	245	112	121	126	194	167	228	167	370	298	265	206	288	232	535	865	702	260	231	253	280	155	331	332	198	124	185	179	105	114	186	213	261	246	229	231	216	188	198	178	140	158	214	109	151	239	189	224	233	255	168	98	133	538	248	234	244	121	261	346	206	123	139	132	236	227	656	181	218	304	108	169	81	257	183	148	191	280	226	229	293									
		39.29%	49.51%	41.86%	64.34%	30.93%	40.04%	33.05%	33.23%	44.99%	30.21%	44.96%	29.82%	32.77%	32.80%	29.63%	36.23%	28.31%	34.77%	32.55%	35.51%	31.87%	51.18%	36.70%	38.29%	32.19%	42.35%	33.24%	61.57%	64.99%	60.88%	34.21%	33.43%	32.56%	36.08%	31.25%	49.63%	56.95%	32.62%	29.18%	33.45%	32.31%	29.83%	34.13%	29.11%	31.05%	35.22%	33.65%	28.59%	32.44%	34.62%	35.40%	31.94%	31.62%	31.04%	35.27%	48.86%	32.73%	38.13%	33.85%	35.13%	31.02%	34.21%	32.16%	33.40%	32.13%	37.15%	49.81%	43.43%	34.26%	41.71%	34.47%	47.98%	51.18%	36.59%	33.51%	44.55%	41.77%	47.20%	45.49%	69.05%	36.71%	40.60%	40.37%	44.44%	40.05%	37.85%	31.73%	33.33%	31.09%	43.81%	37.28%	44.66%	36.88%	52.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1042	0	0	8	10	10	20	14	5	13	6	16	18	16	7	9	10	11	16	15	18	6	23	20	20	12	11	16	9	8	15	13	18	13	10	10	9	13	5	13	12	11	10	12	8	15	12	22	9	10	10	8	9	10	15	3	8	9	11	12	10	13	19	10	11	11	20	11	6	12	7	5	8	16	6	3	13	10	6	12	10	8	10	3	6	5	14	12	11	15	28	10	12	7									
		1.89%	0.00%	0.00%	1.16%	1.41%	1.81%	2.86%	2.13%	1.43%	2.07%	0.76%	2.25%	2.77%	2.14%	1.85%	2.69%	2.25%	1.97%	3.12%	2.34%	3.44%	0.83%	2.83%	2.89%	3.13%	1.76%	1.58%	1.84%	0.68%	0.69%	1.97%	1.88%	2.32%	1.68%	2.02%	1.50%	1.54%	2.14%	1.18%	2.35%	2.17%	3.13%	2.99%	1.88%	1.17%	2.02%	1.64%	2.75%	1.26%	1.60%	1.88%	1.29%	1.60%	2.22%	3.35%	0.68%	2.40%	2.27%	1.56%	2.23%	1.39%	1.91%	2.40%	1.99%	3.61%	3.07%	1.85%	1.93%	0.88%	2.05%	1.99%	0.92%	1.18%	2.84%	1.63%	0.96%	4.11%	2.00%	1.20%	1.26%	2.03%	1.49%	1.33%	1.23%	1.42%	2.34%	1.73%	2.19%	2.31%	3.44%	3.73%	1.98%	1.93%	1.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	151	0	2	0	0	2	1	1	1	1	0	2	2	1	1	2	3	1	3	3	1	1	3	3	3	3	3	0	2	1	4	1	0	1	3	0	5	4	0	0	2	0	3	1	0	2	1	1	3	2	0	1	2	1	1	0	1	1	2	2	4	3	3	2	1	4	2	2	0	2	1	1	0	4	4	0	0	3	2	1	1	2	2	0	0	1	3	0	0	2	3	2	4	2									
		0.27%	0.00%	0.41%	0.00%	0.00%	0.36%	0.14%	0.15%	0.29%	0.16%	0.00%	0.28%	0.31%	0.13%	0.26%	0.60%	0.67%	0.18%	0.58%	0.47%	0.19%	0.14%	0.37%	0.43%	0.47%	0.44%	0.43%	0.00%	0.15%	0.09%	0.53%	0.14%	0.00%	0.13%	0.60%	0.00%	0.86%	0.66%	0.00%	0.00%	0.36%	0.00%	0.90%	0.16%	0.00%	0.27%	0.14%	0.12%	0.42%	0.32%	0.00%	0.16%	0.36%	0.22%	0.22%	0.00%	0.30%	0.25%	0.28%	0.37%	0.55%	0.44%	0.38%	0.40%	0.33%	1.12%	0.19%	0.35%	0.00%	0.34%	0.28%	0.18%	0.00%	0.71%	1.09%	0.00%	0.00%	0.60%	0.40%	0.11%	0.20%	0.37%	0.27%	0.00%	0.00%	0.47%	0.37%	0.00%	0.00%	0.46%	0.40%	0.40%	0.64%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7078	27	99	53	113	55	72	78	43	86	29	95	74	97	53	25	65	64	73	94	99	52	104	80	76	61	94	57	90	74	127	94	115	98	58	75	64	78	59	75	55	30	38	99	90	107	107	113	84	91	89	102	86	70	56	65	40	45	87	68	92	77	95	57	39	53	198	82	118	88	53	77	82	62	57	66	39	87	71	74	71	94	146	33	62	27	103	69	62	39	104	70	105	79									
		12.86%	26.21%	20.41%	7.71%	15.96%	9.96%	10.30%	11.89%	12.32%	13.67%	3.65%	13.36%	11.38%	12.99%	14.02%	7.49%	14.61%	11.47%	14.23%	14.64%	18.89%	7.19%	12.81%	11.56%	11.88%	8.97%	13.47%	6.56%	6.76%	6.42%	16.71%	13.60%	14.80%	12.63%	11.69%	11.24%	10.98%	12.85%	13.88%	13.56%	9.93%	8.52%	11.38%	15.49%	13.12%	14.44%	14.64%	14.11%	11.80%	14.58%	16.76%	16.45%	15.28%	15.52%	12.50%	14.84%	12.01%	11.36%	12.32%	12.64%	12.74%	11.31%	11.98%	11.33%	12.79%	14.80%	18.33%	14.36%	17.28%	15.04%	15.10%	14.15%	12.13%	11.01%	15.53%	21.15%	12.34%	17.40%	14.23%	7.79%	14.40%	17.50%	19.39%	13.58%	14.69%	12.62%	12.72%	12.57%	13.03%	8.94%	13.85%	13.83%	16.91%	14.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1064	1	15	6	15	10	17	13	5	11	4	14	17	16	9	11	7	17	13	15	10	12	15	12	15	9	21	11	10	6	10	14	14	9	8	12	7	15	0	12	5	18	12	4	11	12	18	16	14	14	9	20	14	9	22	8	7	15	11	5	15	18	12	12	12	2	17	8	12	19	7	16	7	11	10	4	5	7	2	31	7	8	8	1	11	5	27	10	15	20	19	4	13	7									
		1.93%	0.97%	3.09%	0.87%	2.12%	1.81%	2.43%	1.98%	1.43%	1.75%	0.50%	1.97%	2.62%	2.14%	2.38%	3.29%	1.57%	3.05%	2.53%	2.34%	1.91%	1.66%	1.85%	1.73%	2.34%	1.32%	3.01%	1.27%	0.75%	0.52%	1.32%	2.03%	1.80%	1.16%	1.61%	1.80%	1.20%	2.47%	0.00%	2.17%	0.90%	5.11%	3.59%	0.63%	1.60%	1.62%	2.46%	1.99%	1.97%	2.24%	1.69%	3.23%	2.49%	1.99%	4.91%	1.83%	2.10%	3.79%	1.56%	0.93%	2.08%	2.64%	1.51%	2.39%	3.93%	0.56%	1.57%	1.40%	1.76%	3.25%	1.99%	2.94%	1.04%	1.95%	2.72%	1.28%	1.58%	1.40%	0.40%	3.26%	1.42%	1.49%	1.06%	0.41%	2.61%	2.34%	3.33%	1.82%	3.15%	4.59%	2.53%	0.79%	2.09%	1.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1725	1	0	6	35	25	27	23	5	27	6	31	19	35	11	11	17	22	14	17	10	27	24	18	23	26	28	22	19	11	12	29	25	15	19	10	14	19	13	11	14	23	11	17	48	16	28	23	24	16	15	20	26	16	21	18	23	25	27	17	16	35	18	18	12	5	25	15	20	12	7	16	16	26	17	4	15	11	13	13	15	11	12	10	11	4	61	30	24	18	42	8	14	16									
		3.13%	0.97%	0.00%	0.87%	4.94%	4.53%	3.86%	3.51%	1.43%	4.29%	0.76%	4.36%	2.92%	4.69%	2.91%	3.29%	3.82%	3.94%	2.73%	2.65%	1.91%	3.73%	2.96%	2.60%	3.59%	3.82%	4.01%	2.53%	1.43%	0.95%	1.58%	4.20%	3.22%	1.93%	3.83%	1.50%	2.40%	3.13%	3.06%	1.99%	2.53%	6.53%	3.29%	2.66%	6.99%	2.16%	3.83%	2.87%	3.37%	2.56%	2.82%	3.23%	4.62%	3.55%	4.69%	4.11%	6.91%	6.31%	3.82%	3.16%	2.22%	5.14%	2.27%	3.58%	3.93%	1.40%	2.31%	2.63%	2.93%	2.05%	1.99%	2.94%	2.37%	4.62%	4.63%	1.28%	4.75%	2.20%	2.61%	1.37%	3.04%	2.05%	1.59%	4.12%	2.61%	1.87%	7.53%	5.46%	5.04%	4.13%	5.59%	1.58%	2.25%	2.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	101	0	0	1	0	1	1	2	2	1	1	1	2	2	0	0	1	0	0	1	1	8	6	1	0	1	4	0	1	2	0	1	0	0	0	0	0	1	0	1	0	1	1	1	3	2	2	2	0	0	0	0	4	1	2	0	0	0	1	1	2	3	1	0	0	1	3	4	0	1	1	1	1	0	0	0	0	0	0	0	0	0	3	2	1	0	3	0	2	1	3	0	3	1									
		0.18%	0.00%	0.00%	0.15%	0.00%	0.18%	0.14%	0.30%	0.57%	0.16%	0.13%	0.14%	0.31%	0.27%	0.00%	0.00%	0.22%	0.00%	0.00%	0.16%	0.19%	1.11%	0.74%	0.14%	0.00%	0.15%	0.57%	0.00%	0.08%	0.17%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.18%	0.00%	0.28%	0.30%	0.16%	0.44%	0.27%	0.27%	0.25%	0.00%	0.00%	0.00%	0.00%	0.71%	0.22%	0.45%	0.00%	0.00%	0.00%	0.14%	0.19%	0.28%	0.44%	0.13%	0.00%	0.00%	0.28%	0.28%	0.70%	0.00%	0.17%	0.28%	0.18%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.82%	0.24%	0.00%	0.37%	0.00%	0.42%	0.23%	0.40%	0.00%	0.48%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3966	1	37	31	76	39	47	58	19	43	23	52	64	60	41	30	44	36	50	65	40	61	71	54	54	58	56	66	47	98	60	34	57	64	50	27	26	35	32	41	57	57	48	52	40	49	54	52	42	32	24	33	42	62	52	35	42	52	51	44	47	42	62	49	42	20	44	24	48	42	14	8	48	40	12	16	46	23	8	25	14	32	31	12	24	15	90	59	58	47	80	26	45	6									
		7.21%	0.97%	7.63%	4.51%	10.73%	7.07%	6.72%	8.84%	5.44%	6.84%	2.90%	7.31%	9.85%	8.03%	10.85%	8.98%	9.89%	6.45%	9.75%	10.12%	7.63%	8.44%	8.74%	7.80%	8.44%	8.53%	8.02%	7.59%	3.53%	8.50%	7.89%	4.92%	7.34%	8.25%	10.08%	4.05%	4.46%	5.77%	7.53%	7.41%	10.29%	16.19%	14.37%	8.14%	5.83%	6.61%	7.39%	6.49%	5.90%	5.13%	4.52%	5.32%	7.46%	13.75%	11.61%	7.99%	12.61%	13.13%	7.22%	8.18%	6.51%	6.17%	7.82%	9.74%	13.77%	5.59%	4.07%	4.20%	7.03%	7.18%	3.99%	1.47%	7.10%	7.10%	3.27%	5.13%	14.56%	4.60%	1.60%	2.63%	2.84%	5.96%	4.12%	4.94%	5.69%	7.01%	11.11%	10.75%	12.18%	10.78%	10.65%	5.14%	7.25%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7917	12	44	71	112	60	122	111	59	93	248	111	97	112	69	49	79	84	62	84	79	77	109	98	110	92	110	81	134	72	110	106	127	123	91	99	73	106	66	92	103	51	36	122	134	124	104	137	116	106	99	96	87	66	61	40	38	51	107	84	116	118	148	69	30	53	99	87	99	60	58	91	78	90	74	37	34	58	79	50	94	71	110	27	65	27	84	74	65	53	87	84	82	70									
