Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Гавриловская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	109	21	0	8	3	11	13	1	10	5	2	4	0	7	0	3	6	1	2	9	2	1					
		1.77%	2.04%	0.0%	1.70%	4.54%	1.54%	2.63%	0.94%	2.95%	1.45%	1.14%	2.33%	0.0%	2.37%	0.0%	1.52%	2.79%	0.26%	1.05%	5.45%	0.84%	0.42%					
37	"20. ""Политическая партия ""Единая Россия"""	2668	458	66	193	25	336	227	45	105	161	44	87	50	136	36	50	103	169	47	66	137	127					
		43.47%	44.59%	46.80%	41.06%	37.87%	47.12%	46.04%	42.45%	31.06%	46.80%	25.28%	50.87%	58.13%	46.10%	36.0%	25.38%	47.90%	45.43%	24.86%	40.0%	57.80%	53.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	2	1	4	1	3	1	1	1	0	1	0	2	1	0	0	0	0	1	0	0	1					
		0.32%	0.19%	0.70%	0.85%	1.51%	0.42%	0.20%	0.94%	0.29%	0.0%	0.57%	0.0%	2.32%	0.33%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.42%					
39	"22. ""Развитие предпринимательства"""	13	4	0	0	0	1	1	0	0	0	1	2	1	1	0	1	1	0	0	0	0	0					
		0.21%	0.38%	0.0%	0.0%	0.0%	0.14%	0.20%	0.0%	0.0%	0.0%	0.57%	1.16%	1.16%	0.33%	0.0%	0.50%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1186	199	33	61	6	125	58	18	114	64	77	20	5	56	30	72	37	73	44	27	25	42					
		19.32%	19.37%	23.40%	12.97%	9.09%	17.53%	11.76%	16.98%	33.72%	18.60%	44.25%	11.69%	5.81%	18.98%	30.0%	36.54%	17.20%	19.62%	23.28%	16.36%	10.54%	17.64%					
																												
41	Против всех	169	20	5	10	1	19	10	2	10	9	2	9	0	5	3	11	11	15	13	2	7	5					
		2.75%	1.94%	3.54%	2.12%	1.51%	2.66%	2.02%	1.88%	2.95%	2.61%	1.14%	5.26%	0.0%	1.69%	3.0%	5.58%	5.11%	4.03%	6.87%	1.21%	2.95%	2.10%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
