Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Чебоксары, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №8045									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2510	50	50	50	40	40	50	50	50	50	50	50	30	50	50	50	50	50	50	50	50	50	50	50	30	50	50	40	50	50	50	50	40	30	50	50	50	60	50	40	40	30	50	50	40	20	40	40	50	50	40	50	50	50	50	0	0	0	0	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1110	32	14	20	16	13	16	22	14	16	14	32	19	21	26	24	30	26	16	12	23	27	29	20	21	16	20	20	19	25	19	44	12	16	8	23	25	37	20	28	17	11	22	15	12	8	21	9	13	19	20	18	17	46	27	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1690	16	17	18	28	18	27	15	82	15	34	9	10	19	25	24	6	115	56	76	13	16	22	7	16	40	7	20	29	25	93	52	73	47	15	15	32	14	37	18	48	17	22	16	27	26	12	36	13	27	7	11	21	28	43	14	76	20	20	5									
14	Число погашенных неиспользованных открепительных удостоверений	1400	18	36	30	24	27	34	28	36	34	36	18	11	29	24	26	20	24	34	38	27	23	21	30	9	34	30	20	31	25	31	6	28	14	42	27	25	23	30	12	23	19	28	35	28	12	19	31	37	31	20	32	33	4	23	0	0	0	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	333	9	8	5	4	9	6	7	9	10	3	9	6	7	2	5	3	5	7	2	8	4	12	8	5	7	2	2	9	4	9	9	4	2	3	6	13	13	6	5	5	2	7	4	7	0	8	9	3	4	5	10	7	10	5	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	762	12	14	12	4	7	14	17	18	19	13	9	13	13	17	23	17	10	25	17	24	22	12	12	6	13	16	12	11	6	25	11	11	13	18	14	14	19	21	16	10	14	15	12	13	4	14	17	10	7	5	9	11	15	9	0	2	0	2	23									
		1.48%	1.11%	1.27%	1.56%	0.73%	1.12%	1.44%	1.71%	1.50%	1.76%	1.21%	0.92%	2.19%	1.32%	1.80%	2.39%	1.68%	0.79%	2.29%	1.40%	2.17%	2.17%	1.08%	1.07%	1.11%	1.35%	1.58%	1.68%	1.27%	0.80%	1.79%	0.99%	1.43%	2.04%	1.83%	1.51%	1.32%	1.27%	1.68%	1.76%	1.20%	2.21%	1.62%	1.28%	2.07%	1.82%	1.94%	2.44%	1.10%	0.99%	0.78%	0.99%	1.01%	1.42%	1.02%	0.00%	0.42%	0.00%	1.36%	4.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	782	19	16	16	10	9	11	15	20	15	19	12	7	19	15	14	12	19	13	16	12	9	17	14	8	15	21	17	16	20	21	23	12	16	26	13	21	15	12	10	9	10	16	13	10	5	10	7	9	13	10	15	22	16	8	0	1	0	1	12									
		1.52%	1.75%	1.45%	2.08%	1.83%	1.44%	1.13%	1.51%	1.66%	1.39%	1.77%	1.23%	1.18%	1.93%	1.59%	1.45%	1.18%	1.51%	1.19%	1.32%	1.08%	0.89%	1.54%	1.25%	1.48%	1.56%	2.08%	2.38%	1.85%	2.67%	1.51%	2.08%	1.56%	2.51%	2.64%	1.40%	1.98%	1.00%	0.96%	1.10%	1.08%	1.58%	1.73%	1.38%	1.59%	2.27%	1.39%	1.00%	0.99%	1.85%	1.55%	1.65%	2.01%	1.51%	0.91%	0.00%	0.21%	0.00%	0.68%	2.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1697	41	58	22	9	8	37	37	44	34	48	37	24	29	34	34	38	35	38	34	48	44	45	48	20	38	40	18	30	19	32	34	23	33	37	18	39	65	46	45	27	19	19	31	16	5	33	13	21	19	18	27	28	25	16	0	3	1	1	12									
		3.30%	3.78%	5.24%	2.86%	1.65%	1.28%	3.80%	3.72%	3.66%	3.14%	4.48%	3.80%	4.05%	2.94%	3.61%	3.53%	3.75%	2.78%	3.48%	2.81%	4.33%	4.34%	4.07%	4.30%	3.70%	3.95%	3.96%	2.52%	3.47%	2.54%	2.30%	3.07%	2.98%	5.17%	3.75%	1.94%	3.68%	4.33%	3.68%	4.96%	3.25%	3.00%	2.05%	3.30%	2.55%	2.27%	4.57%	1.86%	2.31%	2.71%	2.80%	2.97%	2.56%	2.36%	1.81%	0.00%	0.64%	0.45%	0.68%	2.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21605	485	465	329	274	277	377	399	534	380	387	340	249	430	345	310	349	506	438	455	445	416	436	470	224	404	386	304	325	353	636	493	386	263	394	433	416	618	477	391	345	249	390	356	235	91	258	308	342	325	257	383	488	522	440	89	403	213	123	189									
		42.02%	44.70%	42.04%	42.78%	50.18%	44.25%	38.75%	40.14%	44.43%	35.12%	36.10%	34.91%	41.99%	43.57%	36.62%	32.16%	34.42%	40.22%	40.11%	37.60%	40.16%	41.03%	39.42%	42.08%	41.40%	42.04%	38.18%	42.58%	37.57%	47.13%	45.66%	44.53%	50.06%	41.22%	39.96%	46.56%	39.28%	41.20%	38.16%	43.11%	41.47%	39.34%	42.16%	37.91%	37.48%	41.36%	35.73%	44.13%	37.54%	46.30%	39.91%	42.13%	44.69%	49.25%	49.89%	86.41%	85.38%	96.82%	83.67%	40.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	464	4	7	12	5	2	10	8	11	12	5	10	7	9	5	6	7	14	8	15	7	5	11	14	7	7	8	2	5	4	12	12	5	3	8	10	13	15	11	10	10	15	15	13	7	2	14	8	7	4	8	15	10	2	1	0	1	0	0	6									
		0.90%	0.37%	0.63%	1.56%	0.92%	0.32%	1.03%	0.80%	0.92%	1.11%	0.47%	1.03%	1.18%	0.91%	0.53%	0.62%	0.69%	1.11%	0.73%	1.24%	0.63%	0.49%	0.99%	1.25%	1.29%	0.73%	0.79%	0.28%	0.58%	0.53%	0.86%	1.08%	0.65%	0.47%	0.81%	1.08%	1.23%	1.00%	0.88%	1.10%	1.20%	2.37%	1.62%	1.38%	1.12%	0.91%	1.94%	1.15%	0.77%	0.57%	1.24%	1.65%	0.92%	0.19%	0.11%	0.00%	0.21%	0.00%	0.00%	1.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	147	1	3	3	2	2	2	3	5	2	4	2	0	3	3	2	2	2	2	6	2	1	1	8	0	3	3	7	3	2	3	4	0	2	6	3	1	4	6	2	2	1	0	4	3	1	3	1	4	4	0	2	4	2	2	0	0	0	0	4									
		0.29%	0.09%	0.27%	0.39%	0.37%	0.32%	0.21%	0.30%	0.42%	0.18%	0.37%	0.21%	0.00%	0.30%	0.32%	0.21%	0.20%	0.16%	0.18%	0.50%	0.18%	0.10%	0.09%	0.72%	0.00%	0.31%	0.30%	0.98%	0.35%	0.27%	0.22%	0.36%	0.00%	0.31%	0.61%	0.32%	0.09%	0.27%	0.48%	0.22%	0.24%	0.16%	0.00%	0.43%	0.48%	0.45%	0.42%	0.14%	0.44%	0.57%	0.00%	0.22%	0.37%	0.19%	0.23%	0.00%	0.00%	0.00%	0.00%	0.86%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7054	162	162	107	66	100	150	133	177	163	150	131	89	144	133	157	160	182	146	183	159	154	147	171	76	155	122	97	157	113	187	141	82	89	126	115	140	204	163	119	99	88	110	111	102	31	93	80	131	114	97	103	137	140	140	3	19	2	5	37									
		13.72%	14.93%	14.65%	13.91%	12.09%	15.97%	15.42%	13.38%	14.73%	15.06%	13.99%	13.45%	15.01%	14.59%	14.12%	16.29%	15.78%	14.47%	13.37%	15.12%	14.35%	15.19%	13.29%	15.31%	14.05%	16.13%	12.07%	13.59%	18.15%	15.09%	13.42%	12.74%	10.64%	13.95%	12.78%	12.37%	13.22%	13.60%	13.04%	13.12%	11.90%	13.90%	11.89%	11.82%	16.27%	14.09%	12.88%	11.46%	14.38%	16.24%	15.06%	11.33%	12.55%	13.21%	15.87%	2.91%	4.03%	0.91%	3.40%	7.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	464	4	8	8	7	6	6	7	2	8	6	14	6	6	6	7	8	4	8	10	5	12	9	12	4	6	14	6	8	4	14	4	7	7	12	11	10	18	8	8	16	9	16	15	10	0	7	7	7	11	11	8	8	5	4	1	1	0	1	17									
		0.90%	0.37%	0.72%	1.04%	1.28%	0.96%	0.62%	0.70%	0.17%	0.74%	0.56%	1.44%	1.01%	0.61%	0.64%	0.73%	0.79%	0.32%	0.73%	0.83%	0.45%	1.18%	0.81%	1.07%	0.74%	0.62%	1.38%	0.84%	0.92%	0.53%	1.01%	0.36%	0.91%	1.10%	1.22%	1.18%	0.94%	1.20%	0.64%	0.88%	1.92%	1.42%	1.73%	1.60%	1.59%	0.00%	0.97%	1.00%	0.77%	1.57%	1.71%	0.88%	0.73%	0.47%	0.45%	0.97%	0.21%	0.00%	0.68%	3.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	561	5	3	5	2	5	7	5	9	9	10	11	11	7	12	15	13	12	13	15	5	6	11	7	11	6	10	7	12	3	16	16	6	5	18	6	20	31	4	12	19	13	20	19	13	3	22	10	8	7	5	6	10	9	5	0	0	0	0	11									
		1.09%	0.46%	0.27%	0.65%	0.37%	0.80%	0.72%	0.50%	0.75%	0.83%	0.93%	1.13%	1.85%	0.71%	1.27%	1.56%	1.28%	0.95%	1.19%	1.24%	0.45%	0.59%	0.99%	0.63%	2.03%	0.62%	0.99%	0.98%	1.39%	0.40%	1.15%	1.45%	0.78%	0.78%	1.83%	0.65%	1.89%	2.07%	0.32%	1.32%	2.28%	2.05%	2.16%	2.02%	2.07%	1.36%	3.05%	1.43%	0.88%	0.99%	0.78%	0.66%	0.92%	0.85%	0.57%	0.00%	0.00%	0.00%	0.00%	2.37%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	81	4	3	2	1	0	1	2	2	1	4	0	1	4	2	0	0	0	1	2	1	0	2	1	4	2	0	2	2	3	2	1	3	3	4	1	2	1	0	0	1	0	1	4	1	0	1	1	2	1	1	1	0	2	1	0	0	0	0	0									
		0.16%	0.37%	0.27%	0.26%	0.18%	0.00%	0.10%	0.20%	0.17%	0.09%	0.37%	0.00%	0.17%	0.41%	0.21%	0.00%	0.00%	0.00%	0.09%	0.17%	0.09%	0.00%	0.18%	0.09%	0.74%	0.21%	0.00%	0.28%	0.23%	0.40%	0.14%	0.09%	0.39%	0.47%	0.41%	0.11%	0.19%	0.07%	0.00%	0.00%	0.12%	0.00%	0.11%	0.43%	0.16%	0.00%	0.14%	0.14%	0.22%	0.14%	0.16%	0.11%	0.00%	0.19%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	812	15	4	7	4	5	12	10	9	11	16	14	6	16	15	8	10	26	17	11	13	13	18	21	5	12	11	18	6	5	44	13	17	4	20	8	21	30	16	12	28	17	19	40	29	5	34	12	20	10	12	11	8	13	15	0	1	0	0	15									
		1.58%	1.38%	0.36%	0.91%	0.73%	0.80%	1.23%	1.01%	0.75%	1.02%	1.49%	1.44%	1.01%	1.62%	1.59%	0.83%	0.99%	2.07%	1.56%	0.91%	1.17%	1.28%	1.63%	1.88%	0.92%	1.25%	1.09%	2.52%	0.69%	0.67%	3.16%	1.17%	2.20%	0.63%	2.03%	0.86%	1.98%	2.00%	1.28%	1.32%	3.37%	2.69%	2.05%	4.26%	4.63%	2.27%	4.71%	1.72%	2.20%	1.42%	1.86%	1.21%	0.73%	1.23%	1.70%	0.00%	0.21%	0.00%	0.00%	3.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7518	157	177	102	71	90	167	164	181	183	165	166	67	139	184	163	182	186	175	205	172	141	150	128	73	131	161	92	126	86	132	169	90	75	136	110	167	211	217	132	110	90	142	186	93	40	149	108	126	81	101	143	178	126	94	3	14	2	5	104									
		14.62%	14.47%	16.00%	13.26%	13.00%	14.38%	17.16%	16.50%	15.06%	16.91%	15.39%	17.04%	11.30%	14.08%	19.53%	16.91%	17.95%	14.79%	16.03%	16.94%	15.52%	13.91%	13.56%	11.46%	13.49%	13.63%	15.92%	12.89%	14.57%	11.48%	9.48%	15.27%	11.67%	11.76%	13.79%	11.83%	15.77%	14.07%	17.36%	14.55%	13.22%	14.22%	15.35%	19.81%	14.83%	18.18%	20.64%	15.47%	13.83%	11.54%	15.68%	15.73%	16.30%	11.89%	10.66%	2.91%	2.97%	0.91%	3.40%	22.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	423	13	17	10	6	10	9	10	7	10	7	13	4	6	7	8	10	11	7	11	15	6	4	8	4	7	6	4	1	7	8	11	5	9	7	5	9	14	11	11	12	4	5	8	4	2	5	9	4	2	12	8	4	7	2	0	1	0	0	6									
		0.82%	1.20%	1.54%	1.30%	1.10%	1.60%	0.92%	1.01%	0.58%	0.92%	0.65%	1.33%	0.67%	0.61%	0.74%	0.83%	0.99%	0.87%	0.64%	0.91%	1.35%	0.59%	0.36%	0.72%	0.74%	0.73%	0.59%	0.56%	0.12%	0.93%	0.57%	0.99%	0.65%	1.41%	0.71%	0.54%	0.85%	0.93%	0.88%	1.21%	1.44%	0.63%	0.54%	0.85%	0.64%	0.91%	0.69%	1.29%	0.44%	0.28%	1.86%	0.88%	0.37%	0.66%	0.23%	0.00%	0.21%	0.00%	0.00%	1.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7224	100	131	113	65	76	128	154	148	190	204	185	89	131	120	165	158	199	163	185	173	149	198	145	68	117	174	114	131	106	218	136	87	91	132	140	137	217	187	114	126	80	135	106	76	28	69	106	198	78	93	126	142	152	121	4	15	0	3	28									
		14.05%	9.22%	11.84%	14.69%	11.90%	12.14%	13.16%	15.49%	12.31%	17.56%	19.03%	18.99%	15.01%	13.27%	12.74%	17.12%	15.58%	15.82%	14.93%	15.29%	15.61%	14.69%	17.90%	12.98%	12.57%	12.17%	17.21%	15.97%	15.14%	14.15%	15.65%	12.29%	11.28%	14.26%	13.39%	15.05%	12.94%	14.47%	14.96%	12.57%	15.14%	12.64%	14.59%	11.29%	12.12%	12.73%	9.56%	15.19%	21.73%	11.11%	14.44%	13.86%	13.00%	14.34%	13.72%	3.88%	3.18%	0.00%	2.04%	6.02%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
