Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
"Наименование Избирательной комиссии:    г.Чита, Черновская"																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107					
		2.98%	2.20%	2.88%	2.10%	1.52%	2.65%	2.31%	2.03%	1.84%	1.31%	1.76%	1.42%	2.25%	2.27%	2.77%	2.00%	3.30%	3.44%	2.16%	13.19%	5.63%	2.75%	3.73%	3.31%	5.39%	3.95%	2.53%	3.02%	9.94%	4.26%	4.17%	1.88%	8.52%					
28	"11. ""Истинные патриоты России"""	21	0	0	1	0	0	0	1	0	2	2	0	3	2	1	0	1	0	1	1	0	0	0	1	0	2	1	0	1	1	0	0	0					
		0.07%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.09%	0.0%	0.29%	0.19%	0.0%	0.33%	0.15%	0.07%	0.0%	0.10%	0.0%	0.08%	0.22%	0.0%	0.0%	0.0%	0.11%	0.0%	0.27%	0.31%	0.0%	0.14%	0.47%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	403	19	21	20	14	22	15	16	17	6	13	9	7	29	22	13	20	8	12	4	4	13	8	9	11	6	8	11	16	9	6	10	5					
		1.49%	1.39%	1.78%	1.50%	1.25%	1.76%	1.19%	1.55%	1.56%	0.87%	1.27%	0.98%	0.78%	2.27%	1.60%	1.37%	2.00%	0.86%	1.03%	0.89%	1.18%	1.23%	0.96%	1.02%	2.82%	0.81%	2.53%	2.37%	2.24%	4.26%	1.79%	3.77%	2.24%					
30	"13. ""Демократическая партия России"""	89	3	4	4	6	3	3	3	0	1	2	2	3	2	4	6	4	0	3	2	5	6	2	5	0	4	3	3	0	1	3	2	0					
		0.33%	0.22%	0.33%	0.30%	0.53%	0.24%	0.23%	0.29%	0.0%	0.14%	0.19%	0.21%	0.33%	0.15%	0.29%	0.63%	0.40%	0.0%	0.25%	0.44%	1.48%	0.56%	0.24%	0.57%	0.0%	0.54%	0.94%	0.64%	0.0%	0.47%	0.89%	0.75%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	35	2	1	1	2	0	2	1	0	2	2	1	2	0	1	1	1	3	1	1	2	2	1	0	0	1	0	1	1	0	1	0	2					
		0.12%	0.14%	0.08%	0.07%	0.17%	0.0%	0.15%	0.09%	0.0%	0.29%	0.19%	0.10%	0.22%	0.0%	0.07%	0.10%	0.10%	0.32%	0.08%	0.22%	0.59%	0.18%	0.12%	0.0%	0.0%	0.13%	0.0%	0.21%	0.14%	0.0%	0.29%	0.0%	0.89%					
32	"15. ""Партия СЛОН"""	31	4	2	1	1	0	1	0	0	0	0	1	2	1	2	0	2	1	0	1	3	4	1	2	0	0	0	2	0	0	0	0	0					
		0.11%	0.29%	0.16%	0.07%	0.08%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.10%	0.22%	0.07%	0.14%	0.0%	0.20%	0.10%	0.0%	0.22%	0.89%	0.37%	0.12%	0.22%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1947	98	95	100	77	71	67	64	88	20	53	89	55	87	113	107	116	67	100	24	8	110	54	58	28	53	17	21	41	22	20	14	10					
		7.22%	7.20%	8.05%	7.52%	6.89%	5.70%	5.35%	6.21%	8.11%	2.92%	5.21%	9.76%	6.20%	6.82%	8.24%	11.31%	11.61%	7.21%	8.66%	5.36%	2.37%	10.44%	6.49%	6.63%	7.19%	7.23%	5.37%	4.53%	5.74%	10.42%	5.97%	5.28%	4.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	86	2	1	8	1	2	2	1	3	1	6	2	3	1	7	1	3	6	4	1	5	3	4	2	0	4	2	3	3	0	2	0	3					
		0.31%	0.14%	0.08%	0.60%	0.08%	0.16%	0.15%	0.09%	0.27%	0.14%	0.58%	0.21%	0.33%	0.07%	0.51%	0.10%	0.30%	0.64%	0.34%	0.22%	1.48%	0.28%	0.48%	0.22%	0.0%	0.54%	0.63%	0.64%	0.42%	0.0%	0.59%	0.0%	1.34%					
35	"18. ""ЛДПР"""	5431	240	242	241	195	231	271	212	246	102	216	236	172	237	287	180	208	202	285	67	73	216	205	180	78	141	67	93	109	49	67	52	31					
		20.14%	17.63%	20.52%	18.13%	17.45%	18.55%	21.66%	20.58%	22.69%	14.91%	21.23%	25.90%	19.39%	18.58%	20.93%	19.02%	20.82%	21.74%	24.69%	14.98%	21.66%	20.51%	24.66%	20.59%	20.05%	19.23%	21.20%	20.08%	15.26%	23.22%	20.0%	19.62%	13.90%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	528	38	28	28	25	12	23	16	18	9	21	9	19	17	23	24	27	21	20	8	9	10	18	13	9	21	7	15	17	11	5	2	5					
		1.95%	2.79%	2.37%	2.10%	2.23%	0.96%	1.83%	1.55%	1.66%	1.31%	2.06%	0.98%	2.14%	1.33%	1.67%	2.53%	2.70%	2.26%	1.73%	1.78%	2.67%	0.94%	2.16%	1.48%	2.31%	2.86%	2.21%	3.23%	2.38%	5.21%	1.49%	0.75%	2.24%					
37	"20. ""Политическая партия ""Единая Россия"""	9946	563	415	542	466	527	502	409	394	392	448	252	359	520	520	323	329	278	366	174	108	342	252	300	100	203	107	157	278	46	103	77	94					
		36.89%	41.36%	35.19%	40.78%	41.71%	42.32%	40.12%	39.70%	36.34%	57.30%	44.05%	27.66%	40.47%	40.78%	37.92%	34.14%	32.93%	29.92%	31.71%	38.92%	32.04%	32.47%	30.32%	34.32%	25.70%	27.69%	33.86%	33.90%	38.93%	21.80%	30.74%	29.05%	42.15%					
38	"21. ""Российская Конституционно-демократическая партия"""	50	2	2	3	2	0	1	1	3	4	3	0	1	2	2	1	1	0	3	3	2	1	2	2	0	3	1	1	0	0	1	1	2					
		0.18%	0.14%	0.16%	0.22%	0.17%	0.0%	0.07%	0.09%	0.27%	0.58%	0.29%	0.0%	0.11%	0.15%	0.14%	0.10%	0.10%	0.0%	0.25%	0.67%	0.59%	0.09%	0.24%	0.22%	0.0%	0.40%	0.31%	0.21%	0.0%	0.0%	0.29%	0.37%	0.89%					
39	"22. ""Развитие предпринимательства"""	67	2	4	3	7	1	3	3	6	1	1	5	4	5	3	1	2	1	1	1	2	2	0	1	3	1	0	1	2	0	1	0	0					
		0.24%	0.14%	0.33%	0.22%	0.62%	0.08%	0.23%	0.29%	0.55%	0.14%	0.09%	0.54%	0.45%	0.39%	0.21%	0.10%	0.20%	0.10%	0.08%	0.22%	0.59%	0.18%	0.0%	0.11%	0.77%	0.13%	0.0%	0.21%	0.28%	0.0%	0.29%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2818	136	143	109	96	110	103	105	109	43	88	109	70	126	125	116	89	115	118	43	23	106	121	114	47	145	44	58	63	34	44	41	25					
		10.45%	9.99%	12.12%	8.20%	8.59%	8.83%	8.23%	10.19%	10.05%	6.28%	8.65%	11.96%	7.89%	9.88%	9.11%	12.26%	8.90%	12.37%	10.22%	9.61%	6.82%	10.06%	14.56%	13.04%	12.08%	19.78%	13.92%	12.52%	8.82%	16.11%	13.13%	15.47%	11.21%					
																																							
41	Против всех	1093	49	36	54	40	54	60	32	39	24	34	40	42	57	42	26	48	52	59	16	14	44	27	31	20	27	6	25	43	10	15	17	10					
		4.05%	3.60%	3.05%	4.06%	3.58%	4.33%	4.79%	3.10%	3.59%	3.50%	3.34%	4.39%	4.73%	4.47%	3.06%	2.74%	4.80%	5.59%	5.11%	3.57%	4.15%	4.17%	3.24%	3.54%	5.14%	3.68%	1.89%	5.39%	6.02%	4.73%	4.47%	6.41%	4.48%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
