Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Новокубанская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261					
		3.41%	4.68%	4.87%	4.38%	3.97%	3.72%	3.45%	0.00%	2.36%	2.97%	4.11%	1.37%	2.04%	3.50%	2.05%	0.81%	2.12%	5.98%	4.19%	3.58%	6.56%	6.34%	3.41%	6.47%	5.90%	6.11%	6.30%	3.00%	5.03%	5.29%	4.69%	1.41%	4.39%	4.14%	2.09%	1.08%	2.31%	2.26%	3.92%	2.58%	1.68%	2.81%	2.02%	1.33%	1.97%	1.08%	2.43%	3.96%	2.68%	1.79%	1.20%	2.38%	3.67%	1.93%	2.13%	1.03%	2.58%	2.67%	2.17%	2.06%	0.99%	4.41%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
