Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027					
14	Число погашенных открепительных удостоверений	1776	31	24	25	35	44	49	26	52	37	15	27	23	23	31	48	68	53	60	62	42	30	33	39	0	52	44	7	20	9	2	4	15	22	5	1	5	5	4	8	32	9	19	21	6	52	46	43	0	55	46	5	5	52	25	8	10	3	5	8	8	5	10	7	3	34	0	8	2	3	5	43	4	3	17	17	5	10	11	21	9	11	10					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	"1. ""ЕДИНЕНИЕ"""	719	16	26	20	26	13	6	11	15	14	3	12	9	16	14	18	12	16	15	18	13	2	11	19	13	20	6	6	5	3	1	3	3	13	3	4	7	1	10	3	13	1	12	2	15	13	7	10	8	14	17	4	0	16	14	5	0	1	2	5	3	5	2	1	3	11	3	8	3	2	3	5	10	4	7	14	3	4	5	15	10	8	5					
		1.48%	1.48%	2.21%	2.49%	2.02%	1.29%	0.54%	1.83%	1.26%	1.70%	0.89%	2.17%	1.84%	2.80%	1.64%	1.61%	0.83%	1.18%	1.02%	1.26%	1.20%	0.29%	1.26%	1.64%	1.04%	1.36%	0.77%	1.53%	1.29%	1.21%	0.78%	2.65%	0.90%	1.60%	2.32%	3.30%	5.73%	0.81%	5.81%	1.38%	1.08%	0.40%	1.89%	0.29%	1.67%	1.31%	0.84%	1.20%	2.90%	1.12%	1.16%	2.33%	0.0%	1.18%	1.95%	2.57%	0.0%	1.09%	1.68%	3.24%	2.27%	4.23%	1.02%	0.64%	3.57%	1.46%	2.15%	2.63%	3.40%	2.06%	2.25%	0.45%	6.89%	3.73%	1.45%	2.72%	2.29%	1.43%	1.47%	2.38%	3.41%	2.94%	2.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1061	33	34	12	45	18	20	8	28	18	18	17	5	5	25	26	19	43	28	34	28	17	27	24	25	35	14	5	11	1	0	0	6	17	2	2	1	4	2	4	31	2	9	6	30	27	31	16	6	34	42	4	3	18	15	4	2	0	3	1	2	2	7	6	2	15	3	5	1	1	0	16	0	0	7	7	7	6	4	19	2	2	2					
		2.19%	3.06%	2.89%	1.49%	3.51%	1.78%	1.82%	1.33%	2.35%	2.19%	5.38%	3.07%	1.02%	0.87%	2.93%	2.32%	1.32%	3.19%	1.91%	2.39%	2.59%	2.47%	3.09%	2.08%	2.00%	2.38%	1.80%	1.28%	2.84%	0.40%	0.0%	0.0%	1.80%	2.10%	1.55%	1.65%	0.81%	3.25%	1.16%	1.84%	2.58%	0.80%	1.41%	0.89%	3.35%	2.72%	3.74%	1.92%	2.18%	2.72%	2.88%	2.33%	1.34%	1.33%	2.09%	2.06%	0.96%	0.0%	2.52%	0.64%	1.51%	1.69%	3.57%	3.89%	2.38%	2.0%	2.15%	1.64%	1.13%	1.03%	0.0%	1.46%	0.0%	0.0%	1.45%	1.36%	5.34%	2.15%	1.17%	3.02%	0.68%	0.73%	0.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1631	53	47	21	49	41	46	10	29	24	20	17	1	26	40	40	42	38	54	28	39	17	27	24	42	40	48	10	9	18	15	3	14	24	8	7	4	7	6	4	31	5	20	11	31	47	12	21	13	37	67	3	7	55	22	8	3	3	7	5	4	5	10	2	4	17	2	13	3	9	4	32	3	4	14	18	15	3	18	22	14	4	11					
		3.37%	4.92%	4.0%	2.61%	3.82%	4.07%	4.18%	1.67%	2.43%	2.92%	5.98%	3.07%	0.20%	4.55%	4.70%	3.58%	2.93%	2.82%	3.68%	1.97%	3.61%	2.47%	3.09%	2.08%	3.36%	2.73%	6.20%	2.56%	2.33%	7.31%	11.81%	2.65%	4.20%	2.97%	6.20%	5.78%	3.27%	5.69%	3.48%	1.84%	2.58%	2.02%	3.15%	1.63%	3.46%	4.74%	1.45%	2.52%	4.72%	2.96%	4.59%	1.75%	3.13%	4.08%	3.07%	4.12%	1.44%	3.29%	5.88%	3.24%	3.03%	4.23%	5.10%	1.29%	4.76%	2.26%	1.43%	4.27%	3.40%	9.27%	3.00%	2.92%	2.06%	3.73%	2.91%	3.50%	11.45%	1.07%	5.29%	3.49%	4.77%	1.47%	4.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1781	42	48	29	67	32	43	12	85	37	11	29	19	9	21	61	56	56	58	45	42	22	34	52	48	66	15	8	5	5	6	4	12	19	6	2	2	5	6	8	42	6	17	16	41	40	38	37	14	52	54	3	14	34	25	4	5	4	1	8	4	3	12	1	0	22	5	2	5	3	2	49	5	1	13	21	5	5	12	9	13	5	2					
		3.68%	3.90%	4.08%	3.61%	5.22%	3.18%	3.91%	2.00%	7.14%	4.51%	3.29%	5.25%	3.90%	1.57%	2.46%	5.46%	3.91%	4.16%	3.96%	3.17%	3.88%	3.20%	3.89%	4.51%	3.84%	4.50%	1.93%	2.05%	1.29%	2.03%	4.72%	3.53%	3.60%	2.35%	4.65%	1.65%	1.63%	4.06%	3.48%	3.68%	3.50%	2.42%	2.68%	2.38%	4.58%	4.03%	4.59%	4.44%	5.09%	4.17%	3.70%	1.75%	6.27%	2.52%	3.49%	2.06%	2.40%	4.39%	0.84%	5.19%	3.03%	2.54%	6.12%	0.64%	0.0%	2.93%	3.59%	0.65%	5.68%	3.09%	1.50%	4.48%	3.44%	0.93%	2.70%	4.09%	3.81%	1.79%	3.52%	1.43%	4.43%	1.83%	0.88%					
22	"5. ""За Русь Святую"""	435	11	8	11	22	9	5	3	11	5	1	5	2	9	4	10	12	7	3	13	4	2	12	11	8	8	5	14	4	0	2	3	7	7	1	7	1	2	1	4	4	0	5	3	9	6	5	11	2	13	8	3	1	17	7	3	6	1	2	1	1	1	3	1	0	5	1	9	1	3	2	6	4	0	4	5	2	4	1	12	3	2	4					
		0.89%	1.02%	0.68%	1.36%	1.71%	0.89%	0.45%	0.50%	0.92%	0.60%	0.29%	0.90%	0.41%	1.57%	0.47%	0.89%	0.83%	0.52%	0.20%	0.91%	0.37%	0.29%	1.37%	0.95%	0.64%	0.54%	0.64%	3.58%	1.03%	0.0%	1.57%	2.65%	2.10%	0.86%	0.77%	5.78%	0.81%	1.62%	0.58%	1.84%	0.33%	0.0%	0.78%	0.44%	1.00%	0.60%	0.60%	1.32%	0.72%	1.04%	0.54%	1.75%	0.44%	1.26%	0.97%	1.54%	2.88%	1.09%	1.68%	0.64%	0.75%	0.84%	1.53%	0.64%	0.0%	0.66%	0.71%	2.96%	1.13%	3.09%	1.50%	0.54%	2.75%	0.0%	0.83%	0.97%	1.52%	1.43%	0.29%	1.90%	1.02%	0.73%	1.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	156	4	3	2	5	2	3	4	1	5	0	0	1	5	4	8	5	2	4	0	5	0	3	4	3	8	2	3	1	1	0	0	1	2	0	1	0	0	4	0	1	0	3	3	4	4	4	0	1	5	4	0	0	6	1	3	1	0	0	0	0	2	0	2	0	1	2	2	1	0	0	0	0	1	1	1	2	0	3	1	1	0	0					
		0.32%	0.37%	0.25%	0.24%	0.39%	0.19%	0.27%	0.66%	0.08%	0.60%	0.0%	0.0%	0.20%	0.87%	0.47%	0.71%	0.34%	0.14%	0.27%	0.0%	0.46%	0.0%	0.34%	0.34%	0.24%	0.54%	0.25%	0.76%	0.25%	0.40%	0.0%	0.0%	0.30%	0.24%	0.0%	0.82%	0.0%	0.0%	2.32%	0.0%	0.08%	0.0%	0.47%	0.44%	0.44%	0.40%	0.48%	0.0%	0.36%	0.40%	0.27%	0.0%	0.0%	0.44%	0.13%	1.54%	0.48%	0.0%	0.0%	0.0%	0.0%	1.69%	0.0%	1.29%	0.0%	0.13%	1.43%	0.65%	1.13%	0.0%	0.0%	0.0%	0.0%	0.93%	0.20%	0.19%	1.52%	0.0%	0.88%	0.15%	0.34%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	495	6	4	7	9	9	9	16	7	4	5	6	2	6	11	16	20	19	9	19	14	8	10	7	12	16	5	4	4	1	2	0	1	5	1	2	2	3	0	1	17	2	7	6	11	11	12	17	1	17	25	1	2	13	5	1	2	1	0	0	2	4	2	1	2	7	1	1	2	1	0	11	1	1	6	3	2	1	1	10	1	1	1					
		1.02%	0.55%	0.34%	0.87%	0.70%	0.89%	0.81%	2.67%	0.58%	0.48%	1.49%	1.08%	0.41%	1.05%	1.29%	1.43%	1.39%	1.41%	0.61%	1.33%	1.29%	1.16%	1.14%	0.60%	0.96%	1.09%	0.64%	1.02%	1.03%	0.40%	1.57%	0.0%	0.30%	0.61%	0.77%	1.65%	1.63%	2.43%	0.0%	0.46%	1.41%	0.80%	1.10%	0.89%	1.22%	1.10%	1.45%	2.04%	0.36%	1.36%	1.71%	0.58%	0.89%	0.96%	0.69%	0.51%	0.96%	1.09%	0.0%	0.0%	1.51%	3.38%	1.02%	0.64%	2.38%	0.93%	0.71%	0.32%	2.27%	1.03%	0.0%	1.00%	0.68%	0.93%	1.25%	0.58%	1.52%	0.35%	0.29%	1.58%	0.34%	0.36%	0.44%					
25	"8. ""Народно-республиканская партия России"""	91	4	1	2	4	0	1	1	1	1	0	1	1	0	0	0	4	3	1	1	1	1	2	1	0	0	0	2	1	3	0	0	1	2	0	2	0	0	0	0	2	0	3	0	1	1	2	1	2	2	2	0	1	3	4	1	1	0	1	0	2	0	0	2	1	2	0	2	0	1	0	4	0	0	2	1	0	1	0	3	1	0	0					
		0.18%	0.37%	0.08%	0.24%	0.31%	0.0%	0.09%	0.16%	0.08%	0.12%	0.0%	0.18%	0.20%	0.0%	0.0%	0.0%	0.27%	0.22%	0.06%	0.07%	0.09%	0.14%	0.22%	0.08%	0.0%	0.0%	0.0%	0.51%	0.25%	1.21%	0.0%	0.0%	0.30%	0.24%	0.0%	1.65%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.47%	0.0%	0.11%	0.10%	0.24%	0.12%	0.72%	0.16%	0.13%	0.0%	0.44%	0.22%	0.55%	0.51%	0.48%	0.0%	0.84%	0.0%	1.51%	0.0%	0.0%	1.29%	1.19%	0.26%	0.0%	0.65%	0.0%	1.03%	0.0%	0.36%	0.0%	0.0%	0.41%	0.19%	0.0%	0.35%	0.0%	0.47%	0.34%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	221	2	7	3	5	7	5	2	2	3	4	3	3	4	4	0	7	9	6	6	2	2	8	9	9	10	0	3	2	0	0	0	3	2	10	0	2	0	0	2	6	2	1	1	1	7	3	8	1	9	11	0	0	1	2	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	5	1	0	1	0	4	1	0	1					
		0.45%	0.18%	0.59%	0.37%	0.39%	0.69%	0.45%	0.33%	0.16%	0.36%	1.19%	0.54%	0.61%	0.70%	0.47%	0.0%	0.48%	0.66%	0.40%	0.42%	0.18%	0.29%	0.91%	0.78%	0.72%	0.68%	0.0%	0.76%	0.51%	0.0%	0.0%	0.0%	0.90%	0.24%	7.75%	0.0%	1.63%	0.0%	0.0%	0.92%	0.50%	0.80%	0.15%	0.14%	0.11%	0.70%	0.36%	0.96%	0.36%	0.72%	0.75%	0.0%	0.0%	0.07%	0.27%	0.51%	0.48%	0.0%	0.84%	0.64%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	1.03%	0.0%	0.18%	0.0%	0.0%	1.04%	0.19%	0.0%	0.35%	0.0%	0.63%	0.34%	0.0%	0.44%					
27	"10. ""Аграрная партия России"""	1419	26	26	28	48	25	19	25	24	26	10	17	11	5	19	30	38	34	35	32	22	17	15	26	23	40	13	5	10	12	11	8	14	37	0	6	4	4	4	20	74	17	27	19	13	20	12	11	7	41	53	12	7	42	27	8	5	0	1	5	5	3	9	8	2	25	3	16	3	2	7	55	6	8	8	10	7	11	14	22	6	7	12					
		2.93%	2.41%	2.21%	3.48%	3.74%	2.48%	1.73%	4.18%	2.01%	3.17%	2.99%	3.07%	2.25%	0.87%	2.23%	2.68%	2.65%	2.52%	2.39%	2.25%	2.03%	2.47%	1.71%	2.25%	1.84%	2.73%	1.67%	1.28%	2.59%	4.87%	8.66%	7.07%	4.20%	4.57%	0.0%	4.95%	3.27%	3.25%	2.32%	9.21%	6.17%	6.88%	4.25%	2.83%	1.45%	2.01%	1.45%	1.32%	2.54%	3.28%	3.63%	7.01%	3.13%	3.11%	3.77%	4.12%	2.40%	0.0%	0.84%	3.24%	3.78%	2.54%	4.59%	5.19%	2.38%	3.33%	2.15%	5.26%	3.40%	2.06%	5.26%	5.03%	4.13%	7.47%	1.66%	1.94%	5.34%	3.94%	4.11%	3.49%	2.04%	2.57%	5.30%					
28	"11. ""Истинные патриоты России"""	48	5	0	0	0	0	1	0	0	0	0	0	0	4	1	1	1	3	1	0	1	0	1	1	3	1	0	1	1	0	0	0	0	1	4	0	0	1	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1					
		0.09%	0.46%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.11%	0.08%	0.06%	0.22%	0.06%	0.0%	0.09%	0.0%	0.11%	0.08%	0.24%	0.06%	0.0%	0.25%	0.25%	0.0%	0.0%	0.0%	0.0%	0.12%	3.10%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.40%	0.0%	0.29%	0.0%	0.0%	0.0%	0.12%	0.0%	0.16%	0.0%	0.0%	0.0%	0.07%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.71%	0.32%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.20%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	717	12	12	9	7	15	26	4	26	12	8	7	2	9	18	12	15	19	17	14	16	12	13	17	17	18	6	5	4	3	3	4	4	12	0	1	2	2	4	5	13	2	4	16	18	16	9	7	5	16	24	9	3	35	14	3	3	3	3	3	2	0	1	2	1	16	5	6	4	2	1	14	1	0	13	8	2	4	6	17	3	5	6					
		1.48%	1.11%	1.02%	1.12%	0.54%	1.49%	2.36%	0.66%	2.18%	1.46%	2.39%	1.26%	0.41%	1.57%	2.11%	1.07%	1.04%	1.41%	1.16%	0.98%	1.48%	1.74%	1.48%	1.47%	1.36%	1.22%	0.77%	1.28%	1.03%	1.21%	2.36%	3.53%	1.20%	1.48%	0.0%	0.82%	1.63%	1.62%	2.32%	2.30%	1.08%	0.80%	0.63%	2.38%	2.01%	1.61%	1.08%	0.84%	1.81%	1.28%	1.64%	5.26%	1.34%	2.59%	1.95%	1.54%	1.44%	3.29%	2.52%	1.94%	1.51%	0.0%	0.51%	1.29%	1.19%	2.13%	3.59%	1.97%	4.54%	2.06%	0.75%	1.28%	0.68%	0.0%	2.70%	1.55%	1.52%	1.43%	1.76%	2.70%	1.02%	1.83%	2.65%					
30	"13. ""Демократическая партия России"""	164	3	2	2	5	3	1	1	0	3	1	2	0	6	2	2	1	1	4	2	2	3	2	1	4	3	1	2	1	0	1	0	1	4	0	1	1	0	0	1	4	0	0	4	5	3	4	2	0	3	5	1	1	18	3	1	2	0	1	1	1	2	2	1	0	4	1	0	4	1	0	3	1	0	2	2	0	2	2	4	2	1	2					
		0.33%	0.27%	0.17%	0.24%	0.39%	0.29%	0.09%	0.16%	0.0%	0.36%	0.29%	0.36%	0.0%	1.05%	0.23%	0.17%	0.06%	0.07%	0.27%	0.14%	0.18%	0.43%	0.22%	0.08%	0.32%	0.20%	0.12%	0.51%	0.25%	0.0%	0.78%	0.0%	0.30%	0.49%	0.0%	0.82%	0.81%	0.0%	0.0%	0.46%	0.33%	0.0%	0.0%	0.59%	0.55%	0.30%	0.48%	0.24%	0.0%	0.24%	0.34%	0.58%	0.44%	1.33%	0.41%	0.51%	0.96%	0.0%	0.84%	0.64%	0.75%	1.69%	1.02%	0.64%	0.0%	0.53%	0.71%	0.0%	4.54%	1.03%	0.0%	0.27%	0.68%	0.0%	0.41%	0.38%	0.0%	0.71%	0.58%	0.63%	0.68%	0.36%	0.88%					
31	"14. ""Великая Россия - Евразийский Союз"""	96	1	2	0	0	6	0	0	1	1	2	2	2	3	1	0	2	2	3	2	1	1	3	0	3	2	6	0	2	0	0	0	2	0	0	0	0	0	0	5	0	0	2	2	0	3	4	1	3	2	4	1	1	2	1	1	0	1	0	2	0	0	0	4	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	1	0	0	0					
		0.19%	0.09%	0.17%	0.0%	0.0%	0.59%	0.0%	0.0%	0.08%	0.12%	0.59%	0.36%	0.41%	0.52%	0.11%	0.0%	0.13%	0.14%	0.20%	0.14%	0.09%	0.14%	0.34%	0.0%	0.24%	0.13%	0.77%	0.0%	0.51%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.30%	0.0%	0.0%	0.31%	0.29%	0.0%	0.30%	0.48%	0.12%	1.09%	0.16%	0.27%	0.58%	0.44%	0.14%	0.13%	0.51%	0.0%	1.09%	0.0%	1.29%	0.0%	0.0%	0.0%	2.59%	0.0%	0.0%	0.0%	0.0%	2.27%	0.0%	1.50%	0.0%	0.0%	0.93%	0.20%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	90	0	1	0	2	3	1	3	2	1	0	2	10	2	2	1	2	0	3	0	1	0	1	0	3	3	4	0	1	0	0	0	0	3	0	1	0	0	0	1	6	0	4	0	1	0	1	0	0	3	1	0	1	1	0	2	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	3	0	0	1	2	1	0	2	2	0	0	0					
