Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Богородицкая																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	788	35	20	20	50	20	22	40	10	30	25	25	25	25	16	5	10	25	25	20	20	20	20	25	9	8	3	19	11	12	6	15	5	10	10	2	10	4	31	20	23	22	10	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	658	31	13	10	50	11	22	40	10	27	22	25	19	23	16	5	3	20	25	15	15	20	12	25	9	8	3	19	11	12	6	15	5	10	3	2	1	2	29	17	6	21	10	1	4	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	325	5	8	17	9	17	18	23	4	14	14	9	13	7	3	6	9	11	12	10	6	8	10	3	3	1	2	1	4	1	4	0	5	1	3	3	3	2	15	12	4	9	2	3	7	4									
14	Число погашенных неиспользованных открепительных удостоверений	130	4	7	10	0	9	0	0	0	3	3	0	6	2	0	0	7	5	0	5	5	0	8	0	0	0	0	0	0	0	0	0	0	0	7	0	9	2	2	3	17	1	0	4	6	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	208	11	3	9	13	10	7	7	5	5	8	9	4	5	3	8	6	8	9	3	9	9	5	7	2	5	0	0	0	1	0	8	0	0	0	0	0	3	6	3	3	2	4	2	1	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	224	12	5	9	13	7	6	8	3	8	7	7	11	9	2	2	3	7	8	8	5	0	3	9	2	2	0	1	2	7	2	2	0	3	6	2	1	2	1	6	7	5	4	7	8	2									
		1.25%	1.64%	0.94%	2.21%	2.01%	1.38%	1.35%	1.11%	1.13%	1.52%	1.49%	1.41%	2.35%	2.25%	0.70%	1.89%	1.39%	1.65%	1.43%	1.76%	1.12%	0.00%	0.57%	1.22%	0.99%	0.67%	0.00%	0.59%	1.15%	2.00%	1.23%	0.33%	0.00%	1.24%	2.22%	2.82%	0.60%	1.44%	0.17%	1.12%	1.24%	0.95%	0.76%	1.75%	1.98%	0.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	449	13	7	20	22	15	13	21	9	16	17	20	15	8	10	0	7	12	12	16	17	0	12	18	3	8	1	8	9	12	3	9	2	10	4	1	2	1	12	16	13	7	13	2	6	7									
		2.51%	1.78%	1.32%	4.90%	3.40%	2.96%	2.93%	2.92%	3.38%	3.03%	3.62%	4.02%	3.21%	2.00%	3.52%	0.00%	3.24%	2.83%	2.14%	3.52%	3.79%	0.00%	2.30%	2.44%	1.48%	2.68%	1.32%	4.73%	5.17%	3.43%	1.85%	1.49%	1.46%	4.15%	1.48%	1.41%	1.19%	0.72%	2.04%	2.97%	2.30%	1.32%	2.48%	0.50%	1.48%	3.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	426	21	8	15	15	16	13	27	7	14	13	17	15	6	6	0	5	7	17	4	15	15	11	28	1	4	1	8	10	9	0	7	5	2	8	2	2	5	17	13	15	6	5	8	3	0									
		2.38%	2.88%	1.50%	3.68%	2.31%	3.16%	2.93%	3.76%	2.63%	2.65%	2.77%	3.41%	3.21%	1.50%	2.11%	0.00%	2.31%	1.65%	3.04%	0.88%	3.35%	2.25%	2.11%	3.79%	0.49%	1.34%	1.32%	4.73%	5.75%	2.57%	0.00%	1.16%	3.65%	0.83%	2.96%	2.82%	1.19%	3.60%	2.90%	2.42%	2.66%	1.13%	0.95%	1.99%	0.74%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9949	378	322	188	290	240	205	287	128	263	186	226	213	203	144	83	163	229	291	242	213	417	295	447	118	210	48	84	97	176	98	415	81	148	162	46	124	97	377	304	307	325	388	275	284	132									
		55.67%	51.78%	60.53%	46.08%	44.75%	47.43%	46.28%	39.97%	48.12%	49.81%	39.66%	45.38%	45.51%	50.75%	50.70%	78.30%	75.46%	54.01%	51.96%	53.30%	47.54%	62.52%	56.51%	60.49%	58.13%	70.47%	63.16%	49.70%	55.75%	50.29%	60.49%	68.60%	59.12%	61.41%	60.00%	64.79%	73.81%	69.78%	64.22%	56.51%	54.43%	61.44%	74.05%	68.58%	70.12%	58.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	116	3	3	3	6	8	4	8	0	5	5	1	7	0	0	0	1	3	5	2	0	0	7	5	0	1	1	3	2	4	0	5	0	0	0	0	3	0	3	0	3	7	1	7	0	0									
		0.65%	0.41%	0.56%	0.74%	0.93%	1.58%	0.90%	1.11%	0.00%	0.95%	1.07%	0.20%	1.50%	0.00%	0.00%	0.00%	0.46%	0.71%	0.89%	0.44%	0.00%	0.00%	1.34%	0.68%	0.00%	0.34%	1.32%	1.78%	1.15%	1.14%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	1.79%	0.00%	0.51%	0.00%	0.53%	1.32%	0.19%	1.75%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	2	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	4	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0									
		0.14%	0.27%	0.00%	0.00%	0.15%	0.00%	0.23%	0.14%	0.00%	0.19%	0.21%	0.20%	0.00%	0.00%	0.35%	0.00%	0.00%	0.24%	0.00%	0.22%	0.00%	0.15%	0.00%	0.54%	0.49%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2533	119	77	69	107	88	84	146	39	79	86	82	63	82	41	11	12	73	84	70	72	60	77	93	24	33	17	29	24	59	22	47	18	21	40	7	18	11	73	79	81	72	55	33	17	39									
		14.17%	16.30%	14.47%	16.91%	16.51%	17.39%	18.96%	20.33%	14.66%	14.96%	18.34%	16.47%	13.46%	20.50%	14.44%	10.38%	5.56%	17.22%	15.00%	15.42%	16.07%	8.99%	14.75%	12.58%	11.82%	11.07%	22.37%	17.16%	13.79%	16.86%	13.58%	7.77%	13.14%	8.71%	14.81%	9.86%	10.71%	7.91%	12.44%	14.68%	14.36%	13.61%	10.50%	8.23%	4.20%	17.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	113	5	5	7	6	5	4	5	5	4	5	2	4	3	3	0	0	3	7	5	3	5	3	2	1	0	0	1	0	0	0	1	1	0	0	0	1	0	2	5	4	4	1	1	0	0									
		0.63%	0.68%	0.94%	1.72%	0.93%	0.99%	0.90%	0.70%	1.88%	0.76%	1.07%	0.40%	0.85%	0.75%	1.06%	0.00%	0.00%	0.71%	1.25%	1.10%	0.67%	0.75%	0.57%	0.27%	0.49%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.17%	0.73%	0.00%	0.00%	0.00%	0.60%	0.00%	0.34%	0.93%	0.71%	0.76%	0.19%	0.25%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	142	10	4	2	4	8	2	20	3	10	1	5	4	7	2	2	0	2	8	6	3	3	4	0	0	1	0	0	0	1	0	0	2	1	2	1	0	0	2	5	7	2	5	3	0	0									
		0.79%	1.37%	0.75%	0.49%	0.62%	1.58%	0.45%	2.79%	1.13%	1.89%	0.21%	1.00%	0.85%	1.75%	0.70%	1.89%	0.00%	0.47%	1.43%	1.32%	0.67%	0.45%	0.77%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	1.46%	0.41%	0.74%	1.41%	0.00%	0.00%	0.34%	0.93%	1.24%	0.38%	0.95%	0.75%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	2	2	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0									
		0.10%	0.27%	0.38%	0.00%	0.15%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.22%	0.00%	0.15%	0.00%	0.27%	0.00%	1.01%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	188	15	3	20	12	6	3	13	3	2	8	8	3	7	1	0	0	10	7	8	8	3	2	10	0	2	0	1	3	1	0	2	0	4	2	0	1	1	3	1	4	3	4	3	0	1									
		1.05%	2.05%	0.56%	4.90%	1.85%	1.19%	0.68%	1.81%	1.13%	0.38%	1.71%	1.61%	0.64%	1.75%	0.35%	0.00%	0.00%	2.36%	1.25%	1.76%	1.79%	0.45%	0.38%	1.35%	0.00%	0.67%	0.00%	0.59%	1.72%	0.29%	0.00%	0.33%	0.00%	1.66%	0.74%	0.00%	0.60%	0.72%	0.51%	0.19%	0.71%	0.57%	0.76%	0.75%	0.00%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2842	103	76	57	120	83	79	130	52	85	102	103	92	63	68	6	19	58	86	65	87	104	85	101	49	23	5	25	21	72	37	104	24	41	39	11	15	19	76	62	107	75	38	51	82	42									
		15.90%	14.11%	14.29%	13.97%	18.52%	16.40%	17.83%	18.11%	19.55%	16.10%	21.75%	20.68%	19.66%	15.75%	23.94%	5.66%	8.80%	13.68%	15.36%	14.32%	19.42%	15.59%	16.28%	13.67%	24.14%	7.72%	6.58%	14.79%	12.07%	20.57%	22.84%	17.19%	17.52%	17.01%	14.44%	15.49%	8.93%	13.67%	12.95%	11.52%	18.97%	14.18%	7.25%	12.72%	20.25%	18.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	3	2	1	13	0	1	1	0	0	0	2	5	1	0	0	0	2	0	5	2	2	3	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	1	1	2	0	1									
		0.31%	0.41%	0.38%	0.25%	2.01%	0.00%	0.23%	0.14%	0.00%	0.00%	0.00%	0.40%	1.07%	0.25%	0.00%	0.00%	0.00%	0.47%	0.00%	1.10%	0.45%	0.30%	0.57%	0.27%	0.00%	0.00%	0.00%	0.59%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.17%	0.19%	0.00%	0.19%	0.19%	0.50%	0.00%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	404	16	10	12	21	19	11	33	9	22	26	14	24	9	2	1	2	10	19	16	9	7	10	7	3	6	3	2	5	2	0	6	2	1	3	1	1	1	7	18	8	10	5	8	3	0									
		2.26%	2.19%	1.88%	2.94%	3.24%	3.75%	2.48%	4.60%	3.38%	4.17%	5.54%	2.81%	5.13%	2.25%	0.70%	0.94%	0.93%	2.36%	3.39%	3.52%	2.01%	1.05%	1.92%	0.95%	1.48%	2.01%	3.95%	1.18%	2.87%	0.57%	0.00%	0.99%	1.46%	0.41%	1.11%	1.41%	0.60%	0.72%	1.19%	3.35%	1.42%	1.89%	0.95%	1.99%	0.74%	0.00%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
