Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Комсомольская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574					
19	. Малышкин Олег Александрович	284	15	19	19	30	10	21	5	11	2	4	8	7	8	19	9	9	7	19	21	14	12	1	5	6	3					
		2.73%	1.81%	2.01%	2.43%	2.36%	2.17%	3.22%	2.69%	3.99%	1.60%	1.74%	7.02%	3.54%	3.39%	3.21%	1.39%	10.98%	2.25%	3.25%	3.27%	8.97%	2.55%	1.69%	3.47%	2.26%	2.24%					
20	. Миронов Сергей Михайлович	111	17	10	10	20	4	6	0	2	0	1	0	1	1	5	9	0	5	3	5	1	6	1	0	3	1					
		1.07%	2.05%	1.06%	1.28%	1.57%	0.87%	0.92%	0.00%	0.72%	0.00%	0.43%	0.00%	0.51%	0.42%	0.85%	1.39%	0.00%	1.61%	0.51%	0.78%	0.64%	1.27%	1.69%	0.00%	1.13%	0.75%					
21	. Путин Владимир Владимирович	6790	558	627	516	767	299	467	112	179	103	190	70	126	157	394	356	64	192	381	400	105	293	34	98	196	106					
		65.29%	67.39%	66.21%	65.90%	60.25%	64.86%	71.63%	60.22%	64.86%	82.40%	82.61%	61.40%	63.64%	66.53%	66.67%	54.85%	78.05%	61.74%	65.13%	62.31%	67.31%	62.21%	57.63%	68.06%	73.68%	79.10%					
22	. Хакамада Ирина Муцуовна	229	20	20	21	42	12	16	5	5	1	2	2	2	4	8	9	0	7	9	20	3	13	1	0	5	2					
		2.20%	2.42%	2.11%	2.68%	3.30%	2.60%	2.45%	2.69%	1.81%	0.80%	0.87%	1.75%	1.01%	1.69%	1.35%	1.39%	0.00%	2.25%	1.54%	3.12%	1.92%	2.76%	1.69%	0.00%	1.88%	1.49%					
23	. Харитонов Николай Михайлович	2232	157	171	164	277	104	113	41	64	10	24	24	51	57	117	223	8	84	136	154	27	117	20	31	46	12					
		21.46%	18.96%	18.06%	20.95%	21.76%	22.56%	17.33%	22.04%	23.19%	8.00%	10.43%	21.05%	25.76%	24.15%	19.80%	34.36%	9.76%	27.01%	23.25%	23.99%	17.31%	24.84%	33.90%	21.53%	17.29%	8.96%					
																																
24	Против всех	356	28	48	25	59	15	11	2	7	6	5	7	4	4	30	21	0	10	15	18	5	19	1	6	4	6					
		3.42%	3.38%	5.07%	3.19%	4.63%	3.25%	1.69%	1.08%	2.54%	4.80%	2.17%	6.14%	2.02%	1.69%	5.08%	3.24%	0.00%	3.22%	2.56%	2.80%	3.21%	4.03%	1.69%	4.17%	1.50%	4.48%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
