Выборы Президента Российской Федерации																																																																																																																												
																																																																																																																												
Наименование Избирательной комиссии:    Выборгская №10																																																																																																																												
																																																																																																																												
Итоги голосования 																																																																																																																												
																																																																																																																												
		Сумма	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285					
11	Число полученных открепительных  удостоверений	7958	70	250	70	70	250	60	70	70	70	70	60	70	158	0	70	70	70	70	70	70	70	70	60	60	30	70	70	70	70	60	60	70	60	60	70	70	60	60	70	70	70	70	70	70	70	0	0	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	60	70	70	70	70	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	50	40	70	70	70	70	70	150	70	70	70	70	70	70	0	0					
12	Число выданных открепительных удостоверений	2615	28	52	37	27	72	24	25	24	23	35	23	30	22	0	20	37	13	30	20	28	25	14	18	17	18	15	20	14	20	12	17	28	17	7	20	12	9	15	31	24	31	20	31	24	20	0	0	22	24	32	17	19	13	23	21	29	29	32	21	22	16	18	25	12	18	15	18	22	0	0	0	32	22	34	26	31	32	24	31	31	12	14	11	15	32	27	28	15	26	19	24	18	27	19	22	18	9	22	25	15	20	21	20	27	27	19	31	57	104	23	28	31	19	17	13	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2869	30	24	32	47	33	133	16	18	15	22	22	38	98	36	7	19	40	14	27	41	24	22	19	14	12	29	10	25	22	8	29	11	20	22	11	13	18	15	24	27	47	52	35	19	25	39	25	16	35	20	14	25	14	20	13	21	43	33	28	10	24	21	19	26	18	10	21	26	117	26	139	17	36	20	16	24	8	9	29	15	13	14	15	16	10	19	14	22	12	10	20	16	14	12	10	19	11	15	12	17	11	36	17	23	15	27	20	11	17	18	18	12	12	7	29	58	5					
14	Число неиспользованных открепительных удостоверений	5343	42	198	33	43	178	36	45	46	47	35	37	40	136	0	50	33	57	40	50	42	45	56	42	43	12	55	50	56	50	48	43	42	43	53	50	58	51	45	39	46	39	50	39	46	50	0	0	48	46	38	53	51	57	47	49	41	41	38	49	48	54	52	45	48	52	55	52	48	0	0	0	38	48	36	44	39	38	46	39	39	58	56	59	55	38	43	42	55	44	51	46	52	43	51	48	52	61	48	45	55	50	29	20	43	43	51	39	13	46	47	42	39	51	53	57	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	42	0	0	4	0	0	2	2	0	0	1	0	0	0	0	1	2	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	2	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																												
18	. Глазьев Сергей Юрьевич	6565	62	47	46	39	43	50	29	42	75	30	50	62	55	4	68	107	72	69	68	91	114	57	52	50	54	85	83	55	89	52	55	77	60	64	78	66	66	51	60	56	71	107	80	91	55	13	2	76	72	111	48	76	51	70	72	64	80	85	56	83	43	47	52	48	82	59	82	52	6	0	7	52	48	61	53	46	47	50	32	65	44	32	27	59	64	52	62	67	78	67	75	42	50	56	50	43	53	48	60	54	43	54	33	56	41	53	53	44	62	64	87	21	54	40	39	9	1					
		4.65%	4.70%	2.75%	3.38%	3.22%	2.52%	4.16%	2.83%	4.26%	6.65%	2.54%	3.90%	4.82%	3.96%	4.55%	4.70%	7.68%	5.69%	4.72%	4.53%	6.63%	6.77%	4.62%	5.27%	5.46%	5.32%	7.05%	7.27%	4.92%	7.22%	6.21%	5.89%	5.58%	5.68%	5.61%	6.35%	5.96%	7.11%	5.13%	4.48%	4.48%	4.86%	7.12%	5.57%	6.14%	4.14%	4.01%	3.45%	4.61%	4.75%	6.81%	4.01%	5.80%	4.45%	5.99%	4.90%	5.05%	5.41%	5.65%	3.66%	5.87%	3.50%	3.84%	4.35%	5.21%	5.71%	4.83%	6.67%	4.10%	3.03%	0.00%	4.90%	3.63%	4.24%	4.18%	3.83%	3.31%	3.77%	3.75%	2.45%	4.49%	3.96%	3.13%	2.48%	5.12%	4.62%	3.95%	4.55%	4.73%	5.23%	4.67%	4.95%	3.46%	4.19%	4.99%	4.36%	4.21%	4.36%	3.29%	4.74%	4.76%	3.13%	4.18%	3.09%	4.20%	2.94%	3.59%	3.58%	3.58%	4.62%	4.06%	6.56%	1.68%	4.42%	3.77%	3.23%	2.97%	1.27%					
19	. Малышкин Олег Александрович	982	7	17	23	7	17	9	9	15	7	11	10	10	11	0	7	7	2	13	11	5	15	3	6	5	7	7	6	7	3	1	8	8	5	4	4	10	0	8	2	7	11	10	6	6	7	1	1	8	12	6	8	9	16	5	12	7	9	7	8	5	12	9	9	9	8	10	9	10	1	1	0	11	6	2	6	8	10	17	16	11	8	11	12	8	14	15	7	6	13	12	10	6	12	7	8	10	15	4	9	9	9	5	8	8	21	10	4	8	15	17	9	12	6	10	8	3	0					
		0.70%	0.53%	0.99%	1.69%	0.58%	1.00%	0.75%	0.88%	1.52%	0.62%	0.93%	0.78%	0.78%	0.79%	0.00%	0.48%	0.50%	0.16%	0.89%	0.73%	0.36%	0.89%	0.24%	0.61%	0.55%	0.69%	0.58%	0.53%	0.63%	0.24%	0.12%	0.86%	0.58%	0.47%	0.35%	0.33%	0.90%	0.00%	0.80%	0.15%	0.56%	0.75%	0.67%	0.42%	0.41%	0.53%	0.31%	1.72%	0.49%	0.79%	0.37%	0.67%	0.69%	1.40%	0.43%	0.82%	0.55%	0.61%	0.47%	0.52%	0.35%	0.98%	0.73%	0.75%	0.98%	0.56%	0.82%	0.73%	0.79%	0.51%	2.22%	0.00%	0.77%	0.53%	0.14%	0.43%	0.58%	0.80%	1.28%	1.23%	0.76%	0.72%	1.08%	1.10%	0.69%	1.01%	1.14%	0.51%	0.42%	0.87%	0.84%	0.66%	0.49%	1.01%	0.62%	0.70%	0.98%	1.23%	0.27%	0.71%	0.79%	0.66%	0.39%	0.75%	0.60%	1.51%	0.68%	0.27%	0.65%	1.12%	1.08%	0.68%	0.96%	0.49%	0.94%	0.66%	0.99%	0.00%					
20	. Миронов Сергей Михайлович	2128	18	31	31	20	10	19	19	25	22	22	16	21	17	1	26	18	19	29	27	14	26	14	13	10	18	24	17	15	27	8	15	15	19	17	19	16	16	22	16	14	20	27	16	25	18	6	3	15	23	19	18	18	11	20	15	13	20	18	18	20	8	9	10	9	21	17	17	25	2	0	0	34	18	21	10	20	22	23	22	38	21	3	21	20	29	27	24	12	29	23	17	16	13	23	20	14	15	30	19	16	22	18	19	25	17	21	19	20	29	26	24	19	21	18	19	4	0					
		1.51%	1.37%	1.81%	2.28%	1.65%	0.59%	1.58%	1.85%	2.53%	1.95%	1.86%	1.25%	1.63%	1.22%	1.14%	1.80%	1.29%	1.50%	1.98%	1.80%	1.02%	1.54%	1.13%	1.32%	1.09%	1.77%	1.99%	1.49%	1.34%	2.19%	0.96%	1.61%	1.09%	1.80%	1.49%	1.55%	1.45%	1.72%	2.21%	1.19%	1.12%	1.37%	1.80%	1.11%	1.69%	1.36%	1.85%	5.17%	0.91%	1.52%	1.16%	1.51%	1.37%	0.96%	1.71%	1.02%	1.03%	1.35%	1.20%	1.17%	1.41%	0.65%	0.73%	0.84%	0.98%	1.46%	1.39%	1.38%	1.97%	1.01%	0.00%	0.00%	2.37%	1.59%	1.44%	0.72%	1.44%	1.76%	1.73%	1.69%	2.63%	1.89%	0.29%	1.93%	1.73%	2.09%	2.05%	1.76%	0.85%	1.95%	1.60%	1.12%	1.32%	1.09%	2.05%	1.75%	1.37%	1.23%	2.05%	1.50%	1.41%	1.60%	1.39%	1.78%	1.88%	1.22%	1.42%	1.28%	1.63%	2.16%	1.65%	1.81%	1.52%	1.72%	1.70%	1.57%	1.32%	0.00%					
21	. Путин Владимир Владимирович	103442	948	1331	998	955	1385	864	693	738	809	913	966	940	1071	67	1007	856	891	1037	1054	904	1108	892	706	590	669	814	755	758	823	554	618	910	760	763	856	758	608	691	921	921	1039	1082	985	1003	981	264	38	1216	1104	1153	908	983	808	836	1113	957	1112	1080	1181	1026	939	919	894	703	1016	901	911	969	147	38	109	1080	869	1107	1062	1067	912	1062	996	1064	830	811	858	853	998	982	1025	1074	1069	1037	1097	929	892	812	832	797	947	1131	925	874	1086	993	791	1003	1108	1170	1156	975	998	1170	920	910	856	787	923	223	64					
		73.24%	71.93%	77.79%	73.38%	78.93%	81.28%	71.94%	67.61%	74.77%	71.78%	77.24%	75.29%	73.04%	77.11%	76.14%	69.59%	61.45%	70.43%	70.88%	70.17%	65.89%	65.83%	72.23%	71.53%	64.41%	65.91%	67.50%	66.11%	67.86%	66.80%	66.19%	66.17%	65.89%	71.90%	66.93%	69.71%	68.47%	65.52%	69.45%	68.78%	73.68%	71.12%	72.04%	68.55%	67.72%	73.87%	81.48%	65.52%	73.83%	72.78%	70.69%	75.92%	75.04%	70.51%	71.58%	75.71%	75.53%	75.24%	71.81%	77.09%	72.56%	76.47%	75.02%	74.75%	76.25%	70.70%	73.73%	74.07%	76.48%	74.24%	84.44%	76.22%	75.37%	76.77%	75.87%	76.79%	76.76%	73.14%	79.73%	76.32%	73.53%	74.77%	79.43%	78.72%	73.98%	72.01%	74.51%	75.15%	75.90%	71.70%	72.32%	72.41%	76.52%	74.77%	72.37%	72.60%	77.98%	77.88%	77.41%	73.06%	77.07%	79.15%	76.80%	74.13%	75.30%	79.48%	79.27%	78.00%	79.33%	74.42%	74.29%	69.38%	72.98%	70.11%	74.25%	76.34%	73.60%	81.01%					
22	. Хакамада Ирина Муцуовна	11331	143	62	105	79	79	149	146	68	86	92	101	117	78	3	171	187	108	157	140	185	174	128	112	105	115	100	127	138	154	114	135	185	114	133	102	137	119	78	172	130	158	109	159	153	145	12	6	146	132	152	84	81	115	95	92	84	88	108	104	126	74	79	90	56	128	87	87	76	8	1	13	84	63	91	81	68	84	62	87	99	52	37	52	85	118	82	84	78	126	105	120	82	80	77	90	45	71	91	70	64	80	79	84	86	64	71	70	73	82	102	122	96	151	59	90	13	5					
		8.02%	10.85%	3.62%	7.72%	6.53%	4.64%	12.41%	14.24%	6.89%	7.63%	7.78%	7.87%	9.09%	5.62%	3.41%	11.82%	13.42%	8.54%	10.73%	9.32%	13.48%	10.34%	10.36%	11.35%	11.46%	11.33%	8.29%	11.12%	12.35%	12.50%	13.62%	14.45%	13.40%	10.79%	11.67%	8.31%	12.38%	12.82%	7.84%	12.85%	10.40%	10.81%	7.26%	11.06%	10.33%	10.92%	3.70%	10.34%	8.86%	8.70%	9.32%	7.02%	6.18%	10.03%	8.13%	6.26%	6.63%	5.95%	7.18%	6.79%	8.91%	6.03%	6.45%	7.53%	6.07%	8.91%	7.12%	7.07%	6.00%	4.04%	2.22%	9.09%	5.86%	5.57%	6.24%	5.86%	4.89%	6.74%	4.65%	6.67%	6.84%	4.68%	3.62%	4.77%	7.37%	8.51%	6.22%	6.16%	5.51%	8.45%	7.32%	7.92%	6.75%	6.71%	6.86%	7.85%	4.40%	5.84%	6.23%	5.53%	5.64%	5.83%	6.11%	7.87%	6.46%	4.59%	4.81%	4.72%	5.94%	6.11%	6.48%	9.20%	7.70%	12.37%	5.57%	7.44%	4.29%	6.33%					
23	. Харитонов Николай Михайлович	10733	80	72	79	70	80	52	66	58	94	63	66	80	96	9	100	148	125	91	139	112	154	97	68	86	95	113	102	87	95	73	67	131	55	103	120	69	72	100	91	67	92	115	110	129	83	19	7	118	122	115	90	97	91	100	110	91	101	131	90	98	112	104	105	59	124	100	81	89	18	2	8	123	89	120	113	128	114	86	90	111	108	87	80	75	101	122	110	124	118	129	133	92	107	112	93	78	74	109	132	60	71	94	83	96	93	100	120	65	91	136	108	151	79	93	72	25	2					
		7.60%	6.07%	4.21%	5.81%	5.79%	4.69%	4.33%	6.44%	5.88%	8.34%	5.33%	5.14%	6.22%	6.91%	10.23%	6.91%	10.62%	9.88%	6.22%	9.25%	8.16%	9.15%	7.85%	6.89%	9.39%	9.36%	9.37%	8.93%	7.79%	7.71%	8.72%	7.17%	9.49%	5.20%	9.04%	9.77%	6.23%	7.76%	10.05%	6.80%	5.36%	6.30%	7.66%	7.65%	8.71%	6.25%	5.86%	12.07%	7.16%	8.04%	7.05%	7.53%	7.40%	7.94%	8.56%	7.48%	7.18%	6.83%	8.71%	5.87%	6.93%	9.12%	8.49%	8.78%	6.40%	8.63%	8.18%	6.59%	7.02%	9.09%	4.44%	5.59%	8.58%	7.86%	8.22%	8.17%	9.21%	9.14%	6.46%	6.90%	7.67%	9.73%	8.52%	7.34%	6.50%	7.29%	9.26%	8.06%	8.76%	7.91%	9.00%	8.78%	7.58%	8.97%	9.98%	8.12%	7.63%	6.09%	7.46%	10.43%	5.29%	5.17%	7.27%	7.78%	7.21%	6.67%	6.78%	8.10%	5.29%	6.79%	8.63%	8.14%	12.11%	6.47%	8.77%	5.96%	8.25%	2.53%					
																																																																																																																												
24	Против всех	5520	51	132	61	34	71	52	62	39	32	48	70	53	57	4	67	65	46	63	52	59	87	43	28	68	55	63	49	53	36	34	36	51	42	51	47	47	42	37	74	52	65	48	75	68	36	8	1	58	47	70	36	41	48	38	44	42	55	64	53	53	36	51	31	34	57	42	41	44	16	3	6	42	36	56	51	48	54	30	58	58	46	30	37	49	61	32	47	53	52	59	59	46	35	32	51	32	37	48	48	52	54	44	41	54	47	46	58	39	55	56	55	35	49	45	54	18	7					
		3.91%	3.87%	7.71%	4.49%	2.81%	4.17%	4.33%	6.05%	3.95%	2.84%	4.06%	5.46%	4.12%	4.10%	4.55%	4.63%	4.67%	3.64%	4.31%	3.46%	4.30%	5.17%	3.48%	2.84%	7.42%	5.42%	5.22%	4.29%	4.74%	2.92%	4.06%	3.85%	3.69%	3.97%	4.47%	3.83%	4.25%	4.53%	3.72%	5.53%	4.16%	4.45%	3.20%	5.22%	4.59%	2.71%	2.47%	1.72%	3.52%	3.10%	4.29%	3.01%	3.13%	4.19%	3.25%	2.99%	3.31%	3.72%	4.26%	3.46%	3.75%	2.93%	4.16%	2.59%	3.69%	3.97%	3.44%	3.33%	3.47%	8.08%	6.67%	4.20%	2.93%	3.18%	3.84%	3.69%	3.45%	4.33%	2.25%	4.44%	4.01%	4.14%	2.94%	3.39%	4.25%	4.40%	2.43%	3.45%	3.75%	3.49%	4.11%	3.89%	3.79%	2.93%	2.85%	4.45%	3.13%	3.04%	3.29%	3.79%	4.59%	3.94%	3.40%	3.84%	4.05%	3.37%	3.12%	3.91%	3.17%	4.10%	3.56%	4.15%	2.81%	4.01%	4.25%	4.47%	5.94%	8.86%					
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
