Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Талицкая																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	494	12	23	25	13	27	9	12	2	8	11	18	20	22	18	15	20	2	6	6	2	6	5	4	16	2	3	2	5	3	3	6	9	6	2	2	8	3	2	4	6	10	4	3	10	2	2	16	2	4	4	8	7	8	14	7	6	2	2	4	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	218	10	5	15	3	13	9	6	2	4	3	8	7	3	7	12	4	0	2	2	2	0	1	1	16	0	2	1	2	0	1	1	4	1	1	0	2	0	0	2	0	7	3	1	4	1	0	16	2	4	0	2	3	3	5	3	6	0	0	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	4	8	8	3	6	1	21	2	4	3	5	3	3	0	1	4	0	0	0	0	0	0	0	2	0	2	3	0	0	0	1	1	0	0	1	1	0	2	0	3	0	3	2	3	1	1	3	6	1	0	2	1	0	4	0	0	0	0	0	1					
14	Число погашенных открепительных удостоверений	276	2	18	10	10	14	0	6	0	4	8	10	13	19	11	3	16	2	4	4	0	6	4	3	0	2	1	1	3	3	2	5	5	5	1	2	6	3	2	2	6	3	1	2	6	1	2	0	0	0	4	6	4	5	9	4	0	2	2	4	5					
15	Число открепительных удостоверений выданных ТИК	6	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	387	12	13	17	18	11	6	7	2	8	4	15	13	9	13	6	13	2	2	8	5	3	6	6	5	3	3	5	8	4	2	7	7	9	1	2	6	0	5	4	7	9	2	10	4	4	0	8	6	4	5	3	11	2	10	9	6	4	0	3	10					
		2.01%	2.59%	1.58%	1.68%	2.43%	1.02%	2.46%	1.58%	1.98%	2.06%	0.92%	2.54%	1.79%	1.13%	2.22%	1.14%	1.60%	2.38%	0.87%	4.34%	5.15%	1.15%	3.52%	4.13%	1.40%	2.04%	2.04%	4.67%	3.55%	2.61%	1.58%	2.49%	1.97%	3.65%	1.14%	1.73%	1.65%	0.0%	5.95%	2.94%	2.99%	2.05%	0.98%	6.66%	1.02%	3.66%	0.0%	1.08%	5.55%	2.94%	4.27%	0.96%	4.36%	1.33%	1.78%	3.42%	2.18%	6.45%	0.0%	1.88%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	471	15	31	56	32	34	13	14	2	16	22	10	22	21	8	6	13	1	1	3	4	4	4	2	2	2	0	1	1	0	2	6	4	5	0	2	7	5	0	0	6	10	3	3	8	3	2	16	1	0	3	4	7	3	10	7	3	2	0	1	8					
		2.45%	3.24%	3.78%	5.56%	4.33%	3.15%	5.34%	3.16%	1.98%	4.13%	5.10%	1.69%	3.03%	2.63%	1.37%	1.14%	1.60%	1.19%	0.43%	1.63%	4.12%	1.53%	2.35%	1.37%	0.56%	1.36%	0.0%	0.93%	0.44%	0.0%	1.58%	2.13%	1.12%	2.03%	0.0%	1.73%	1.93%	4.34%	0.0%	0.0%	2.56%	2.28%	1.47%	2.0%	2.04%	2.75%	3.33%	2.17%	0.92%	0.0%	2.56%	1.28%	2.77%	2.0%	1.78%	2.66%	1.09%	3.22%	0.0%	0.62%	1.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	852	23	59	79	35	37	9	17	4	15	15	27	29	52	23	24	32	7	7	9	5	13	7	4	9	7	7	4	4	2	1	11	6	10	5	0	15	3	1	8	8	16	8	4	29	5	3	25	5	7	5	7	8	2	24	11	17	3	8	3	29					
		4.44%	4.97%	7.21%	7.84%	4.73%	3.43%	3.70%	3.83%	3.96%	3.87%	3.48%	4.57%	3.99%	6.53%	3.94%	4.58%	3.95%	8.33%	3.07%	4.89%	5.15%	5.0%	4.11%	2.75%	2.52%	4.76%	4.76%	3.73%	1.77%	1.30%	0.79%	3.91%	1.69%	4.06%	5.74%	0.0%	4.14%	2.60%	1.19%	5.88%	3.41%	3.66%	3.94%	2.66%	7.41%	4.58%	5.0%	3.40%	4.62%	5.14%	4.27%	2.25%	3.17%	1.33%	4.28%	4.18%	6.18%	4.83%	17.77%	1.88%	6.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1699	37	69	68	62	122	20	42	6	58	54	49	85	102	78	67	70	7	18	16	19	9	19	10	22	5	3	26	26	14	5	15	10	12	7	3	35	11	11	9	17	32	24	16	24	14	12	27	6	9	16	28	13	15	37	20	22	1	0	16	49					
		8.86%	8.00%	8.43%	6.75%	8.38%	11.33%	8.23%	9.48%	5.94%	14.98%	12.52%	8.30%	11.70%	12.81%	13.37%	12.81%	8.64%	8.33%	7.89%	8.69%	19.58%	3.46%	11.17%	6.89%	6.16%	3.40%	2.04%	24.29%	11.55%	9.15%	3.96%	5.33%	2.82%	4.87%	8.04%	2.60%	9.66%	9.56%	13.09%	6.61%	7.26%	7.32%	11.82%	10.66%	6.13%	12.84%	20.0%	3.67%	5.55%	6.61%	13.67%	9.00%	5.15%	10.0%	6.60%	7.60%	8.0%	1.61%	0.0%	10.06%	10.58%					
22	"5. ""За Русь Святую"""	114	1	6	2	5	3	1	2	0	2	5	0	3	3	1	1	10	0	2	1	1	1	1	1	1	3	4	0	2	0	0	2	2	2	0	0	4	0	1	3	0	1	0	2	5	0	1	7	0	0	1	3	1	1	1	7	2	0	1	0	5					
		0.59%	0.21%	0.73%	0.19%	0.67%	0.27%	0.41%	0.45%	0.0%	0.51%	1.16%	0.0%	0.41%	0.37%	0.17%	0.19%	1.23%	0.0%	0.87%	0.54%	1.03%	0.38%	0.58%	0.68%	0.28%	2.04%	2.72%	0.0%	0.88%	0.0%	0.0%	0.71%	0.56%	0.81%	0.0%	0.0%	1.10%	0.0%	1.19%	2.20%	0.0%	0.22%	0.0%	1.33%	1.27%	0.0%	1.66%	0.95%	0.0%	0.0%	0.85%	0.96%	0.39%	0.66%	0.17%	2.66%	0.72%	0.0%	2.22%	0.0%	1.07%					
23	"6. ""Объединенная Российская партия ""Русь"""	242	1	4	19	11	15	1	4	2	3	6	6	6	7	12	4	7	1	8	1	0	0	1	2	3	2	1	0	2	0	2	4	3	1	3	2	5	0	3	2	3	7	2	1	4	2	0	11	2	1	1	5	4	4	19	1	14	0	1	0	6					
		1.26%	0.21%	0.48%	1.88%	1.48%	1.39%	0.41%	0.90%	1.98%	0.77%	1.39%	1.01%	0.82%	0.87%	2.05%	0.76%	0.86%	1.19%	3.50%	0.54%	0.0%	0.0%	0.58%	1.37%	0.84%	1.36%	0.68%	0.0%	0.88%	0.0%	1.58%	1.42%	0.84%	0.40%	3.44%	1.73%	1.38%	0.0%	3.57%	1.47%	1.28%	1.60%	0.98%	0.66%	1.02%	1.83%	0.0%	1.49%	1.85%	0.73%	0.85%	1.60%	1.58%	2.66%	3.39%	0.38%	5.09%	0.0%	2.22%	0.0%	1.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	117	2	10	6	8	11	5	5	0	10	4	3	7	4	6	0	2	2	0	1	0	1	0	1	1	0	1	0	2	0	0	1	0	1	1	2	1	1	1	0	2	3	0	0	3	1	0	2	0	1	0	1	1	0	0	1	0	1	0	0	1					
		0.61%	0.43%	1.22%	0.59%	1.08%	1.02%	2.05%	1.12%	0.0%	2.58%	0.92%	0.50%	0.96%	0.50%	1.02%	0.0%	0.24%	2.38%	0.0%	0.54%	0.0%	0.38%	0.0%	0.68%	0.28%	0.0%	0.68%	0.0%	0.88%	0.0%	0.0%	0.35%	0.0%	0.40%	1.14%	1.73%	0.27%	0.86%	1.19%	0.0%	0.85%	0.68%	0.0%	0.0%	0.76%	0.91%	0.0%	0.27%	0.0%	0.73%	0.0%	0.32%	0.39%	0.0%	0.0%	0.38%	0.0%	1.61%	0.0%	0.0%	0.21%					
25	"8. ""Народно-республиканская партия России"""	69	1	0	2	0	0	1	3	0	0	0	12	2	2	3	2	1	1	0	0	2	0	1	1	0	0	1	0	0	0	2	0	2	1	0	0	2	0	1	0	3	7	0	0	1	2	0	0	1	2	1	0	4	0	2	0	0	0	0	0	3					
		0.36%	0.21%	0.0%	0.19%	0.0%	0.0%	0.41%	0.67%	0.0%	0.0%	0.0%	2.03%	0.27%	0.25%	0.51%	0.38%	0.12%	1.19%	0.0%	0.0%	2.06%	0.0%	0.58%	0.68%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	1.58%	0.0%	0.56%	0.40%	0.0%	0.0%	0.55%	0.0%	1.19%	0.0%	1.28%	1.60%	0.0%	0.0%	0.25%	1.83%	0.0%	0.0%	0.92%	1.47%	0.85%	0.0%	1.58%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%					
26	"9. ""Российская экологическая партия ""Зеленые"""	44	1	1	5	4	3	1	4	0	1	0	2	2	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0					
		0.22%	0.21%	0.12%	0.49%	0.54%	0.27%	0.41%	0.90%	0.0%	0.25%	0.0%	0.33%	0.27%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.28%	0.68%	0.0%	0.0%	0.0%	0.65%	1.58%	0.35%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.22%	0.0%	0.66%	0.51%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.32%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1679	14	32	25	40	37	4	19	3	19	15	41	29	30	33	28	66	7	30	26	1	41	28	23	43	29	9	12	28	21	27	60	60	33	11	12	32	23	8	17	11	65	47	30	39	8	5	85	11	14	9	39	36	26	80	32	48	3	5	12	58					
		8.76%	3.03%	3.91%	2.48%	5.41%	3.43%	1.64%	4.28%	2.97%	4.90%	3.48%	6.94%	3.99%	3.76%	5.66%	5.35%	8.14%	8.33%	13.15%	14.13%	1.03%	15.76%	16.47%	15.86%	12.04%	19.72%	6.12%	11.21%	12.44%	13.72%	21.42%	21.35%	16.94%	13.41%	12.64%	10.43%	8.83%	19.99%	9.52%	12.49%	4.70%	14.87%	23.15%	20.0%	9.97%	7.33%	8.33%	11.56%	10.18%	10.29%	7.69%	12.54%	14.28%	17.33%	14.28%	12.16%	17.45%	4.83%	11.11%	7.54%	12.52%					
28	"11. ""Истинные патриоты России"""	32	0	0	0	0	1	0	0	0	1	2	0	1	4	2	2	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	2	0	1	0	0	1	0	3	0	0	0	0	0	1					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.25%	0.46%	0.0%	0.13%	0.50%	0.34%	0.38%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.68%	0.84%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.42%	0.22%	0.49%	0.0%	0.0%	0.0%	1.66%	0.27%	0.0%	0.73%	0.0%	0.0%	0.39%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	186	2	6	5	4	17	5	2	1	4	5	6	15	12	5	3	8	0	3	3	0	2	0	2	2	1	1	1	0	0	4	4	7	2	0	0	2	2	5	2	3	4	1	3	4	0	1	4	1	4	0	3	3	0	3	0	2	1	0	3	3					
		0.97%	0.43%	0.73%	0.49%	0.54%	1.57%	2.05%	0.45%	0.99%	1.03%	1.16%	1.01%	2.06%	1.50%	0.85%	0.57%	0.98%	0.0%	1.31%	1.63%	0.0%	0.76%	0.0%	1.37%	0.56%	0.68%	0.68%	0.93%	0.0%	0.0%	3.17%	1.42%	1.97%	0.81%	0.0%	0.0%	0.55%	1.73%	5.95%	1.47%	1.28%	0.91%	0.49%	2.0%	1.02%	0.0%	1.66%	0.54%	0.92%	2.94%	0.0%	0.96%	1.19%	0.0%	0.53%	0.0%	0.72%	1.61%	0.0%	1.88%	0.64%					
30	"13. ""Демократическая партия России"""	61	1	2	3	4	2	2	2	0	0	2	0	6	2	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	7	3	0	1	0	0					
		0.31%	0.21%	0.24%	0.29%	0.54%	0.18%	0.82%	0.45%	0.0%	0.0%	0.46%	0.0%	0.82%	0.25%	0.17%	0.57%	0.49%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.28%	0.81%	1.14%	0.0%	0.27%	2.60%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.85%	0.0%	0.79%	0.0%	0.17%	2.66%	1.09%	0.0%	2.22%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	67	2	1	1	3	3	0	7	0	2	2	2	2	0	0	2	3	2	0	1	0	2	1	2	0	0	0	0	0	0	1	0	1	1	0	6	0	0	1	1	0	3	0	3	3	0	0	0	1	0	0	0	0	3	0	1	1	0	0	2	1					
		0.34%	0.43%	0.12%	0.09%	0.40%	0.27%	0.0%	1.58%	0.0%	0.51%	0.46%	0.33%	0.27%	0.0%	0.0%	0.38%	0.37%	2.38%	0.0%	0.54%	0.0%	0.76%	0.58%	1.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.28%	0.40%	0.0%	5.21%	0.0%	0.0%	1.19%	0.73%	0.0%	0.68%	0.0%	2.0%	0.76%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.38%	0.36%	0.0%	0.0%	1.25%	0.21%					
32	"15. ""Партия СЛОН"""	31	1	1	0	2	1	2	0	0	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	4	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1					
		0.16%	0.21%	0.12%	0.0%	0.27%	0.09%	0.82%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.25%	0.34%	0.38%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.22%	0.0%	0.66%	1.02%	0.91%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.62%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	914	14	43	66	52	83	16	16	8	29	24	25	43	46	45	40	56	0	15	7	3	6	1	8	13	5	3	1	3	0	6	5	8	6	5	4	11	0	3	3	8	10	6	4	19	2	0	34	1	5	2	11	3	4	30	12	17	4	1	4	15					
		4.76%	3.03%	5.25%	6.55%	7.03%	7.71%	6.58%	3.61%	7.92%	7.49%	5.56%	4.23%	5.92%	5.77%	7.71%	7.64%	6.91%	0.0%	6.57%	3.80%	3.09%	2.30%	0.58%	5.51%	3.64%	3.40%	2.04%	0.93%	1.33%	0.0%	4.76%	1.77%	2.25%	2.43%	5.74%	3.47%	3.03%	0.0%	3.57%	2.20%	3.41%	2.28%	2.95%	2.66%	4.85%	1.83%	0.0%	4.62%	0.92%	3.67%	1.70%	3.53%	1.19%	2.66%	5.35%	4.56%	6.18%	6.45%	2.22%	2.51%	3.23%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	100	5	3	4	3	1	0	2	0	1	0	2	3	4	0	0	2	2	3	1	0	0	0	1	3	1	2	1	5	0	0	3	4	0	1	1	4	1	0	2	0	3	1	1	3	0	0	2	3	2	0	1	4	3	1	5	2	1	1	0	2					
		0.52%	1.08%	0.36%	0.39%	0.40%	0.09%	0.0%	0.45%	0.0%	0.25%	0.0%	0.33%	0.41%	0.50%	0.0%	0.0%	0.24%	2.38%	1.31%	0.54%	0.0%	0.0%	0.0%	0.68%	0.84%	0.68%	1.36%	0.93%	2.22%	0.0%	0.0%	1.06%	1.12%	0.0%	1.14%	0.86%	1.10%	0.86%	0.0%	1.47%	0.0%	0.68%	0.49%	0.66%	0.76%	0.0%	0.0%	0.27%	2.77%	1.47%	0.0%	0.32%	1.58%	2.0%	0.17%	1.90%	0.72%	1.61%	2.22%	0.0%	0.43%					
35	"18. ""ЛДПР"""	2344	65	88	92	104	141	27	40	11	55	45	96	90	110	77	102	117	6	26	22	10	50	20	10	59	25	49	19	28	13	11	30	33	34	8	8	37	22	4	13	21	47	14	12	38	6	4	75	6	10	12	53	23	36	53	22	23	16	2	28	46					
		12.23%	14.06%	10.75%	9.13%	14.07%	13.10%	11.11%	9.02%	10.89%	14.21%	10.44%	16.27%	12.39%	13.81%	13.20%	19.50%	14.44%	7.14%	11.40%	11.95%	10.30%	19.23%	11.76%	6.89%	16.52%	17.00%	33.33%	17.75%	12.44%	8.49%	8.73%	10.67%	9.32%	13.82%	9.19%	6.95%	10.22%	19.13%	4.76%	9.55%	8.97%	10.75%	6.89%	8.0%	9.71%	5.50%	6.66%	10.20%	5.55%	7.35%	10.25%	17.04%	9.12%	24.0%	9.46%	8.36%	8.36%	25.80%	4.44%	17.61%	9.93%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1037	26	43	50	30	48	17	29	15	13	29	27	30	32	26	16	37	1	8	8	8	16	8	12	11	1	8	3	1	8	9	45	23	10	3	3	22	8	3	3	9	17	13	3	28	5	2	49	18	9	5	28	14	7	64	12	14	6	2	17	25					
		5.41%	5.62%	5.25%	4.96%	4.05%	4.46%	6.99%	6.54%	14.85%	3.35%	6.72%	4.57%	4.13%	4.02%	4.45%	3.05%	4.56%	1.19%	3.50%	4.34%	8.24%	6.15%	4.70%	8.27%	3.08%	0.68%	5.44%	2.80%	0.44%	5.22%	7.14%	16.01%	6.49%	4.06%	3.44%	2.60%	6.07%	6.95%	3.57%	2.20%	3.84%	3.89%	6.40%	2.0%	7.16%	4.58%	3.33%	6.66%	16.66%	6.61%	4.27%	9.00%	5.55%	4.66%	11.42%	4.56%	5.09%	9.67%	4.44%	10.69%	5.39%					
37	"20. ""Политическая партия ""Единая Россия"""	5806	124	274	342	220	352	77	114	39	92	125	170	210	231	165	132	228	28	68	43	26	83	54	44	131	41	40	26	101	79	41	64	126	93	31	54	110	15	14	47	92	105	47	37	110	39	14	293	35	49	43	78	78	25	134	87	54	10	12	61	149					
		30.29%	26.83%	33.49%	33.96%	29.76%	32.71%	31.68%	25.73%	38.61%	23.77%	29.00%	28.81%	28.92%	29.02%	28.30%	25.23%	28.14%	33.33%	29.82%	23.36%	26.80%	31.92%	31.76%	30.34%	36.69%	27.89%	27.21%	24.29%	44.88%	51.63%	32.53%	22.77%	35.59%	37.80%	35.63%	46.95%	30.38%	13.04%	16.66%	34.55%	39.31%	24.02%	23.15%	24.66%	28.13%	35.77%	23.33%	39.86%	32.40%	36.02%	36.75%	25.08%	30.95%	16.66%	23.92%	33.07%	19.63%	16.12%	26.66%	38.36%	32.18%					
38	"21. ""Российская Конституционно-демократическая партия"""	47	0	2	4	0	4	0	0	0	0	2	1	4	3	0	0	3	0	1	3	0	0	0	0	1	2	0	0	0	1	0	0	3	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	2					
		0.24%	0.0%	0.24%	0.39%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.46%	0.16%	0.55%	0.37%	0.0%	0.0%	0.37%	0.0%	0.43%	1.63%	0.0%	0.0%	0.0%	0.0%	0.28%	1.36%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.84%	0.40%	1.14%	0.0%	0.27%	0.0%	1.19%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.85%	0.32%	0.0%	1.33%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%					
39	"22. ""Развитие предпринимательства"""	43	0	1	1	3	3	0	1	0	0	0	2	7	0	1	1	1	1	1	0	0	2	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	2	1	0	0	1	0	0	0	1	2					
		0.22%	0.0%	0.12%	0.09%	0.40%	0.27%	0.0%	0.22%	0.0%	0.0%	0.0%	0.33%	0.96%	0.0%	0.17%	0.19%	0.12%	1.19%	0.43%	0.0%	0.0%	0.76%	0.58%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.25%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.64%	0.39%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.62%	0.43%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1804	61	81	111	61	98	21	77	6	43	46	70	66	84	49	52	91	11	29	25	7	19	10	7	23	10	8	8	12	6	7	13	38	16	4	8	50	15	16	11	23	64	23	12	29	11	8	62	5	4	5	21	24	10	33	16	33	6	8	4	33					
