Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Тейковская городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291					
		0.21%	0.13%	0.32%	0.27%	0.0%	0.15%	0.11%	0.24%	0.0%	0.48%	0.29%	0.22%	0.29%	0.36%	0.23%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	141	3	4	0	8	5	0	5	9	12	20	24	24	12	2	3	10	0					
		0.88%	0.41%	0.65%	0.0%	1.01%	0.78%	0.0%	0.62%	1.23%	0.73%	1.19%	1.37%	1.43%	1.08%	0.46%	0.30%	1.08%	0.0%					
25	"8. ""Народно-республиканская партия России"""	24	0	2	0	2	0	2	0	5	2	3	4	0	1	1	2	0	0					
		0.14%	0.0%	0.32%	0.0%	0.25%	0.0%	0.23%	0.0%	0.68%	0.12%	0.17%	0.22%	0.0%	0.09%	0.23%	0.20%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	81	2	3	0	6	2	2	1	3	10	12	13	17	3	0	4	2	1					
		0.50%	0.27%	0.49%	0.0%	0.76%	0.31%	0.23%	0.12%	0.41%	0.60%	0.71%	0.74%	1.01%	0.27%	0.0%	0.40%	0.21%	0.30%					
27	"10. ""Аграрная партия России"""	522	25	27	8	25	21	44	48	39	27	45	49	42	41	7	24	39	11					
		3.25%	3.43%	4.41%	2.17%	3.17%	3.30%	5.25%	5.97%	5.36%	1.64%	2.68%	2.79%	2.51%	3.71%	1.62%	2.42%	4.24%	3.32%					
28	"11. ""Истинные патриоты России"""	59	0	0	0	0	1	0	1	2	2	5	21	22	2	2	0	1	0					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.12%	0.27%	0.12%	0.29%	1.19%	1.31%	0.18%	0.46%	0.0%	0.10%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	201	14	10	0	9	5	9	15	5	25	22	17	22	12	9	12	15	0					
		1.25%	1.92%	1.63%	0.0%	1.14%	0.78%	1.07%	1.86%	0.68%	1.52%	1.31%	0.97%	1.31%	1.08%	2.08%	1.21%	1.63%	0.0%					
30	"13. ""Демократическая партия России"""	35	0	1	1	3	0	1	3	1	8	2	4	2	2	1	3	2	1					
		0.21%	0.0%	0.16%	0.27%	0.38%	0.0%	0.11%	0.37%	0.13%	0.48%	0.11%	0.22%	0.11%	0.18%	0.23%	0.30%	0.21%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	4	2	0	2	1	0	1	0	3	2	2	2	0	0	1	0	1					
		0.13%	0.55%	0.32%	0.0%	0.25%	0.15%	0.0%	0.12%	0.0%	0.18%	0.11%	0.11%	0.11%	0.0%	0.0%	0.10%	0.0%	0.30%					
32	"15. ""Партия СЛОН"""	56	7	2	0	1	5	1	0	0	3	3	6	8	10	3	4	3	0					
		0.34%	0.96%	0.32%	0.0%	0.12%	0.78%	0.11%	0.0%	0.0%	0.18%	0.17%	0.34%	0.47%	0.90%	0.69%	0.40%	0.32%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1593	70	56	37	96	71	102	87	78	150	177	151	163	116	31	101	77	30					
		9.94%	9.62%	9.16%	10.05%	12.18%	11.16%	12.17%	10.83%	10.72%	9.14%	10.54%	8.62%	9.74%	10.51%	7.17%	10.21%	8.38%	9.06%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	1	1	0	3	0	2	3	2	6	4	6	4	1	1	4	0	1					
		0.24%	0.13%	0.16%	0.0%	0.38%	0.0%	0.23%	0.37%	0.27%	0.36%	0.23%	0.34%	0.23%	0.09%	0.23%	0.40%	0.0%	0.30%					
35	"18. ""ЛДПР"""	2735	108	86	66	110	84	128	130	88	364	346	387	341	134	52	114	140	57					
		17.07%	14.85%	14.07%	17.93%	13.95%	13.20%	15.27%	16.18%	12.10%	22.18%	20.60%	22.10%	20.38%	12.14%	12.03%	11.52%	15.25%	17.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	446	32	16	14	26	20	22	25	22	52	23	46	46	38	12	15	27	10					
		2.78%	4.40%	2.61%	3.80%	3.29%	3.14%	2.62%	3.11%	3.02%	3.16%	1.36%	2.62%	2.74%	3.44%	2.77%	1.51%	2.94%	3.02%					
37	"20. ""Политическая партия ""Единая Россия"""	4876	234	212	139	247	193	235	203	205	502	492	533	502	309	142	335	276	117					
		30.44%	32.18%	34.69%	37.77%	31.34%	30.34%	28.04%	25.28%	28.19%	30.59%	29.30%	30.43%	30.00%	28.01%	32.87%	33.87%	30.06%	35.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	3	1	1	2	1	0	0	0	4	6	5	0	5	0	1	2	0					
		0.19%	0.41%	0.16%	0.27%	0.25%	0.15%	0.0%	0.0%	0.0%	0.24%	0.35%	0.28%	0.0%	0.45%	0.0%	0.10%	0.21%	0.0%					
39	"22. ""Развитие предпринимательства"""	43	3	2	1	2	1	1	0	1	3	4	7	10	2	1	2	3	0					
		0.26%	0.41%	0.32%	0.27%	0.25%	0.15%	0.11%	0.0%	0.13%	0.18%	0.23%	0.39%	0.59%	0.18%	0.23%	0.20%	0.32%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2015	108	84	50	96	96	150	130	131	128	119	141	146	211	80	169	123	53					
		12.58%	14.85%	13.74%	13.58%	12.18%	15.09%	17.89%	16.18%	18.01%	7.80%	7.08%	8.05%	8.72%	19.12%	18.51%	17.08%	13.39%	16.01%					
																								
41	Против всех	1202	38	34	12	50	58	50	44	43	153	175	153	133	70	30	70	70	19					
		7.50%	5.22%	5.56%	3.26%	6.34%	9.11%	5.96%	5.47%	5.91%	9.32%	10.42%	8.73%	7.94%	6.34%	6.94%	7.07%	7.62%	5.74%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
