Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	110	4	1	2	1	2	0	3	3	4	3	2	1	9	1	0	2	1	1	1	6	1	1	1	1	3	1	1	7	0	0	1	0	1	0	0	10	1	0	0	0	1	0	1	1	0	1	0	0	0	0	4	2	0	1	1	5	7	2	2	6									
		0.20%	0.27%	0.15%	0.22%	0.14%	0.26%	0.00%	0.24%	0.25%	0.46%	0.20%	0.20%	0.08%	0.76%	0.09%	0.00%	0.15%	0.18%	0.14%	0.11%	0.46%	0.17%	0.12%	0.10%	0.08%	0.27%	0.17%	0.16%	0.82%	0.00%	0.00%	0.16%	0.00%	0.16%	0.00%	0.00%	1.03%	0.13%	0.00%	0.00%	0.00%	0.14%	0.00%	0.13%	0.14%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.33%	0.17%	0.00%	0.08%	0.09%	0.35%	0.52%	0.20%	0.21%	0.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	197	1	1	4	2	4	0	1	1	1	2	2	1	12	0	2	1	1	2	1	1	1	3	3	1	17	1	8	12	1	1	1	0	1	1	1	17	1	3	1	1	1	1	1	1	0	0	0	2	1	1	1	1	1	1	1	26	17	18	1	7									
		0.36%	0.07%	0.15%	0.45%	0.28%	0.52%	0.00%	0.08%	0.08%	0.12%	0.13%	0.20%	0.08%	1.01%	0.00%	0.22%	0.08%	0.18%	0.27%	0.11%	0.08%	0.17%	0.36%	0.29%	0.08%	1.55%	0.17%	1.27%	1.41%	0.25%	0.20%	0.16%	0.00%	0.16%	0.12%	0.19%	1.75%	0.13%	0.37%	0.19%	0.11%	0.14%	0.20%	0.13%	0.14%	0.00%	0.00%	0.00%	0.16%	0.19%	0.44%	0.08%	0.08%	0.09%	0.08%	0.09%	1.83%	1.26%	1.79%	0.11%	0.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	195	1	1	7	3	1	0	1	1	0	2	4	1	11	0	0	1	2	1	1	5	1	1	3	1	13	1	5	15	1	2	0	0	2	1	2	12	1	3	0	3	2	5	2	1	2	1	0	0	5	1	0	3	4	1	1	16	13	11	2	15									
		0.35%	0.07%	0.15%	0.78%	0.43%	0.13%	0.00%	0.08%	0.08%	0.00%	0.13%	0.39%	0.08%	0.92%	0.00%	0.00%	0.08%	0.36%	0.14%	0.11%	0.39%	0.17%	0.12%	0.29%	0.08%	1.18%	0.17%	0.79%	1.76%	0.25%	0.40%	0.00%	0.00%	0.32%	0.12%	0.38%	1.23%	0.13%	0.37%	0.00%	0.33%	0.27%	0.99%	0.27%	0.14%	0.20%	0.14%	0.00%	0.00%	0.93%	0.44%	0.00%	0.25%	0.37%	0.08%	0.09%	1.13%	0.97%	1.09%	0.21%	1.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	39996	1035	494	626	514	554	926	942	874	631	1115	748	874	880	802	631	976	393	541	674	938	414	612	756	900	795	419	490	625	284	368	449	446	465	599	386	665	556	596	386	661	536	368	553	534	721	509	860	927	385	156	882	873	766	929	845	985	997	653	687	790									
		72.65%	70.84%	72.75%	69.71%	73.01%	72.23%	73.20%	75.48%	72.41%	72.61%	73.84%	73.12%	73.20%	73.83%	72.71%	70.11%	74.05%	70.18%	73.31%	74.15%	72.60%	71.26%	72.68%	73.97%	73.05%	72.40%	72.74%	77.53%	73.27%	72.26%	72.87%	73.25%	73.36%	74.28%	72.96%	73.11%	68.28%	72.77%	73.67%	72.83%	73.04%	72.43%	73.16%	73.34%	72.16%	72.24%	72.30%	72.82%	75.55%	71.96%	69.33%	73.62%	73.42%	71.19%	72.46%	72.78%	69.51%	74.02%	64.91%	72.47%	73.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	84	1	2	6	0	2	2	0	0	2	1	1	1	4	1	7	0	1	1	1	0	1	1	1	1	9	1	1	4	1	0	0	0	0	0	0	4	1	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	1	7	5	5	2	1									
		0.15%	0.07%	0.29%	0.67%	0.00%	0.26%	0.16%	0.00%	0.00%	0.23%	0.07%	0.10%	0.08%	0.34%	0.09%	0.78%	0.00%	0.18%	0.14%	0.11%	0.00%	0.17%	0.12%	0.10%	0.08%	0.82%	0.17%	0.16%	0.47%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.13%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.14%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.49%	0.37%	0.50%	0.21%	0.09%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	0	2	0	1	0	0	0	0	1	0	1	1	0	0	3	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	2	1	1									
		0.05%	0.00%	0.29%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.08%	0.00%	0.00%	0.33%	0.00%	0.18%	0.00%	0.00%	0.08%	0.00%	0.12%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.12%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.08%	0.00%	0.08%	0.09%	0.00%	0.00%	0.20%	0.11%	0.09%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5270	147	59	90	64	69	134	114	121	81	139	96	114	89	112	83	126	57	72	82	123	61	81	102	116	68	55	46	81	37	53	57	59	61	81	52	111	72	79	55	88	77	54	72	72	96	68	120	101	51	20	109	110	100	119	112	144	92	178	93	95									
		9.57%	10.06%	8.69%	10.02%	9.09%	8.99%	10.59%	9.13%	10.02%	9.32%	9.21%	9.38%	9.55%	7.47%	10.15%	9.22%	9.56%	10.18%	9.76%	9.02%	9.52%	10.50%	9.62%	9.98%	9.42%	6.19%	9.55%	7.28%	9.50%	9.41%	10.50%	9.30%	9.70%	9.74%	9.87%	9.85%	11.40%	9.42%	9.77%	10.38%	9.72%	10.41%	10.74%	9.55%	9.73%	9.62%	9.66%	10.16%	8.23%	9.53%	8.89%	9.10%	9.25%	9.29%	9.28%	9.65%	10.16%	6.83%	17.69%	9.81%	8.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	0	3	2	1	0	0	0	1	2	0	0	1	7	0	1	2	1	1	1	1	1	2	1	1	2	0	2	0	0	0	0	0	0	0	2	7	1	0	0	3	0	0	0	0	2	0	0	1	0	2	0	1	0	1	1	1	0	3	1	0									
		0.11%	0.00%	0.44%	0.22%	0.14%	0.00%	0.00%	0.00%	0.08%	0.23%	0.00%	0.00%	0.08%	0.59%	0.00%	0.11%	0.15%	0.18%	0.14%	0.11%	0.08%	0.17%	0.24%	0.10%	0.08%	0.18%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.72%	0.13%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.08%	0.00%	0.89%	0.00%	0.08%	0.00%	0.08%	0.09%	0.07%	0.00%	0.30%	0.11%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	61	1	0	0	1	3	0	0	1	1	0	0	1	2	0	5	1	2	0	1	2	0	2	1	1	4	1	0	4	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	2	1	0	1	0	3	0	2	0	1	1	5	0	3	1	2									
		0.11%	0.07%	0.00%	0.00%	0.14%	0.39%	0.00%	0.00%	0.08%	0.12%	0.00%	0.00%	0.08%	0.17%	0.00%	0.56%	0.08%	0.36%	0.00%	0.11%	0.15%	0.00%	0.24%	0.10%	0.08%	0.36%	0.17%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.13%	0.00%	0.00%	0.00%	0.14%	0.00%	0.13%	0.00%	0.20%	0.14%	0.00%	0.08%	0.00%	1.33%	0.00%	0.17%	0.00%	0.08%	0.09%	0.35%	0.00%	0.30%	0.11%	0.19%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	0	0	0	1	1	0	0	0	0	2	2	1	1	1	0	0	2	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	6	1	0									
		0.05%	0.00%	0.00%	0.00%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%	0.13%	0.20%	0.08%	0.08%	0.09%	0.00%	0.00%	0.36%	0.00%	0.00%	0.15%	0.17%	0.00%	0.10%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.08%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.09%	0.07%	0.00%	0.60%	0.11%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	133	1	2	5	2	1	2	2	2	3	2	2	2	4	2	1	2	3	2	1	2	2	2	1	2	5	1	2	7	0	2	2	2	2	1	1	8	2	0	1	2	2	1	1	1	4	1	2	2	1	2	2	3	2	2	2	5	5	1	2	4									
		0.24%	0.07%	0.29%	0.56%	0.28%	0.13%	0.16%	0.16%	0.17%	0.35%	0.13%	0.20%	0.17%	0.34%	0.18%	0.11%	0.15%	0.54%	0.27%	0.11%	0.15%	0.34%	0.24%	0.10%	0.16%	0.46%	0.17%	0.32%	0.82%	0.00%	0.40%	0.33%	0.33%	0.32%	0.12%	0.19%	0.82%	0.26%	0.00%	0.19%	0.22%	0.27%	0.20%	0.13%	0.14%	0.40%	0.14%	0.17%	0.16%	0.19%	0.89%	0.17%	0.25%	0.19%	0.16%	0.17%	0.35%	0.37%	0.10%	0.21%	0.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6069	172	71	105	75	83	136	128	136	95	169	114	137	134	119	89	156	64	83	96	139	68	92	101	145	148	59	67	42	45	56	70	71	64	95	58	93	78	92	62	102	85	62	88	84	116	81	134	124	58	33	141	135	128	150	134	142	153	98	99	115									
		11.02%	11.77%	10.46%	11.69%	10.65%	10.82%	10.75%	10.26%	11.27%	10.93%	11.19%	11.14%	11.47%	11.24%	10.79%	9.89%	11.84%	11.43%	11.25%	10.56%	10.76%	11.70%	10.93%	9.88%	11.77%	13.48%	10.24%	10.60%	4.92%	11.45%	11.09%	11.42%	11.68%	10.22%	11.57%	10.98%	9.55%	10.21%	11.37%	11.70%	11.27%	11.49%	12.33%	11.67%	11.35%	11.62%	11.51%	11.35%	10.11%	10.84%	14.67%	11.77%	11.35%	11.90%	11.70%	11.54%	10.02%	11.36%	9.74%	10.44%	10.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	97	1	3	4	1	1	2	1	1	3	1	1	1	2	1	1	0	2	1	1	1	1	1	1	1	1	1	0	10	0	0	1	1	1	1	1	6	1	0	0	1	1	0	1	1	0	2	1	3	1	0	1	3	0	1	1	12	5	3	1	2									
		0.18%	0.07%	0.44%	0.45%	0.14%	0.13%	0.16%	0.08%	0.08%	0.35%	0.07%	0.10%	0.08%	0.17%	0.09%	0.11%	0.00%	0.36%	0.14%	0.11%	0.08%	0.17%	0.12%	0.10%	0.08%	0.09%	0.17%	0.00%	1.17%	0.00%	0.00%	0.16%	0.16%	0.16%	0.12%	0.19%	0.62%	0.13%	0.00%	0.00%	0.11%	0.14%	0.00%	0.13%	0.14%	0.00%	0.28%	0.08%	0.24%	0.19%	0.00%	0.08%	0.25%	0.00%	0.08%	0.09%	0.85%	0.37%	0.30%	0.11%	0.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2368	69	30	43	38	38	59	56	56	42	74	50	58	37	52	40	51	26	33	40	64	29	38	42	61	32	13	5	38	18	23	29	29	29	41	25	39	36	36	25	44	29	12	19	35	46	33	58	54	25	1	54	55	52	64	59	39	50	23	48	24									
		4.30%	4.72%	4.42%	4.79%	5.40%	4.95%	4.66%	4.49%	4.64%	4.83%	4.90%	4.89%	4.86%	3.10%	4.71%	4.44%	3.87%	4.64%	4.47%	4.40%	4.95%	4.99%	4.51%	4.11%	4.95%	2.91%	2.26%	0.79%	4.45%	4.58%	4.55%	4.73%	4.77%	4.63%	4.99%	4.73%	4.00%	4.71%	4.45%	4.72%	4.86%	3.92%	2.39%	2.52%	4.73%	4.61%	4.69%	4.91%	4.40%	4.67%	0.44%	4.51%	4.63%	4.83%	4.99%	5.08%	2.75%	3.71%	2.29%	5.06%	2.24%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
