Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																											
Дата голосования: 18.09.2016																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Красногорская																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																											
																																																																																																											
		Сумма	УИК №632	УИК №633	УИК №657	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №3574	УИК №3575	УИК №3582									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2639	0	0	15	15	20	30	35	35	20	25	30	35	25	40	55	25	35	30	30	30	40	25	20	20	25	25	20	30	35	30	25	45	25	20	25	20	30	25	25	25	20	35	25	25	25	25	25	25	25	30	35	35	35	25	30	25	25	35	35	30	30	25	30	25	25	40	40	25	25	40	40	10	25	50	15	35	20	30	20	34	20	35	25	30	15	15	10	25	25	40	20	20	20	35	40	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1532	0	0	7	1	14	19	9	21	10	21	17	28	22	20	51	17	21	20	30	18	27	12	15	7	11	14	18	26	18	23	12	24	17	18	14	6	10	15	17	11	13	19	15	20	8	10	6	17	15	19	21	27	25	16	9	14	19	24	17	21	14	18	13	7	11	24	19	14	17	17	37	0	18	34	10	23	5	20	9	26	11	11	14	10	4	15	2	9	15	25	12	12	14	19	9	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2041	8	10	4	10	9	7	10	15	4	7	13	14	5	10	22	13	15	28	19	5	15	14	8	14	5	9	18	8	15	4	126	12	9	9	12	12	14	6	8	3	9	8	12	20	13	12	8	20	52	22	5	1	25	20	28	13	7	16	25	17	9	7	14	5	19	105	70	17	18	12	33	13	30	9	15	23	15	162	23	25	68	63	51	23	8	8	21	31	18	34	22	12	10	83	50	33									
14	Число погашенных неиспользованных открепительных удостоверений	1107	0	0	8	14	6	11	26	14	10	4	13	7	3	20	4	8	14	10	0	12	13	13	5	13	14	11	2	4	17	7	13	21	8	2	11	14	20	10	8	14	7	16	10	5	17	15	19	8	10	11	14	8	10	9	21	11	6	11	18	9	16	7	17	18	14	16	21	11	8	23	3	10	7	16	5	12	15	10	11	8	9	24	11	20	11	0	8	16	10	15	8	8	6	16	31	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	901	0	0	1	3	2	11	9	6	6	8	8	17	13	4	13	8	16	12	16	9	13	4	2	4	16	8	5	11	14	9	15	7	5	5	7	1	5	6	9	6	8	9	3	2	12	8	5	8	24	7	42	7	19	7	11	13	10	4	8	12	7	5	7	3	5	28	20	3	9	19	17	1	8	16	6	15	6	9	16	6	7	5	10	8	3	0	0	11	6	14	9	12	10	25	24	18									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2059	3	0	5	4	14	26	20	22	5	16	30	38	23	23	33	19	31	16	42	31	46	16	17	21	20	23	24	19	26	23	18	29	18	12	15	21	21	10	13	23	8	40	15	21	13	24	23	18	25	36	26	28	34	20	22	21	13	29	15	24	26	22	21	9	22	40	40	15	12	33	58	6	42	45	5	31	19	32	25	4	9	28	24	15	7	16	7	24	7	32	2	14	24	16	20	36									
		3.60%	1.95%	0.00%	3.60%	1.83%	4.18%	4.46%	2.66%	3.05%	1.49%	3.88%	3.59%	4.65%	3.90%	3.65%	2.49%	3.72%	3.94%	2.08%	4.59%	4.23%	4.92%	3.89%	3.78%	5.30%	3.75%	4.22%	4.07%	2.69%	3.51%	5.58%	3.73%	3.32%	3.37%	2.81%	2.73%	4.77%	2.95%	1.71%	2.61%	3.55%	1.56%	4.60%	3.14%	4.35%	2.94%	4.31%	4.09%	2.71%	4.15%	5.07%	3.43%	3.34%	4.44%	3.75%	2.99%	4.27%	2.62%	4.81%	3.04%	4.15%	3.90%	3.62%	3.53%	2.24%	5.21%	4.31%	4.66%	3.50%	2.38%	4.30%	6.20%	5.13%	6.23%	4.98%	1.52%	3.75%	3.40%	3.50%	4.96%	0.56%	1.61%	2.61%	3.87%	1.82%	2.77%	2.90%	5.11%	3.95%	1.92%	4.17%	0.54%	3.29%	6.19%	2.21%	2.74%	4.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1145	3	1	0	2	14	12	21	14	4	8	22	15	9	19	48	21	12	15	13	7	20	6	6	18	8	12	9	12	8	6	6	16	14	10	11	6	14	11	6	16	14	11	6	5	10	8	8	17	18	14	9	15	13	5	18	6	11	3	10	6	15	18	11	17	7	6	15	8	10	13	18	3	23	28	8	10	9	13	6	6	7	11	11	22	7	11	3	94	6	11	0	5	6	9	3	13									
		2.00%	1.95%	2.70%	0.00%	0.92%	4.18%	2.06%	2.79%	1.94%	1.19%	1.94%	2.63%	1.84%	1.53%	3.02%	3.62%	4.11%	1.52%	1.95%	1.42%	0.96%	2.14%	1.46%	1.33%	4.55%	1.50%	2.20%	1.53%	1.70%	1.08%	1.46%	1.24%	1.83%	2.62%	2.34%	2.00%	1.36%	1.96%	1.88%	1.20%	2.47%	2.72%	1.26%	1.26%	1.04%	2.26%	1.44%	1.42%	2.56%	2.99%	1.97%	1.19%	1.79%	1.70%	0.94%	2.45%	1.22%	2.21%	0.50%	2.02%	1.04%	2.25%	2.96%	1.85%	4.23%	1.66%	0.65%	1.75%	1.86%	1.98%	1.69%	1.93%	2.56%	3.41%	3.10%	2.44%	1.21%	1.61%	1.42%	1.19%	0.84%	1.25%	1.03%	1.77%	2.68%	2.77%	1.99%	2.19%	15.49%	1.64%	1.43%	0.00%	1.18%	1.55%	1.24%	0.41%	1.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1911	8	1	3	7	10	22	21	33	7	20	53	23	23	44	32	16	27	25	23	38	25	1	13	13	19	24	18	32	17	10	12	30	22	9	16	16	34	16	24	40	30	25	29	13	8	23	19	28	26	29	39	34	22	16	30	17	24	11	11	21	26	15	19	15	13	23	21	23	22	27	28	7	12	39	8	38	18	35	19	8	18	16	22	27	3	16	1	15	12	21	2	16	11	8	13	12									
		3.34%	5.19%	2.70%	2.16%	3.21%	2.99%	3.77%	2.79%	4.58%	2.09%	4.85%	6.35%	2.82%	3.90%	6.98%	2.41%	3.13%	3.43%	3.24%	2.51%	5.19%	2.67%	0.24%	2.89%	3.28%	3.56%	4.40%	3.05%	4.53%	2.30%	2.43%	2.49%	3.43%	4.12%	2.11%	2.91%	3.64%	4.77%	2.73%	4.82%	6.17%	5.84%	2.87%	6.08%	2.69%	1.81%	4.13%	3.38%	4.21%	4.32%	4.08%	5.15%	4.06%	2.87%	3.00%	4.08%	3.46%	4.83%	1.82%	2.23%	3.63%	3.90%	2.47%	3.19%	3.73%	3.08%	2.48%	2.45%	5.36%	4.37%	3.52%	2.99%	5.98%	1.78%	4.32%	2.44%	4.60%	3.22%	3.83%	3.77%	1.12%	3.23%	1.49%	3.55%	3.28%	1.19%	2.90%	0.73%	2.47%	3.29%	2.73%	0.54%	3.76%	2.84%	1.10%	1.78%	1.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23221	65	18	47	104	144	209	303	320	133	169	356	290	221	257	886	207	310	280	365	253	312	157	163	154	201	227	216	283	289	138	177	343	191	174	207	153	260	223	196	221	207	363	169	170	176	206	209	263	206	280	289	263	274	217	285	177	195	211	200	213	248	202	223	142	141	322	308	161	203	260	357	53	227	330	126	278	273	397	217	501	301	614	326	423	134	277	58	219	169	288	208	167	133	425	377	338									
		40.62%	42.21%	48.65%	33.81%	47.71%	42.99%	35.85%	40.24%	44.38%	39.70%	41.02%	42.63%	35.50%	37.52%	40.79%	66.82%	40.51%	39.39%	36.32%	39.85%	34.56%	33.37%	38.20%	36.22%	38.89%	37.64%	41.65%	36.61%	40.03%	39.05%	33.50%	36.72%	39.24%	35.77%	40.75%	37.70%	34.77%	36.47%	38.05%	39.36%	34.10%	40.27%	41.72%	35.43%	35.20%	39.82%	36.98%	37.19%	39.55%	34.22%	39.44%	38.18%	31.38%	35.77%	40.71%	38.78%	35.98%	39.24%	34.99%	40.49%	36.85%	37.24%	33.22%	37.48%	35.32%	33.41%	34.66%	35.90%	37.53%	40.28%	33.85%	38.18%	45.30%	33.68%	36.54%	38.41%	33.66%	48.84%	43.48%	43.06%	70.27%	53.94%	57.22%	52.58%	51.46%	52.96%	50.18%	42.34%	36.08%	46.30%	37.50%	55.91%	39.29%	34.28%	58.62%	51.57%	38.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1190	2	2	9	2	7	9	24	11	6	9	15	25	13	13	29	10	15	28	16	22	29	9	6	2	11	12	10	15	20	8	17	16	6	13	12	11	7	7	11	19	18	20	11	11	10	13	12	11	19	11	20	22	14	11	11	11	14	19	7	15	16	14	9	10	7	28	20	7	7	17	12	3	18	13	5	19	6	10	12	1	11	14	10	16	6	11	3	15	8	13	5	11	5	6	16	18									
		2.08%	1.30%	5.41%	6.47%	0.92%	2.09%	1.54%	3.19%	1.53%	1.79%	2.18%	1.80%	3.06%	2.21%	2.06%	2.19%	1.96%	1.91%	3.63%	1.75%	3.01%	3.10%	2.19%	1.33%	0.51%	2.06%	2.20%	1.69%	2.12%	2.70%	1.94%	3.53%	1.83%	1.12%	3.04%	2.19%	2.50%	0.98%	1.19%	2.21%	2.93%	3.50%	2.30%	2.31%	2.28%	2.26%	2.33%	2.14%	1.65%	3.16%	1.55%	2.64%	2.63%	1.83%	2.06%	1.50%	2.24%	2.82%	3.15%	1.42%	2.60%	2.40%	2.30%	1.51%	2.49%	1.66%	3.01%	2.33%	1.63%	1.39%	2.21%	1.28%	2.56%	2.67%	1.44%	1.52%	2.30%	1.07%	1.10%	2.38%	0.14%	1.97%	1.30%	1.61%	1.95%	2.37%	1.99%	2.19%	2.47%	2.19%	1.69%	1.34%	2.59%	1.29%	0.83%	2.19%	2.07%									
24	"6. Политическая партия ""Гражданская Платформа"""	169	0	0	0	0	2	1	2	0	0	1	1	2	2	0	6	0	2	6	2	1	0	3	3	3	0	3	4	1	1	4	4	4	1	1	1	1	0	1	2	1	4	3	3	0	7	1	3	1	2	1	1	1	3	4	1	0	2	2	4	0	1	1	0	0	1	3	3	2	1	2	3	0	2	2	0	2	0	0	5	1	1	5	0	2	0	3	2	4	0	5	1	1	2	1	2	2									
		0.30%	0.00%	0.00%	0.00%	0.00%	0.60%	0.17%	0.27%	0.00%	0.00%	0.24%	0.12%	0.24%	0.34%	0.00%	0.45%	0.00%	0.25%	0.78%	0.22%	0.14%	0.00%	0.73%	0.67%	0.76%	0.00%	0.55%	0.68%	0.14%	0.14%	0.97%	0.83%	0.46%	0.19%	0.23%	0.18%	0.23%	0.00%	0.17%	0.40%	0.15%	0.78%	0.34%	0.63%	0.00%	1.58%	0.18%	0.53%	0.15%	0.33%	0.14%	0.13%	0.12%	0.39%	0.75%	0.14%	0.00%	0.40%	0.33%	0.81%	0.00%	0.15%	0.16%	0.00%	0.00%	0.24%	0.32%	0.35%	0.47%	0.20%	0.26%	0.32%	0.00%	0.30%	0.22%	0.00%	0.24%	0.00%	0.00%	0.99%	0.14%	0.18%	0.47%	0.00%	0.24%	0.00%	0.54%	1.46%	0.66%	0.00%	0.65%	0.27%	0.24%	0.52%	0.14%	0.27%	0.23%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7649	16	9	11	29	44	76	119	98	54	52	104	137	86	64	129	75	153	114	177	91	140	65	59	51	89	64	117	82	101	61	70	115	80	41	78	62	91	89	81	87	53	123	73	87	78	83	65	94	87	90	114	120	99	66	96	60	62	55	64	83	86	73	76	56	58	105	80	78	68	104	132	15	86	125	68	111	79	107	59	70	72	114	75	91	32	73	20	77	59	104	34	54	41	61	70	123									
		13.38%	10.39%	24.32%	7.91%	13.30%	13.13%	13.04%	15.80%	13.59%	16.12%	12.62%	12.46%	16.77%	14.60%	10.16%	9.73%	14.68%	19.44%	14.79%	19.32%	12.43%	14.97%	15.82%	13.11%	12.88%	16.67%	11.74%	19.83%	11.60%	13.65%	14.81%	14.52%	13.16%	14.98%	9.60%	14.21%	14.09%	12.76%	15.19%	16.27%	13.43%	10.31%	14.14%	15.30%	18.01%	17.65%	14.90%	11.57%	14.14%	14.45%	12.68%	15.06%	14.32%	12.92%	12.38%	13.06%	12.20%	12.47%	9.12%	12.96%	14.36%	12.91%	12.01%	12.77%	13.93%	13.74%	11.30%	9.32%	18.18%	13.49%	13.54%	14.12%	12.82%	12.76%	13.84%	20.73%	13.44%	14.13%	11.72%	11.71%	9.82%	12.90%	10.62%	12.10%	11.07%	12.65%	13.22%	14.60%	12.69%	16.16%	13.54%	9.14%	12.71%	10.57%	8.41%	9.58%	14.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	971	1	0	7	3	2	12	10	15	6	6	8	16	8	6	16	2	12	16	12	9	29	6	12	8	17	4	12	14	15	13	8	14	9	5	10	5	8	7	4	16	5	7	9	7	10	10	12	5	13	7	6	11	8	6	12	7	11	13	13	13	17	11	14	3	8	40	43	4	4	21	23	2	12	12	4	18	7	10	10	6	7	15	7	4	5	7	1	22	2	19	3	6	5	11	2	18									
		1.70%	0.65%	0.00%	5.04%	1.38%	0.60%	2.06%	1.33%	2.08%	1.79%	1.46%	0.96%	1.96%	1.36%	0.95%	1.21%	0.39%	1.52%	2.08%	1.31%	1.23%	3.10%	1.46%	2.67%	2.02%	3.18%	0.73%	2.03%	1.98%	2.03%	3.16%	1.66%	1.60%	1.69%	1.17%	1.82%	1.14%	1.12%	1.19%	0.80%	2.47%	0.97%	0.80%	1.89%	1.45%	2.26%	1.80%	2.14%	0.75%	2.16%	0.99%	0.79%	1.31%	1.04%	1.13%	1.63%	1.42%	2.21%	2.16%	2.63%	2.25%	2.55%	1.81%	2.35%	0.75%	1.90%	4.31%	5.01%	0.93%	0.79%	2.73%	2.46%	1.71%	1.78%	1.33%	1.22%	2.18%	1.25%	1.10%	1.98%	0.84%	1.25%	1.40%	1.13%	0.49%	1.98%	1.27%	0.73%	3.62%	0.55%	2.47%	0.81%	1.41%	1.29%	1.52%	0.27%	2.07%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1699	1	1	9	0	8	18	13	21	12	10	14	31	19	13	12	6	22	22	23	26	36	14	10	16	9	18	15	15	46	12	20	28	12	21	18	16	14	15	14	18	16	25	4	10	12	21	24	24	14	19	15	26	21	17	16	12	6	25	24	19	14	27	29	9	13	51	75	8	19	20	21	2	26	38	7	30	11	20	20	2	10	16	13	15	3	7	12	21	7	35	5	14	10	18	23	50									
		2.97%	0.65%	2.70%	6.47%	0.00%	2.39%	3.09%	1.73%	2.91%	3.58%	2.43%	1.68%	3.79%	3.23%	2.06%	0.90%	1.17%	2.80%	2.85%	2.51%	3.55%	3.85%	3.41%	2.22%	4.04%	1.69%	3.30%	2.54%	2.12%	6.22%	2.91%	4.15%	3.20%	2.25%	4.92%	3.28%	3.64%	1.96%	2.56%	2.81%	2.78%	3.11%	2.87%	0.84%	2.07%	2.71%	3.77%	4.27%	3.61%	2.33%	2.68%	1.98%	3.10%	2.74%	3.19%	2.18%	2.44%	1.21%	4.15%	4.86%	3.29%	2.10%	4.44%	4.87%	2.24%	3.08%	5.49%	8.74%	1.86%	3.77%	2.60%	2.25%	1.71%	3.86%	4.21%	2.13%	3.63%	1.97%	2.19%	3.97%	0.28%	1.79%	1.49%	2.10%	1.82%	1.19%	1.27%	8.76%	3.46%	1.92%	4.56%	1.34%	3.29%	2.58%	2.48%	3.15%	5.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	116	1	2	0	2	1	1	2	2	0	0	0	1	2	0	3	6	1	0	2	1	4	2	0	1	0	1	1	0	0	0	1	8	0	0	1	1	0	7	0	0	0	4	1	0	0	0	0	0	1	0	1	0	1	4	1	0	2	0	1	2	2	2	2	1	0	2	2	0	0	1	0	0	0	1	0	0	4	0	0	6	2	3	3	0	1	0	1	1	2	1	0	0	1	1	1	4									
		0.20%	0.65%	5.41%	0.00%	0.92%	0.30%	0.17%	0.27%	0.28%	0.00%	0.00%	0.00%	0.12%	0.34%	0.00%	0.23%	1.17%	0.13%	0.00%	0.22%	0.14%	0.43%	0.49%	0.00%	0.25%	0.00%	0.18%	0.17%	0.00%	0.00%	0.00%	0.21%	0.92%	0.00%	0.00%	0.18%	0.23%	0.00%	1.19%	0.00%	0.00%	0.00%	0.46%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.13%	0.00%	0.13%	0.75%	0.14%	0.00%	0.40%	0.00%	0.20%	0.35%	0.30%	0.33%	0.34%	0.25%	0.00%	0.22%	0.23%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.72%	0.00%	0.00%	0.84%	0.36%	0.28%	0.48%	0.00%	0.40%	0.00%	0.73%	0.16%	0.55%	0.13%	0.00%	0.00%	0.26%	0.14%	0.14%	0.46%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3779	6	0	27	10	14	43	29	31	18	23	25	50	31	25	24	28	34	33	36	48	96	37	28	32	34	43	30	42	75	40	46	61	41	34	48	38	39	34	22	35	23	43	32	30	32	49	40	35	39	50	47	62	52	27	61	22	23	78	43	43	39	53	56	28	39	140	116	24	25	52	65	5	33	41	21	70	22	51	20	2	22	64	12	22	7	37	8	70	29	61	34	33	27	73	78	79									
		6.61%	3.90%	0.00%	19.42%	4.59%	4.18%	7.38%	3.85%	4.30%	5.37%	5.58%	2.99%	6.12%	5.26%	3.97%	1.81%	5.48%	4.32%	4.28%	3.93%	6.56%	10.27%	9.00%	6.22%	8.08%	6.37%	7.89%	5.08%	5.94%	10.14%	9.71%	9.54%	6.98%	7.68%	7.96%	8.74%	8.64%	5.47%	5.80%	4.42%	5.40%	4.47%	4.94%	6.71%	6.21%	7.24%	8.80%	7.12%	5.26%	6.48%	7.04%	6.21%	7.40%	6.79%	5.07%	8.30%	4.47%	4.63%	12.94%	8.70%	7.44%	5.86%	8.72%	9.41%	6.97%	9.24%	15.07%	13.52%	5.59%	4.96%	6.77%	6.95%	4.27%	4.90%	4.54%	6.40%	8.47%	3.94%	5.59%	3.97%	0.28%	3.94%	5.96%	1.94%	2.68%	2.77%	6.70%	5.84%	11.53%	7.95%	7.94%	9.14%	7.76%	6.96%	10.07%	10.67%	9.09%									
