Выборы Президента Российской Федерации																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																															
																																																																																															
Итоги голосования 																																																																																															
																																																																																															
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786					
11	Число полученных открепительных  удостоверений	2180	10	20	30	20	20	25	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	55	20	20	20	20	20	20	20	10	20	20	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	15	20	20	20	20	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	10	0	0	20	20	400	25	20	200	0					
12	Число выданных открепительных удостоверений	1384	4	18	19	18	8	22	22	8	17	12	17	18	13	20	20	15	0	6	14	13	10	50	11	10	14	10	7	9	6	6	6	13	9	9	8	3	18	7	6	12	10	11	7	14	13	20	18	6	14	14	9	6	9	8	9	5	5	3	7	12	11	6	8	10	7	12	3	9	5	4	11	5	4	5	0	3	4	0	5	0	0	17	15	345	24	13	150	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	856	6	30	10	12	11	12	15	8	11	11	14	17	9	31	18	7	1	18	12	4	9	10	10	8	14	17	5	15	10	5	2	3	7	9	3	4	8	8	17	9	5	7	5	11	17	12	13	14	33	4	14	8	6	4	6	6	6	3	7	3	8	8	4	10	6	6	5	2	5	6	14	0	4	3	1	37	12	2	5	10	12	6	7	1	12	5	17	34					
14	Число неиспользованных открепительных удостоверений	796	6	2	11	2	12	3	8	12	3	8	3	2	7	0	0	5	20	14	6	7	10	5	9	10	6	10	13	11	14	4	14	7	11	11	12	7	2	13	14	8	10	9	13	6	7	0	2	14	6	1	11	14	11	12	1	5	5	7	13	8	9	14	12	10	13	8	17	11	15	16	9	15	6	5	10	7	6	10	5	0	0	3	5	55	1	7	50	0					
15	"Число открепительных удостоверений, выданных в ТИК"	38	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																															
18	. Глазьев Сергей Юрьевич	3843	14	61	62	68	53	64	66	62	38	60	67	61	61	68	82	75	47	70	53	53	60	29	39	47	47	37	22	44	26	13	66	46	36	28	36	20	45	28	50	40	53	63	18	51	40	27	48	26	42	23	44	41	34	56	12	19	30	41	91	76	100	39	55	87	45	50	55	75	65	43	45	37	26	28	4	28	26	1	9	6	6	65	53	1	44	56	13	2					
		4.00%	4.58%	4.81%	4.73%	5.28%	4.45%	5.08%	4.89%	4.50%	2.92%	4.04%	4.47%	4.06%	4.41%	5.01%	5.40%	4.93%	5.42%	4.62%	3.85%	4.57%	4.44%	2.04%	3.71%	3.99%	3.94%	3.44%	2.50%	4.02%	3.68%	1.78%	4.59%	3.96%	3.48%	2.71%	2.99%	3.22%	3.87%	2.68%	4.04%	2.84%	4.65%	4.79%	2.51%	4.34%	3.29%	3.01%	3.82%	2.77%	3.64%	4.07%	4.69%	5.12%	3.96%	2.82%	1.41%	2.52%	4.53%	5.45%	6.61%	5.54%	7.77%	3.40%	4.80%	5.84%	4.09%	4.13%	4.48%	5.76%	6.07%	4.86%	3.99%	3.52%	3.03%	4.20%	1.66%	2.50%	2.55%	0.68%	3.03%	3.75%	4.65%	4.46%	3.89%	0.06%	3.24%	4.59%	0.77%	5.88%					
19	. Малышкин Олег Александрович	1669	7	14	23	14	16	21	17	25	30	23	29	17	25	23	16	24	16	26	23	16	21	29	9	26	31	23	7	14	14	9	34	24	16	21	27	6	23	21	20	27	31	20	19	19	20	13	22	11	24	9	28	8	21	19	15	14	10	15	29	22	22	16	24	32	17	28	28	24	30	16	16	37	20	15	2	25	15	5	5	6	1	24	30	3	24	12	15	1					
		1.74%	2.29%	1.10%	1.76%	1.09%	1.34%	1.67%	1.26%	1.81%	2.31%	1.55%	1.93%	1.13%	1.81%	1.70%	1.05%	1.58%	1.85%	1.72%	1.67%	1.38%	1.56%	2.04%	0.86%	2.21%	2.60%	2.14%	0.80%	1.28%	1.98%	1.23%	2.37%	2.06%	1.55%	2.03%	2.24%	0.97%	1.98%	2.01%	1.61%	1.91%	2.72%	1.52%	2.65%	1.62%	1.64%	1.45%	1.75%	1.17%	2.08%	1.59%	2.99%	1.00%	2.45%	0.96%	1.76%	1.86%	1.51%	1.99%	2.11%	1.60%	1.71%	1.40%	2.10%	2.15%	1.55%	2.31%	2.28%	1.84%	2.80%	1.81%	1.42%	3.52%	2.33%	2.25%	0.83%	2.23%	1.47%	3.40%	1.68%	3.75%	0.78%	1.65%	2.20%	0.18%	1.77%	0.98%	0.89%	2.94%					
20	. Миронов Сергей Михайлович	589	2	10	4	5	14	7	11	10	6	5	11	8	11	11	9	15	2	5	4	5	7	9	4	5	14	11	7	4	3	3	8	9	9	5	5	6	10	5	9	8	8	9	6	6	10	1	10	2	6	4	3	6	5	4	6	2	4	10	8	9	1	6	13	11	3	9	6	4	12	6	11	11	4	1	2	6	6	0	12	2	3	9	15	1	10	5	5	0					
		0.61%	0.65%	0.79%	0.31%	0.39%	1.18%	0.56%	0.81%	0.73%	0.46%	0.34%	0.73%	0.53%	0.79%	0.81%	0.59%	0.99%	0.23%	0.33%	0.29%	0.43%	0.52%	0.63%	0.38%	0.42%	1.17%	1.02%	0.80%	0.37%	0.42%	0.41%	0.56%	0.77%	0.87%	0.48%	0.41%	0.97%	0.86%	0.48%	0.73%	0.57%	0.70%	0.68%	0.84%	0.51%	0.82%	0.11%	0.80%	0.21%	0.52%	0.71%	0.32%	0.75%	0.58%	0.20%	0.70%	0.27%	0.60%	1.33%	0.58%	0.66%	0.08%	0.52%	1.14%	0.74%	0.27%	0.74%	0.49%	0.31%	1.12%	0.68%	0.98%	1.05%	0.47%	0.15%	0.83%	0.54%	0.59%	0.00%	4.04%	1.25%	2.33%	0.62%	1.10%	0.06%	0.74%	0.41%	0.30%	0.00%					
21	. Путин Владимир Владимирович	73716	223	924	935	937	869	925	968	984	982	1107	1094	1085	1002	964	1065	1082	633	1122	1063	913	1029	1188	826	901	886	803	678	844	579	598	1134	902	819	823	951	478	935	822	958	1089	876	1015	592	910	950	726	983	763	874	434	712	636	619	1706	744	604	512	551	998	1021	863	873	828	1055	791	862	905	930	754	633	887	806	698	537	214	930	830	121	217	125	96	1121	1025	1630	1091	950	1575	23					
		76.72%	72.88%	72.81%	71.37%	72.75%	73.03%	73.41%	71.70%	71.36%	75.48%	74.50%	72.98%	72.19%	72.40%	71.09%	70.16%	71.18%	73.01%	74.11%	77.25%	78.71%	76.22%	83.43%	78.59%	76.49%	74.20%	74.56%	77.05%	77.08%	81.90%	81.69%	78.91%	77.56%	79.21%	79.52%	78.86%	76.97%	80.46%	78.59%	77.32%	77.23%	76.91%	77.19%	82.57%	77.38%	78.06%	80.94%	78.20%	81.43%	75.67%	76.81%	75.91%	79.50%	72.14%	86.03%	87.22%	80.21%	77.34%	73.27%	72.48%	74.42%	67.06%	76.18%	72.31%	70.81%	71.97%	71.24%	73.70%	71.37%	70.47%	71.53%	78.70%	76.62%	81.45%	80.63%	88.80%	83.04%	81.53%	82.31%	73.06%	78.12%	74.42%	76.89%	75.15%	97.02%	80.46%	77.87%	93.14%	67.65%					
22	. Хакамада Ирина Муцуовна	7286	40	133	160	146	118	127	126	163	138	183	172	182	177	183	211	211	88	113	85	73	102	62	67	92	92	91	76	90	34	48	75	60	67	61	70	31	62	49	88	96	44	74	24	72	91	55	100	59	92	55	59	43	69	68	44	26	34	48	107	120	139	77	94	127	134	115	99	115	84	79	84	67	26	15	4	47	41	9	4	9	5	91	91	10	87	91	15	1					
		7.58%	13.07%	10.48%	12.21%	11.34%	9.92%	10.08%	9.33%	11.82%	10.61%	12.31%	11.47%	12.11%	12.79%	13.50%	13.90%	13.88%	10.15%	7.46%	6.18%	6.29%	7.56%	4.35%	6.37%	7.81%	7.71%	8.45%	8.64%	8.22%	4.81%	6.56%	5.22%	5.16%	6.48%	5.89%	5.80%	4.99%	5.34%	4.68%	7.10%	6.81%	3.86%	5.63%	3.35%	6.12%	7.48%	6.13%	7.96%	6.30%	7.97%	9.73%	6.29%	5.38%	8.04%	3.43%	5.16%	3.45%	5.14%	6.38%	7.77%	8.75%	10.80%	6.72%	8.21%	8.52%	12.19%	9.50%	8.06%	8.83%	7.85%	8.93%	7.45%	6.37%	3.03%	2.25%	1.66%	4.20%	4.03%	6.12%	1.35%	5.62%	3.88%	6.24%	6.67%	0.60%	6.42%	7.46%	0.89%	2.94%					
23	. Харитонов Николай Михайлович	5382	11	77	72	69	77	69	100	72	60	42	66	69	57	50	73	51	38	129	80	64	76	54	66	68	87	69	60	60	30	38	75	84	52	68	59	45	35	86	76	81	79	79	43	76	56	41	58	43	76	25	59	48	79	66	11	54	52	54	102	81	117	85	101	125	63	107	85	112	79	83	48	63	55	50	9	45	54	4	17	5	9	76	73	9	56	60	12	3					
		5.60%	3.59%	6.07%	5.50%	5.36%	6.47%	5.48%	7.41%	5.22%	4.61%	2.83%	4.40%	4.59%	4.12%	3.69%	4.81%	3.36%	4.38%	8.52%	5.81%	5.52%	5.63%	3.79%	6.28%	5.77%	7.29%	6.41%	6.82%	5.48%	4.24%	5.19%	5.22%	7.22%	5.03%	6.57%	4.89%	7.25%	3.01%	8.22%	6.13%	5.74%	6.94%	6.01%	6.00%	6.46%	4.60%	4.57%	4.61%	4.59%	6.58%	4.42%	6.29%	6.00%	9.21%	3.33%	1.29%	7.17%	7.85%	7.18%	7.41%	5.90%	9.09%	7.42%	8.82%	8.39%	5.73%	8.84%	6.92%	8.60%	7.38%	9.38%	4.26%	5.99%	6.42%	7.51%	3.73%	4.02%	5.30%	2.72%	5.72%	3.12%	6.98%	5.21%	5.35%	0.54%	4.13%	4.92%	0.71%	8.82%					
																																																																																															
24	Против всех	2735	7	32	47	44	34	37	53	58	45	57	50	71	49	50	58	55	37	40	46	21	40	39	23	27	31	27	22	34	10	12	32	25	27	25	31	24	36	19	31	55	41	29	7	32	42	25	31	23	36	9	33	16	21	49	19	24	19	22	31	38	38	37	25	40	36	33	40	31	40	22	29	22	14	10	1	19	24	4	6	5	4	53	77	13	35	38	27	4					
		2.85%	2.29%	2.52%	3.59%	3.42%	2.86%	2.94%	3.93%	4.21%	3.46%	3.84%	3.34%	4.72%	3.54%	3.69%	3.82%	3.62%	4.27%	2.64%	3.34%	1.81%	2.96%	2.74%	2.19%	2.29%	2.60%	2.51%	2.50%	3.11%	1.41%	1.64%	2.23%	2.15%	2.61%	2.42%	2.57%	3.86%	3.10%	1.82%	2.50%	3.90%	3.60%	2.21%	0.98%	2.72%	3.45%	2.79%	2.47%	2.45%	3.12%	1.59%	3.52%	2.00%	2.45%	2.47%	2.23%	3.19%	2.87%	2.93%	2.25%	2.77%	2.95%	3.23%	2.18%	2.68%	3.28%	2.73%	3.26%	2.38%	3.74%	2.49%	2.57%	2.09%	1.63%	1.50%	0.41%	1.70%	2.36%	2.72%	2.02%	3.12%	3.10%	3.64%	5.65%	0.77%	2.58%	3.11%	1.60%	11.76%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
