Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455									
		1.57%	0.46%	2.19%	1.88%	1.59%	3.53%	0.72%	2.18%	1.55%	0.00%	1.57%	1.30%	1.04%	1.21%	1.29%	1.17%	1.82%	2.19%	0.73%	0.38%	0.82%	1.57%	2.08%	1.89%	0.96%	0.39%	0.32%	2.73%	1.38%	0.76%	1.32%	0.87%	3.09%	3.03%	1.88%	1.32%	0.48%	1.22%	2.08%	1.62%	2.38%	1.01%	1.65%	2.43%	1.29%	2.94%	1.30%	2.39%	2.00%	1.24%	2.08%	0.60%	2.47%	1.29%	3.54%	2.09%	1.42%	2.07%	2.43%	1.08%	0.80%	1.43%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	1	1	1	0	0	0	2	0	0	2	0	0	0	2	1	1	0	0	4	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	3	1	0	1	0	3	0	1	1	0	0	1	2	1	0	1	1									
		0.13%	0.11%	0.12%	0.21%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.32%	0.20%	0.23%	0.00%	0.00%	0.76%	0.27%	0.17%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.15%	0.00%	0.00%	0.00%	0.26%	0.30%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.46%	0.33%	0.00%	0.20%	0.00%	0.57%	0.00%	0.21%	0.18%	0.00%	0.00%	0.20%	0.41%	0.17%	0.00%	0.20%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	774	14	30	6	9	4	13	24	18	13	17	4	10	10	15	17	10	17	3	7	12	15	12	9	4	5	6	18	24	11	8	2	9	9	9	15	12	14	15	6	21	16	14	15	20	22	12	9	18	27	15	9	9	20	13	8	16	11	16	9	1	17									
		2.43%	1.60%	3.65%	1.25%	2.05%	1.28%	1.86%	3.74%	3.48%	2.37%	2.66%	0.87%	2.07%	2.02%	2.42%	3.32%	2.27%	2.66%	1.10%	1.33%	3.30%	2.61%	3.13%	1.89%	1.29%	1.96%	0.96%	3.07%	3.69%	4.17%	1.75%	0.87%	2.32%	2.73%	2.41%	3.29%	1.94%	2.14%	2.23%	1.62%	3.13%	2.02%	1.93%	2.81%	3.68%	3.40%	3.91%	2.15%	3.60%	4.17%	2.84%	1.09%	1.85%	3.70%	2.55%	1.67%	3.25%	2.27%	2.78%	1.94%	0.20%	2.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3890	63	67	70	37	35	71	101	84	32	66	56	69	57	51	58	56	90	18	62	58	78	52	65	46	17	62	95	77	29	57	7	39	28	52	62	64	97	65	66	121	113	90	65	75	113	33	41	65	101	85	54	67	87	88	75	62	58	73	58	51	56									
		12.22%	7.21%	8.15%	14.58%	8.41%	11.22%	10.17%	15.73%	16.25%	5.83%	10.34%	12.15%	14.32%	11.54%	8.23%	11.33%	12.73%	14.08%	6.59%	11.76%	15.93%	13.59%	13.54%	13.63%	14.79%	6.67%	9.92%	16.18%	11.85%	10.98%	12.50%	3.04%	10.05%	8.48%	13.94%	13.60%	10.34%	14.83%	9.64%	17.84%	18.03%	14.27%	12.38%	12.17%	13.81%	17.47%	10.75%	9.79%	13.00%	15.61%	16.07%	6.51%	13.79%	16.08%	17.29%	15.66%	12.60%	11.98%	12.67%	12.47%	10.24%	8.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	189	2	2	3	0	3	1	5	8	0	8	2	0	6	3	4	2	1	1	1	3	5	2	9	3	0	5	5	2	2	0	0	2	0	3	2	3	5	6	2	6	6	2	7	3	3	0	1	2	1	6	3	8	1	3	0	3	3	9	7	2	2									
		0.59%	0.23%	0.24%	0.63%	0.00%	0.96%	0.14%	0.78%	1.55%	0.00%	1.25%	0.43%	0.00%	1.21%	0.48%	0.78%	0.45%	0.16%	0.37%	0.19%	0.82%	0.87%	0.52%	1.89%	0.96%	0.00%	0.80%	0.85%	0.31%	0.76%	0.00%	0.00%	0.52%	0.00%	0.80%	0.44%	0.48%	0.76%	0.89%	0.54%	0.89%	0.76%	0.28%	1.31%	0.55%	0.46%	0.00%	0.24%	0.40%	0.15%	1.13%	0.36%	1.65%	0.18%	0.59%	0.00%	0.61%	0.62%	1.56%	1.51%	0.40%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4122	69	76	69	40	44	67	94	74	70	81	47	54	68	85	73	61	68	34	41	46	78	58	50	26	21	67	95	84	39	58	20	78	44	48	39	101	113	53	45	118	141	125	83	52	105	33	52	65	85	105	88	96	83	75	56	83	89	62	61	36	51									
		12.95%	7.89%	9.25%	14.38%	9.09%	14.10%	9.60%	14.64%	14.31%	12.75%	12.70%	10.20%	11.20%	13.77%	13.71%	14.26%	13.86%	10.64%	12.45%	7.78%	12.64%	13.59%	15.10%	10.48%	8.36%	8.24%	10.72%	16.18%	12.92%	14.77%	12.72%	8.70%	20.10%	13.33%	12.87%	8.55%	16.32%	17.28%	7.86%	12.16%	17.59%	17.80%	17.19%	15.54%	9.58%	16.23%	10.75%	12.41%	13.00%	13.14%	19.85%	10.62%	19.75%	15.34%	14.73%	11.69%	16.87%	18.39%	10.76%	13.12%	7.23%	7.29%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
