Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Красноармейская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	697	87	102	115	145	132	34	43	39					
		6.07%	5.16%	6.32%	6.74%	8.89%	8.05%	2.96%	5.41%	3.11%					
22	"5. ""За Русь Святую"""	74	10	10	11	5	6	14	13	5					
		0.64%	0.59%	0.61%	0.64%	0.30%	0.36%	1.22%	1.63%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	1	6	6	3	1	3	1	3					
		0.20%	0.05%	0.37%	0.35%	0.18%	0.06%	0.26%	0.12%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	142	20	14	29	14	24	11	15	15					
		1.23%	1.18%	0.86%	1.70%	0.85%	1.46%	0.96%	1.88%	1.19%					
25	"8. ""Народно-республиканская партия России"""	24	5	7	2	2	2	0	0	6					
		0.20%	0.29%	0.43%	0.11%	0.12%	0.12%	0.0%	0.0%	0.47%					
26	"9. ""Российская экологическая партия ""Зеленые"""	56	10	6	10	6	7	4	7	6					
		0.48%	0.59%	0.37%	0.58%	0.36%	0.42%	0.34%	0.88%	0.47%					
27	"10. ""Аграрная партия России"""	247	38	39	23	39	35	26	12	35					
		2.15%	2.25%	2.41%	1.34%	2.39%	2.13%	2.27%	1.51%	2.79%					
28	"11. ""Истинные патриоты России"""	9	2	0	0	1	0	2	1	3					
		0.07%	0.11%	0.0%	0.0%	0.06%	0.0%	0.17%	0.12%	0.23%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	149	22	17	22	26	21	18	10	13					
		1.29%	1.30%	1.05%	1.29%	1.59%	1.28%	1.57%	1.25%	1.03%					
30	"13. ""Демократическая партия России"""	36	9	9	2	6	1	4	1	4					
		0.31%	0.53%	0.55%	0.11%	0.36%	0.06%	0.34%	0.12%	0.31%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	3	3	4	3	2	2	1	4					
		0.19%	0.17%	0.18%	0.23%	0.18%	0.12%	0.17%	0.12%	0.31%					
32	"15. ""Партия СЛОН"""	19	0	4	5	1	4	2	2	1					
		0.16%	0.0%	0.24%	0.29%	0.06%	0.24%	0.17%	0.25%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1931	314	245	295	339	306	145	87	200					
		16.84%	18.63%	15.18%	17.30%	20.79%	18.66%	12.66%	10.95%	15.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	11	0	1	1	2	2	1	2					
		0.17%	0.65%	0.0%	0.05%	0.06%	0.12%	0.17%	0.12%	0.15%					
35	"18. ""ЛДПР"""	983	125	143	98	111	145	139	112	110					
		8.57%	7.41%	8.86%	5.74%	6.80%	8.84%	12.13%	14.10%	8.77%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	121	17	18	22	18	17	11	6	12					
		1.05%	1.00%	1.11%	1.29%	1.10%	1.03%	0.96%	0.75%	0.95%					
37	"20. ""Политическая партия ""Единая Россия"""	3936	555	569	547	446	532	469	296	522					
		34.33%	32.93%	35.27%	32.08%	27.36%	32.45%	40.96%	37.27%	41.62%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	5	1	2	1	1	1	1					
		0.10%	0.0%	0.30%	0.05%	0.12%	0.06%	0.08%	0.12%	0.07%					
39	"22. ""Развитие предпринимательства"""	36	3	4	12	6	9	1	0	1					
		0.31%	0.17%	0.24%	0.70%	0.36%	0.54%	0.08%	0.0%	0.07%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1143	194	135	188	210	163	70	63	120					
		9.96%	11.51%	8.36%	11.02%	12.88%	9.94%	6.11%	7.93%	9.56%					
															
41	Против всех	688	108	110	122	87	89	79	36	57					
		6.00%	6.40%	6.81%	7.15%	5.33%	5.43%	6.89%	4.53%	4.54%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
