Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Балахтинская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №881	УИК №2279									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	448	30	20	20	20	20	20	5	5	5	15	5	20	5	5	25	17	2	2	5	5	18	2	2	12	3	25	2	2	5	18	5	2	25	5	5	2	12	5	5	5	15	20	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	9	8	4	7	15	2	0	0	0	4	0	3	1	0	8	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	3	1	4	3	2	0	2	2	1	0	5	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	18	1	2	2	7	2	0	1	2	1	1	0	0	0	28	1	2	1	0	0	0	1	2	0	2	2	0	1	0	2	1	1	4	3	1	1	0	0	1	1	3	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	356	21	12	16	13	5	18	5	5	5	11	5	17	4	5	17	17	2	2	5	5	15	2	2	11	3	25	0	2	5	18	2	1	21	2	3	2	10	3	4	5	10	18	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	120	13	4	4	6	14	8	0	0	0	0	0	5	1	3	6	7	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	16	1	1	0	11	0	1	3	2	5	0									
		1.37%	2.16%	1.10%	0.85%	2.01%	2.53%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	1.18%	3.30%	1.05%	2.71%	1.61%	0.00%	0.00%	1.50%	0.00%	0.00%	1.23%	0.00%	0.00%	0.45%	0.00%	0.00%	1.00%	0.00%	0.00%	4.44%	2.68%	1.30%	1.18%	0.00%	3.56%	0.00%	1.72%	3.30%	0.64%	1.44%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	388	29	12	102	13	22	19	4	3	2	9	1	14	2	3	15	14	0	0	7	5	13	0	1	12	0	11	4	0	1	4	6	1	18	0	3	1	8	2	2	2	9	12	2									
		4.45%	4.83%	3.31%	21.75%	4.36%	3.98%	4.16%	2.35%	3.70%	2.82%	3.93%	1.04%	4.75%	2.35%	3.30%	2.61%	5.43%	0.00%	0.00%	5.74%	3.76%	5.39%	0.00%	1.23%	5.48%	0.00%	2.46%	4.60%	0.00%	1.00%	1.86%	6.19%	2.22%	3.02%	0.00%	3.53%	1.43%	2.59%	2.41%	3.45%	2.20%	2.88%	3.46%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	199	11	10	12	9	7	11	2	1	2	6	1	4	4	0	25	9	2	1	1	4	8	0	1	1	1	2	1	1	4	1	3	1	8	2	2	4	7	6	1	1	9	6	7									
		2.28%	1.83%	2.75%	2.56%	3.02%	1.27%	2.41%	1.18%	1.23%	2.82%	2.62%	1.04%	1.36%	4.71%	0.00%	4.36%	3.49%	3.23%	5.88%	0.82%	3.01%	3.32%	0.00%	1.23%	0.46%	3.57%	0.45%	1.15%	2.04%	4.00%	0.47%	3.09%	2.22%	1.34%	2.60%	2.35%	5.71%	2.27%	7.23%	1.72%	1.10%	2.88%	1.73%	14.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4559	277	185	191	93	206	233	107	52	38	155	55	127	55	60	244	127	36	14	63	84	127	11	61	149	19	297	59	23	53	145	64	26	303	57	58	49	123	37	28	59	150	232	27									
		52.23%	46.09%	50.96%	40.72%	31.21%	37.25%	50.98%	62.94%	64.20%	53.52%	67.69%	57.29%	43.05%	64.71%	65.93%	42.51%	49.22%	58.06%	82.35%	51.64%	63.16%	52.70%	68.75%	75.31%	68.04%	67.86%	66.29%	67.82%	46.94%	53.00%	67.44%	65.98%	57.78%	50.75%	74.03%	68.24%	70.00%	39.81%	44.58%	48.28%	64.84%	48.08%	66.86%	56.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	2	2	3	1	5	0	0	2	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	4	0	0	0	2	0	0	0	3	1	0									
		0.46%	0.33%	0.55%	0.64%	0.34%	0.90%	0.00%	0.00%	2.47%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	1.05%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.47%	1.03%	0.00%	0.67%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.96%	0.29%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	1	2	1	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	1	0	2									
		0.25%	0.17%	0.28%	0.43%	0.34%	0.18%	0.00%	0.59%	2.47%	1.41%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.47%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.32%	0.00%	4.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1619	108	68	100	89	139	104	23	16	16	33	18	63	15	13	100	40	12	1	28	26	43	1	11	27	6	79	15	12	21	28	9	4	114	8	11	8	94	14	10	9	46	31	6									
		18.55%	17.97%	18.73%	21.32%	29.87%	25.14%	22.76%	13.53%	19.75%	22.54%	14.41%	18.75%	21.36%	17.65%	14.29%	17.42%	15.50%	19.35%	5.88%	22.95%	19.55%	17.84%	6.25%	13.58%	12.33%	21.43%	17.63%	17.24%	24.49%	21.00%	13.02%	9.28%	8.89%	19.10%	10.39%	12.94%	11.43%	30.42%	16.87%	17.24%	9.89%	14.74%	8.93%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	5	3	3	2	2	0	0	0	1	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	1	0	0	0	0									
		0.38%	0.83%	0.83%	0.64%	0.67%	0.36%	0.00%	0.00%	0.00%	1.41%	0.00%	1.04%	0.34%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	2.59%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	4	0	1	1	3	1	0	0	1	0	0	2	0	0	4	2	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	2	2	0									
		0.39%	0.67%	0.00%	0.21%	0.34%	0.54%	0.22%	0.00%	0.00%	1.41%	0.00%	0.00%	0.68%	0.00%	0.00%	0.70%	0.78%	0.00%	0.00%	0.00%	0.00%	1.24%	0.00%	0.00%	0.00%	3.57%	0.22%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.58%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1									
		0.23%	0.33%	0.00%	0.00%	0.34%	0.18%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.78%	0.00%	0.00%	1.64%	0.00%	1.24%	0.00%	0.00%	0.46%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	1.10%	0.64%	0.00%	2.08%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	2	2	2	0	9	0	0	0	0	0	0	1	0	0	7	4	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	1	1	0	1	1	0	0									
		0.46%	0.33%	0.55%	0.43%	0.00%	1.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	1.22%	1.55%	0.00%	0.00%	0.82%	0.00%	0.83%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.18%	0.00%	0.32%	1.20%	0.00%	1.10%	0.32%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1099	103	43	14	51	99	59	28	3	5	18	15	55	6	12	113	34	6	1	8	10	25	3	4	26	1	29	6	2	14	26	9	9	81	7	6	5	26	15	11	13	58	39	1									
		12.59%	17.14%	11.85%	2.99%	17.11%	17.90%	12.91%	16.47%	3.70%	7.04%	7.86%	15.63%	18.64%	7.06%	13.19%	19.69%	13.18%	9.68%	5.88%	6.56%	7.52%	10.37%	18.75%	4.94%	11.87%	3.57%	6.47%	6.90%	4.08%	14.00%	12.09%	9.28%	20.00%	13.57%	9.09%	7.06%	7.14%	8.41%	18.07%	18.97%	14.29%	18.59%	11.24%	2.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	239	27	15	16	17	26	11	2	1	2	0	2	13	1	0	27	4	1	0	3	0	6	0	0	0	0	9	0	2	1	3	3	0	13	0	0	0	6	4	1	1	9	13	0									
		2.74%	4.49%	4.13%	3.41%	5.70%	4.70%	2.41%	1.18%	1.23%	2.82%	0.00%	2.08%	4.41%	1.18%	0.00%	4.70%	1.55%	1.61%	0.00%	2.46%	0.00%	2.49%	0.00%	0.00%	0.00%	0.00%	2.01%	0.00%	4.08%	1.00%	1.40%	3.09%	0.00%	2.18%	0.00%	0.00%	0.00%	1.94%	4.82%	1.72%	1.10%	2.88%	3.75%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	150	11	9	5	3	7	4	1	1	0	3	1	6	1	0	13	6	4	0	4	1	6	0	0	1	0	12	0	8	4	6	1	0	10	1	3	2	4	0	1	1	5	5	0									
		1.72%	1.83%	2.48%	1.07%	1.01%	1.27%	0.88%	0.59%	1.23%	0.00%	1.31%	1.04%	2.03%	1.18%	0.00%	2.26%	2.33%	6.45%	0.00%	3.28%	0.75%	2.49%	0.00%	0.00%	0.46%	0.00%	2.68%	0.00%	16.33%	4.00%	2.79%	1.03%	0.00%	1.68%	1.30%	3.53%	2.86%	1.29%	0.00%	1.72%	1.10%	1.60%	1.44%	0.00%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
