Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																													
Дата голосования: 18.09.2016																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская"																																																																																													
																																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																													
																																																																																													
		Сумма	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1896	УИК №2035									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3360	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	60	60	40	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1331	14	3	10	14	16	20	20	8	16	13	14	12	13	12	15	6	4	10	18	76	16	10	11	13	24	19	1	12	16	22	18	11	13	19	21	21	23	17	15	10	6	26	8	14	9	7	7	15	16	20	21	9	17	33	12	20	19	10	13	16	32	20	14	15	20	21	11	28	19	7	9	17	26	16	17	6	12	25	32	43	17	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	783	18	6	16	70	9	15	10	13	7	6	14	6	4	6	8	4	22	12	8	10	10	6	0	11	14	14	12	10	8	17	7	8	17	8	11	6	10	10	6	4	6	7	8	10	12	9	15	9	4	6	8	11	15	13	10	6	7	3	13	3	5	0	5	10	11	5	11	13	0	13	5	8	5	6	8	6	8	7	8	7	8	6									
14	Число погашенных неиспользованных открепительных удостоверений	2029	26	37	30	26	24	20	20	32	24	27	26	28	27	28	25	34	36	30	22	4	24	30	29	27	16	21	39	28	24	18	22	29	27	21	19	19	17	23	25	30	34	14	32	26	31	33	33	25	24	20	19	31	23	7	28	40	21	30	27	24	8	20	26	25	20	19	29	12	21	33	51	23	14	24	23	34	28	15	28	17	23	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	154	0	1	0	2	3	2	2	0	1	3	2	0	1	1	2	1	1	1	1	23	6	2	0	2	0	0	0	1	3	3	0	0	2	0	0	0	2	2	2	2	1	0	1	2	0	0	1	1	3	0	1	1	3	1	1	10	3	2	2	4	2	0	0	2	0	1	4	3	3	0	3	2	6	2	1	1	0	0	1	7	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1740	38	14	12	21	36	30	19	26	11	16	25	17	40	19	19	22	16	15	33	37	18	26	22	59	48	35	6	15	21	21	15	10	28	24	11	28	32	16	12	9	20	17	7	20	21	26	18	13	14	9	21	26	16	8	25	24	13	15	21	24	23	32	17	18	24	26	10	25	21	24	11	20	23	28	22	17	14	23	12	37	29	4									
		3.48%	4.94%	4.50%	1.97%	3.04%	5.52%	4.09%	2.48%	5.88%	2.65%	3.15%	3.08%	3.65%	5.01%	3.13%	2.91%	3.85%	4.80%	3.04%	5.74%	2.23%	2.71%	3.83%	5.99%	7.60%	5.92%	4.65%	5.31%	3.09%	3.15%	3.18%	4.50%	4.07%	3.26%	3.27%	1.91%	4.52%	4.56%	2.65%	1.97%	2.31%	3.91%	3.29%	1.93%	2.81%	4.55%	4.46%	3.77%	2.56%	2.79%	1.58%	3.58%	5.45%	3.86%	1.57%	3.85%	3.14%	2.28%	2.36%	2.88%	3.35%	3.33%	5.11%	4.03%	3.33%	2.85%	3.41%	2.56%	2.83%	3.45%	3.33%	2.81%	2.73%	3.39%	3.66%	3.19%	3.35%	2.52%	3.25%	1.92%	2.96%	4.20%	2.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1632	14	10	16	20	24	23	30	16	16	10	36	15	21	19	27	17	6	22	21	36	40	22	6	14	20	22	3	18	29	24	11	14	34	30	24	29	27	26	16	20	16	19	15	35	14	26	19	19	25	10	28	17	5	22	21	32	13	17	24	16	20	31	12	8	16	20	11	19	18	13	13	29	21	25	28	15	21	19	18	26	23	5									
		3.27%	1.82%	3.22%	2.63%	2.90%	3.68%	3.14%	3.91%	3.62%	3.86%	1.97%	4.43%	3.22%	2.63%	3.13%	4.13%	2.98%	1.80%	4.45%	3.65%	2.17%	6.03%	3.24%	1.63%	1.80%	2.47%	2.93%	2.65%	3.70%	4.35%	3.63%	3.30%	5.69%	3.96%	4.09%	4.16%	4.68%	3.85%	4.30%	2.63%	5.14%	3.13%	3.68%	4.14%	4.92%	3.03%	4.46%	3.98%	3.74%	4.98%	1.76%	4.78%	3.56%	1.21%	4.32%	3.23%	4.18%	2.28%	2.68%	3.30%	2.23%	2.90%	4.95%	2.84%	1.48%	1.90%	2.62%	2.81%	2.15%	2.96%	1.81%	3.32%	3.96%	3.09%	3.26%	4.06%	2.96%	3.78%	2.68%	2.88%	2.08%	3.33%	3.68%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	926	20	6	12	17	8	16	17	4	3	3	15	8	13	13	15	9	4	12	16	13	15	15	7	18	13	10	0	10	10	13	11	1	13	15	17	14	12	11	10	8	15	12	7	13	9	10	7	4	18	13	15	13	7	8	14	11	17	14	13	14	13	11	6	10	15	9	3	13	9	10	8	9	16	15	18	11	15	10	3	19	18	4									
		1.85%	2.60%	1.93%	1.97%	2.46%	1.23%	2.18%	2.22%	0.90%	0.72%	0.59%	1.85%	1.72%	1.63%	2.14%	2.30%	1.58%	1.20%	2.43%	2.78%	0.78%	2.26%	2.21%	1.91%	2.32%	1.60%	1.33%	0.00%	2.06%	1.50%	1.97%	3.30%	0.41%	1.52%	2.05%	2.95%	2.26%	1.71%	1.82%	1.64%	2.06%	2.94%	2.33%	1.93%	1.83%	1.95%	1.72%	1.47%	0.79%	3.59%	2.29%	2.56%	2.73%	1.69%	1.57%	2.15%	1.44%	2.99%	2.20%	1.79%	1.95%	1.88%	1.76%	1.42%	1.85%	1.78%	1.18%	0.77%	1.47%	1.48%	1.39%	2.05%	1.23%	2.36%	1.96%	2.61%	2.17%	2.70%	1.41%	0.48%	1.52%	2.61%	2.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18171	236	99	240	277	172	233	217	137	167	186	259	145	298	220	205	180	102	161	198	1122	246	254	146	262	294	263	39	192	235	233	113	99	282	256	225	191	199	175	192	145	174	210	152	268	154	213	150	186	167	234	164	140	146	182	198	256	194	207	230	232	243	189	113	199	331	265	177	350	264	295	217	246	243	295	202	185	147	285	386	506	243	38									
		36.36%	30.69%	31.83%	39.41%	40.14%	26.38%	31.79%	28.29%	30.99%	40.24%	36.61%	31.90%	31.12%	37.34%	36.24%	31.39%	31.52%	30.63%	32.59%	34.43%	67.59%	37.10%	37.46%	39.78%	33.76%	36.25%	34.97%	34.51%	39.51%	35.23%	35.25%	33.93%	40.24%	32.87%	34.92%	38.99%	30.86%	28.39%	28.97%	31.53%	37.28%	34.05%	40.70%	41.99%	37.69%	33.33%	36.54%	31.45%	36.61%	33.27%	41.20%	27.99%	29.35%	35.27%	35.76%	30.46%	33.46%	34.09%	32.60%	31.59%	32.36%	35.22%	30.19%	26.78%	36.78%	39.31%	34.73%	45.27%	39.64%	43.35%	40.97%	55.50%	33.56%	35.79%	38.51%	29.32%	36.49%	26.44%	40.25%	61.86%	40.51%	35.22%	27.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	629	7	7	7	11	8	9	10	9	2	6	8	8	11	7	13	9	16	7	6	12	5	12	6	14	13	17	2	6	3	7	4	2	22	13	6	8	5	7	5	2	4	5	5	7	3	9	2	11	8	4	10	2	3	6	9	6	7	5	3	10	11	7	3	8	10	12	8	15	6	9	4	7	12	10	11	2	7	12	5	12	7	0									
		1.26%	0.91%	2.25%	1.15%	1.59%	1.23%	1.23%	1.30%	2.04%	0.48%	1.18%	0.99%	1.72%	1.38%	1.15%	1.99%	1.58%	4.80%	1.42%	1.04%	0.72%	0.75%	1.77%	1.63%	1.80%	1.60%	2.26%	1.77%	1.23%	0.45%	1.06%	1.20%	0.81%	2.56%	1.77%	1.04%	1.29%	0.71%	1.16%	0.82%	0.51%	0.78%	0.97%	1.38%	0.98%	0.65%	1.54%	0.42%	2.17%	1.59%	0.70%	1.71%	0.42%	0.72%	1.18%	1.38%	0.78%	1.23%	0.79%	0.41%	1.39%	1.59%	1.12%	0.71%	1.48%	1.19%	1.57%	2.05%	1.70%	0.99%	1.25%	1.02%	0.95%	1.77%	1.31%	1.60%	0.39%	1.26%	1.69%	0.80%	0.96%	1.01%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	124	3	0	0	3	7	1	0	2	2	3	1	2	2	2	2	1	1	0	3	3	0	2	2	2	3	1	0	0	4	0	0	0	9	0	2	2	1	0	2	1	0	3	1	1	0	6	2	0	1	1	1	0	2	2	2	1	0	3	0	1	0	4	0	0	3	2	2	2	0	1	0	0	0	3	3	4	1	2	0	1	0	0									
		0.25%	0.39%	0.00%	0.00%	0.43%	1.07%	0.14%	0.00%	0.45%	0.48%	0.59%	0.12%	0.43%	0.25%	0.33%	0.31%	0.18%	0.30%	0.00%	0.52%	0.18%	0.00%	0.29%	0.54%	0.26%	0.37%	0.13%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	1.05%	0.00%	0.35%	0.32%	0.14%	0.00%	0.33%	0.26%	0.00%	0.58%	0.28%	0.14%	0.00%	1.03%	0.42%	0.00%	0.20%	0.18%	0.17%	0.00%	0.48%	0.39%	0.31%	0.13%	0.00%	0.47%	0.00%	0.14%	0.00%	0.64%	0.00%	0.00%	0.36%	0.26%	0.51%	0.23%	0.00%	0.14%	0.00%	0.00%	0.00%	0.39%	0.44%	0.79%	0.18%	0.28%	0.00%	0.08%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8655	74	44	100	94	110	108	147	67	90	128	124	91	113	95	102	120	55	94	76	220	139	120	28	87	110	101	19	94	94	106	73	57	143	123	104	107	151	106	112	93	115	94	68	118	58	74	68	137	106	140	119	65	111	87	89	162	110	89	133	142	116	118	99	101	159	147	69	180	99	138	71	111	105	105	100	62	86	138	114	281	117	35									
		17.32%	9.62%	14.15%	16.42%	13.62%	16.87%	14.73%	19.17%	15.16%	21.69%	25.20%	15.27%	19.53%	14.16%	15.65%	15.62%	21.02%	16.52%	19.03%	13.22%	13.25%	20.97%	17.70%	7.63%	11.21%	13.56%	13.43%	16.81%	19.34%	14.09%	16.04%	21.92%	23.17%	16.67%	16.78%	18.02%	17.29%	21.54%	17.55%	18.39%	23.91%	22.50%	18.22%	18.78%	16.60%	12.55%	12.69%	14.26%	26.97%	21.12%	24.65%	20.31%	13.63%	26.81%	17.09%	13.69%	21.18%	19.33%	14.02%	18.27%	19.80%	16.81%	18.85%	23.46%	18.67%	18.88%	19.27%	17.65%	20.39%	16.26%	19.17%	18.16%	15.14%	15.46%	13.71%	14.51%	12.23%	15.47%	19.49%	18.27%	22.50%	16.96%	25.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	766	19	7	9	20	19	15	15	17	1	3	17	8	18	8	15	9	12	12	13	9	13	15	13	10	18	19	6	13	12	3	3	3	19	6	4	8	3	8	6	8	4	8	4	8	6	20	8	4	4	8	12	10	4	7	3	14	6	12	5	11	10	7	6	12	11	14	2	9	4	7	1	7	5	7	14	8	5	10	4	15	14	0									
		1.53%	2.47%	2.25%	1.48%	2.90%	2.91%	2.05%	1.96%	3.85%	0.24%	0.59%	2.09%	1.72%	2.26%	1.32%	2.30%	1.58%	3.60%	2.43%	2.26%	0.54%	1.96%	2.21%	3.54%	1.29%	2.22%	2.53%	5.31%	2.67%	1.80%	0.45%	0.90%	1.22%	2.21%	0.82%	0.69%	1.29%	0.43%	1.32%	0.99%	2.06%	0.78%	1.55%	1.10%	1.13%	1.30%	3.43%	1.68%	0.79%	0.80%	1.41%	2.05%	2.10%	0.97%	1.38%	0.46%	1.83%	1.05%	1.89%	0.69%	1.53%	1.45%	1.12%	1.42%	2.22%	1.31%	1.83%	0.51%	1.02%	0.66%	0.97%	0.26%	0.95%	0.74%	0.91%	2.03%	1.58%	0.90%	1.41%	0.64%	1.20%	2.03%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	720	22	7	7	9	19	19	6	11	2	11	17	5	24	6	12	5	5	3	12	5	5	10	8	18	28	20	1	3	11	12	3	1	18	8	11	12	17	8	6	2	6	4	2	7	11	19	7	2	5	4	11	6	3	10	8	6	6	13	17	5	4	10	4	5	9	10	3	9	7	4	1	9	4	10	6	5	5	8	4	18	24	0									
		1.44%	2.86%	2.25%	1.15%	1.30%	2.91%	2.59%	0.78%	2.49%	0.48%	2.17%	2.09%	1.07%	3.01%	0.99%	1.84%	0.88%	1.50%	0.61%	2.09%	0.30%	0.75%	1.47%	2.18%	2.32%	3.45%	2.66%	0.88%	0.62%	1.65%	1.82%	0.90%	0.41%	2.10%	1.09%	1.91%	1.94%	2.43%	1.32%	0.99%	0.51%	1.17%	0.78%	0.55%	0.98%	2.38%	3.26%	1.47%	0.39%	0.99%	0.70%	1.88%	1.26%	0.72%	1.96%	1.23%	0.78%	1.05%	2.05%	2.34%	0.70%	0.58%	1.60%	0.95%	0.92%	1.07%	1.31%	0.77%	1.02%	1.15%	0.56%	0.26%	1.23%	0.59%	1.31%	0.87%	0.99%	0.90%	1.13%	0.64%	1.44%	3.48%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	43	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	1	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	2	0	0	1	0	2	0	1	2	0	0	1	1	0	1	0	3	0	0	1	2	1	1	1									
		0.09%	0.13%	0.00%	0.16%	0.00%	0.00%	0.27%	0.00%	0.23%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.12%	0.27%	0.00%	0.00%	0.15%	0.00%	0.30%	0.41%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.28%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.24%	0.20%	0.15%	0.13%	0.00%	0.00%	0.27%	0.00%	0.00%	0.16%	0.00%	0.37%	0.00%	0.13%	0.51%	0.00%	0.00%	0.14%	0.26%	0.00%	0.15%	0.00%	0.44%	0.00%	0.00%	0.14%	0.32%	0.08%	0.14%	0.74%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1675	50	24	27	22	40	52	22	29	3	13	32	19	24	20	26	26	20	12	15	20	8	19	37	43	42	54	9	19	21	12	6	10	65	19	11	16	20	21	19	7	11	7	8	27	23	20	22	12	9	2	15	32	12	18	14	26	22	14	15	18	19	24	19	13	15	32	7	20	21	22	4	23	26	23	31	12	18	18	4	22	19	2									
		3.35%	6.50%	7.72%	4.43%	3.19%	6.13%	7.09%	2.87%	6.56%	0.72%	2.56%	3.94%	4.08%	3.01%	3.29%	3.98%	4.55%	6.01%	2.43%	2.61%	1.20%	1.21%	2.80%	10.08%	5.54%	5.18%	7.18%	7.96%	3.91%	3.15%	1.82%	1.80%	4.07%	7.58%	2.59%	1.91%	2.58%	2.85%	3.48%	3.12%	1.80%	2.15%	1.36%	2.21%	3.80%	4.98%	3.43%	4.61%	2.36%	1.79%	0.35%	2.56%	6.71%	2.90%	3.54%	2.15%	3.40%	3.87%	2.20%	2.06%	2.51%	2.75%	3.83%	4.50%	2.40%	1.78%	4.19%	1.79%	2.27%	3.45%	3.06%	1.02%	3.14%	3.83%	3.00%	4.50%	2.37%	3.24%	2.54%	0.64%	1.76%	2.75%	1.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10752	240	70	130	150	165	161	224	87	91	107	203	93	169	146	154	111	74	112	118	119	117	130	72	168	163	163	17	95	161	177	76	38	150	181	110	164	176	170	165	83	107	103	72	146	121	128	133	88	101	95	129	124	74	118	205	163	143	176	191	179	177	147	97	111	172	156	65	138	95	134	38	176	153	181	181	130	165	110	34	211	147	38									
		21.52%	31.21%	22.51%	21.35%	21.74%	25.31%	21.96%	29.20%	19.68%	21.93%	21.06%	25.00%	19.96%	21.18%	24.05%	23.58%	19.44%	22.22%	22.67%	20.52%	7.17%	17.65%	19.17%	19.62%	21.65%	20.10%	21.68%	15.04%	19.55%	24.14%	26.78%	22.82%	15.45%	17.48%	24.69%	19.06%	26.49%	25.11%	28.15%	27.09%	21.34%	20.94%	19.96%	19.89%	20.53%	26.19%	21.96%	27.88%	17.32%	20.12%	16.73%	22.01%	25.99%	17.87%	23.18%	31.54%	21.31%	25.13%	27.72%	26.24%	24.97%	25.65%	23.48%	22.99%	20.52%	20.43%	20.45%	16.62%	15.63%	15.60%	18.61%	9.72%	24.01%	22.53%	23.63%	26.27%	25.64%	29.68%	15.54%	5.45%	16.89%	21.30%	27.94%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	217	1	0	6	1	0	0	3	2	3	1	6	3	2	3	6	4	0	2	3	9	5	2	2	9	4	2	0	2	1	3	1	0	5	1	7	1	0	3	8	0	3	4	0	3	3	0	3	2	1	2	5	0	1	5	0	7	1	2	1	3	1	1	4	2	7	5	1	3	2	0	2	1	5	2	3	3	1	0	3	10	4	0									
		0.43%	0.13%	0.00%	0.99%	0.14%	0.00%	0.00%	0.39%	0.45%	0.72%	0.20%	0.74%	0.64%	0.25%	0.49%	0.92%	0.70%	0.00%	0.40%	0.52%	0.54%	0.75%	0.29%	0.54%	1.16%	0.49%	0.27%	0.00%	0.41%	0.15%	0.45%	0.30%	0.00%	0.58%	0.14%	1.21%	0.16%	0.00%	0.50%	1.31%	0.00%	0.59%	0.78%	0.00%	0.42%	0.65%	0.00%	0.63%	0.39%	0.20%	0.35%	0.85%	0.00%	0.24%	0.98%	0.00%	0.92%	0.18%	0.31%	0.14%	0.42%	0.14%	0.16%	0.95%	0.37%	0.83%	0.66%	0.26%	0.34%	0.33%	0.00%	0.51%	0.14%	0.74%	0.26%	0.44%	0.59%	0.18%	0.00%	0.48%	0.80%	0.58%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2892	37	21	30	36	37	54	31	25	16	15	58	45	58	38	46	54	18	33	49	32	40	40	9	61	39	38	7	13	47	46	13	6	45	38	28	31	51	45	47	6	29	21	13	42	27	24	27	21	25	19	39	27	19	24	51	47	25	47	46	53	37	31	27	42	49	40	24	74	40	48	7	71	55	49	45	39	48	60	14	51	29	3									
		5.79%	4.81%	6.75%	4.93%	5.22%	5.67%	7.37%	4.04%	5.66%	3.86%	2.95%	7.14%	9.66%	7.27%	6.26%	7.04%	9.46%	5.41%	6.68%	8.52%	1.93%	6.03%	5.90%	2.45%	7.86%	4.81%	5.05%	6.19%	2.67%	7.05%	6.96%	3.90%	2.44%	5.24%	5.18%	4.85%	5.01%	7.28%	7.45%	7.72%	1.54%	5.68%	4.07%	3.59%	5.91%	5.84%	4.12%	5.66%	4.13%	4.98%	3.35%	6.66%	5.66%	4.59%	4.72%	7.85%	6.14%	4.39%	7.40%	6.32%	7.39%	5.36%	4.95%	6.40%	7.76%	5.82%	5.24%	6.14%	8.38%	6.57%	6.67%	1.79%	9.69%	8.10%	6.40%	6.53%	7.69%	8.63%	8.47%	2.24%	4.08%	4.20%	2.21%									
																																																																																													
																																																																																													
