Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Дзержинская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  5175	УИК  5176	УИК  5177	УИК  5178	УИК  5179	УИК  5180					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	369	21	4	12	2	2	3	1	5	4	1	4	0	0	1	18	3	5	2	8	6	2	11	4	7	9	5	4	2	7	9	8	2	1	11	5	6	4	10	0	0	0	2	20	47	30	37	12	12					
		1.00%	1.40%	2.33%	0.88%	1.06%	1.37%	1.42%	1.16%	3.33%	2.46%	0.30%	2.0%	0.0%	0.0%	1.51%	1.33%	0.56%	4.90%	1.01%	2.99%	1.89%	1.52%	0.99%	0.36%	0.73%	0.75%	0.85%	0.38%	0.50%	0.76%	0.92%	0.77%	0.21%	0.09%	1.09%	0.47%	0.97%	0.77%	2.25%	0.0%	0.0%	0.0%	1.72%	1.15%	1.39%	1.29%	0.84%	2.04%	1.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	915	23	3	14	2	2	4	0	2	2	1	8	0	8	0	39	13	1	7	1	6	2	25	36	34	41	26	30	12	18	30	24	36	78	63	69	15	28	3	2	12	3	0	23	50	39	63	10	7					
		2.50%	1.54%	1.75%	1.03%	1.06%	1.37%	1.89%	0.0%	1.33%	1.23%	0.30%	4.0%	0.0%	2.57%	0.0%	2.89%	2.45%	0.98%	3.53%	0.37%	1.89%	1.52%	2.25%	3.24%	3.57%	3.41%	4.42%	2.86%	3.03%	1.97%	3.08%	2.32%	3.82%	7.39%	6.24%	6.55%	2.44%	5.39%	0.67%	1.03%	4.34%	2.32%	0.0%	1.33%	1.48%	1.68%	1.44%	1.70%	0.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	844	44	4	49	2	4	3	1	2	9	7	4	5	18	2	33	16	0	2	14	8	8	25	22	29	40	22	24	16	25	39	28	31	19	38	17	17	21	3	0	7	5	7	12	46	29	62	12	13					
		2.30%	2.94%	2.33%	3.60%	1.06%	2.75%	1.42%	1.16%	1.33%	5.55%	2.14%	2.0%	6.75%	5.78%	3.03%	2.45%	3.01%	0.0%	1.01%	5.24%	2.53%	6.10%	2.25%	1.98%	3.04%	3.33%	3.74%	2.29%	4.05%	2.74%	4.00%	2.71%	3.29%	1.80%	3.76%	1.61%	2.76%	4.04%	0.67%	0.0%	2.53%	3.87%	6.03%	0.69%	1.36%	1.25%	1.41%	2.04%	1.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	833	26	2	22	1	6	2	0	2	1	2	5	1	2	1	51	15	0	0	8	6	3	31	38	34	38	22	39	18	34	40	37	31	45	43	42	26	18	1	3	3	3	0	13	32	21	44	7	14					
		2.27%	1.74%	1.16%	1.62%	0.53%	4.13%	0.94%	0.0%	1.33%	0.61%	0.61%	2.5%	1.35%	0.64%	1.51%	3.79%	2.83%	0.0%	0.0%	2.99%	1.89%	2.29%	2.79%	3.42%	3.57%	3.16%	3.74%	3.72%	4.55%	3.72%	4.10%	3.58%	3.29%	4.26%	4.26%	3.99%	4.23%	3.46%	0.22%	1.55%	1.08%	2.32%	0.0%	0.75%	0.95%	0.90%	1.00%	1.19%	1.92%					
22	"5. ""За Русь Святую"""	236	7	0	12	0	1	0	0	0	1	1	1	0	6	0	17	11	0	0	1	4	2	3	6	5	8	1	7	0	2	7	14	3	3	7	4	7	4	0	0	6	0	0	6	25	19	26	5	4					
		0.64%	0.46%	0.0%	0.88%	0.0%	0.68%	0.0%	0.0%	0.0%	0.61%	0.30%	0.5%	0.0%	1.92%	0.0%	1.26%	2.07%	0.0%	0.0%	0.37%	1.26%	1.52%	0.27%	0.54%	0.52%	0.66%	0.17%	0.66%	0.0%	0.21%	0.71%	1.35%	0.31%	0.28%	0.69%	0.38%	1.14%	0.77%	0.0%	0.0%	2.17%	0.0%	0.0%	0.34%	0.74%	0.82%	0.59%	0.85%	0.55%					
23	"6. ""Объединенная Российская партия ""Русь"""	96	6	1	7	0	2	0	0	1	1	2	0	0	0	0	3	0	0	1	0	1	0	2	3	1	3	4	3	0	2	1	2	0	3	0	6	1	2	1	0	1	4	0	5	3	6	13	2	3					
		0.26%	0.40%	0.58%	0.51%	0.0%	1.37%	0.0%	0.0%	0.66%	0.61%	0.61%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.50%	0.0%	0.31%	0.0%	0.18%	0.27%	0.10%	0.25%	0.68%	0.28%	0.0%	0.21%	0.10%	0.19%	0.0%	0.28%	0.0%	0.57%	0.16%	0.38%	0.22%	0.0%	0.36%	3.10%	0.0%	0.28%	0.08%	0.25%	0.29%	0.34%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	185	6	0	12	1	1	0	0	0	1	1	4	0	1	0	10	4	0	0	2	0	0	8	6	10	6	6	11	2	5	1	14	9	16	10	14	6	2	0	1	0	0	1	7	4	1	2	0	0					
		0.50%	0.40%	0.0%	0.88%	0.53%	0.68%	0.0%	0.0%	0.0%	0.61%	0.30%	2.0%	0.0%	0.32%	0.0%	0.74%	0.75%	0.0%	0.0%	0.74%	0.0%	0.0%	0.72%	0.54%	1.05%	0.50%	1.02%	1.04%	0.50%	0.54%	0.10%	1.35%	0.95%	1.51%	0.99%	1.33%	0.97%	0.38%	0.0%	0.51%	0.0%	0.0%	0.86%	0.40%	0.11%	0.04%	0.04%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	38	1	0	6	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	2	1	1	1	1	0	0	1	0	0	2	1	4	2	5	0	2					
		0.10%	0.06%	0.0%	0.44%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.10%	0.08%	0.0%	0.0%	0.25%	0.0%	0.0%	0.09%	0.21%	0.09%	0.09%	0.09%	0.16%	0.0%	0.0%	0.51%	0.0%	0.0%	1.72%	0.05%	0.11%	0.08%	0.11%	0.0%	0.27%					
26	"9. ""Российская экологическая партия ""Зеленые"""	105	9	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	1	0	7	4	3	3	0	4	0	2	4	2	1	9	4	2	0	1	1	0	0	0	0	4	10	8	14	3	3					
		0.28%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	1.35%	0.0%	0.0%	0.22%	0.18%	0.0%	0.0%	0.0%	0.31%	0.0%	0.63%	0.36%	0.31%	0.25%	0.0%	0.38%	0.0%	0.21%	0.41%	0.19%	0.10%	0.85%	0.39%	0.19%	0.0%	0.19%	0.22%	0.0%	0.0%	0.0%	0.0%	0.23%	0.29%	0.34%	0.32%	0.51%	0.41%					
27	"10. ""Аграрная партия России"""	2039	39	3	32	13	6	5	9	8	19	71	11	1	31	7	83	68	5	12	16	28	6	30	51	21	29	20	36	5	41	33	56	48	31	38	32	24	18	14	5	22	12	5	37	267	167	399	49	76					
		5.57%	2.61%	1.75%	2.35%	6.91%	4.13%	2.36%	10.46%	5.33%	11.72%	21.77%	5.5%	1.35%	9.96%	10.60%	6.17%	12.83%	4.90%	6.06%	5.99%	8.86%	4.58%	2.70%	4.59%	2.20%	2.41%	3.40%	3.43%	1.26%	4.49%	3.38%	5.42%	5.10%	2.93%	3.76%	3.04%	3.90%	3.46%	3.15%	2.59%	7.97%	9.30%	4.31%	2.14%	7.95%	7.22%	9.12%	8.34%	10.45%					
28	"11. ""Истинные патриоты России"""	45	3	0	0	0	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	3	0	2	0	1	1	1	0	1	1	1	1	4	2	1	0	0	0	0	1	0	2	3	7	3	0	0					
		0.12%	0.20%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.66%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.22%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.21%	0.0%	0.17%	0.09%	0.25%	0.0%	0.10%	0.09%	0.10%	0.09%	0.39%	0.19%	0.16%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.11%	0.08%	0.30%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	497	13	0	14	2	7	0	1	3	2	4	5	0	6	0	10	3	1	0	0	1	0	16	17	13	19	4	17	4	16	8	16	13	19	20	9	12	8	2	2	4	2	0	25	69	36	50	16	8					
		1.35%	0.87%	0.0%	1.03%	1.06%	4.82%	0.0%	1.16%	2.0%	1.23%	1.22%	2.5%	0.0%	1.92%	0.0%	0.74%	0.56%	0.98%	0.0%	0.0%	0.31%	0.0%	1.44%	1.53%	1.36%	1.58%	0.68%	1.62%	1.01%	1.75%	0.82%	1.55%	1.38%	1.80%	1.98%	0.85%	1.95%	1.54%	0.45%	1.03%	1.44%	1.55%	0.0%	1.44%	2.05%	1.55%	1.14%	2.72%	1.10%					
30	"13. ""Демократическая партия России"""	75	4	1	1	1	0	0	0	2	1	1	0	0	0	0	1	2	0	0	0	0	0	3	1	1	3	2	1	0	4	0	2	4	3	4	3	2	2	0	1	1	0	0	2	2	7	11	2	0					
		0.20%	0.26%	0.58%	0.07%	0.53%	0.0%	0.0%	0.0%	1.33%	0.61%	0.30%	0.0%	0.0%	0.0%	0.0%	0.07%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.09%	0.10%	0.25%	0.34%	0.09%	0.0%	0.43%	0.0%	0.19%	0.42%	0.28%	0.39%	0.28%	0.32%	0.38%	0.0%	0.51%	0.36%	0.0%	0.0%	0.11%	0.05%	0.30%	0.25%	0.34%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	82	1	1	7	0	0	0	0	0	2	1	1	0	0	0	8	1	0	0	1	2	0	4	0	3	1	4	1	1	1	1	1	1	0	2	3	0	1	1	0	0	0	0	8	4	13	5	0	2					
		0.22%	0.06%	0.58%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.30%	0.5%	0.0%	0.0%	0.0%	0.59%	0.18%	0.0%	0.0%	0.37%	0.63%	0.0%	0.36%	0.0%	0.31%	0.08%	0.68%	0.09%	0.25%	0.10%	0.10%	0.09%	0.10%	0.0%	0.19%	0.28%	0.0%	0.19%	0.22%	0.0%	0.0%	0.0%	0.0%	0.46%	0.11%	0.56%	0.11%	0.0%	0.27%					
32	"15. ""Партия СЛОН"""	59	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	1	1	0	3	1	5	12	0	0	2	2	1	5	2	0	2	1	1	0	0	0	0	0	1	3	1	1	0					
		0.16%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.18%	0.0%	0.50%	0.0%	0.0%	0.76%	0.09%	0.0%	0.31%	0.08%	0.85%	1.14%	0.0%	0.0%	0.20%	0.19%	0.10%	0.47%	0.19%	0.0%	0.32%	0.19%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.02%	0.12%	0.02%	0.17%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4011	147	10	202	13	7	23	3	5	7	15	18	8	16	3	110	51	6	2	23	25	6	125	104	111	126	36	103	35	78	57	69	137	141	150	146	53	47	20	20	13	6	2	141	496	392	591	60	52					
		10.96%	9.85%	5.84%	14.87%	6.91%	4.82%	10.90%	3.48%	3.33%	4.32%	4.60%	9.0%	10.81%	5.14%	4.54%	8.17%	9.62%	5.88%	1.01%	8.61%	7.91%	4.58%	11.27%	9.37%	11.65%	10.50%	6.12%	9.82%	8.86%	8.55%	5.85%	6.68%	14.55%	13.36%	14.86%	13.87%	8.63%	9.05%	4.50%	10.36%	4.71%	4.65%	1.72%	8.15%	14.77%	16.94%	13.51%	10.22%	7.15%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	85	2	1	3	0	0	2	1	2	0	0	1	0	0	0	4	0	2	0	1	3	1	1	0	1	1	0	3	0	1	3	4	0	7	0	4	3	1	0	0	3	1	0	11	3	5	7	1	2					
		0.23%	0.13%	0.58%	0.22%	0.0%	0.0%	0.94%	1.16%	1.33%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	0.29%	0.0%	1.96%	0.0%	0.37%	0.94%	0.76%	0.09%	0.0%	0.10%	0.08%	0.0%	0.28%	0.0%	0.10%	0.30%	0.38%	0.0%	0.66%	0.0%	0.38%	0.48%	0.19%	0.0%	0.0%	1.08%	0.77%	0.0%	0.63%	0.08%	0.21%	0.16%	0.17%	0.27%					
35	"18. ""ЛДПР"""	5476	193	36	166	21	18	13	8	11	29	22	31	13	38	4	216	63	7	27	27	40	20	174	140	140	174	77	150	55	109	93	109	111	138	124	152	102	71	36	11	42	12	15	431	584	410	763	128	122					
		14.96%	12.93%	21.05%	12.22%	11.17%	12.41%	6.16%	9.30%	7.33%	17.90%	6.74%	15.5%	17.56%	12.21%	6.06%	16.05%	11.88%	6.86%	13.63%	10.11%	12.65%	15.26%	15.68%	12.62%	14.70%	14.51%	13.09%	14.31%	13.92%	11.95%	9.54%	10.56%	11.79%	13.08%	12.28%	14.44%	16.61%	13.68%	8.10%	5.69%	15.21%	9.30%	12.93%	24.94%	17.39%	17.72%	17.44%	21.80%	16.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	582	23	2	33	11	0	0	1	9	1	3	3	1	3	0	29	2	5	4	8	2	5	14	26	20	30	15	24	13	13	16	14	12	14	18	15	13	9	5	2	8	0	0	16	30	37	52	12	9					
		1.59%	1.54%	1.16%	2.43%	5.85%	0.0%	0.0%	1.16%	6.0%	0.61%	0.92%	1.5%	1.35%	0.96%	0.0%	2.15%	0.37%	4.90%	2.02%	2.99%	0.63%	3.81%	1.26%	2.34%	2.10%	2.50%	2.55%	2.29%	3.29%	1.42%	1.64%	1.35%	1.27%	1.32%	1.78%	1.42%	2.11%	1.73%	1.12%	1.03%	2.89%	0.0%	0.0%	0.92%	0.89%	1.59%	1.18%	2.04%	1.23%					
37	"20. ""Политическая партия ""Единая Россия"""	14161	519	70	491	104	61	145	51	64	47	143	57	40	126	39	400	165	33	112	120	112	51	424	399	354	412	207	396	144	411	397	440	285	319	262	321	155	158	299	134	91	56	66	811	1355	876	1889	203	347					
		38.71%	34.78%	40.93%	36.15%	55.31%	42.06%	68.72%	59.30%	42.66%	29.01%	43.86%	28.5%	54.05%	40.51%	59.09%	29.73%	31.13%	32.35%	56.56%	44.94%	35.44%	38.93%	38.23%	35.97%	37.18%	34.36%	35.20%	37.78%	36.45%	45.06%	40.75%	42.63%	30.28%	30.23%	25.96%	30.51%	25.24%	30.44%	67.34%	69.43%	32.97%	43.41%	56.89%	46.93%	40.35%	37.87%	43.18%	34.58%	47.73%					
38	"21. ""Российская Конституционно-демократическая партия"""	50	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	1	0	2	1	1	0	0	1	2	0	1	2	3	3	0	3	0	0	2	0	1	0	1	0	0	6	3	4	3	2	1					
		0.13%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.07%	0.18%	0.0%	0.50%	0.0%	0.63%	0.76%	0.09%	0.0%	0.0%	0.08%	0.34%	0.0%	0.25%	0.21%	0.30%	0.29%	0.0%	0.28%	0.0%	0.0%	0.32%	0.0%	0.22%	0.0%	0.36%	0.0%	0.0%	0.34%	0.08%	0.17%	0.06%	0.34%	0.13%					
39	"22. ""Развитие предпринимательства"""	69	4	0	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	6	3	2	4	4	0	4	2	1	4	4	2	2	0	0	0	1	2	0	0	4	4	4	3	0	0					
		0.18%	0.26%	0.0%	0.22%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.07%	0.0%	0.0%	0.50%	0.0%	0.0%	0.76%	0.09%	0.54%	0.31%	0.16%	0.68%	0.38%	0.0%	0.43%	0.20%	0.09%	0.42%	0.37%	0.19%	0.19%	0.0%	0.0%	0.0%	0.51%	0.72%	0.0%	0.0%	0.23%	0.11%	0.17%	0.06%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3834	250	21	177	11	22	8	9	25	21	29	30	1	38	7	203	74	32	22	24	46	19	108	167	90	156	82	112	61	85	168	122	146	86	100	111	109	73	35	7	31	16	13	95	253	169	277	50	43					
		10.48%	16.75%	12.28%	13.03%	5.85%	15.17%	3.79%	10.46%	16.66%	12.96%	8.89%	15.0%	1.35%	12.21%	10.60%	15.09%	13.96%	31.37%	11.11%	8.98%	14.55%	14.50%	9.73%	15.05%	9.45%	13.01%	13.94%	10.68%	15.44%	9.32%	17.24%	11.82%	15.51%	8.15%	9.91%	10.55%	17.75%	14.06%	7.88%	3.62%	11.23%	12.40%	11.20%	5.49%	7.53%	7.30%	6.33%	8.51%	5.91%					
																																																							
41	Против всех	1463	112	7	71	3	2	2	0	6	9	13	11	3	18	1	76	22	5	4	5	11	2	72	61	54	84	36	58	21	40	44	54	52	101	87	78	45	35	11	3	19	4	1	46	29	15	24	5	1					
		3.99%	7.50%	4.09%	5.22%	1.59%	1.37%	0.94%	0.0%	4.0%	5.55%	3.98%	5.5%	4.05%	5.78%	1.51%	5.65%	4.15%	4.90%	2.02%	1.87%	3.48%	1.52%	6.49%	5.50%	5.67%	7.00%	6.12%	5.53%	5.31%	4.38%	4.51%	5.23%	5.52%	9.57%	8.62%	7.41%	7.32%	6.74%	2.47%	1.55%	6.88%	3.10%	0.86%	2.66%	0.86%	0.64%	0.54%	0.85%	0.13%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
