Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Великий Новгород																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	28995	268	278	249	477	398	466	409	396	417	299	354	457	479	378	464	386	306	202	357	237	135	335	79	352	246	467	380	431	382	236	371	411	380	286	225	415	508	298	464	488	384	316	361	304	453	445	460	369	449	326	395	261	484	340	387	388	237	419	244	423	433	446	333	32	370	361	221	354	169	297	285	405	394	477	402	436	198	378	108	245	200	336	382	122					
		28.35%	32.96%	33.53%	31.28%	31.05%	26.03%	29.23%	27.69%	26.67%	33.15%	29.87%	30.86%	31.71%	30.47%	31.42%	31.04%	33.13%	30.57%	31.12%	27.38%	23.70%	25.00%	31.99%	22.38%	29.78%	29.82%	30.99%	30.04%	30.33%	29.03%	27.76%	29.51%	28.60%	31.15%	25.98%	20.04%	29.00%	34.84%	30.91%	30.03%	31.79%	30.19%	25.22%	28.76%	30.19%	28.62%	27.40%	30.91%	26.64%	29.50%	29.96%	30.91%	25.89%	34.33%	32.26%	29.59%	23.91%	27.65%	31.91%	25.28%	32.17%	33.23%	28.12%	29.39%	2.33%	29.53%	25.84%	27.69%	27.27%	27.44%	25.71%	23.81%	27.99%	27.27%	28.13%	26.59%	26.95%	28.57%	25.63%	14.32%	23.03%	26.92%	19.48%	29.70%	28.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10923	103	77	88	182	164	166	152	173	111	102	115	127	160	102	118	99	89	57	106	88	56	99	56	112	95	172	156	205	151	100	117	186	151	149	133	168	134	117	154	153	125	152	126	98	158	163	120	169	200	110	162	127	141	50	115	144	110	137	123	148	118	191	120	44	157	173	70	124	50	131	121	162	151	193	161	179	62	173	33	117	58	384	175	55					
		10.68%	12.67%	9.29%	11.06%	11.85%	10.73%	10.41%	10.29%	11.65%	8.82%	10.19%	10.03%	8.81%	10.18%	8.48%	7.89%	8.50%	8.89%	8.78%	8.13%	8.80%	10.37%	9.46%	15.86%	9.48%	11.52%	11.41%	12.33%	14.43%	11.47%	11.76%	9.31%	12.94%	12.38%	13.53%	11.84%	11.74%	9.19%	12.14%	9.97%	9.97%	9.83%	12.13%	10.04%	9.73%	9.98%	10.04%	8.06%	12.20%	13.14%	10.11%	12.68%	12.60%	10.00%	4.74%	8.79%	8.87%	12.84%	10.43%	12.75%	11.25%	9.06%	12.04%	10.59%	3.20%	12.53%	12.38%	8.77%	9.55%	8.12%	11.34%	10.11%	11.20%	10.45%	11.38%	10.65%	11.06%	8.95%	11.73%	4.38%	10.99%	7.81%	22.26%	13.61%	12.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1049	7	8	6	18	22	6	19	16	7	8	11	17	15	5	17	17	8	8	24	2	7	15	3	8	8	22	9	20	13	12	11	13	8	8	2	11	10	14	13	11	10	17	17	11	17	14	26	25	18	10	9	13	19	9	16	10	6	6	11	14	20	13	8	14	10	15	7	14	4	18	21	21	23	18	10	12	5	14	7	11	8	15	19	5					
		1.03%	0.86%	0.97%	0.75%	1.17%	1.44%	0.38%	1.29%	1.08%	0.56%	0.80%	0.96%	1.18%	0.95%	0.42%	1.14%	1.46%	0.80%	1.23%	1.84%	0.20%	1.30%	1.43%	0.85%	0.68%	0.97%	1.46%	0.71%	1.41%	0.99%	1.41%	0.88%	0.90%	0.66%	0.73%	0.18%	0.77%	0.69%	1.45%	0.84%	0.72%	0.79%	1.36%	1.35%	1.09%	1.07%	0.86%	1.75%	1.81%	1.18%	0.92%	0.70%	1.29%	1.35%	0.85%	1.22%	0.62%	0.70%	0.46%	1.14%	1.06%	1.53%	0.82%	0.71%	1.02%	0.80%	1.07%	0.88%	1.08%	0.65%	1.56%	1.75%	1.45%	1.59%	1.06%	0.66%	0.74%	0.72%	0.95%	0.93%	1.03%	1.08%	0.87%	1.48%	1.17%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	25081	129	185	185	372	372	425	392	358	281	258	288	366	388	299	422	313	248	164	351	297	146	242	86	289	193	374	335	297	388	207	257	390	274	260	154	347	324	208	397	390	312	346	320	267	391	447	402	346	345	238	302	224	302	206	340	339	200	306	249	297	287	353	321	45	295	426	207	372	180	301	308	410	395	471	413	420	199	379	181	285	225	368	313	97					
		24.52%	15.87%	22.32%	23.24%	24.22%	24.33%	26.66%	26.54%	24.11%	22.34%	25.77%	25.11%	25.40%	24.68%	24.85%	28.23%	26.87%	24.78%	25.27%	26.92%	29.70%	27.04%	23.11%	24.36%	24.45%	23.39%	24.82%	26.48%	20.90%	29.48%	24.35%	20.45%	27.14%	22.46%	23.61%	13.71%	24.25%	22.22%	21.58%	25.70%	25.41%	24.53%	27.61%	25.50%	26.51%	24.70%	27.52%	27.02%	24.98%	22.67%	21.88%	23.63%	22.22%	21.42%	19.54%	25.99%	20.89%	23.34%	23.31%	25.80%	22.59%	22.03%	22.26%	28.33%	3.27%	23.54%	30.49%	25.94%	28.66%	29.22%	26.06%	25.73%	28.33%	27.34%	27.77%	27.31%	25.96%	28.72%	25.69%	24.01%	26.79%	30.28%	21.33%	24.34%	22.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5879	31	23	36	87	151	108	118	121	89	61	54	80	110	117	125	87	93	51	89	89	38	60	16	53	23	45	42	56	55	50	22	33	75	55	32	76	76	36	94	76	72	72	73	53	102	101	111	82	94	36	63	46	60	14	81	101	56	63	69	69	78	92	54	28	81	77	46	108	44	82	95	73	107	110	79	98	46	105	5	55	75	118	51	21					
		5.75%	3.81%	2.77%	4.52%	5.66%	9.88%	6.78%	7.99%	8.15%	7.07%	6.09%	4.71%	5.55%	6.99%	9.73%	8.36%	7.47%	9.29%	7.86%	6.83%	8.90%	7.04%	5.73%	4.53%	4.48%	2.79%	2.99%	3.32%	3.94%	4.18%	5.88%	1.75%	2.30%	6.15%	4.99%	2.85%	5.31%	5.21%	3.73%	6.08%	4.95%	5.66%	5.75%	5.82%	5.26%	6.44%	6.22%	7.46%	5.92%	6.18%	3.31%	4.93%	4.56%	4.26%	1.33%	6.19%	6.22%	6.53%	4.80%	7.15%	5.25%	5.99%	5.80%	4.77%	2.04%	6.46%	5.51%	5.76%	8.32%	7.14%	7.10%	7.94%	5.04%	7.40%	6.49%	5.22%	6.06%	6.64%	7.12%	0.66%	5.17%	10.09%	6.84%	3.97%	4.93%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28051	231	245	208	374	387	387	355	384	321	249	304	365	390	249	308	235	236	152	339	258	150	276	97	340	239	396	312	382	305	223	447	372	297	315	560	389	383	272	400	378	346	329	337	254	432	406	337	353	388	344	330	313	357	426	345	608	228	353	251	325	319	457	274	1180	322	326	217	306	164	308	353	348	354	390	402	426	173	388	406	324	165	451	315	111					
		27.43%	28.41%	29.55%	26.13%	24.35%	25.31%	24.28%	24.04%	25.86%	25.52%	24.88%	26.50%	25.33%	24.81%	20.70%	20.60%	20.17%	23.58%	23.42%	25.99%	25.80%	27.78%	26.36%	27.48%	28.76%	28.97%	26.28%	24.66%	26.88%	23.18%	26.24%	35.56%	25.89%	24.34%	28.61%	49.87%	27.18%	26.27%	28.22%	25.89%	24.63%	27.20%	26.26%	26.85%	25.22%	27.29%	25.00%	22.65%	25.49%	25.49%	31.62%	25.82%	31.05%	25.32%	40.42%	26.38%	37.46%	26.60%	26.88%	26.01%	24.71%	24.48%	28.81%	24.18%	85.82%	25.70%	23.34%	27.19%	23.57%	26.62%	26.67%	29.49%	24.05%	24.50%	22.99%	26.59%	26.33%	24.96%	26.31%	53.85%	30.45%	22.21%	26.14%	24.49%	26.06%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	623	7	6	10	3	19	12	10	17	11	4	6	6	7	8	11	6	4	3	7	11	2	7	6	10	4	6	3	8	3	6	2	5	12	6	2	7	6	5	8	11	7	10	2	8	11	15	9	14	14	7	9	6	9	2	6	7	5	4	4	12	7	14	8	5	3	4	5	1	1	7	5	11	7	13	16	8	4	10	4	15	4	9	9	5					
		0.61%	0.86%	0.72%	1.26%	0.20%	1.24%	0.75%	0.68%	1.14%	0.87%	0.40%	0.52%	0.42%	0.45%	0.67%	0.74%	0.52%	0.40%	0.46%	0.54%	1.10%	0.37%	0.67%	1.70%	0.85%	0.48%	0.40%	0.24%	0.56%	0.23%	0.71%	0.16%	0.35%	0.98%	0.54%	0.18%	0.49%	0.41%	0.52%	0.52%	0.72%	0.55%	0.80%	0.16%	0.79%	0.69%	0.92%	0.60%	1.01%	0.92%	0.64%	0.70%	0.60%	0.64%	0.19%	0.46%	0.43%	0.58%	0.30%	0.41%	0.91%	0.54%	0.88%	0.71%	0.36%	0.24%	0.29%	0.63%	0.08%	0.16%	0.61%	0.42%	0.76%	0.48%	0.77%	1.06%	0.49%	0.58%	0.68%	0.53%	1.41%	0.54%	0.52%	0.70%	1.17%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
