Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Вельская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
		22.73%	23.07%	19.58%	20.38%	27.55%	25.61%	24.69%	26.97%	22.33%	25.91%	24.11%	28.02%	25.57%	26.18%	25.67%	22.27%	8.33%	23.97%	19.51%	22.70%	22.33%	25.00%	19.76%	13.79%	20.45%	13.90%	8.06%	25.44%	25.15%	21.90%	25.26%	21.32%	24.60%	23.84%	15.66%	26.05%	25.80%	23.81%	24.40%	18.82%	12.77%	28.16%	18.00%	21.04%	8.22%	13.64%	20.67%	19.50%	17.86%	20.86%	9.30%	21.96%	23.24%	23.33%	24.66%	22.46%	18.40%	11.71%	21.57%	16.20%	22.61%	11.88%	14.24%	17.93%	15.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3945	97	89	156	109	97	88	181	21	85	130	105	120	73	77	39	34	15	87	114	18	46	24	19	15	90	19	70	94	63	78	97	21	17	19	109	133	57	32	17	4	20	42	106	13	13	77	34	20	26	8	151	66	26	113	23	32	31	39	47	95	36	71	39	58					
		18.33%	13.90%	20.75%	21.34%	21.00%	16.78%	17.96%	15.70%	20.39%	18.20%	17.71%	15.49%	16.06%	17.22%	14.64%	17.03%	47.22%	12.40%	19.51%	19.45%	17.48%	28.05%	14.37%	21.84%	17.05%	24.52%	30.65%	15.35%	19.22%	20.59%	13.68%	21.32%	16.67%	9.88%	22.89%	19.06%	20.31%	19.39%	15.31%	9.14%	8.51%	19.42%	14.00%	21.24%	17.81%	14.77%	19.90%	21.38%	17.86%	13.90%	9.30%	22.11%	17.23%	17.33%	21.77%	16.67%	19.63%	27.93%	19.12%	21.76%	14.42%	35.64%	21.07%	21.20%	19.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	232	10	9	3	4	10	10	18	2	7	11	10	8	3	4	2	0	0	5	4	4	1	0	1	0	3	1	6	4	5	6	4	2	2	0	12	5	1	2	0	0	0	1	2	0	0	7	0	0	5	1	3	3	3	8	2	3	0	1	1	5	0	4	2	2					
		1.08%	1.43%	2.10%	0.41%	0.77%	1.73%	2.04%	1.56%	1.94%	1.50%	1.50%	1.47%	1.07%	0.71%	0.76%	0.87%	0.00%	0.00%	1.12%	0.68%	3.88%	0.61%	0.00%	1.15%	0.00%	0.82%	1.61%	1.32%	0.82%	1.63%	1.05%	0.88%	1.59%	1.16%	0.00%	2.10%	0.76%	0.34%	0.96%	0.00%	0.00%	0.00%	0.33%	0.40%	0.00%	0.00%	1.81%	0.00%	0.00%	2.67%	1.16%	0.44%	0.78%	2.00%	1.54%	1.45%	1.84%	0.00%	0.49%	0.46%	0.76%	0.00%	1.19%	1.09%	0.68%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4011	175	99	173	98	140	120	268	27	92	140	136	123	117	96	59	3	27	93	83	11	14	15	15	12	60	8	98	113	69	154	101	21	41	6	100	143	33	35	39	14	20	39	53	6	9	93	24	7	32	8	95	45	7	79	30	24	7	16	58	87	11	29	23	38					
		18.63%	25.07%	23.08%	23.67%	18.88%	24.22%	24.49%	23.24%	26.21%	19.70%	19.07%	20.06%	16.47%	27.59%	18.25%	25.76%	4.17%	22.31%	20.85%	14.16%	10.68%	8.54%	8.98%	17.24%	13.64%	16.35%	12.90%	21.49%	23.11%	22.55%	27.02%	22.20%	16.67%	23.84%	7.23%	17.48%	21.83%	11.22%	16.75%	20.97%	29.79%	19.42%	13.00%	10.62%	8.22%	10.23%	24.03%	15.09%	6.25%	17.11%	9.30%	13.91%	11.75%	4.67%	15.22%	21.74%	14.72%	6.31%	7.84%	26.85%	13.20%	10.89%	8.61%	12.50%	12.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	676	40	18	27	30	29	32	53	2	13	39	29	30	14	9	15	0	3	20	14	3	2	2	0	1	9	0	15	13	8	13	13	0	3	3	19	29	12	2	1	0	3	4	5	0	0	8	5	3	3	2	18	11	3	4	0	4	1	7	0	13	0	8	3	6					
		3.14%	5.73%	4.20%	3.69%	5.78%	5.02%	6.53%	4.60%	1.94%	2.78%	5.31%	4.28%	4.02%	3.30%	1.71%	6.55%	0.00%	2.48%	4.48%	2.39%	2.91%	1.22%	1.20%	0.00%	1.14%	2.45%	0.00%	3.29%	2.66%	2.61%	2.28%	2.86%	0.00%	1.74%	3.61%	3.32%	4.43%	4.08%	0.96%	0.54%	0.00%	2.91%	1.33%	1.00%	0.00%	0.00%	2.07%	3.14%	2.68%	1.60%	2.33%	2.64%	2.87%	2.00%	0.77%	0.00%	2.45%	0.90%	3.43%	0.00%	1.97%	0.00%	2.37%	1.63%	2.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7421	201	121	203	124	144	108	300	26	144	226	195	257	100	192	60	29	46	146	229	44	59	93	40	40	146	29	142	136	91	162	132	51	67	42	171	169	119	84	94	23	30	152	222	48	53	121	65	60	80	58	259	166	74	178	50	66	58	92	72	296	42	170	83	141					
		34.47%	28.80%	28.21%	27.77%	23.89%	24.91%	22.04%	26.02%	25.24%	30.84%	30.79%	28.76%	34.40%	23.58%	36.50%	26.20%	40.28%	38.02%	32.74%	39.08%	42.72%	35.98%	55.69%	45.98%	45.45%	39.78%	46.77%	31.14%	27.81%	29.74%	28.42%	29.01%	40.48%	38.95%	50.60%	29.90%	25.80%	40.48%	40.19%	50.54%	48.94%	29.13%	50.67%	44.49%	65.75%	60.23%	31.27%	40.88%	53.57%	42.78%	67.44%	37.92%	43.34%	49.33%	34.30%	36.23%	40.49%	52.25%	45.10%	33.33%	44.92%	41.58%	50.45%	45.11%	47.64%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	147	4	2	11	5	3	6	12	0	3	4	5	6	4	6	3	0	1	2	4	0	0	0	0	1	5	0	2	1	2	3	3	0	1	0	6	3	1	2	0	0	0	5	2	0	0	0	0	2	1	1	2	3	1	2	1	2	0	2	1	7	0	2	0	2					
		0.68%	0.57%	0.47%	1.50%	0.96%	0.52%	1.22%	1.04%	0.00%	0.64%	0.54%	0.74%	0.80%	0.94%	1.14%	1.31%	0.00%	0.83%	0.45%	0.68%	0.00%	0.00%	0.00%	0.00%	1.14%	1.36%	0.00%	0.44%	0.20%	0.65%	0.53%	0.66%	0.00%	0.58%	0.00%	1.05%	0.46%	0.34%	0.96%	0.00%	0.00%	0.00%	1.67%	0.40%	0.00%	0.00%	0.00%	0.00%	1.79%	0.53%	1.16%	0.29%	0.78%	0.67%	0.39%	0.72%	1.23%	0.00%	0.98%	0.46%	1.06%	0.00%	0.59%	0.00%	0.68%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
