Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Даниловский район																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК  2992	УИК №3135	УИК №3136	УИК №3137					
20	. Миронов Сергей Михайлович	166	3	6	4	7	7	11	5	10	8	3	10	8	1	9	3	5	12	7	3	5	8	6	6	3	3	6	3	4	0	0					
		0.46%	0.22%	0.42%	0.34%	0.65%	0.41%	0.89%	0.41%	0.71%	0.44%	0.18%	0.62%	0.31%	0.09%	0.61%	0.30%	0.42%	0.88%	0.57%	0.22%	0.82%	0.80%	0.49%	0.46%	0.22%	0.37%	0.43%	0.42%	0.84%	0.00%	0.00%					
21	. Путин Владимир Владимирович	25665	894	920	798	698	1233	795	787	881	1462	1240	1147	2376	874	1121	730	836	933	863	955	396	648	762	856	934	583	953	460	329	135	66					
		70.67%	64.46%	64.52%	67.46%	64.87%	71.56%	64.42%	63.83%	62.84%	79.98%	75.15%	70.80%	90.83%	80.26%	76.36%	71.85%	70.37%	68.70%	69.77%	70.58%	64.92%	64.67%	61.85%	66.00%	67.34%	71.10%	69.06%	64.88%	68.68%	77.59%	47.83%					
22	. Хакамада Ирина Муцуовна	2926	137	138	113	112	120	123	116	131	121	132	153	42	69	85	82	80	120	119	124	59	103	134	126	114	84	104	64	15	5	1					
		8.06%	9.88%	9.68%	9.55%	10.41%	6.96%	9.97%	9.41%	9.34%	6.62%	8.00%	9.44%	1.61%	6.34%	5.79%	8.07%	6.73%	8.84%	9.62%	9.16%	9.67%	10.28%	10.88%	9.71%	8.22%	10.24%	7.54%	9.03%	3.13%	2.87%	0.72%					
23	. Харитонов Николай Михайлович	2463	117	119	86	77	140	105	78	126	58	81	140	33	42	60	63	89	110	80	75	42	88	105	109	120	60	100	60	39	8	53					
		6.78%	8.44%	8.35%	7.27%	7.16%	8.13%	8.51%	6.33%	8.99%	3.17%	4.91%	8.64%	1.26%	3.86%	4.09%	6.20%	7.49%	8.10%	6.47%	5.54%	6.89%	8.78%	8.52%	8.40%	8.65%	7.32%	7.25%	8.46%	8.14%	4.60%	38.41%					
																																					
24	Против всех	2132	118	124	82	85	97	82	108	122	98	95	23	31	39	74	56	72	77	82	86	49	75	84	83	57	16	111	54	37	13	2					
		5.87%	8.51%	8.70%	6.93%	7.90%	5.63%	6.65%	8.76%	8.70%	5.36%	5.76%	1.42%	1.19%	3.58%	5.04%	5.51%	6.06%	5.67%	6.63%	6.36%	8.03%	7.49%	6.82%	6.40%	4.11%	1.95%	8.04%	7.62%	7.72%	7.47%	1.45%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
