Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Лермонтовская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1058	94	117	156	109	114	84	104	140	140					
		10.41%	8.94%	11.27%	13.68%	9.81%	9.96%	6.95%	8.48%	12.22%	12.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	337	21	35	41	49	52	47	43	25	24					
		3.31%	1.99%	3.37%	3.59%	4.41%	4.54%	3.89%	3.51%	2.18%	2.17%					
22	"5. ""За Русь Святую"""	51	2	6	6	11	5	7	3	6	5					
		0.50%	0.19%	0.57%	0.52%	0.99%	0.43%	0.57%	0.24%	0.52%	0.45%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	8	2	0	2	2	7	1	2	1					
		0.24%	0.76%	0.19%	0.0%	0.18%	0.17%	0.57%	0.08%	0.17%	0.09%					
24	"7. ""Новый курс - Автомобильная Россия"""	114	14	5	12	18	14	21	12	12	6					
		1.12%	1.33%	0.48%	1.05%	1.62%	1.22%	1.73%	0.97%	1.04%	0.54%					
25	"8. ""Народно-республиканская партия России"""	10	3	1	1	0	1	1	1	0	2					
		0.09%	0.28%	0.09%	0.08%	0.0%	0.08%	0.08%	0.08%	0.0%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	0	5	8	5	4	5	3	4	4					
		0.37%	0.0%	0.48%	0.70%	0.45%	0.34%	0.41%	0.24%	0.34%	0.36%					
27	"10. ""Аграрная партия России"""	170	25	17	22	27	14	23	12	13	17					
		1.67%	2.37%	1.63%	1.92%	2.43%	1.22%	1.90%	0.97%	1.13%	1.54%					
28	"11. ""Истинные патриоты России"""	10	1	2	0	1	0	1	3	0	2					
		0.09%	0.09%	0.19%	0.0%	0.09%	0.0%	0.08%	0.24%	0.0%	0.18%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	77	9	13	8	15	9	1	9	9	4					
		0.75%	0.85%	1.25%	0.70%	1.35%	0.78%	0.08%	0.73%	0.78%	0.36%					
30	"13. ""Демократическая партия России"""	24	8	2	0	2	6	2	0	1	3					
		0.23%	0.76%	0.19%	0.0%	0.18%	0.52%	0.16%	0.0%	0.08%	0.27%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	2	1	0	1	3	0	2	5	1					
		0.14%	0.19%	0.09%	0.0%	0.09%	0.26%	0.0%	0.16%	0.43%	0.09%					
32	"15. ""Партия СЛОН"""	10	1	1	1	2	0	4	0	1	0					
		0.09%	0.09%	0.09%	0.08%	0.18%	0.0%	0.33%	0.0%	0.08%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1165	112	93	109	141	151	187	120	120	132					
		11.46%	10.65%	8.95%	9.56%	12.70%	13.19%	15.49%	9.79%	10.48%	11.96%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	5	2	2	17	1	3	0	1	4					
		0.34%	0.47%	0.19%	0.17%	1.53%	0.08%	0.24%	0.0%	0.08%	0.36%					
35	"18. ""ЛДПР"""	1375	146	168	143	133	135	158	172	162	158					
		13.52%	13.89%	16.18%	12.54%	11.98%	11.80%	13.09%	14.04%	14.14%	14.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	163	18	13	15	15	19	21	28	20	14					
		1.60%	1.71%	1.25%	1.31%	1.35%	1.66%	1.73%	2.28%	1.74%	1.26%					
37	"20. ""Политическая партия ""Единая Россия"""	3254	339	325	360	319	386	363	443	369	350					
		32.01%	32.25%	31.31%	31.57%	28.73%	33.74%	30.07%	36.16%	32.22%	31.73%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	1	1	1	1	0	1	0					
		0.04%	0.0%	0.0%	0.08%	0.09%	0.08%	0.08%	0.0%	0.08%	0.0%					
39	"22. ""Развитие предпринимательства"""	37	6	1	7	2	4	7	6	1	3					
		0.36%	0.57%	0.09%	0.61%	0.18%	0.34%	0.57%	0.48%	0.08%	0.27%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1231	140	152	148	123	138	125	128	143	134					
		12.11%	13.32%	14.64%	12.98%	11.08%	12.06%	10.35%	10.44%	12.48%	12.14%					
																
41	Против всех	524	47	42	59	59	48	81	76	60	52					
		5.15%	4.47%	4.04%	5.17%	5.31%	4.19%	6.71%	6.20%	5.24%	4.71%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
