Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кызылская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99									
		0.30%	0.40%	0.48%	0.36%	0.16%	0.00%	0.58%	0.00%	0.00%	0.74%	0.00%	0.46%	0.16%	0.20%	0.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	191	34	26	45	3	3	3	10	1	11	2	29	8	9	7									
		1.79%	3.37%	3.10%	2.68%	0.16%	0.60%	0.58%	1.67%	0.48%	2.03%	0.63%	3.36%	1.26%	1.76%	1.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	212	15	39	24	1	2	6	6	4	76	1	20	4	6	8									
		1.98%	1.49%	4.65%	1.43%	0.05%	0.40%	1.16%	1.00%	1.90%	13.99%	0.32%	2.32%	0.63%	1.17%	1.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8026	628	433	1163	1590	444	451	501	177	403	298	593	460	399	486									
		75.05%	62.18%	51.67%	69.27%	85.16%	89.52%	86.90%	83.64%	84.29%	74.22%	94.30%	68.79%	72.21%	78.08%	80.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	5	4	9	0	0	1	0	0	2	0	2	0	3	1									
		0.25%	0.50%	0.48%	0.54%	0.00%	0.00%	0.19%	0.00%	0.00%	0.37%	0.00%	0.23%	0.00%	0.59%	0.16%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	2	0	0	0	2	0	0	0	2	1	1	1									
		0.09%	0.10%	0.00%	0.12%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.23%	0.16%	0.20%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	556	101	141	92	124	0	6	7	4	6	0	33	10	7	25									
		5.20%	10.00%	16.83%	5.48%	6.64%	0.00%	1.16%	1.17%	1.90%	1.10%	0.00%	3.83%	1.57%	1.37%	4.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	56	9	3	17	3	1	3	1	0	1	0	10	4	3	1									
		0.52%	0.89%	0.36%	1.01%	0.16%	0.20%	0.58%	0.17%	0.00%	0.18%	0.00%	1.16%	0.63%	0.59%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	10	3	8	0	0	1	0	1	2	0	4	2	0	1									
		0.30%	0.99%	0.36%	0.48%	0.00%	0.00%	0.19%	0.00%	0.48%	0.37%	0.00%	0.46%	0.31%	0.00%	0.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	2	1	0	0	0	1	0	0	0	0	2	0	0	0									
		0.06%	0.20%	0.12%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	152	25	16	45	7	0	1	2	2	3	1	24	13	4	9									
		1.42%	2.48%	1.91%	2.68%	0.37%	0.00%	0.19%	0.33%	0.95%	0.55%	0.32%	2.78%	2.04%	0.78%	1.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	804	96	126	153	106	23	24	22	13	11	1	71	75	57	26									
		7.52%	9.50%	15.04%	9.11%	5.68%	4.64%	4.62%	3.67%	6.19%	2.03%	0.32%	8.24%	11.77%	11.15%	4.28%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	12	3	12	2	0	2	0	0	0	0	4	2	2	2									
		0.38%	1.19%	0.36%	0.71%	0.11%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.46%	0.31%	0.39%	0.33%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	451	53	32	88	16	16	17	42	8	20	11	51	48	19	30									
		4.22%	5.25%	3.82%	5.24%	0.86%	3.23%	3.28%	7.01%	3.81%	3.68%	3.48%	5.92%	7.54%	3.72%	4.94%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
