Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Максатихинская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692					
24	Против всех	207	4	0	5	21	34	48	21	14	0	1	3	5	1	7	3	2	5	1	4	2	1	3	0	0	3	2	2	8	2	2	3	0					
		2.25%	1.59%	0.00%	5.62%	2.47%	3.61%	4.42%	3.37%	6.22%	0.00%	0.64%	1.94%	1.83%	0.29%	3.89%	1.09%	1.92%	3.76%	0.52%	1.16%	0.96%	0.58%	2.40%	0.00%	0.00%	0.89%	0.97%	1.01%	2.58%	0.64%	0.89%	1.11%	0.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
