Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Октябрьская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	159	6	3	4	2	0	2	3	1	0	2	2	1	5	0	0	7	6	2	1	1	2	1	0	1	0	9	3	0	0	1	9	5	5	10	3	5	1	3	1	1	9	2	3	7	4	2	0	3	8	6	2	5					
		1.31%	2.84%	4.0%	1.98%	2.73%	0.0%	3.17%	0.60%	1.44%	0.0%	3.63%	1.37%	1.20%	0.99%	0.0%	0.0%	1.26%	3.19%	0.67%	1.51%	1.81%	0.77%	0.65%	0.0%	0.66%	0.0%	4.54%	2.06%	0.0%	0.0%	0.39%	1.41%	0.78%	0.97%	1.87%	0.41%	9.25%	2.04%	1.53%	1.33%	0.33%	1.20%	1.20%	2.23%	4.09%	4.76%	0.92%	0.0%	5.76%	1.89%	2.14%	1.21%	1.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	159	1	0	3	1	0	0	6	0	0	0	2	2	8	3	0	13	3	2	2	0	3	1	1	1	6	1	0	5	3	10	5	6	11	4	3	0	1	0	1	2	18	2	0	1	1	1	2	3	15	4	0	2					
		1.31%	0.47%	0.0%	1.48%	1.36%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	1.37%	2.40%	1.59%	1.69%	0.0%	2.35%	1.59%	0.67%	3.03%	0.0%	1.15%	0.65%	0.87%	0.66%	2.36%	0.50%	0.0%	2.12%	2.47%	3.90%	0.78%	0.94%	2.13%	0.75%	0.41%	0.0%	2.04%	0.0%	1.33%	0.67%	2.41%	1.20%	0.0%	0.58%	1.19%	0.46%	1.29%	5.76%	3.54%	1.42%	0.0%	0.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	496	6	2	22	2	3	0	18	0	1	4	8	4	30	0	4	30	2	18	1	6	15	11	6	2	6	1	4	9	3	12	37	30	32	18	13	2	2	5	1	10	42	5	4	4	0	5	11	4	20	9	6	6					
		4.09%	2.84%	2.66%	10.89%	2.73%	5.08%	0.0%	3.60%	0.0%	1.85%	7.27%	5.51%	4.81%	5.98%	0.0%	2.91%	5.43%	1.06%	6.10%	1.51%	10.90%	5.79%	7.23%	5.26%	1.32%	2.36%	0.50%	2.75%	3.82%	2.47%	4.68%	5.79%	4.70%	6.21%	3.37%	1.77%	3.70%	4.08%	2.56%	1.33%	3.35%	5.64%	3.01%	2.98%	2.33%	0.0%	2.30%	7.14%	7.69%	4.72%	3.21%	3.63%	1.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	317	0	7	3	4	2	0	8	5	0	2	3	2	24	1	2	33	7	3	1	2	7	3	0	9	5	1	1	5	3	12	26	16	15	10	18	1	1	8	2	4	15	1	4	0	1	0	0	4	24	0	1	11					
		2.61%	0.0%	9.33%	1.48%	5.47%	3.38%	0.0%	1.60%	7.24%	0.0%	3.63%	2.06%	2.40%	4.79%	0.56%	1.45%	5.97%	3.72%	1.01%	1.51%	3.63%	2.70%	1.97%	0.0%	5.96%	1.96%	0.50%	0.68%	2.12%	2.47%	4.68%	4.07%	2.51%	2.91%	1.87%	2.46%	1.85%	2.04%	4.10%	2.66%	1.34%	2.01%	0.60%	2.98%	0.0%	1.19%	0.0%	0.0%	7.69%	5.67%	0.0%	0.60%	3.17%					
22	"5. ""За Русь Святую"""	32	0	0	0	0	0	1	3	0	0	0	1	0	4	0	0	0	2	1	0	1	1	0	0	1	0	0	0	1	0	1	1	2	2	3	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	1					
		0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.60%	0.0%	0.0%	0.0%	0.68%	0.0%	0.79%	0.0%	0.0%	0.0%	1.06%	0.33%	0.0%	1.81%	0.38%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.42%	0.0%	0.39%	0.15%	0.31%	0.38%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	1.20%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.47%	0.0%	0.0%	0.28%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	1	0	0	1	1	2	3	0	1	0	4	1	0	0	0	0	0	0	3	0	1	0	0	1	3	0	0	0	0	0					
		0.23%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	1.06%	0.0%	0.0%	0.0%	0.0%	0.65%	0.87%	0.0%	0.0%	0.50%	0.68%	0.85%	2.47%	0.0%	0.15%	0.0%	0.77%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.74%	0.0%	0.0%	0.46%	1.94%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	62	2	0	0	0	0	1	3	0	2	0	1	0	1	0	0	2	0	2	0	0	2	0	0	2	1	0	2	0	0	3	4	2	2	10	7	0	0	0	1	2	3	0	0	0	0	1	0	0	3	0	1	2					
		0.51%	0.94%	0.0%	0.0%	0.0%	0.0%	1.58%	0.60%	0.0%	3.70%	0.0%	0.68%	0.0%	0.19%	0.0%	0.0%	0.36%	0.0%	0.67%	0.0%	0.0%	0.77%	0.0%	0.0%	1.32%	0.39%	0.0%	1.37%	0.0%	0.0%	1.17%	0.62%	0.31%	0.38%	1.87%	0.95%	0.0%	0.0%	0.0%	1.33%	0.67%	0.40%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.70%	0.0%	0.60%	0.57%					
25	"8. ""Народно-республиканская партия России"""	28	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	3	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	2	0	1	1	0	1	2	0	1	0	0	0	0	0	2	0	0	2					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.56%	0.0%	0.54%	1.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.85%	0.0%	0.0%	0.0%	0.31%	0.19%	0.0%	0.27%	0.0%	2.04%	0.51%	0.0%	0.33%	0.26%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.57%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	1					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.60%	0.28%					
27	"10. ""Аграрная партия России"""	1104	16	2	26	1	1	5	73	2	12	0	15	10	77	14	4	82	14	35	4	6	24	22	10	6	16	19	5	41	13	64	28	37	48	23	36	3	0	23	5	31	45	11	9	18	8	25	26	7	23	26	14	39					
		9.12%	7.58%	2.66%	12.87%	1.36%	1.69%	7.93%	14.62%	2.89%	22.22%	0.0%	10.34%	12.04%	15.36%	7.90%	2.91%	14.85%	7.44%	11.86%	6.06%	10.90%	9.26%	14.47%	8.77%	3.97%	6.29%	9.59%	3.44%	17.44%	10.74%	25.0%	4.38%	5.80%	9.32%	4.31%	4.92%	5.55%	0.0%	11.79%	6.66%	10.40%	6.04%	6.62%	6.71%	10.52%	9.52%	11.52%	16.88%	13.46%	5.43%	9.28%	8.48%	11.27%					
28	"11. ""Истинные патриоты России"""	41	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	2	0	0	0	8	2	0	3	1	5	1	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1					
		0.33%	0.0%	0.0%	0.49%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.77%	0.65%	0.0%	1.32%	0.0%	0.0%	0.0%	3.40%	1.65%	0.0%	0.47%	0.15%	0.97%	0.18%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.28%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	94	2	0	3	3	0	1	2	1	1	0	0	0	3	0	0	6	0	3	0	0	0	3	2	1	3	1	1	3	2	5	6	2	2	3	8	0	0	2	0	1	8	4	1	1	0	0	0	0	4	2	3	1					
		0.77%	0.94%	0.0%	1.48%	4.10%	0.0%	1.58%	0.40%	1.44%	1.85%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	1.08%	0.0%	1.01%	0.0%	0.0%	0.0%	1.97%	1.75%	0.66%	1.18%	0.50%	0.68%	1.27%	1.65%	1.95%	0.94%	0.31%	0.38%	0.56%	1.09%	0.0%	0.0%	1.02%	0.0%	0.33%	1.07%	2.40%	0.74%	0.58%	0.0%	0.0%	0.0%	0.0%	0.94%	0.71%	1.81%	0.28%					
30	"13. ""Демократическая партия России"""	21	0	0	1	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1					
		0.17%	0.0%	0.0%	0.49%	1.36%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.56%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.66%	0.0%	0.50%	0.68%	0.0%	0.0%	0.0%	0.0%	0.15%	0.19%	0.18%	0.13%	0.0%	0.0%	0.0%	1.33%	0.33%	0.26%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	0	0	1	0	0	0	1	0	0	0	3	0	1	1	0	1	0	0	0	0	1	1	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	1	0	1	3					
		0.21%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	2.06%	0.0%	0.19%	0.56%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.38%	0.65%	0.0%	0.0%	0.78%	0.0%	0.0%	0.42%	0.0%	0.0%	0.15%	0.0%	0.19%	0.0%	0.0%	0.0%	2.04%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.58%	2.38%	0.0%	0.64%	0.0%	0.23%	0.0%	0.60%	0.86%					
32	"15. ""Партия СЛОН"""	11	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0					
		0.09%	0.47%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.18%	0.0%	0.67%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	533	1	0	10	1	1	2	17	3	1	1	9	0	21	6	3	35	21	11	1	1	17	9	2	7	7	5	4	23	14	21	25	20	14	24	30	1	1	5	1	5	57	1	2	6	3	9	10	0	34	15	7	9					
		4.40%	0.47%	0.0%	4.95%	1.36%	1.69%	3.17%	3.40%	4.34%	1.85%	1.81%	6.20%	0.0%	4.19%	3.38%	2.18%	6.34%	11.17%	3.72%	1.51%	1.81%	6.56%	5.92%	1.75%	4.63%	2.75%	2.52%	2.75%	9.78%	11.57%	8.20%	3.91%	3.13%	2.71%	4.50%	4.10%	1.85%	2.04%	2.56%	1.33%	1.67%	7.66%	0.60%	1.49%	3.50%	3.57%	4.14%	6.49%	0.0%	8.03%	5.35%	4.24%	2.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	2	1	0	0	2	0	1	1	3	1	0	0	1	0	1	0	0	2	1	0	1	0	1	0	0	0	2	1	0	2	1	0	2	1	2	1					
		0.30%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.90%	1.06%	0.33%	0.0%	0.0%	0.77%	0.0%	0.87%	0.66%	1.18%	0.50%	0.0%	0.0%	0.82%	0.0%	0.15%	0.0%	0.0%	0.37%	0.13%	0.0%	2.04%	0.0%	1.33%	0.0%	0.0%	0.0%	1.49%	0.58%	0.0%	0.92%	0.64%	0.0%	0.47%	0.35%	1.21%	0.28%					
35	"18. ""ЛДПР"""	1866	22	12	34	24	17	12	98	10	12	8	19	18	78	19	37	49	27	40	3	15	34	28	24	26	48	19	22	37	20	23	89	107	84	99	120	7	5	25	10	54	93	25	18	8	26	21	31	3	68	43	30	65					
		15.41%	10.42%	16.0%	16.83%	32.87%	28.81%	19.04%	19.63%	14.49%	22.22%	14.54%	13.10%	21.68%	15.56%	10.73%	27.00%	8.87%	14.36%	13.55%	4.54%	27.27%	13.12%	18.42%	21.05%	17.21%	18.89%	9.59%	15.17%	15.74%	16.52%	8.98%	13.94%	16.79%	16.31%	18.57%	16.41%	12.96%	10.20%	12.82%	13.33%	18.12%	12.5%	15.06%	13.43%	4.67%	30.95%	9.67%	20.12%	5.76%	16.07%	15.35%	18.18%	18.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	249	7	2	3	0	0	1	7	2	1	0	0	0	12	2	2	8	3	10	0	1	6	3	3	5	5	3	7	3	0	2	14	20	16	19	15	1	1	3	3	7	18	3	4	3	3	0	1	1	4	6	4	5					
		2.05%	3.31%	2.66%	1.48%	0.0%	0.0%	1.58%	1.40%	2.89%	1.85%	0.0%	0.0%	0.0%	2.39%	1.12%	1.45%	1.44%	1.59%	3.38%	0.0%	1.81%	2.31%	1.97%	2.63%	3.31%	1.96%	1.51%	4.82%	1.27%	0.0%	0.78%	2.19%	3.13%	3.10%	3.56%	2.05%	1.85%	2.04%	1.53%	4.0%	2.34%	2.41%	1.80%	2.98%	1.75%	3.57%	0.0%	0.64%	1.92%	0.94%	2.14%	2.42%	1.44%					
37	"20. ""Политическая партия ""Единая Россия"""	4206	104	35	58	9	10	10	140	36	15	23	42	41	163	106	55	117	65	100	33	15	89	28	47	46	120	77	49	25	15	42	209	230	175	174	285	26	19	62	32	121	266	72	66	103	33	95	36	13	137	151	68	118					
		34.74%	49.28%	46.66%	28.71%	12.32%	16.94%	15.87%	28.05%	52.17%	27.77%	41.81%	28.96%	49.39%	32.53%	59.88%	40.14%	21.19%	34.57%	33.89%	50.0%	27.27%	34.36%	18.42%	41.22%	30.46%	47.24%	38.88%	33.79%	10.63%	12.39%	16.40%	32.75%	36.10%	33.98%	32.64%	38.98%	48.14%	38.77%	31.79%	42.66%	40.60%	35.75%	43.37%	49.25%	60.23%	39.28%	43.77%	23.37%	25.0%	32.38%	53.92%	41.21%	34.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	0	0	1	0	1	0	0	0	0	0	0	4	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	2	0	0	0					
		0.19%	0.0%	0.0%	0.0%	1.36%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.72%	0.0%	0.53%	0.67%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.47%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.33%	0.40%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	2	0	1	0	1	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	2	0	1	1	0	1	1	1	1	1					
		0.21%	0.0%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	1.75%	0.0%	0.39%	0.0%	0.68%	0.42%	0.0%	0.0%	0.15%	0.15%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	1.49%	0.0%	1.19%	0.46%	0.0%	1.92%	0.23%	0.35%	0.60%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1987	34	8	22	21	22	23	98	8	5	11	29	2	51	22	21	89	17	52	19	5	39	29	8	30	23	53	37	42	26	44	149	118	70	101	153	5	10	51	13	49	120	32	7	12	2	40	22	9	48	10	19	57					
		16.41%	16.11%	10.66%	10.89%	28.76%	37.28%	36.50%	19.63%	11.59%	9.25%	20.0%	20.0%	2.40%	10.17%	12.42%	15.32%	16.12%	9.04%	17.62%	28.78%	9.09%	15.05%	19.07%	7.01%	19.86%	9.05%	26.76%	25.51%	17.87%	21.48%	17.18%	23.35%	18.52%	13.59%	18.94%	20.93%	9.25%	20.40%	26.15%	17.33%	16.44%	16.12%	19.27%	5.22%	7.01%	2.38%	18.43%	14.28%	17.30%	11.34%	3.57%	11.51%	16.47%					
																																																											
41	Против всех	398	7	4	6	1	1	1	12	1	2	2	4	0	11	0	8	38	8	10	1	2	8	7	5	10	4	3	4	15	12	10	22	22	19	21	19	3	3	4	0	4	22	4	6	2	0	9	5	4	17	6	0	9					
		3.28%	3.31%	5.33%	2.97%	1.36%	1.69%	1.58%	2.40%	1.44%	3.70%	3.63%	2.75%	0.0%	2.19%	0.0%	5.83%	6.88%	4.25%	3.38%	1.51%	3.63%	3.08%	4.60%	4.38%	6.62%	1.57%	1.51%	2.75%	6.38%	9.91%	3.90%	3.44%	3.45%	3.68%	3.93%	2.59%	5.55%	6.12%	2.05%	0.0%	1.34%	2.95%	2.40%	4.47%	1.16%	0.0%	4.14%	3.24%	7.69%	4.01%	2.14%	0.0%	2.60%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
