Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Курганинская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	999	6	31	20	18	25	17	33	18	17	28	26	31	31	19	22	16	13	16	13	22	22	3	0	5	12	11	12	19	18	7	8	18	22	18	12	17	27	1	13	2	1	4	7	16	5	12	3	31	21	34	24	13	36	14	38	3	26	18	24									
		2.95%	0.77%	4.15%	2.39%	2.85%	5.00%	2.70%	3.44%	2.64%	3.08%	2.63%	3.69%	4.42%	3.41%	2.12%	2.60%	9.41%	4.30%	1.76%	1.35%	2.42%	2.69%	3.16%	0.00%	2.86%	1.73%	3.02%	2.35%	3.32%	3.70%	1.68%	3.74%	4.32%	3.84%	2.81%	2.35%	3.50%	4.72%	0.40%	2.42%	2.78%	0.94%	2.61%	3.78%	2.67%	2.43%	4.98%	2.08%	3.91%	4.63%	3.49%	3.59%	2.09%	3.52%	2.22%	4.19%	0.32%	3.15%	3.40%	3.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	605	1	18	21	20	13	15	12	23	14	18	9	15	16	31	15	2	3	0	5	11	20	1	0	1	7	5	18	8	10	1	0	11	9	0	11	12	14	4	13	4	1	0	4	3	3	1	0	24	2	17	20	13	18	13	24	2	20	13	16									
		1.79%	0.13%	2.41%	2.51%	3.17%	2.60%	2.38%	1.25%	3.38%	2.54%	1.69%	1.28%	2.14%	1.76%	3.46%	1.78%	1.18%	0.99%	0.00%	0.52%	1.21%	2.44%	1.05%	0.00%	0.57%	1.01%	1.37%	3.53%	1.40%	2.05%	0.24%	0.00%	2.64%	1.57%	0.00%	2.15%	2.47%	2.45%	1.62%	2.42%	5.56%	0.94%	0.00%	2.16%	0.50%	1.46%	0.41%	0.00%	3.03%	0.44%	1.75%	2.99%	2.09%	1.76%	2.06%	2.65%	0.21%	2.42%	2.46%	2.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17396	438	360	363	294	209	314	450	408	229	562	310	303	456	428	474	70	164	594	687	539	554	72	95	131	459	166	232	295	270	269	135	233	267	290	263	231	213	135	360	48	64	104	115	343	139	102	95	478	252	458	305	298	504	310	446	61	389	251	312									
		51.44%	55.87%	48.19%	43.42%	46.59%	41.80%	49.84%	46.92%	59.91%	41.49%	52.77%	44.03%	43.16%	50.17%	47.71%	56.09%	41.18%	54.30%	65.35%	71.19%	59.36%	67.64%	75.79%	90.48%	74.86%	66.23%	45.60%	45.49%	51.57%	55.44%	64.51%	63.08%	55.88%	46.60%	45.24%	51.47%	47.53%	37.24%	54.66%	66.91%	66.67%	60.38%	67.97%	62.16%	57.17%	67.48%	42.32%	65.97%	60.28%	55.51%	47.07%	45.66%	47.91%	49.22%	49.13%	49.17%	6.48%	47.09%	47.45%	51.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	184	0	7	5	3	0	5	5	5	3	10	5	7	5	6	7	2	2	8	4	5	7	0	0	0	1	1	8	1	2	1	0	0	3	2	2	3	2	2	0	1	0	1	0	6	0	0	1	1	0	4	3	6	13	3	6	0	2	3	5									
		0.54%	0.00%	0.94%	0.60%	0.48%	0.00%	0.79%	0.52%	0.73%	0.54%	0.94%	0.71%	0.99%	0.55%	0.67%	0.83%	1.18%	0.66%	0.88%	0.41%	0.55%	0.85%	0.00%	0.00%	0.00%	0.14%	0.27%	1.57%	0.17%	0.41%	0.24%	0.00%	0.00%	0.52%	0.31%	0.39%	0.62%	0.35%	0.81%	0.00%	1.39%	0.00%	0.65%	0.00%	1.00%	0.00%	0.00%	0.69%	0.13%	0.00%	0.41%	0.45%	0.96%	1.27%	0.48%	0.66%	0.00%	0.24%	0.57%	0.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	1	0	2	0	0	1	2	1	0	3	1	1	0	1	3	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	3	3	1	2	0	1	0	0	0	0	0	0	2	0	0	0	2	0	4	0	1	6	1	0	0	2	1	2									
		0.16%	0.13%	0.00%	0.24%	0.00%	0.00%	0.16%	0.21%	0.15%	0.00%	0.28%	0.14%	0.14%	0.00%	0.11%	0.36%	0.00%	0.33%	0.00%	0.10%	0.00%	0.12%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.24%	0.00%	0.72%	0.52%	0.16%	0.39%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.25%	0.00%	0.41%	0.00%	0.16%	0.59%	0.16%	0.00%	0.00%	0.24%	0.19%	0.33%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5190	130	127	182	101	86	118	158	85	86	148	101	129	159	162	132	33	23	127	114	94	103	9	6	15	94	66	85	106	79	42	22	74	123	123	78	96	121	39	72	7	15	26	34	82	17	39	14	86	50	120	104	123	201	112	163	3	152	101	93									
		15.35%	16.58%	17.00%	21.77%	16.01%	17.20%	18.73%	16.48%	12.48%	15.58%	13.90%	14.35%	18.38%	17.49%	18.06%	15.62%	19.41%	7.62%	13.97%	11.81%	10.35%	12.58%	9.47%	5.71%	8.57%	13.56%	18.13%	16.67%	18.53%	16.22%	10.07%	10.28%	17.75%	21.47%	19.19%	15.26%	19.75%	21.15%	15.79%	13.38%	9.72%	14.15%	16.99%	18.38%	13.67%	8.25%	16.18%	9.72%	10.84%	11.01%	12.33%	15.57%	19.77%	19.63%	17.75%	17.97%	0.32%	18.40%	19.09%	15.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	218	2	5	3	5	1	4	7	8	5	9	4	3	5	4	5	0	2	5	2	2	3	0	0	0	1	0	0	4	0	2	0	1	0	2	1	6	2	0	1	0	0	0	0	1	0	0	2	2	0	3	0	3	9	7	6	70	8	1	2									
		0.64%	0.26%	0.67%	0.36%	0.79%	0.20%	0.63%	0.73%	1.17%	0.91%	0.85%	0.57%	0.43%	0.55%	0.45%	0.59%	0.00%	0.66%	0.55%	0.21%	0.22%	0.37%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.70%	0.00%	0.48%	0.00%	0.24%	0.00%	0.31%	0.20%	1.23%	0.35%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	1.39%	0.25%	0.00%	0.31%	0.00%	0.48%	0.88%	1.11%	0.66%	7.43%	0.97%	0.19%	0.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	216	0	3	11	3	8	10	9	1	4	5	8	5	10	12	6	0	2	10	0	0	2	0	0	0	2	2	5	5	3	1	0	2	5	0	3	5	2	2	1	1	0	0	0	3	0	2	1	1	0	5	5	8	9	5	10	8	4	5	2									
		0.64%	0.00%	0.40%	1.32%	0.48%	1.60%	1.59%	0.94%	0.15%	0.72%	0.47%	1.14%	0.71%	1.10%	1.34%	0.71%	0.00%	0.66%	1.10%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.29%	0.55%	0.98%	0.87%	0.62%	0.24%	0.00%	0.48%	0.87%	0.00%	0.59%	1.03%	0.35%	0.81%	0.19%	1.39%	0.00%	0.00%	0.00%	0.50%	0.00%	0.83%	0.69%	0.13%	0.00%	0.51%	0.75%	1.29%	0.88%	0.79%	1.10%	0.85%	0.48%	0.95%	0.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	0	0	1	2	3	3	1	1	0	0	1	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	27	1	0	1	1	0	0	0	0	0	3	0	0	0	1	0	1	0	3	6	0	0	0	0	0	1									
		0.19%	0.00%	0.00%	0.12%	0.32%	0.60%	0.48%	0.10%	0.15%	0.00%	0.00%	0.14%	0.00%	0.22%	0.22%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	4.21%	0.20%	0.00%	0.17%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.13%	0.00%	0.10%	0.00%	0.48%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	230	3	2	15	8	4	4	2	6	11	14	4	7	7	7	4	2	3	5	2	7	0	1	0	1	4	5	0	3	5	3	0	1	3	7	4	1	3	1	1	0	0	0	0	3	3	1	0	3	0	7	11	0	7	13	10	0	5	3	4									
		0.68%	0.38%	0.27%	1.79%	1.27%	0.80%	0.63%	0.21%	0.88%	1.99%	1.31%	0.57%	0.99%	0.77%	0.78%	0.47%	1.18%	0.99%	0.55%	0.21%	0.77%	0.00%	1.05%	0.00%	0.57%	0.58%	1.37%	0.00%	0.52%	1.03%	0.72%	0.00%	0.24%	0.52%	1.09%	0.78%	0.21%	0.52%	0.40%	0.19%	0.00%	0.00%	0.00%	0.00%	0.50%	1.46%	0.41%	0.00%	0.38%	0.00%	0.72%	1.65%	0.00%	0.68%	2.06%	1.10%	0.00%	0.61%	0.57%	0.66%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5146	156	128	141	137	113	95	200	95	133	167	146	133	135	154	122	33	75	84	73	171	64	3	1	14	85	87	100	91	63	53	30	52	77	93	78	67	115	34	60	1	20	13	19	97	22	51	13	116	81	157	79	92	141	106	139	11	147	79	104									
		15.22%	19.90%	17.14%	16.87%	21.71%	22.60%	15.08%	20.86%	13.95%	24.09%	15.68%	20.74%	18.95%	14.85%	17.17%	14.44%	19.41%	24.83%	9.24%	7.56%	18.83%	7.81%	3.16%	0.95%	8.00%	12.27%	23.90%	19.61%	15.91%	12.94%	12.71%	14.02%	12.47%	13.44%	14.51%	15.26%	13.79%	20.10%	13.77%	11.15%	1.39%	18.87%	8.50%	10.27%	16.17%	10.68%	21.16%	9.03%	14.63%	17.84%	16.14%	11.83%	14.79%	13.77%	16.80%	15.33%	1.17%	17.80%	14.93%	17.05%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	150	0	3	4	5	5	3	5	1	5	1	2	3	6	6	1	1	0	6	1	4	5	0	0	0	3	2	1	1	4	1	3	3	3	1	4	1	1	2	0	0	0	0	0	1	1	0	0	5	1	8	5	2	4	4	5	0	12	1	4									
		0.44%	0.00%	0.40%	0.48%	0.79%	1.00%	0.48%	0.52%	0.15%	0.91%	0.09%	0.28%	0.43%	0.66%	0.67%	0.12%	0.59%	0.00%	0.66%	0.10%	0.44%	0.61%	0.00%	0.00%	0.00%	0.43%	0.55%	0.20%	0.17%	0.82%	0.24%	1.40%	0.72%	0.52%	0.16%	0.78%	0.21%	0.17%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.49%	0.00%	0.00%	0.63%	0.22%	0.82%	0.75%	0.32%	0.39%	0.63%	0.55%	0.00%	1.45%	0.19%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1590	30	22	37	16	18	20	45	15	31	52	40	37	49	43	36	7	8	49	50	38	20	2	2	7	15	11	23	30	17	24	10	9	31	62	40	34	45	22	14	6	3	3	2	32	14	17	13	25	45	126	75	13	29	14	29	1	37	28	17									
		4.70%	3.83%	2.95%	4.43%	2.54%	3.60%	3.17%	4.69%	2.20%	5.62%	4.88%	5.68%	5.27%	5.39%	4.79%	4.26%	4.12%	2.65%	5.39%	5.18%	4.19%	2.44%	2.11%	1.90%	4.00%	2.16%	3.02%	4.51%	5.24%	3.49%	5.76%	4.67%	2.16%	5.41%	9.67%	7.83%	6.99%	7.87%	8.91%	2.60%	8.33%	2.83%	1.96%	1.08%	5.33%	6.80%	7.05%	9.03%	3.15%	9.91%	12.95%	11.23%	2.09%	2.83%	2.22%	3.20%	0.11%	4.48%	5.29%	2.79%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
